movieNm,actCd,actNm,actRl,act_viewer,act_point
셜록: 유령신부,10030708,베네딕트 컴버배치,배우,1007640.9230769231,8.232666666666667
닥터 스트레인지,10030708,베네딕트 컴버배치,배우,1007640.9230769231,8.232666666666667
그린치,10030708,베네딕트 컴버배치,배우,1007640.9230769231,8.232666666666667
셜록: 유령신부,10030708,베네딕트 컴버배치,배우,1007640.9230769231,8.232666666666667
닥터 스트레인지,10030708,베네딕트 컴버배치,배우,1007640.9230769231,8.232666666666667
그린치,10030708,베네딕트 컴버배치,배우,1007640.9230769231,8.232666666666667
셜록: 유령신부,10030708,베네딕트 컴버배치,배우,1007640.9230769231,8.232666666666667
닥터 스트레인지,10030708,베네딕트 컴버배치,배우,1007640.9230769231,8.232666666666667
그린치,10030708,베네딕트 컴버배치,배우,1007640.9230769231,8.232666666666667
셜록: 유령신부,10024795,마틴 프리먼,배우,682077.9285714285,7.511666666666666
포인트 브레이크,10085818,루크 브레시,배우,186979.66666666663,5.855
포인트 브레이크,10047595,에드가 라미레즈,배우,122294.66666666669,7.523333333333331
포인트 브레이크,10079720,테레사 팔머,배우,366544.77777777775,7.5710000000000015
라이트 아웃,10079720,테레사 팔머,배우,366544.77777777775,7.5710000000000015
베를린 신드롬,10079720,테레사 팔머,배우,366544.77777777775,7.5710000000000015
포인트 브레이크,10079720,테레사 팔머,배우,366544.77777777775,7.5710000000000015
라이트 아웃,10079720,테레사 팔머,배우,366544.77777777775,7.5710000000000015
베를린 신드롬,10079720,테레사 팔머,배우,366544.77777777775,7.5710000000000015
포인트 브레이크,10079720,테레사 팔머,배우,366544.77777777775,7.5710000000000015
라이트 아웃,10079720,테레사 팔머,배우,366544.77777777775,7.5710000000000015
베를린 신드롬,10079720,테레사 팔머,배우,366544.77777777775,7.5710000000000015
포인트 브레이크,10079720,테레사 팔머,배우,366544.77777777775,7.5710000000000015
라이트 아웃,10079720,테레사 팔머,배우,366544.77777777775,7.5710000000000015
베를린 신드롬,10079720,테레사 팔머,배우,366544.77777777775,7.5710000000000015
짱구는 못말려 극장판: 폭풍수면! 꿈꾸는 세계 대돌격,10028921,박영남,배우,231457.2222222223,8.588888888888889
극장판 짱구는 못말려 : 습격!! 외계인 덩덩이,10028921,박영남,배우,231457.2222222223,8.588888888888889
극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,10028921,박영남,배우,231457.2222222223,8.588888888888889
짱구는 못말려 극장판: 폭풍수면! 꿈꾸는 세계 대돌격,10028921,박영남,배우,231457.2222222223,8.588888888888889
극장판 짱구는 못말려 : 습격!! 외계인 덩덩이,10028921,박영남,배우,231457.2222222223,8.588888888888889
극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,10028921,박영남,배우,231457.2222222223,8.588888888888889
짱구는 못말려 극장판: 폭풍수면! 꿈꾸는 세계 대돌격,10028921,박영남,배우,231457.2222222223,8.588888888888889
극장판 짱구는 못말려 : 습격!! 외계인 덩덩이,10028921,박영남,배우,231457.2222222223,8.588888888888889
극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,10028921,박영남,배우,231457.2222222223,8.588888888888889
짱구는 못말려 극장판: 폭풍수면! 꿈꾸는 세계 대돌격,10028921,박영남,배우,231457.2222222223,8.588888888888889
극장판 짱구는 못말려 : 습격!! 외계인 덩덩이,10028921,박영남,배우,231457.2222222223,8.588888888888889
극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,10028921,박영남,배우,231457.2222222223,8.588888888888889
짱구는 못말려 극장판: 폭풍수면! 꿈꾸는 세계 대돌격,20167745,김환진,배우,402984.54545454547,8.588181818181818
극장판 짱구는 못말려 : 습격!! 외계인 덩덩이,20167745,김환진,배우,402984.54545454547,8.588181818181818
뽀로로 극장판 공룡섬 대모험,20167745,김환진,배우,402984.54545454547,8.588181818181818
극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,20167745,김환진,배우,402984.54545454547,8.588181818181818
짱구는 못말려 극장판: 폭풍수면! 꿈꾸는 세계 대돌격,20167745,김환진,배우,402984.54545454547,8.588181818181818
극장판 짱구는 못말려 : 습격!! 외계인 덩덩이,20167745,김환진,배우,402984.54545454547,8.588181818181818
뽀로로 극장판 공룡섬 대모험,20167745,김환진,배우,402984.54545454547,8.588181818181818
극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,20167745,김환진,배우,402984.54545454547,8.588181818181818
짱구는 못말려 극장판: 폭풍수면! 꿈꾸는 세계 대돌격,20167745,김환진,배우,402984.54545454547,8.588181818181818
극장판 짱구는 못말려 : 습격!! 외계인 덩덩이,20167745,김환진,배우,402984.54545454547,8.588181818181818
뽀로로 극장판 공룡섬 대모험,20167745,김환진,배우,402984.54545454547,8.588181818181818
극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,20167745,김환진,배우,402984.54545454547,8.588181818181818
짱구는 못말려 극장판: 폭풍수면! 꿈꾸는 세계 대돌격,20167745,김환진,배우,402984.54545454547,8.588181818181818
극장판 짱구는 못말려 : 습격!! 외계인 덩덩이,20167745,김환진,배우,402984.54545454547,8.588181818181818
뽀로로 극장판 공룡섬 대모험,20167745,김환진,배우,402984.54545454547,8.588181818181818
극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,20167745,김환진,배우,402984.54545454547,8.588181818181818
짱구는 못말려 극장판: 폭풍수면! 꿈꾸는 세계 대돌격,20167745,김환진,배우,402984.54545454547,8.588181818181818
극장판 짱구는 못말려 : 습격!! 외계인 덩덩이,20167745,김환진,배우,402984.54545454547,8.588181818181818
뽀로로 극장판 공룡섬 대모험,20167745,김환진,배우,402984.54545454547,8.588181818181818
극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,20167745,김환진,배우,402984.54545454547,8.588181818181818
짱구는 못말려 극장판: 폭풍수면! 꿈꾸는 세계 대돌격,10000977,강희선,배우,233224.375,8.335555555555556
극장판 짱구는 못말려 : 습격!! 외계인 덩덩이,10000977,강희선,배우,233224.375,8.335555555555556
극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,10000977,강희선,배우,233224.375,8.335555555555556
짱구는 못말려 극장판: 폭풍수면! 꿈꾸는 세계 대돌격,10000977,강희선,배우,233224.375,8.335555555555556
극장판 짱구는 못말려 : 습격!! 외계인 덩덩이,10000977,강희선,배우,233224.375,8.335555555555556
극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,10000977,강희선,배우,233224.375,8.335555555555556
짱구는 못말려 극장판: 폭풍수면! 꿈꾸는 세계 대돌격,10000977,강희선,배우,233224.375,8.335555555555556
극장판 짱구는 못말려 : 습격!! 외계인 덩덩이,10000977,강희선,배우,233224.375,8.335555555555556
극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,10000977,강희선,배우,233224.375,8.335555555555556
짱구는 못말려 극장판: 폭풍수면! 꿈꾸는 세계 대돌격,10000977,강희선,배우,233224.375,8.335555555555556
극장판 짱구는 못말려 : 습격!! 외계인 덩덩이,10000977,강희선,배우,233224.375,8.335555555555556
극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,10000977,강희선,배우,233224.375,8.335555555555556
극장판 안녕 자두야,20234807,여민정,배우,173552.16666666663,8.578823529411764
짱구는 못말려 극장판: 폭풍수면! 꿈꾸는 세계 대돌격,20234807,여민정,배우,173552.16666666663,8.578823529411764
극장판 짱구는 못말려 : 습격!! 외계인 덩덩이,20234807,여민정,배우,173552.16666666663,8.578823529411764
극장판 에그엔젤 코코밍: 푸르밍과 두근두근 코코밍 세계,20234807,여민정,배우,173552.16666666663,8.578823529411764
극장판 레이디버그: 미라클스톤의 비밀,20234807,여민정,배우,173552.16666666663,8.578823529411764
극장판 요괴워치 섀도사이드: 도깨비왕의 부활,20234807,여민정,배우,173552.16666666663,8.578823529411764
극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,20234807,여민정,배우,173552.16666666663,8.578823529411764
극장판 안녕 자두야,20234807,여민정,배우,173552.16666666663,8.578823529411764
짱구는 못말려 극장판: 폭풍수면! 꿈꾸는 세계 대돌격,20234807,여민정,배우,173552.16666666663,8.578823529411764
극장판 짱구는 못말려 : 습격!! 외계인 덩덩이,20234807,여민정,배우,173552.16666666663,8.578823529411764
극장판 에그엔젤 코코밍: 푸르밍과 두근두근 코코밍 세계,20234807,여민정,배우,173552.16666666663,8.578823529411764
극장판 레이디버그: 미라클스톤의 비밀,20234807,여민정,배우,173552.16666666663,8.578823529411764
극장판 요괴워치 섀도사이드: 도깨비왕의 부활,20234807,여민정,배우,173552.16666666663,8.578823529411764
극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,20234807,여민정,배우,173552.16666666663,8.578823529411764
극장판 안녕 자두야,20234807,여민정,배우,173552.16666666663,8.578823529411764
짱구는 못말려 극장판: 폭풍수면! 꿈꾸는 세계 대돌격,20234807,여민정,배우,173552.16666666663,8.578823529411764
극장판 짱구는 못말려 : 습격!! 외계인 덩덩이,20234807,여민정,배우,173552.16666666663,8.578823529411764
극장판 에그엔젤 코코밍: 푸르밍과 두근두근 코코밍 세계,20234807,여민정,배우,173552.16666666663,8.578823529411764
극장판 레이디버그: 미라클스톤의 비밀,20234807,여민정,배우,173552.16666666663,8.578823529411764
극장판 요괴워치 섀도사이드: 도깨비왕의 부활,20234807,여민정,배우,173552.16666666663,8.578823529411764
극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,20234807,여민정,배우,173552.16666666663,8.578823529411764
극장판 안녕 자두야,20234807,여민정,배우,173552.16666666663,8.578823529411764
짱구는 못말려 극장판: 폭풍수면! 꿈꾸는 세계 대돌격,20234807,여민정,배우,173552.16666666663,8.578823529411764
극장판 짱구는 못말려 : 습격!! 외계인 덩덩이,20234807,여민정,배우,173552.16666666663,8.578823529411764
극장판 에그엔젤 코코밍: 푸르밍과 두근두근 코코밍 세계,20234807,여민정,배우,173552.16666666663,8.578823529411764
극장판 레이디버그: 미라클스톤의 비밀,20234807,여민정,배우,173552.16666666663,8.578823529411764
극장판 요괴워치 섀도사이드: 도깨비왕의 부활,20234807,여민정,배우,173552.16666666663,8.578823529411764
극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,20234807,여민정,배우,173552.16666666663,8.578823529411764
극장판 안녕 자두야,20234807,여민정,배우,173552.16666666663,8.578823529411764
짱구는 못말려 극장판: 폭풍수면! 꿈꾸는 세계 대돌격,20234807,여민정,배우,173552.16666666663,8.578823529411764
극장판 짱구는 못말려 : 습격!! 외계인 덩덩이,20234807,여민정,배우,173552.16666666663,8.578823529411764
극장판 에그엔젤 코코밍: 푸르밍과 두근두근 코코밍 세계,20234807,여민정,배우,173552.16666666663,8.578823529411764
극장판 레이디버그: 미라클스톤의 비밀,20234807,여민정,배우,173552.16666666663,8.578823529411764
극장판 요괴워치 섀도사이드: 도깨비왕의 부활,20234807,여민정,배우,173552.16666666663,8.578823529411764
극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,20234807,여민정,배우,173552.16666666663,8.578823529411764
극장판 안녕 자두야,20234807,여민정,배우,173552.16666666663,8.578823529411764
짱구는 못말려 극장판: 폭풍수면! 꿈꾸는 세계 대돌격,20234807,여민정,배우,173552.16666666663,8.578823529411764
극장판 짱구는 못말려 : 습격!! 외계인 덩덩이,20234807,여민정,배우,173552.16666666663,8.578823529411764
극장판 에그엔젤 코코밍: 푸르밍과 두근두근 코코밍 세계,20234807,여민정,배우,173552.16666666663,8.578823529411764
극장판 레이디버그: 미라클스톤의 비밀,20234807,여민정,배우,173552.16666666663,8.578823529411764
극장판 요괴워치 섀도사이드: 도깨비왕의 부활,20234807,여민정,배우,173552.16666666663,8.578823529411764
극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,20234807,여민정,배우,173552.16666666663,8.578823529411764
극장판 안녕 자두야,20234807,여민정,배우,173552.16666666663,8.578823529411764
짱구는 못말려 극장판: 폭풍수면! 꿈꾸는 세계 대돌격,20234807,여민정,배우,173552.16666666663,8.578823529411764
극장판 짱구는 못말려 : 습격!! 외계인 덩덩이,20234807,여민정,배우,173552.16666666663,8.578823529411764
