movieCd,movieNm,showTm,prdtYear,openDt,typeNm,nations,genres,directors,actors,companys,audits,w1,w2,w3,w4,tot
20157042,셜록: 유령신부,114,2015,20160102,장편,영국,드라마|범죄,더글라스 맥키넌,베네딕트 컴버배치|마틴 프리먼,메가박스중앙(주)플러스엠,12세이상관람가,1086912,1251033,1275444,1278172,1278894
20155422,굿 다이노,100,2015,20160107,장편,미국,코미디|애니메이션|어드벤처,피터 손,레이몬드 오초아|잭 브라이트,월트디즈니컴퍼니코리아(주),전체관람가,736477,1103163,1294868,1325983,1330183
20142641,나를 잊지 말아요,106,2015,20160107,장편,한국,멜로/로맨스,이윤정,정우성|김하늘,씨제이이앤엠(주),15세이상관람가,391766,423624,425020,427057,427197
20158882,유스,123,2015,20160107,장편,영국|이탈리아|프랑스|스위스,드라마,파올로 소렌티노,마이클 케인|하비 케이틀|레이첼 와이즈|폴 다노|제인 폰다,그린나래미디어(주),15세이상관람가,32158,52365,65062,74440,87204
20159510,헤이트풀8,167,2015,20160107,장편,미국,서부극(웨스턴)|액션|스릴러,쿠엔틴 타란티노,사무엘 L. 잭슨|커트 러셀|제니퍼 제이슨 리|월튼 고긴스|데미안 비쉬어|팀 로스|마이클 매드슨|브루스 던|채닝 테이텀,(주)누리픽쳐스,청소년관람불가,92834,111986,116484,117396,122266
20154001,레버넌트: 죽음에서 돌아온 자,156,2015,20160114,장편,미국,드라마|어드벤처,알레한드로 곤잘레스 이냐리투,레오나르도 디카프리오|톰 하디,이십세기폭스코리아(주),15세이상관람가,1120352,1700327,1923884,1983152,2007665
20157158,구스범스,103,2015,20160114,장편,미국,코미디|액션|어드벤처,롭 레터맨,잭 블랙|딜런 미네트|오데야 러쉬|라이언 리,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,245631,302200,304967,305074,305134
20068576,그날의 분위기,103,2015,20160114,장편,한국,멜로/로맨스,조규장,문채원|유연석,(주)쇼박스,15세이상관람가,495339,627470,651028,652249,653287
20158483,오빠생각,123,2015,20160121,장편,한국,전쟁|드라마,이한,임시완|정준원|이레|고아성|이희준,(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,731110,958811,1041051,1067171,1069864
20150566,극장판 꼬마버스 타요의 에이스 구출작전,48,2015,20160121,장편,한국,애니메이션,류정우,문남숙|정혜옥|최하나|김영선,(주)아이코닉스,전체관람가,82893,115378,127253,130222,135478
20159199,빅쇼트,130,2015,20160121,장편,미국,드라마,아담 맥케이,크리스찬 베일|스티브 카렐|라이언 고슬링|브래드 피트,롯데쇼핑㈜롯데엔터테인먼트,청소년관람불가,265982,382991,422748,442538,447220
20150461,스티브 잡스,122,2015,20160121,장편,미국,드라마,대니 보일,마이클 패스벤더|케이트 윈슬렛|세스 로건,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,57536,65315,67008,68017,68815
20157466,"로봇, 소리",117,2015,20160127,장편,한국,드라마,이호재,이성민|이희준|이하늬|김원해|채수빈|전혜진|심은경,롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,342118,444172,472670,476207,476665
20151803,쿵푸팬더3,94,2015,20160128,장편,미국,어드벤처|애니메이션|액션,알레산드로 칼로니|여인영,잭 블랙|안젤리나 졸리|더스틴 호프만,씨제이이앤엠(주),전체관람가,1925530,3326750,3800631,3941321,3984814
20145507,검사외전,126,2015,20160203,장편,한국,코미디|범죄,이일형,황정민|강동원,(주)쇼박스,15세이상관람가,6405797,8499038,9239900,9595701,9707581
20159657,최강전사 미니특공대: 영웅의 탄생,68,2016,20160204,장편,한국,애니메이션,이영준,0,(주)삼지애니메이션,전체관람가,87395,112474,115306,116082,117446
20150942,캐롤,118,2015,20160204,장편,영국|미국,드라마,토드 헤인즈,케이트 블란쳇|루니 마라,CGV아트하우스,청소년관람불가,145373,260555,290744,304147,335274
20159059,앨빈과 슈퍼밴드: 악동 어드벤처,91,2015,20160204,장편,미국,코미디|애니메이션|어드벤처,월트 벡커,저스틴 롱|제이슨 리|매튜 그레이 구블러|제시 맥카트니,이십세기폭스코리아(주),전체관람가,205800,281369,291474,292442,292495
20150725,극장판 아이엠스타 : 꿈의 오디션!,88,2014,20160211,장편,일본,애니메이션,키무라 류이치,정혜원|이용신|김채하|소연|여윤미|모로호시 스미레|타도코로 아즈사|오오하시 아야카,씨제이이앤엠(주),전체관람가,114062,136686,140962,141177,141351
20150903,번개맨,72,2015,20160211,장편,한국,가족|판타지,조근현,정현진|루나,씨네그루(주)키다리이엔티,전체관람가,59510,65624,68048,68958,69363
20155501,주토피아,108,2015,20160217,장편,미국,어드벤처|애니메이션|액션,리치 무어|바이론 하워드,지니퍼 굿윈|제이슨 베이트먼,월트디즈니컴퍼니코리아(주),전체관람가,647314,1574413,1975196,2426840,4706158
20150977,좋아해줘,122,2015,20160217,장편,한국,코미디|멜로/로맨스,박현진,이미연|최지우|김주혁|유아인|강하늘|이솜,씨제이이앤엠(주),12세이상관람가,622398,813712,843534,846603,848148
20153781,데드풀,107,2016,20160217,장편,미국,SF|액션,팀 밀러,라이언 레이놀즈,이십세기폭스코리아(주),청소년관람불가,2108639,2928909,3181960,3271447,3320491
20158482,동주,110,2015,20160217,장편,한국,드라마,이준익,강하늘|박정민,메가박스중앙(주)플러스엠,12세이상관람가,387085,794952,966852,1060964,1176468
20155020,대니쉬 걸,119,2015,20160217,장편,영국|미국,드라마,톰 후퍼,에디 레드메인|알리시아 비칸데르,유니버설픽쳐스인터내셔널 코리아(유),청소년관람불가,77162,106122,119972,126552,134079
20151111,빌리와 용감한 녀석들: 치킨 히어로,83,2015,20160217,장편,멕시코|미국,애니메이션,로돌포 리바 팔라시오 알라트리스테|가브리엘 리바 팔라시오 알라트리스테,이재범|김혜성|이경태|브루노 비처|안젤리카 베일|오마르 차파로,(주)박수엔터테인먼트|㈜코리아스크린,전체관람가,27695,34256,35362,35491,35937
20150565,스포트라이트,128,2015,20160224,장편,미국,스릴러|드라마,토마스 맥카시,마이클 키튼|마크 러팔로|레이첼 맥아담스,(주)팝엔터테인먼트,15세이상관람가,162007,246289,276520,291406,301714
20161364,귀향,127,2015,20160224,장편,한국,드라마,조정래,박지희|강하나|서미지|홍세나|김시은|남상지|최리|정무성|김민수|류신|임성철|이승현|오지혜|정인기,(주)와우픽쳐스,15세이상관람가,1907746,2805003,3243634,3476468,3587252
20151021,순정,113,2015,20160224,장편,한국,드라마,이은희,디오|김소현|연준석|이다윗|주아름|박해준|김지호|박용우,(주)리틀빅픽쳐스,12세이상관람가,227381,236938,238689,240484,240704
20161382,레터스 투 갓,113,2010,20160225,장편,미국,드라마|가족,데이빗 닉슨,태너 맥과이어|제프리 존슨|로빈 리블리,(주)모멘텀엔터테인먼트,전체관람가,24589,33753,42289,46434,66397
20145502,남과 여,115,2015,20160225,장편,한국,멜로/로맨스,이윤기,전도연|공유,(주)쇼박스,청소년관람불가,182382,199253,202551,203668,203775
20156063,룸,117,2015,20160303,장편,캐나다|아일랜드,드라마,레니 에이브러햄슨,브리 라슨|제이콥 트렘블레이|조안 알렌,(주)영화사 빅,15세이상관람가,70736,79167,83156,85023,87768
20159162,갓 오브 이집트,126,2016,20160303,장편,미국,판타지|어드벤처,알렉스 프로야스,제라드 버틀러|니콜라이 코스터 왈도|브렌튼 스웨이츠,(주)시네마서비스|(주)나이너스엔터테인먼트,12세이상관람가,628970,831714,915842,919666,919882
20145396,널 기다리며,108,2015,20160310,장편,한국,스릴러,모홍진,심은경|윤제문|김성오,(주)넥스트엔터테인먼트월드(NEW),청소년관람불가,414657,599741,630907,634928,635235
20151884,런던 해즈 폴른,97,2016,20160310,장편,영국|미국,스릴러|액션|범죄,바박 나자피,제라드 버틀러|아론 에크하트|모건 프리먼,메가박스중앙(주)플러스엠,15세이상관람가,418095,670485,722427,730911,731683
20158529,조이,124,2015,20160310,장편,미국,드라마|코미디,데이빗 O. 러셀,제니퍼 로렌스|로버트 드 니로|브래들리 쿠퍼,이십세기폭스코리아(주),12세이상관람가,139857,167943,169927,170801,172253
20162381,일사각오,115,2016,20160317,장편,한국,드라마,고문안|권혁만,이지형,파이오니아21,12세이상관람가,27669,46917,57815,68108,94825
20161881,부활,107,2016,20160317,장편,미국,드라마,케빈 레이놀즈,조셉 파인즈,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,55225,112835,145154,163434,176539
20161968,오 마이 그랜파,99,2015,20160317,장편,미국,코미디,댄 마저,로버트 드 니로|잭 에프론,판씨네마(주),청소년관람불가,74971,77932,78917,79551,79701
20152781,배트맨 대 슈퍼맨: 저스티스의 시작,151,2016,20160324,장편,미국,판타지|액션|어드벤처,잭 스나이더,벤 애플렉|헨리 카빌,워너브러더스 코리아(주),12세이상관람가,1646940,2072753,2216810,2247073,2256913
20159643,글로리데이,92,2015,20160324,장편,한국,드라마,최정열,지수|수호|류준열|김희찬,(주)엣나인필름,15세이상관람가,141660,180101,186471,188895,189442
20161921,"헤일, 시저!",105,2016,20160324,장편,미국,드라마|코미디,에단 코엔|조엘 코엔,조슈 브롤린|조지 클루니|스칼렛 요한슨|랄프 파인즈|채닝 테이텀|틸다 스윈튼|엘든 이렌리치|조나 힐,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,28796,32095,33396,33965,34331
20150902,대배우,108,2015,20160330,장편,한국,코미디,석민우,오달수|윤제문|이경영,(주)대명문화공장|(주)리틀빅픽쳐스,12세이상관람가,156791,168065,169016,169226,169984
20152782,"날, 보러와요",90,2015,20160407,장편,한국,스릴러|미스터리,이철하,강예원|이상윤|최진호,메가박스중앙(주)플러스엠,청소년관람불가,615271,885441,1032928,1060633,1063442
20162065,클로버필드 10번지,103,2016,20160407,장편,미국,스릴러|미스터리,댄 트라첸버그,메리 엘리자베스 윈스티드|존 굿맨|존 갤러거 주니어,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,301274,344697,356423,357264,357736
20161964,독수리 에디,106,2016,20160407,장편,미국,드라마,덱스터 플레처,태런 에저튼|휴 잭맨,이십세기폭스코리아(주),12세이상관람가,190073,218510,225137,225849,226341
20161870,트럼보,124,2015,20160407,장편,미국,드라마,제이 로치,브라이언 크랜스턴|다이안 레인|헬렌 미렌|엘르 패닝,그린나래미디어(주)|(주)프레인글로벌,15세이상관람가,45189,51168,56555,59501,61964
20145506,해어화,120,2015,20160413,장편,한국,드라마|사극,박흥식,한효주|천우희|유연석,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,303873,436214,471621,480789,485695
20142621,시간이탈자,107,2015,20160413,장편,한국,스릴러,곽재용,임수정|조정석|이진욱,씨제이이앤엠(주),15세이상관람가,663977,1026760,1166031,1201547,1202511
20158984,헌츠맨: 윈터스 워,113,2016,20160413,장편,미국,어드벤처|액션,세딕 니콜라스 트로얀,크리스 헴스워스|에밀리 블런트|제시카 차스테인|샤를리즈 테론,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,346027,439610,441104,441383,445009
20162431,극장판 프랭키와 친구들: 생명의 나무,71,2016,20160413,장편,한국,애니메이션,박정오,이소은|안영미|김민정|최승훈,예지림엔터테인먼트,전체관람가,30907,42550,47856,48187,56860
