movieCd,movieNm,openDt,nations,directors,actors,companys,audits,w1,w2,w3,w4,tot,hCnt,애니메이션,멜로/로맨스,액션,가족,뮤지컬,범죄,미스터리,전쟁,다큐멘터리,어드벤처,공연,코미디,드라마,서부극(웨스턴),스릴러,판타지,SF,공포(호러),사극
20157042,셜록: 유령신부,20160102,1,1278885,592948,3,2,1086912,1251033,1275444,1278172,1278894,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
20155422,굿 다이노,20160107,2,1330181,997635,1,1,736477,1103163,1294868,1325983,1330183,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
20142641,나를 잊지 말아요,20160107,3,427107,1181598,3,3,391766,423624,425020,427057,427197,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20158882,유스,20160107,1,35836,17616,1,3,32158,52365,65062,74440,87204,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20159510,헤이트풀8,20160107,2,137580,48565,1,4,92834,111986,116484,117396,122266,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
20154001,레버넌트: 죽음에서 돌아온 자,20160114,2,502199,1149851,3,3,1120352,1700327,1923884,1983152,2007665,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
20157158,구스범스,20160114,2,784026,99447,3,2,245631,302200,304967,305074,305134,4,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
20068576,그날의 분위기,20160114,3,221536,1171496,2,3,495339,627470,651028,652249,653287,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20158483,오빠생각,20160121,3,2073523,472920,3,2,731110,958811,1041051,1067171,1069864,4,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
20150566,극장판 꼬마버스 타요의 에이스 구출작전,20160121,3,135478,26252,1,1,82893,115378,127253,130222,135478,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20159199,빅쇼트,20160121,2,291851,206928,3,4,265982,382991,422748,442538,447220,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20150461,스티브 잡스,20160121,2,242408,102615,3,2,57536,65315,67008,68017,68815,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20157466,"로봇, 소리",20160127,3,996875,295810,3,2,342118,444172,472670,476207,476665,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20151803,쿵푸팬더3,20160128,2,3258606,516094,3,1,1925530,3326750,3800631,3941321,3984814,4,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
