날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2016-02-15,1,0.0%,1,0%,8,0.0%,100.0%,72000,72000 ( 100.0% ),8,8 ( 100.0% ),72000,8,72
2016-02-22,1,0.0%,1,0%,389,0.0%,100.0%,3501000,3501000 ( 100.0% ),389,389 ( 100.0% ),3573000,397,17
2016-02-25,1,0.0%,1,0%,274,0.0%,100.0%,2192000,2192000 ( 100.0% ),274,274 ( 100.0% ),5765000,671,30
2016-02-29,2,0.0%,2,0%,454,0.0%,100.0%,3846000,3846000 ( 100.0% ),454,454 ( 100.0% ),9611000,1125,25
2016-03-03,364,7.0%,1162,7.7%,174548,6.9%,6.8%,90357100,90357100 ( 100.0% ),11943,11943 ( 100.0% ),99968100,13068,6
2016-03-04,363,6.9%,1164,7.4%,174203,6.7%,9.9%,141704556,51347456 ( 56.8% ),17242,5299 ( 44.4% ),241672656,30310,6
2016-03-05,380,6.6%,1009,6.1%,143632,5.2%,24.8%,293835558,152131002 ( 107.4% ),35658,18416 ( 106.8% ),535508214,65968,6
2016-03-06,380,6.7%,971,6%,138997,5.2%,22.2%,252720100,-41115458 ( -14.0% ),30916,-4742 ( -13.3% ),788228314,96884,6
2016-03-07,359,7.1%,1016,6.9%,152093,6.2%,6.4%,73991200,-178728900 ( -70.7% ),9801,-21115 ( -68.3% ),862219514,106685,6
2016-03-08,357,6.9%,972,6.7%,145651,6.0%,6.1%,66115600,-7875600 ( -10.6% ),8823,-978 ( -10.0% ),928335114,115508,6
2016-03-09,359,7.0%,970,6.7%,145215,6.0%,6.0%,66523800,408200 ( 0.6% ),8741,-82 ( -0.9% ),994858914,124249,6
2016-03-10,157,3.3%,313,2%,44563,1.7%,4.6%,15631500,-50892300 ( -76.5% ),2037,-6704 ( -76.7% ),1010490414,126286,12
2016-03-11,161,3.3%,328,2.1%,45944,1.7%,6.6%,24796800,9165300 ( 58.6% ),3042,1005 ( 49.3% ),1035287214,129328,12
2016-03-12,155,2.9%,283,1.7%,39805,1.4%,13.0%,43107900,18311100 ( 73.8% ),5161,2119 ( 69.7% ),1078395114,134489,12
2016-03-13,152,2.8%,270,1.7%,37835,1.4%,10.9%,34526700,-8581200 ( -19.9% ),4135,-1026 ( -19.9% ),1112921814,138624,12
2016-03-14,136,2.9%,248,1.7%,33639,1.3%,4.1%,10308500,-24218200 ( -70.1% ),1374,-2761 ( -66.8% ),1123230314,139998,13
2016-03-15,135,2.8%,239,1.6%,32632,1.3%,3.9%,9684500,-624000 ( -6.1% ),1267,-107 ( -7.8% ),1132914814,141265,13
2016-03-16,138,2.9%,249,1.7%,33494,1.4%,3.7%,9419000,-265500 ( -2.7% ),1248,-19 ( -1.5% ),1142333814,142513,12
2016-03-17,40,0.8%,56,0.4%,8300,0.3%,4.4%,2863600,-6555400 ( -69.6% ),366,-882 ( -70.7% ),1145197414,142879,25
2016-03-18,48,0.9%,69,0.4%,10288,0.4%,4.8%,4245500,1381900 ( 48.3% ),493,127 ( 34.7% ),1149442914,143372,26
2016-03-19,46,0.8%,57,0.3%,8087,0.3%,12.1%,8075100,3829600 ( 90.2% ),979,486 ( 98.6% ),1157518014,144351,20
2016-03-20,41,0.8%,49,0.3%,7049,0.3%,9.1%,5413000,-2662100 ( -33.0% ),641,-338 ( -34.5% ),1162931014,144992,24
2016-03-21,38,0.8%,52,0.4%,8001,0.3%,3.0%,1887500,-3525500 ( -65.1% ),240,-401 ( -62.6% ),1164818514,145232,29
2016-03-22,39,0.8%,51,0.4%,7660,0.3%,3.8%,2289000,401500 ( 21.3% ),288,48 ( 20.0% ),1167107514,145520,28
2016-03-23,40,0.8%,49,0.3%,7663,0.3%,2.9%,1711000,-578000 ( -25.3% ),222,-66 ( -22.9% ),1168818514,145742,37
2016-03-24,5,0.1%,6,0%,818,0.0%,4.4%,272000,-1439000 ( -84.1% ),36,-186 ( -83.8% ),1169090514,145778,53
2016-03-25,5,0.1%,6,0%,825,0.0%,5.0%,331500,59500 ( 21.9% ),41,5 ( 13.9% ),1169422014,145819,59
2016-03-26,4,0.1%,4,0%,683,0.0%,6.0%,363000,31500 ( 9.5% ),41,0 ( 0.0% ),1169785014,145860,59
2016-03-27,4,0.1%,4,0%,683,0.0%,2.6%,153000,-210000 ( -57.9% ),18,-23 ( -56.1% ),1169938014,145878,73
2016-03-28,5,0.1%,6,0%,796,0.0%,4.4%,270000,117000 ( 76.5% ),35,17 ( 94.4% ),1170208014,145913,59
2016-03-29,4,0.1%,6,0%,760,0.0%,3.9%,229500,-40500 ( -15.0% ),30,-5 ( -14.3% ),1170437514,145943,60
2016-03-30,1,0.0%,1,0%,132,0.0%,6.8%,63000,-166500 ( -72.5% ),9,-21 ( -70.0% ),1170500514,145952,85
