날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2017-12-22,1,0.0%,1,0%,214,0.0%,100.0%,1926000,1926000 ( 100.0% ),214,214 ( 100.0% ),1926000,214,30
2017-12-26,2,0.0%,2,0%,302,0.0%,100.0%,2114000,2114000 ( 100.0% ),302,302 ( 100.0% ),4040000,516,26
2017-12-28,1,0.0%,1,0%,238,0.0%,100.0%,2142000,2142000 ( 100.0% ),238,238 ( 100.0% ),6182000,754,34
2017-12-29,1,0.0%,1,0%,238,0.0%,100.0%,2380000,238000 ( 11.1% ),238,0 ( 0.0% ),8562000,992,30
2018-01-03,2,0.0%,2,0%,469,0.0%,97.4%,3656000,3656000 ( 100.0% ),457,457 ( 100.0% ),12218000,1449,20
2018-01-04,3,0.1%,3,0%,675,0.0%,100.0%,6075000,2419000 ( 66.2% ),675,218 ( 47.7% ),18293000,2124,17
2018-01-09,1,0.0%,1,0%,285,0.0%,100.0%,2280000,2280000 ( 100.0% ),285,285 ( 100.0% ),20573000,2409,24
2018-01-11,5,0.1%,9,0.1%,1630,0.1%,99.3%,12912000,12912000 ( 100.0% ),1618,1618 ( 100.0% ),33485000,4027,14
2018-01-16,14,0.2%,14,0.1%,2315,0.1%,69.5%,11290500,11290500 ( 100.0% ),1608,1608 ( 100.0% ),44775500,5635,12
2018-01-17,4,0.1%,4,0%,1173,0.0%,100.0%,9948000,-1342500 ( -11.9% ),1173,-435 ( -27.1% ),54723500,6808,12
2018-01-18,11,0.2%,11,0.1%,1924,0.1%,99.3%,15121000,5173000 ( 52.0% ),1910,737 ( 62.8% ),69844500,8718,15
2018-01-22,1,0.0%,2,0%,428,0.0%,75.0%,2889000,2889000 ( 100.0% ),321,321 ( 100.0% ),72733500,9039,22
2018-01-24,440,7.7%,1531,8.7%,203601,7.2%,11.9%,181680800,181680800 ( 100.0% ),24259,24259 ( 100.0% ),254414300,33298,7
2018-01-25,461,7.3%,1465,8.2%,195843,6.9%,11.2%,164758500,-16922300 ( -9.3% ),21911,-2348 ( -9.7% ),419172800,55209,7
2018-01-26,474,7.3%,1417,7.9%,187163,6.5%,12.3%,192769600,28011100 ( 17.0% ),22959,1048 ( 4.8% ),611942400,78168,7
2018-01-27,511,7.3%,1267,6.7%,162952,5.4%,27.8%,379919500,187149900 ( 97.1% ),45379,22420 ( 97.7% ),991861900,123547,7
2018-01-28,512,7.3%,1219,6.6%,155563,5.3%,26.2%,341463600,-38455900 ( -10.1% ),40833,-4546 ( -10.0% ),1333325500,164380,7
2018-01-29,479,7.7%,1275,7.4%,167389,6.1%,9.6%,119574100,-221889500 ( -65.0% ),15994,-24839 ( -60.8% ),1452899600,180374,7
2018-01-30,482,7.5%,1262,7.3%,164160,5.9%,9.4%,113258300,-6315800 ( -5.3% ),15394,-600 ( -3.8% ),1566157900,195768,7
2018-01-31,168,2.8%,279,1.5%,32251,1.1%,13.4%,26619000,-86639300 ( -76.5% ),4322,-11072 ( -71.9% ),1592776900,200090,10
2018-02-01,143,2.3%,223,1.2%,25484,0.9%,9.7%,16914500,-9704500 ( -36.5% ),2478,-1844 ( -42.7% ),1609691400,202568,15
2018-02-02,141,2.2%,217,1.2%,24465,0.8%,9.3%,17372400,457900 ( 2.7% ),2269,-209 ( -8.4% ),1627063800,204837,14
2018-02-03,121,1.7%,172,0.9%,19126,0.6%,17.9%,26507600,9135200 ( 52.6% ),3417,1148 ( 50.6% ),1653571400,208254,14
2018-02-04,126,1.8%,176,0.9%,19685,0.6%,16.4%,25110700,-1396900 ( -5.3% ),3234,-183 ( -5.4% ),1678682100,211488,14
2018-02-05,141,2.3%,200,1.2%,24092,0.9%,8.3%,13614500,-11496200 ( -45.8% ),2001,-1233 ( -38.1% ),1692296600,213489,13
2018-02-06,139,2.2%,205,1.2%,24568,0.9%,6.7%,11601500,-2013000 ( -14.8% ),1648,-353 ( -17.6% ),1703898100,215137,15
2018-02-07,120,1.9%,183,1.1%,22311,0.8%,7.2%,11414300,-187200 ( -1.6% ),1614,-34 ( -2.1% ),1715312400,216751,15
2018-02-08,23,0.4%,30,0.2%,2852,0.1%,12.8%,2304600,-9109700 ( -79.8% ),365,-1249 ( -77.4% ),1717617000,217116,28
