날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2015-11-26,1,0.0%,1,0%,293,0.0%,12.3%,254000,254000 ( 100.0% ),36,36 ( 100.0% ),254000,36,63
2015-11-28,1,0.0%,1,0%,293,0.0%,38.9%,1125000,1125000 ( 100.0% ),114,114 ( 100.0% ),1379000,150,46
2015-12-02,1,0.0%,1,0%,293,0.0%,28.3%,703000,703000 ( 100.0% ),83,83 ( 100.0% ),2082000,233,52
2016-02-13,1,0.0%,1,0%,293,0.0%,32.4%,923000,923000 ( 100.0% ),95,95 ( 100.0% ),3005000,328,50
2016-02-17,1,0.0%,1,0%,293,0.0%,14.0%,362000,362000 ( 100.0% ),41,41 ( 100.0% ),3367000,369,53
2016-02-25,1,0.0%,1,0%,72,0.0%,27.8%,175000,175000 ( 100.0% ),20,20 ( 100.0% ),3542000,389,63
2016-02-27,1,0.0%,1,0%,413,0.0%,18.9%,471000,471000 ( 100.0% ),78,78 ( 100.0% ),4013000,467,43
2016-03-06,4,0.1%,4,0%,512,0.0%,18.0%,793000,793000 ( 100.0% ),92,92 ( 100.0% ),4806000,559,40
2016-03-13,6,0.1%,6,0%,919,0.0%,14.6%,996500,996500 ( 100.0% ),134,134 ( 100.0% ),5802500,693,37
2016-04-21,1,0.0%,1,0%,149,0.0%,100.0%,1043000,1043000 ( 100.0% ),149,149 ( 100.0% ),6845500,842,41
2016-04-26,3,0.1%,3,0%,353,0.0%,100.0%,3177000,3177000 ( 100.0% ),353,353 ( 100.0% ),10022500,1195,30
2016-05-02,3,0.1%,3,0%,394,0.0%,81.7%,2254000,2254000 ( 100.0% ),322,322 ( 100.0% ),12276500,1517,21
2016-05-04,3,0.1%,5,0%,418,0.0%,38.5%,1415000,1415000 ( 100.0% ),161,161 ( 100.0% ),13691500,1678,41
2016-05-05,43,0.8%,67,0.4%,8075,0.3%,27.9%,18307000,16892000 ( 1193.8% ),2251,2090 ( 1298.1% ),31998500,3929,12
2016-05-06,42,0.8%,70,0.4%,8399,0.3%,26.1%,17766100,-540900 ( -3.0% ),2195,-56 ( -2.5% ),49764600,6124,12
2016-05-07,42,0.8%,73,0.5%,8601,0.3%,23.2%,16591500,-1174600 ( -6.6% ),1998,-197 ( -9.0% ),66356100,8122,10
2016-05-08,39,0.8%,64,0.4%,7605,0.3%,20.7%,12894600,-3696900 ( -22.3% ),1574,-424 ( -21.2% ),79250700,9696,12
2016-05-09,39,0.9%,69,0.5%,8346,0.4%,11.9%,6932000,-5962600 ( -46.2% ),997,-577 ( -36.7% ),86182700,10693,15
2016-05-10,38,0.9%,71,0.5%,8525,0.4%,13.0%,7696000,764000 ( 11.0% ),1110,113 ( 11.3% ),93878700,11803,13
2016-05-11,45,0.9%,74,0.6%,8918,0.4%,12.0%,7554300,-141700 ( -1.8% ),1073,-37 ( -3.3% ),101433000,12876,10
2016-05-12,31,0.7%,47,0.3%,5902,0.3%,8.5%,3458200,-4096100 ( -54.2% ),503,-570 ( -53.1% ),104891200,13379,15
2016-05-13,32,0.7%,49,0.3%,6421,0.3%,11.4%,6228700,2770500 ( 80.1% ),735,232 ( 46.1% ),111119900,14114,12
2016-05-14,36,0.7%,54,0.4%,6999,0.3%,18.0%,10330600,4101900 ( 65.9% ),1258,523 ( 71.2% ),121450500,15372,13
2016-05-15,33,0.7%,52,0.4%,6764,0.3%,15.3%,8646600,-1684000 ( -16.3% ),1037,-221 ( -17.6% ),130097100,16409,14
2016-05-16,33,0.8%,49,0.4%,6647,0.3%,11.7%,5425000,-3221600 ( -37.3% ),775,-262 ( -25.3% ),135522100,17184,9
2016-05-17,31,0.7%,46,0.3%,6171,0.3%,10.0%,4669500,-755500 ( -13.9% ),618,-157 ( -20.3% ),140191600,17802,15
2016-05-18,36,0.8%,50,0.4%,6556,0.3%,10.9%,5132500,463000 ( 9.9% ),717,99 ( 16.0% ),145324100,18519,13
2016-05-19,20,0.4%,24,0.2%,3890,0.2%,12.5%,3922000,-1210500 ( -23.6% ),488,-229 ( -31.9% ),149246100,19007,17
2016-05-20,21,0.4%,29,0.2%,3536,0.1%,10.0%,2948500,-973500 ( -24.8% ),353,-135 ( -27.7% ),152194600,19360,20
2016-05-21,22,0.4%,28,0.2%,3676,0.1%,13.7%,4051000,1102500 ( 37.4% ),503,150 ( 42.5% ),156245600,19863,22
2016-05-22,22,0.4%,28,0.2%,3893,0.2%,13.6%,4253100,202100 ( 5.0% ),528,25 ( 5.0% ),160498700,20391,20
2016-05-23,17,0.4%,25,0.2%,3667,0.2%,6.6%,1859000,-2394100 ( -56.3% ),243,-285 ( -54.0% ),162357700,20634,24
2016-05-24,17,0.4%,24,0.2%,3524,0.2%,9.5%,2391500,532500 ( 28.6% ),335,92 ( 37.9% ),164749200,20969,26
2016-05-25,14,0.3%,18,0.1%,2941,0.1%,10.5%,2151000,-240500 ( -10.1% ),308,-27 ( -8.1% ),166900200,21277,25
2016-05-26,8,0.2%,10,0.1%,1454,0.1%,8.8%,1040000,-1111000 ( -51.7% ),128,-180 ( -58.4% ),167940200,21405,36
2016-05-27,7,0.1%,9,0.1%,1271,0.1%,13.5%,1427018,387018 ( 37.2% ),172,44 ( 34.4% ),169367218,21577,30
2016-05-28,6,0.1%,8,0.1%,1193,0.0%,18.5%,2061600,634582 ( 44.5% ),221,49 ( 28.5% ),171428818,21798,27
2016-05-29,9,0.2%,12,0.1%,1780,0.1%,16.7%,2801000,739400 ( 35.9% ),297,76 ( 34.4% ),174229818,22095,23
2016-05-30,5,0.1%,8,0.1%,1508,0.1%,7.9%,851000,-1950000 ( -69.6% ),119,-178 ( -59.9% ),175080818,22214,42
2016-05-31,9,0.2%,11,0.1%,1670,0.1%,8.0%,999000,148000 ( 17.4% ),133,14 ( 11.8% ),176079818,22347,36
2016-06-01,8,0.2%,9,0.1%,1017,0.0%,6.5%,445500,-553500 ( -55.4% ),66,-67 ( -50.4% ),176525318,22413,48
2016-06-02,5,0.1%,5,0%,632,0.0%,15.8%,681000,235500 ( 52.9% ),100,34 ( 51.5% ),177206318,22513,44
2016-06-03,6,0.1%,6,0%,683,0.0%,14.9%,660000,-21000 ( -3.1% ),102,2 ( 2.0% ),177866318,22615,35
2016-06-04,5,0.1%,5,0%,531,0.0%,30.7%,1070000,410000 ( 62.1% ),163,61 ( 59.8% ),178936318,22778,32
2016-06-05,5,0.1%,5,0%,585,0.0%,24.1%,1016000,-54000 ( -5.0% ),141,-22 ( -13.5% ),179952318,22919,32
2016-06-06,3,0.1%,3,0%,436,0.0%,35.3%,1197000,181000 ( 17.8% ),154,13 ( 9.2% ),181149318,23073,31
2016-06-07,4,0.1%,5,0%,652,0.0%,7.5%,344000,-853000 ( -71.3% ),49,-105 ( -68.2% ),181493318,23122,46
2016-06-08,6,0.1%,6,0%,690,0.0%,15.1%,771000,427000 ( 124.1% ),104,55 ( 112.2% ),182264318,23226,44
2016-06-09,3,0.1%,3,0%,462,0.0%,46.1%,1248000,477000 ( 61.9% ),213,109 ( 104.8% ),183512318,23439,31
2016-06-10,3,0.1%,3,0%,415,0.0%,8.9%,238000,-1010000 ( -80.9% ),37,-176 ( -82.6% ),183750318,23476,53
2016-06-11,2,0.0%,2,0%,364,0.0%,11.3%,257000,19000 ( 8.0% ),41,4 ( 10.8% ),184007318,23517,43
2016-06-12,3,0.1%,4,0%,674,0.0%,10.8%,405000,148000 ( 57.6% ),73,32 ( 78.0% ),184412318,23590,42
2016-06-13,1,0.0%,1,0%,152,0.0%,5.3%,62000,-343000 ( -84.7% ),8,-65 ( -89.0% ),184474318,23598,60
2016-06-15,3,0.1%,4,0%,560,0.0%,8.9%,269000,269000 ( 100.0% ),50,50 ( 100.0% ),184743318,23648,51
2016-06-17,2,0.0%,2,0%,310,0.0%,9.7%,168000,168000 ( 100.0% ),30,30 ( 100.0% ),184911318,23678,63
2016-06-18,2,0.0%,2,0%,250,0.0%,19.2%,251000,83000 ( 49.4% ),48,18 ( 60.0% ),185162318,23726,59
2016-06-19,1,0.0%,1,0%,152,0.0%,3.9%,48000,-203000 ( -80.9% ),6,-42 ( -87.5% ),185210318,23732,84
2016-06-21,1,0.0%,1,0%,152,0.0%,5.9%,68000,68000 ( 100.0% ),9,9 ( 100.0% ),185278318,23741,65
2016-06-22,2,0.0%,2,0%,250,0.0%,22.4%,295000,227000 ( 333.8% ),56,47 ( 522.2% ),185573318,23797,45
2016-06-23,1,0.0%,1,0%,212,0.0%,9.0%,111000,-184000 ( -62.4% ),19,-37 ( -66.1% ),185684318,23816,69
2016-06-24,2,0.0%,2,0%,364,0.0%,9.6%,232000,121000 ( 109.0% ),35,16 ( 84.2% ),185916318,23851,66
2016-06-26,2,0.0%,2,0%,364,0.0%,14.6%,362000,362000 ( 100.0% ),53,53 ( 100.0% ),186278318,23904,52
2016-06-28,1,0.0%,1,0%,152,0.0%,3.9%,46000,46000 ( 100.0% ),6,6 ( 100.0% ),186324318,23910,93
2016-06-30,1,0.0%,1,0%,152,0.0%,6.6%,78000,78000 ( 100.0% ),10,10 ( 100.0% ),186402318,23920,82
2016-07-01,1,0.0%,1,0%,152,0.0%,3.3%,30000,-48000 ( -61.5% ),5,-5 ( -50.0% ),186432318,23925,76
2016-07-02,1,0.0%,1,0%,152,0.0%,3.3%,39000,9000 ( 30.0% ),5,0 ( 0.0% ),186471318,23930,91
2016-07-05,1,0.0%,1,0%,152,0.0%,6.6%,76000,76000 ( 100.0% ),10,10 ( 100.0% ),186547318,23940,74
2017-10-19,1,0.0%,1,0%,850,0.0%,6.2%,299000,299000 ( 100.0% ),53,53 ( 100.0% ),186846318,23993,55
2018-02-14,1,0.0%,1,0%,77,0.0%,1.3%,6600,6600 ( 100.0% ),1,1 ( 100.0% ),186852918,23994,108
