날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-05-12,1,0.0%,2,0%,118,0.0%,84.7%,500000,500000 ( 100.0% ),100,100 ( 100.0% ),500000,100,39
2018-05-13,1,0.0%,2,0%,118,0.0%,84.7%,500000,0 ( 0.0% ),100,0 ( 0.0% ),1000000,200,37
2018-05-14,2,0.0%,2,0%,492,0.0%,53.3%,2390500,1890500 ( 378.1% ),262,162 ( 162.0% ),3390500,462,21
2018-05-15,7,0.2%,7,0%,1265,0.1%,100.0%,11385000,8994500 ( 376.3% ),1265,1003 ( 382.8% ),14775500,1727,7
2018-05-16,5,0.1%,5,0%,1000,0.0%,92.5%,8335000,-3050000 ( -26.8% ),925,-340 ( -26.9% ),23110500,2652,11
2018-05-17,113,2.2%,185,1.1%,23168,0.9%,3.8%,6799700,-1535300 ( -18.4% ),885,-40 ( -4.3% ),29910200,3537,14
2018-05-18,118,2.2%,194,1.1%,25025,0.9%,14.2%,17027600,10227900 ( 150.4% ),3563,2678 ( 302.6% ),46937800,7100,8
2018-05-19,119,2.0%,163,0.9%,19441,0.7%,4.1%,6472200,-10555400 ( -62.0% ),805,-2758 ( -77.4% ),53410000,7905,16
2018-05-20,102,1.7%,134,0.7%,17548,0.6%,3.8%,5420600,-1051600 ( -16.2% ),659,-146 ( -18.1% ),58830600,8564,16
2018-05-21,107,1.9%,142,0.8%,18594,0.7%,3.0%,4103200,-1317400 ( -24.3% ),550,-109 ( -16.5% ),62933800,9114,17
2018-05-22,60,1.0%,72,0.4%,10608,0.4%,3.0%,2451100,-1652100 ( -40.3% ),315,-235 ( -42.7% ),65384900,9429,23
2018-05-23,51,1.0%,62,0.4%,9301,0.3%,2.0%,1361200,-1089900 ( -44.5% ),184,-131 ( -41.6% ),66746100,9613,29
2018-05-24,19,0.4%,22,0.1%,3196,0.1%,1.7%,373500,-987700 ( -72.6% ),53,-131 ( -71.2% ),67119600,9666,57
2018-05-25,12,0.2%,14,0.1%,2381,0.1%,5.5%,1056800,683300 ( 182.9% ),132,79 ( 149.1% ),68176400,9798,36
2018-05-26,14,0.2%,15,0.1%,2280,0.1%,2.4%,472300,-584500 ( -55.3% ),54,-78 ( -59.1% ),68648700,9852,55
2018-05-27,11,0.2%,12,0.1%,2076,0.1%,6.2%,723000,250700 ( 53.1% ),128,74 ( 137.0% ),69371700,9980,32
2018-05-28,12,0.2%,16,0.1%,2766,0.1%,1.6%,349000,-374000 ( -51.7% ),43,-85 ( -66.4% ),69720700,10023,46
2018-05-29,15,0.3%,18,0.1%,2519,0.1%,1.5%,268300,-80700 ( -23.1% ),38,-5 ( -11.6% ),69989000,10061,57
2018-05-30,10,0.2%,11,0.1%,1878,0.1%,3.1%,391500,123200 ( 45.9% ),58,20 ( 52.6% ),70380500,10119,49
2018-05-31,2,0.0%,2,0%,186,0.0%,2.2%,31500,-360000 ( -92.0% ),4,-54 ( -93.1% ),70412000,10123,96
