날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-02-20,2,0.0%,2,0%,355,0.0%,96.1%,2387000,2387000 ( 100.0% ),341,341 ( 100.0% ),2387000,341,29
2018-02-21,162,2.9%,816,4.7%,116568,4.2%,18.0%,167851300,165464300 ( 6931.9% ),21009,20668 ( 6061.0% ),170238300,21350,4
2018-02-22,175,3.0%,819,4.7%,118059,4.3%,15.2%,143729100,-24122200 ( -14.4% ),17929,-3080 ( -14.7% ),313967400,39279,6
2018-02-23,189,3.2%,876,5%,127074,4.5%,15.7%,183212600,39483500 ( 27.5% ),20004,2075 ( 11.6% ),497180000,59283,6
2018-02-24,213,3.4%,973,5.3%,142414,4.9%,21.8%,283768400,100555800 ( 54.9% ),30982,10978 ( 54.9% ),780948400,90265,6
2018-02-25,212,3.4%,952,5.3%,139793,4.9%,18.8%,245189900,-38578500 ( -13.6% ),26327,-4655 ( -15.0% ),1026138300,116592,6
2018-02-26,198,3.5%,902,5.3%,138948,5.2%,9.8%,109711100,-135478800 ( -55.3% ),13680,-12647 ( -48.0% ),1135849400,130272,6
2018-02-27,200,3.4%,905,5.3%,140033,5.2%,9.4%,105010600,-4700500 ( -4.3% ),13136,-544 ( -4.0% ),1240860000,143408,6
2018-02-28,155,2.5%,369,2%,53310,1.8%,22.1%,73151300,-31859300 ( -30.3% ),11788,-1348 ( -10.3% ),1314011300,155196,10
2018-03-01,144,2.3%,355,1.9%,49446,1.6%,24.1%,109839500,36688200 ( 50.2% ),11922,134 ( 1.1% ),1423850800,167118,11
2018-03-02,146,2.5%,368,2%,51595,1.7%,13.8%,65029000,-44810500 ( -40.8% ),7113,-4809 ( -40.3% ),1488879800,174231,10
2018-03-03,144,2.3%,321,1.7%,43815,1.4%,22.4%,89380600,24351600 ( 37.4% ),9816,2703 ( 38.0% ),1578260400,184047,10
2018-03-04,140,2.3%,308,1.7%,41863,1.4%,17.1%,66206300,-23174300 ( -25.9% ),7158,-2658 ( -27.1% ),1644466700,191205,10
2018-03-05,131,2.5%,330,2%,45967,1.7%,8.0%,29322700,-36883600 ( -55.7% ),3695,-3463 ( -48.4% ),1673789400,194900,10
2018-03-06,140,2.6%,326,2%,46454,1.7%,6.7%,24741200,-4581500 ( -15.6% ),3133,-562 ( -15.2% ),1698530600,198033,12
2018-03-07,105,2.1%,256,1.5%,39847,1.4%,6.0%,19224500,-5516700 ( -22.3% ),2402,-731 ( -23.3% ),1717755100,200435,12
2018-03-08,64,1.2%,120,0.7%,17467,0.6%,8.2%,11501800,-7722700 ( -40.2% ),1434,-968 ( -40.3% ),1729256900,201869,14
2018-03-09,58,1.1%,123,0.7%,18282,0.6%,12.0%,20025400,8523600 ( 74.1% ),2194,760 ( 53.0% ),1749282300,204063,12
2018-03-10,56,0.9%,114,0.6%,15647,0.5%,19.6%,27947200,7921800 ( 39.6% ),3072,878 ( 40.0% ),1777229500,207135,15
2018-03-11,61,1.0%,115,0.6%,16385,0.5%,14.3%,21429200,-6518000 ( -23.3% ),2339,-733 ( -23.9% ),1798658700,209474,16
2018-03-12,60,1.2%,125,0.8%,19310,0.7%,5.6%,8520400,-12908800 ( -60.2% ),1076,-1263 ( -54.0% ),1807179100,210550,13
2018-03-13,62,1.2%,129,0.8%,19870,0.7%,5.6%,8931100,410700 ( 4.8% ),1106,30 ( 2.8% ),1816110200,211656,15
2018-03-14,26,0.5%,44,0.3%,6780,0.2%,6.7%,3678700,-5252400 ( -58.8% ),453,-653 ( -59.0% ),1819788900,212109,19
2018-03-15,23,0.4%,37,0.2%,6208,0.2%,5.3%,2702600,-976100 ( -26.5% ),332,-121 ( -26.7% ),1822491500,212441,26
2018-03-16,23,0.4%,42,0.2%,6951,0.2%,8.1%,5161400,2458800 ( 91.0% ),563,231 ( 69.6% ),1827652900,213004,18
2018-03-17,21,0.3%,43,0.2%,6249,0.2%,14.5%,8444500,3283100 ( 63.6% ),907,344 ( 61.1% ),1836097400,213911,21
2018-03-18,22,0.4%,39,0.2%,5459,0.2%,10.8%,5324000,-3120500 ( -37.0% ),590,-317 ( -35.0% ),1841421400,214501,23
2018-03-19,20,0.4%,36,0.2%,5595,0.2%,5.0%,2178400,-3145600 ( -59.1% ),277,-313 ( -53.1% ),1843599800,214778,21
2018-03-20,20,0.4%,36,0.2%,5076,0.2%,5.7%,2279400,101000 ( 4.6% ),289,12 ( 4.3% ),1845879200,215067,28
2018-03-21,9,0.2%,14,0.1%,2161,0.1%,5.1%,874300,-1405100 ( -61.6% ),110,-179 ( -61.9% ),1846753500,215177,39
2018-03-22,6,0.1%,10,0.1%,1308,0.0%,8.0%,818100,-56200 ( -6.4% ),104,-6 ( -5.5% ),1847571600,215281,43
2018-03-23,5,0.1%,8,0%,898,0.0%,11.6%,946400,128300 ( 15.7% ),104,0 ( 0.0% ),1848518000,215385,47
2018-03-24,6,0.1%,9,0%,1011,0.0%,11.3%,981100,34700 ( 3.7% ),114,10 ( 9.6% ),1849499100,215499,49
2018-03-25,4,0.1%,6,0%,613,0.0%,16.3%,894500,-86600 ( -8.8% ),100,-14 ( -12.3% ),1850393600,215599,49
2018-03-26,4,0.1%,6,0%,611,0.0%,8.0%,392800,-501700 ( -56.1% ),49,-51 ( -51.0% ),1850786400,215648,49
2018-03-27,5,0.1%,8,0%,826,0.0%,10.4%,722300,329500 ( 83.9% ),86,37 ( 75.5% ),1851508700,215734,47
2018-03-28,6,0.1%,6,0%,797,0.0%,18.8%,1003300,281000 ( 38.9% ),150,64 ( 74.4% ),1852512000,215884,33
2018-03-29,5,0.1%,7,0%,787,0.0%,18.3%,1023800,20500 ( 2.0% ),144,-6 ( -4.0% ),1853535800,216028,35
2018-03-30,5,0.1%,6,0%,842,0.0%,17.7%,1086600,62800 ( 6.1% ),149,5 ( 3.5% ),1854622400,216177,29
2018-03-31,4,0.1%,7,0%,540,0.0%,29.4%,1213300,126700 ( 11.7% ),159,10 ( 6.7% ),1855835700,216336,38
2018-04-01,4,0.1%,6,0%,782,0.0%,18.7%,1148900,-64400 ( -5.3% ),146,-13 ( -8.2% ),1856984600,216482,30
2018-04-02,5,0.1%,7,0%,1032,0.0%,14.1%,1026500,-122400 ( -10.7% ),145,-1 ( -0.7% ),1858011100,216627,30
2018-04-03,5,0.1%,7,0%,1032,0.0%,13.6%,1004000,-22500 ( -2.2% ),140,-5 ( -3.4% ),1859015100,216767,34
2018-04-04,5,0.1%,7,0%,1011,0.0%,13.5%,967300,-36700 ( -3.7% ),136,-4 ( -2.9% ),1859982400,216903,31
2018-04-05,5,0.1%,6,0%,976,0.0%,13.5%,926000,-41300 ( -4.3% ),132,-4 ( -2.9% ),1860908400,217035,39
2018-04-06,5,0.1%,5,0%,941,0.0%,13.7%,923000,-3000 ( -0.3% ),129,-3 ( -2.3% ),1861831400,217164,30
2018-04-07,4,0.1%,4,0%,691,0.0%,15.8%,800500,-122500 ( -13.3% ),109,-20 ( -15.5% ),1862631900,217273,47
2018-04-08,4,0.1%,4,0%,691,0.0%,14.8%,733300,-67200 ( -8.4% ),102,-7 ( -6.4% ),1863365200,217375,42
2018-04-09,4,0.1%,4,0%,691,0.0%,14.9%,743000,9700 ( 1.3% ),103,1 ( 1.0% ),1864108200,217478,36
2018-04-10,4,0.1%,4,0%,691,0.0%,14.6%,718300,-24700 ( -3.3% ),101,-2 ( -1.9% ),1864826500,217579,40
2018-04-11,3,0.1%,3,0%,921,0.0%,9.8%,630000,-88300 ( -12.3% ),90,-11 ( -10.9% ),1865456500,217669,41
2018-04-16,2,0.0%,2,0%,264,0.0%,43.9%,928000,928000 ( 100.0% ),116,116 ( 100.0% ),1866384500,217785,34
