날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2016-09-25,1,0.0%,1,0%,168,0.0%,7.1%,55000,55000 ( 100.0% ),12,12 ( 100.0% ),55000,12,116
2016-09-27,1,0.0%,1,0%,154,0.0%,5.8%,35000,35000 ( 100.0% ),9,9 ( 100.0% ),90000,21,101
2016-10-22,1,0.0%,1,0%,138,0.0%,11.6%,16000,16000 ( 100.0% ),16,16 ( 100.0% ),106000,37,97
2016-10-23,1,0.0%,1,0%,138,0.0%,9.4%,13000,-3000 ( -18.8% ),13,-3 ( -18.8% ),119000,50,103
2016-11-19,1,0.0%,1,0%,55,0.0%,9.1%,25000,25000 ( 100.0% ),5,5 ( 100.0% ),144000,55,133
2016-12-12,1,0.0%,1,0%,147,0.0%,100.0%,1176000,1176000 ( 100.0% ),147,147 ( 100.0% ),1320000,202,33
2016-12-21,1,0.0%,2,0%,294,0.0%,74.8%,1760000,1760000 ( 100.0% ),220,220 ( 100.0% ),3080000,422,33
2017-01-03,10,0.2%,10,0.1%,2214,0.1%,92.6%,16408000,16408000 ( 100.0% ),2051,2051 ( 100.0% ),19488000,2473,10
2017-01-09,1,0.0%,1,0%,210,0.0%,100.0%,1260000,1260000 ( 100.0% ),210,210 ( 100.0% ),20748000,2683,22
2017-01-12,105,1.8%,154,0.9%,18475,0.7%,7.7%,11278700,11278700 ( 100.0% ),1424,1424 ( 100.0% ),32026700,4107,16
2017-01-13,101,1.7%,158,0.9%,18079,0.6%,7.3%,10910200,-368500 ( -3.3% ),1324,-100 ( -7.0% ),42936900,5431,17
2017-01-14,99,1.6%,147,0.8%,17218,0.6%,12.0%,17241600,6331400 ( 58.0% ),2072,748 ( 56.5% ),60178500,7503,17
2017-01-15,102,1.7%,149,0.8%,17442,0.6%,11.1%,16031600,-1210000 ( -7.0% ),1936,-136 ( -6.6% ),76210100,9439,17
2017-01-16,101,1.8%,150,0.9%,17503,0.6%,6.6%,8199200,-7832400 ( -48.9% ),1147,-789 ( -40.8% ),84409300,10586,18
2017-01-17,96,1.6%,154,0.9%,18254,0.7%,4.8%,6383000,-1816200 ( -22.2% ),883,-264 ( -23.0% ),90792300,11469,23
2017-01-18,64,1.2%,92,0.5%,10343,0.4%,6.0%,4565700,-1817300 ( -28.5% ),621,-262 ( -29.7% ),95358000,12090,18
2017-01-19,57,1.0%,67,0.4%,7801,0.3%,5.1%,2964000,-1601700 ( -35.1% ),396,-225 ( -36.2% ),98322000,12486,22
2017-01-20,61,1.1%,72,0.4%,8088,0.3%,5.7%,3416500,452500 ( 15.3% ),457,61 ( 15.4% ),101738500,12943,17
2017-01-21,61,1.0%,68,0.4%,7982,0.3%,9.1%,5678600,2262100 ( 66.2% ),723,266 ( 58.2% ),107417100,13666,16
2017-01-22,57,1.0%,64,0.4%,6864,0.2%,8.4%,4859500,-819100 ( -14.4% ),576,-147 ( -20.3% ),112276600,14242,17
