날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-12-17,1,0.0%,1,0%,214,0.0%,100.0%,1926000,1926000 ( 100.0% ),214,214 ( 100.0% ),1926000,214,41
2018-12-19,10,0.2%,11,0.1%,2543,0.1%,98.7%,22583000,22583000 ( 100.0% ),2511,2511 ( 100.0% ),24509000,2725,13
2018-12-20,14,0.2%,15,0.1%,4487,0.2%,92.6%,35454000,12871000 ( 57.0% ),4153,1642 ( 65.4% ),59963000,6878,12
2018-12-21,66,1.0%,67,0.4%,12970,0.5%,98.2%,93694500,58240500 ( 164.3% ),12731,8578 ( 206.5% ),153657500,19609,6
2018-12-22,5,0.1%,5,0%,1315,0.0%,100.0%,13755000,-79939500 ( -85.3% ),1315,-11416 ( -89.7% ),167412500,20924,15
2018-12-23,5,0.1%,5,0%,1112,0.0%,100.0%,11526000,-2229000 ( -16.2% ),1112,-203 ( -15.4% ),178938500,22036,15
2018-12-24,2,0.0%,2,0%,275,0.0%,52.7%,870000,-10656000 ( -92.5% ),145,-967 ( -87.0% ),179808500,22181,36
2018-12-26,1047,15.9%,4601,24.9%,825367,28.4%,26.6%,1365529550,1365529550 ( 100.0% ),219234,219234 ( 100.0% ),1545338050,241415,1
2018-12-27,1027,15.3%,4550,24.6%,810842,27.9%,16.1%,1053583900,-311945650 ( -22.8% ),130647,-88587 ( -40.4% ),2598921950,372062,1
2018-12-28,1081,15.6%,4647,24.6%,825178,27.8%,18.7%,1374889063,321305163 ( 30.5% ),154163,23516 ( 18.0% ),3973811013,526225,1
2018-12-29,1027,14.0%,4399,22.4%,775939,25.2%,32.4%,2264747904,889858841 ( 64.7% ),251466,97303 ( 63.1% ),6238558917,777691,2
2018-12-30,995,13.8%,4226,21.8%,748154,24.7%,31.6%,2127143000,-137604904 ( -6.1% ),236214,-15252 ( -6.1% ),8365701917,1013905,2
2018-12-31,957,13.8%,4161,21.5%,724349,24.0%,22.8%,1338545450,-788597550 ( -37.1% ),165126,-71088 ( -30.1% ),9704247367,1179031,2
2019-01-01,893,12.5%,3530,18.1%,602120,20.0%,32.5%,1763943100,425397650 ( 31.8% ),195859,30733 ( 18.6% ),11468190467,1374890,2
2019-01-02,819,12.1%,3311,18%,567358,19.8%,8.7%,397485250,-1366457850 ( -77.5% ),49300,-146559 ( -74.8% ),11865675717,1424190,2
2019-01-03,747,10.7%,2681,14.5%,448584,15.6%,7.9%,287866850,-109618400 ( -27.6% ),35509,-13791 ( -28.0% ),12153542567,1459699,3
2019-01-04,732,10.4%,2582,13.8%,426911,14.6%,8.4%,320063717,32196867 ( 11.2% ),36003,494 ( 1.4% ),12473606284,1495702,4
2019-01-05,741,9.6%,2250,11.6%,347065,11.5%,17.7%,556856110,236792393 ( 74.0% ),61436,25433 ( 70.6% ),13030462394,1557138,4
2019-01-06,715,9.2%,2073,10.9%,320461,10.8%,15.8%,457782500,-99073610 ( -17.8% ),50537,-10899 ( -17.7% ),13488244894,1607675,4
2019-01-07,670,9.9%,2002,11.4%,302166,10.9%,6.2%,152471050,-305311450 ( -66.7% ),18774,-31763 ( -62.9% ),13640715944,1626449,4
2019-01-08,665,9.6%,1974,11.2%,297543,10.7%,5.8%,141543750,-10927300 ( -7.2% ),17250,-1524 ( -8.1% ),13782259694,1643699,4
2019-01-09,341,5.6%,599,3.4%,73954,2.7%,6.3%,39788750,-101755000 ( -71.9% ),4688,-12562 ( -72.8% ),13822048444,1648387,9
2019-01-10,278,4.1%,426,2.3%,53427,1.9%,6.1%,28222250,-11566500 ( -29.1% ),3285,-1403 ( -29.9% ),13850270694,1651672,10
2019-01-11,268,3.9%,399,2.1%,48847,1.7%,7.4%,33563400,5341150 ( 18.9% ),3601,316 ( 9.6% ),13883834094,1655273,9
2019-01-12,218,3.1%,314,1.6%,36435,1.2%,14.0%,47167230,13603830 ( 40.5% ),5093,1492 ( 41.4% ),13931001324,1660366,9
2019-01-13,204,2.9%,277,1.4%,33039,1.1%,14.6%,45451550,-1715680 ( -3.6% ),4834,-259 ( -5.1% ),13976452874,1665200,9
2019-01-14,191,3.0%,268,1.5%,33207,1.2%,4.8%,13336450,-32115100 ( -70.7% ),1586,-3248 ( -67.2% ),13989789324,1666786,11
2019-01-15,205,3.1%,277,1.6%,34539,1.2%,4.5%,13365950,29500 ( 0.2% ),1565,-21 ( -1.3% ),14003155274,1668351,12
2019-01-16,17,0.2%,22,0.1%,2811,0.1%,13.2%,3195650,-10170300 ( -76.1% ),371,-1194 ( -76.3% ),14006350924,1668722,26
2019-01-17,5,0.1%,5,0%,742,0.0%,13.3%,917000,-2278650 ( -71.3% ),99,-272 ( -73.3% ),14007267924,1668821,47
2019-01-18,6,0.1%,6,0%,832,0.0%,13.8%,1093000,176000 ( 19.2% ),115,16 ( 16.2% ),14008360924,1668936,45
2019-01-19,9,0.1%,9,0%,1364,0.0%,14.1%,1812500,719500 ( 65.8% ),192,77 ( 67.0% ),14010173424,1669128,37
2019-01-20,10,0.1%,10,0.1%,1310,0.0%,13.1%,1546500,-266000 ( -14.7% ),171,-21 ( -10.9% ),14011719924,1669299,32
2019-01-21,2,0.0%,2,0%,306,0.0%,3.9%,75000,-1471500 ( -95.2% ),12,-159 ( -93.0% ),14011794924,1669311,65
2019-01-22,3,0.0%,3,0%,422,0.0%,8.5%,303000,228000 ( 304.0% ),36,24 ( 200.0% ),14012097924,1669347,63
2019-01-23,20,0.3%,20,0.1%,2532,0.1%,15.8%,2000000,1697000 ( 560.1% ),400,364 ( 1011.1% ),14014097924,1669747,25
2019-01-24,6,0.1%,6,0%,679,0.0%,16.1%,590000,-1410000 ( -70.5% ),109,-291 ( -72.8% ),14014687924,1669856,42
2019-01-25,5,0.1%,5,0%,564,0.0%,17.7%,500000,-90000 ( -15.3% ),100,-9 ( -8.3% ),14015187924,1669956,43
2019-01-26,5,0.1%,5,0%,594,0.0%,16.8%,500000,0 ( 0.0% ),100,0 ( 0.0% ),14015687924,1670056,42
2019-01-27,5,0.1%,5,0%,594,0.0%,16.8%,500000,0 ( 0.0% ),100,0 ( 0.0% ),14016187924,1670156,45
2019-01-28,6,0.1%,6,0%,745,0.0%,13.6%,505000,5000 ( 1.0% ),101,1 ( 1.0% ),14016692924,1670257,42
2019-01-29,6,0.1%,6,0%,745,0.0%,13.6%,505000,0 ( 0.0% ),101,0 ( 0.0% ),14017197924,1670358,53
2019-01-30,6,0.1%,6,0%,727,0.0%,13.9%,505000,0 ( 0.0% ),101,0 ( 0.0% ),14017702924,1670459,41
2019-01-31,5,0.1%,5,0%,654,0.0%,15.3%,500000,-5000 ( -1.0% ),100,-1 ( -1.0% ),14018202924,1670559,40
2019-02-01,4,0.1%,4,0%,511,0.0%,15.7%,400000,-100000 ( -20.0% ),80,-20 ( -20.0% ),14018602924,1670639,32
2019-02-02,5,0.1%,5,0%,629,0.0%,19.1%,600000,200000 ( 50.0% ),120,40 ( 50.0% ),14019202924,1670759,33
2019-02-03,5,0.1%,5,0%,772,0.0%,13.0%,500000,-100000 ( -16.7% ),100,-20 ( -16.7% ),14019702924,1670859,32
2019-02-04,5,0.1%,5,0%,772,0.0%,13.0%,500000,0 ( 0.0% ),100,0 ( 0.0% ),14020202924,1670959,32
2019-02-05,5,0.1%,5,0%,583,0.0%,17.2%,500000,0 ( 0.0% ),100,0 ( 0.0% ),14020702924,1671059,32
2019-02-08,1,0.0%,1,0%,104,0.0%,1.0%,5000,5000 ( 100.0% ),1,1 ( 100.0% ),14020707924,1671060,81
2019-02-12,1,0.0%,1,0%,97,0.0%,1.0%,5000,5000 ( 100.0% ),1,1 ( 100.0% ),14020712924,1671061,79
2019-02-13,1,0.0%,1,0%,306,0.0%,100.0%,2601000,2596000 ( 51920.0% ),306,305 ( 30500.0% ),14023313924,1671367,28
2019-02-14,2,0.0%,2,0%,403,0.0%,44.2%,1509500,-1091500 ( -42.0% ),178,-128 ( -41.8% ),14024823424,1671545,37
2019-02-22,1,0.0%,1,0%,117,0.0%,0.9%,5000,5000 ( 100.0% ),1,1 ( 100.0% ),14024828424,1671546,84
2019-02-25,1,0.0%,1,0%,117,0.0%,0.9%,5000,5000 ( 100.0% ),1,1 ( 100.0% ),14024833424,1671547,89
2019-02-28,1,0.0%,1,0%,97,0.0%,1.0%,5000,5000 ( 100.0% ),1,1 ( 100.0% ),14024838424,1671548,94
