날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2016-10-24,1,0.0%,1,0%,156,0.0%,0.0%,0,0 ( 0.0% ),0,0 ( 0.0% ),0,0,119
2016-10-26,1,0.0%,1,0%,126,0.0%,100.0%,1008000,1008000 ( 100.0% ),126,126 ( 100.0% ),1008000,126,46
2016-11-01,6,0.1%,6,0%,1244,0.0%,95.2%,8924000,8924000 ( 100.0% ),1184,1184 ( 100.0% ),9932000,1310,13
2016-11-02,1,0.0%,1,0%,236,0.0%,100.0%,1888000,-7036000 ( -78.8% ),236,-948 ( -80.1% ),11820000,1546,29
2016-11-03,1,0.0%,2,0%,80,0.0%,100.0%,560000,-1328000 ( -70.3% ),80,-156 ( -66.1% ),12380000,1626,51
2016-11-04,1,0.0%,1,0%,116,0.0%,69.0%,560000,0 ( 0.0% ),80,0 ( 0.0% ),12940000,1706,50
2016-11-05,6,0.1%,6,0%,791,0.0%,91.2%,5774000,5214000 ( 931.1% ),721,641 ( 801.3% ),18714000,2427,18
2016-11-07,3,0.1%,3,0%,409,0.0%,58.7%,1680000,1680000 ( 100.0% ),240,240 ( 100.0% ),20394000,2667,26
2016-11-08,4,0.1%,4,0%,698,0.0%,52.0%,2541000,861000 ( 51.3% ),363,123 ( 51.3% ),22935000,3030,22
2016-11-09,8,0.2%,8,0.1%,1083,0.0%,55.7%,4198000,1657000 ( 65.2% ),603,240 ( 66.1% ),27133000,3633,19
2016-11-10,203,4.3%,243,1.6%,34202,1.3%,10.2%,23011000,18813000 ( 448.1% ),3503,2900 ( 480.9% ),50144000,7136,7
2016-11-11,258,5.4%,296,1.8%,41343,1.5%,8.2%,23814600,803600 ( 3.5% ),3403,-100 ( -2.9% ),73958600,10539,8
2016-11-12,390,7.3%,729,4.1%,97922,3.4%,22.8%,172883900,149069300 ( 626.0% ),22366,18963 ( 557.2% ),246842500,32905,5
2016-11-13,400,7.6%,736,4.3%,98119,3.5%,24.5%,190387600,17503700 ( 10.1% ),24044,1678 ( 7.5% ),437230100,56949,5
2016-11-14,202,4.4%,239,1.6%,33756,1.3%,3.8%,8996900,-181390700 ( -95.3% ),1289,-22755 ( -94.6% ),446227000,58238,11
2016-11-15,222,4.5%,265,1.7%,36884,1.5%,7.5%,19260700,10263800 ( 114.1% ),2759,1470 ( 114.0% ),465487700,60997,7
2016-11-16,111,2.3%,119,0.8%,14792,0.6%,15.1%,14564300,-4696400 ( -24.4% ),2239,-520 ( -18.8% ),480052000,63236,11
2016-11-17,99,1.9%,106,0.7%,13206,0.5%,10.4%,8647700,-5916600 ( -40.6% ),1378,-861 ( -38.5% ),488699700,64614,13
2016-11-18,99,1.9%,106,0.7%,13023,0.5%,11.4%,9495500,847800 ( 9.8% ),1484,106 ( 7.7% ),498195200,66098,11
2016-11-19,254,4.7%,334,2%,41639,1.5%,30.5%,97931400,88435900 ( 931.3% ),12693,11209 ( 755.3% ),596126600,78791,7
2016-11-20,259,4.8%,346,2.1%,43268,1.6%,30.5%,102849400,4918000 ( 5.0% ),13177,484 ( 3.8% ),698976000,91968,7
2016-11-21,79,1.7%,88,0.6%,11083,0.5%,6.8%,4715000,-98134400 ( -95.4% ),749,-12428 ( -94.3% ),703691000,92717,14
2016-11-22,82,1.7%,91,0.6%,12001,0.5%,9.4%,6272000,1557000 ( 33.0% ),1131,382 ( 51.0% ),709963000,93848,11
2016-11-23,79,1.5%,86,0.6%,11306,0.5%,6.0%,4322000,-1950000 ( -31.1% ),680,-451 ( -39.9% ),714285000,94528,18
2016-11-24,51,1.0%,52,0.3%,5909,0.2%,12.7%,4233500,-88500 ( -2.0% ),748,68 ( 10.0% ),718518500,95276,23
2016-11-25,59,1.2%,61,0.4%,7854,0.3%,20.2%,9519000,5285500 ( 124.8% ),1587,839 ( 112.2% ),728037500,96863,13
2016-11-26,154,2.9%,190,1.1%,23076,0.8%,24.1%,42886300,33367300 ( 350.5% ),5567,3980 ( 250.8% ),770923800,102430,8
2016-11-27,147,2.8%,187,1.1%,22239,0.8%,28.0%,48987200,6100900 ( 14.2% ),6226,659 ( 11.8% ),819911000,108656,8
2016-11-28,40,0.8%,43,0.3%,5121,0.2%,9.1%,2885200,-46102000 ( -94.1% ),464,-5762 ( -92.5% ),822796200,109120,23
2016-11-29,50,1.0%,56,0.4%,6519,0.3%,11.1%,3919700,1034500 ( 35.9% ),724,260 ( 56.0% ),826715900,109844,20
2016-11-30,26,0.5%,34,0.2%,3650,0.1%,23.4%,4675500,755800 ( 19.3% ),855,131 ( 18.1% ),831391400,110699,19
2016-12-01,21,0.4%,25,0.2%,3274,0.1%,15.7%,2705500,-1970000 ( -42.1% ),515,-340 ( -39.8% ),834096900,111214,21
2016-12-02,13,0.3%,17,0.1%,1815,0.1%,15.4%,1920500,-785000 ( -29.0% ),280,-235 ( -45.6% ),836017400,111494,37
2016-12-03,44,0.8%,64,0.4%,7439,0.3%,22.2%,12193900,10273400 ( 534.9% ),1649,1369 ( 488.9% ),848211300,113143,11
2016-12-04,45,0.9%,64,0.4%,7363,0.3%,28.2%,15531400,3337500 ( 27.4% ),2079,430 ( 26.1% ),863742700,115222,11
2016-12-05,15,0.3%,17,0.1%,2350,0.1%,7.8%,1151000,-14380400 ( -92.6% ),183,-1896 ( -91.2% ),864893700,115405,35
2016-12-06,17,0.4%,21,0.1%,2682,0.1%,13.2%,1897000,746000 ( 64.8% ),354,171 ( 93.4% ),866790700,115759,24
2016-12-07,10,0.2%,11,0.1%,943,0.0%,29.9%,1410000,-487000 ( -25.7% ),282,-72 ( -20.3% ),868200700,116041,21
2016-12-08,4,0.1%,6,0%,716,0.0%,8.8%,311000,-1099000 ( -77.9% ),63,-219 ( -77.7% ),868511700,116104,56
2016-12-09,3,0.1%,4,0%,668,0.0%,30.5%,1000000,689000 ( 221.5% ),204,141 ( 223.8% ),869511700,116308,30
2016-12-10,7,0.1%,11,0.1%,1654,0.1%,6.7%,618000,-382000 ( -38.2% ),111,-93 ( -45.6% ),870129700,116419,44
2016-12-11,4,0.1%,8,0%,1322,0.0%,6.2%,370000,-248000 ( -40.1% ),82,-29 ( -26.1% ),870499700,116501,45
2016-12-12,1,0.0%,1,0%,32,0.0%,6.3%,10000,-360000 ( -97.3% ),2,-80 ( -97.6% ),870509700,116503,87
2016-12-13,5,0.1%,6,0%,1090,0.0%,43.6%,2223000,2213000 ( 22130.0% ),475,473 ( 23650.0% ),872732700,116978,17
2016-12-14,1,0.0%,1,0%,179,0.0%,11.2%,58000,-2165000 ( -97.4% ),20,-455 ( -95.8% ),872790700,116998,78
2016-12-15,1,0.0%,2,0%,358,0.0%,1.4%,15000,-43000 ( -74.1% ),5,-15 ( -75.0% ),872805700,117003,90
2016-12-16,2,0.0%,4,0%,569,0.0%,3.7%,115000,100000 ( 666.7% ),21,16 ( 320.0% ),872920700,117024,64
2016-12-17,3,0.1%,7,0%,1129,0.0%,17.7%,1105000,990000 ( 860.9% ),200,179 ( 852.4% ),874025700,117224,31
2016-12-18,1,0.0%,2,0%,358,0.0%,6.7%,72000,-1033000 ( -93.5% ),24,-176 ( -88.0% ),874097700,117248,60
2016-12-19,1,0.0%,1,0%,103,0.0%,0.0%,0,-72000 ( -100.0% ),0,-24 ( -100.0% ),874097700,117248,100
2016-12-20,2,0.0%,2,0%,282,0.0%,0.7%,6000,6000 ( 100.0% ),2,2 ( 100.0% ),874103700,117250,100
2016-12-21,1,0.0%,2,0%,358,0.0%,39.4%,282000,276000 ( 4600.0% ),141,139 ( 6950.0% ),874385700,117391,44
2016-12-22,1,0.0%,1,0%,179,0.0%,1.1%,6000,-276000 ( -97.9% ),2,-139 ( -98.6% ),874391700,117393,86
2016-12-23,1,0.0%,1,0%,179,0.0%,2.2%,12000,6000 ( 100.0% ),4,2 ( 100.0% ),874403700,117397,81
2016-12-24,1,0.0%,4,0%,716,0.0%,3.8%,80000,68000 ( 566.7% ),27,23 ( 575.0% ),874483700,117424,67
2016-12-27,1,0.0%,2,0%,358,0.0%,2.2%,24000,24000 ( 100.0% ),8,8 ( 100.0% ),874507700,117432,70
2016-12-28,1,0.0%,3,0%,537,0.0%,1.5%,22000,-2000 ( -8.3% ),8,0 ( 0.0% ),874529700,117440,72
2016-12-29,1,0.0%,3,0%,537,0.0%,3.9%,63000,41000 ( 186.4% ),21,13 ( 162.5% ),874592700,117461,66
2016-12-30,1,0.0%,2,0%,358,0.0%,2.5%,27000,-36000 ( -57.1% ),9,-12 ( -57.1% ),874619700,117470,81
2016-12-31,2,0.0%,3,0%,488,0.0%,3.7%,66000,39000 ( 144.4% ),18,9 ( 100.0% ),874685700,117488,62
2017-01-07,1,0.0%,1,0%,150,0.0%,4.0%,36000,36000 ( 100.0% ),6,6 ( 100.0% ),874721700,117494,72
2017-01-15,1,0.0%,1,0%,141,0.0%,4.3%,30000,30000 ( 100.0% ),6,6 ( 100.0% ),874751700,117500,63
2017-02-02,1,0.0%,1,0%,120,0.0%,75.8%,455000,455000 ( 100.0% ),91,91 ( 100.0% ),875206700,117591,54
