날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2017-03-15,2,0.0%,2,0%,492,0.0%,100.0%,3936000,3936000 ( 100.0% ),492,492 ( 100.0% ),3936000,492,26
2017-03-21,3,0.1%,3,0%,327,0.0%,85.3%,1935000,1935000 ( 100.0% ),279,279 ( 100.0% ),5871000,771,29
2017-03-23,62,1.3%,64,0.4%,7064,0.3%,11.0%,4306500,4306500 ( 100.0% ),779,779 ( 100.0% ),10177500,1550,15
2017-03-24,48,1.0%,52,0.3%,5277,0.2%,13.3%,3950500,-356000 ( -8.3% ),704,-75 ( -9.6% ),14128000,2254,16
2017-03-25,170,3.1%,202,1.2%,22858,0.8%,17.1%,28621600,24671100 ( 624.5% ),3899,3195 ( 453.8% ),42749600,6153,11
2017-03-26,171,3.1%,197,1.2%,22612,0.8%,17.8%,30011900,1390300 ( 4.9% ),4023,124 ( 3.2% ),72761500,10176,10
2017-03-27,43,0.9%,44,0.3%,4419,0.2%,3.0%,886000,-29125900 ( -97.0% ),131,-3892 ( -96.7% ),73647500,10307,40
2017-03-28,37,0.7%,39,0.3%,4239,0.2%,9.7%,2404500,1518500 ( 171.4% ),412,281 ( 214.5% ),76052000,10719,21
2017-03-29,24,0.5%,24,0.1%,2513,0.1%,7.8%,983000,-1421500 ( -59.1% ),196,-216 ( -52.4% ),77035000,10915,39
2017-03-30,12,0.2%,12,0.1%,1082,0.0%,22.2%,1294500,311500 ( 31.7% ),240,44 ( 22.4% ),78329500,11155,33
2017-03-31,14,0.3%,14,0.1%,1355,0.0%,11.7%,895000,-399500 ( -30.9% ),158,-82 ( -34.2% ),79224500,11313,37
2017-04-01,57,1.0%,64,0.4%,6840,0.2%,18.1%,8833300,7938300 ( 887.0% ),1240,1082 ( 684.8% ),88057800,12553,17
2017-04-02,60,1.1%,66,0.4%,7080,0.3%,20.1%,10258900,1425600 ( 16.1% ),1424,184 ( 14.8% ),98316700,13977,16
2017-04-03,10,0.2%,10,0.1%,754,0.0%,7.7%,340000,-9918900 ( -96.7% ),58,-1366 ( -95.9% ),98656700,14035,48
2017-04-04,10,0.2%,11,0.1%,940,0.0%,3.4%,204000,-136000 ( -40.0% ),32,-26 ( -44.8% ),98860700,14067,58
2017-04-05,4,0.1%,4,0%,180,0.0%,10.0%,90000,-114000 ( -55.9% ),18,-14 ( -43.8% ),98950700,14085,61
2017-04-06,2,0.0%,2,0%,192,0.0%,32.3%,326000,236000 ( 262.2% ),62,44 ( 244.4% ),99276700,14147,55
2017-04-08,3,0.0%,3,0%,199,0.0%,3.0%,30000,30000 ( 100.0% ),6,6 ( 100.0% ),99306700,14153,97
2017-04-09,3,0.0%,3,0%,199,0.0%,8.0%,80000,50000 ( 166.7% ),16,10 ( 166.7% ),99386700,14169,74
2017-04-10,1,0.0%,1,0%,101,0.0%,1.0%,5000,-75000 ( -93.8% ),1,-15 ( -93.8% ),99391700,14170,94
2017-04-14,1,0.0%,1,0%,62,0.0%,37.1%,92000,92000 ( 100.0% ),23,23 ( 100.0% ),99483700,14193,67
2017-04-19,1,0.0%,1,0%,50,0.0%,86.0%,258000,258000 ( 100.0% ),43,43 ( 100.0% ),99741700,14236,65
