날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-05-19,1,0.0%,1,0%,118,0.0%,74.6%,806000,806000 ( 100.0% ),88,88 ( 100.0% ),806000,88,39
2018-05-23,1,0.0%,1,0%,118,0.0%,74.6%,762000,762000 ( 100.0% ),88,88 ( 100.0% ),1568000,176,40
2018-05-27,6,0.1%,6,0%,685,0.0%,38.5%,2356800,2356800 ( 100.0% ),264,264 ( 100.0% ),3924800,440,27
2018-06-06,6,0.1%,6,0%,685,0.0%,52.6%,3070600,3070600 ( 100.0% ),360,360 ( 100.0% ),6995400,800,25
2018-06-14,2,0.0%,2,0%,465,0.0%,90.8%,2548000,2548000 ( 100.0% ),422,422 ( 100.0% ),9543400,1222,16
2018-06-16,3,0.1%,3,0%,306,0.0%,62.4%,1838600,1838600 ( 100.0% ),191,191 ( 100.0% ),11382000,1413,27
2018-06-17,2,0.0%,2,0%,211,0.0%,64.0%,1294500,-544100 ( -29.6% ),135,-56 ( -29.3% ),12676500,1548,27
2018-06-18,1,0.0%,1,0%,293,0.0%,85.3%,1000000,-294500 ( -22.8% ),250,115 ( 85.2% ),13676500,1798,22
2018-06-19,4,0.1%,4,0%,524,0.0%,57.3%,2144500,1144500 ( 114.5% ),300,50 ( 20.0% ),15821000,2098,21
2018-06-21,121,2.2%,236,1.4%,34266,1.3%,7.1%,19980700,19980700 ( 100.0% ),2427,2427 ( 100.0% ),35801700,4525,11
2018-06-22,116,2.1%,222,1.3%,32003,1.1%,6.7%,20063100,82400 ( 0.4% ),2156,-271 ( -11.2% ),55864800,6681,13
2018-06-23,111,1.8%,203,1.1%,29743,1.0%,14.1%,38460100,18397000 ( 91.7% ),4187,2031 ( 94.2% ),94324900,10868,11
2018-06-24,116,1.9%,198,1.1%,29266,1.0%,13.1%,35447800,-3012300 ( -7.8% ),3846,-341 ( -8.1% ),129772700,14714,11
2018-06-25,104,2.0%,194,1.2%,28044,1.0%,6.3%,14506500,-20941300 ( -59.1% ),1764,-2082 ( -54.1% ),144279200,16478,10
2018-06-26,109,2.0%,203,1.2%,29200,1.1%,5.6%,13540100,-966400 ( -6.7% ),1640,-124 ( -7.0% ),157819300,18118,10
2018-06-27,56,1.0%,98,0.6%,13137,0.5%,12.4%,10332000,-3208100 ( -23.7% ),1631,-9 ( -0.5% ),168151300,19749,15
2018-06-28,44,0.8%,75,0.4%,9505,0.3%,7.3%,5874400,-4457600 ( -43.1% ),697,-934 ( -57.3% ),174025700,20446,18
2018-06-29,41,0.7%,75,0.4%,9906,0.3%,9.9%,9068900,3194500 ( 54.4% ),976,279 ( 40.0% ),183094600,21422,17
2018-06-30,44,0.7%,85,0.5%,11044,0.4%,20.7%,21232400,12163500 ( 134.1% ),2287,1311 ( 134.3% ),204327000,23709,15
2018-07-01,43,0.7%,75,0.4%,9651,0.3%,18.1%,16331900,-4900500 ( -23.1% ),1747,-540 ( -23.6% ),220658900,25456,16
2018-07-02,39,0.7%,60,0.4%,7481,0.3%,8.3%,5072300,-11259600 ( -68.9% ),621,-1126 ( -64.5% ),225731200,26077,15
2018-07-03,40,0.7%,55,0.3%,6466,0.2%,9.0%,4760800,-311500 ( -6.1% ),580,-41 ( -6.6% ),230492000,26657,24
