날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-02-19,5,0.1%,8,0%,1950,0.1%,84.3%,13102000,13102000 ( 100.0% ),1643,1643 ( 100.0% ),13102000,1643,11
2018-02-27,1,0.0%,1,0%,247,0.0%,100.0%,1976000,1976000 ( 100.0% ),247,247 ( 100.0% ),15078000,1890,34
2018-02-28,179,2.9%,528,2.8%,69653,2.3%,19.7%,89426200,87450200 ( 4425.6% ),13723,13476 ( 5455.9% ),104504200,15613,9
2018-03-01,208,3.3%,554,2.9%,67995,2.2%,29.1%,169687500,80261300 ( 89.8% ),19761,6038 ( 44.0% ),274191700,35374,8
2018-03-02,203,3.4%,545,2.9%,67169,2.2%,12.3%,71060700,-98626800 ( -58.1% ),8289,-11472 ( -58.1% ),345252400,43663,9
2018-03-03,203,3.3%,551,2.9%,66350,2.2%,23.9%,138243200,67182500 ( 94.5% ),15872,7583 ( 91.5% ),483495600,59535,8
2018-03-04,208,3.4%,546,3%,66009,2.2%,24.1%,138946900,703700 ( 0.5% ),15897,25 ( 0.2% ),622442500,75432,7
2018-03-05,182,3.5%,537,3.2%,65541,2.4%,9.1%,46947600,-91999300 ( -66.2% ),5975,-9922 ( -62.4% ),669390100,81407,9
2018-03-06,184,3.5%,515,3.1%,63078,2.3%,8.2%,40778800,-6168800 ( -13.1% ),5145,-830 ( -13.9% ),710168900,86552,10
2018-03-07,114,2.3%,341,2%,42299,1.5%,5.4%,17868500,-22910300 ( -56.2% ),2295,-2850 ( -55.4% ),728037400,88847,13
2018-03-08,92,1.8%,196,1.1%,24535,0.9%,5.0%,9354700,-8513800 ( -47.6% ),1221,-1074 ( -46.8% ),737392100,90068,16
2018-03-09,92,1.7%,192,1.1%,23693,0.8%,6.9%,14106000,4751300 ( 50.8% ),1638,417 ( 34.2% ),751498100,91706,15
2018-03-10,101,1.7%,182,1%,22887,0.7%,14.1%,28226100,14120100 ( 100.1% ),3221,1583 ( 96.6% ),779724200,94927,13
2018-03-11,95,1.6%,174,0.9%,21672,0.7%,11.0%,20451600,-7774500 ( -27.5% ),2379,-842 ( -26.1% ),800175800,97306,15
2018-03-12,84,1.6%,161,1%,20264,0.7%,3.9%,6032300,-14419300 ( -70.5% ),800,-1579 ( -66.4% ),806208100,98106,18
2018-03-13,90,1.7%,147,0.9%,19207,0.7%,3.6%,5324500,-707800 ( -11.7% ),682,-118 ( -14.8% ),811532600,98788,21
2018-03-14,26,0.5%,28,0.2%,3784,0.1%,2.9%,820500,-4504000 ( -84.6% ),110,-572 ( -83.9% ),812353100,98898,35
2018-03-15,22,0.4%,23,0.1%,3066,0.1%,5.7%,632000,-188500 ( -23.0% ),176,66 ( 60.0% ),812985100,99074,36
2018-03-16,20,0.4%,21,0.1%,2868,0.1%,6.9%,936500,304500 ( 48.2% ),197,21 ( 11.9% ),813921600,99271,35
2018-03-17,17,0.3%,18,0.1%,2270,0.1%,9.1%,992000,55500 ( 5.9% ),207,10 ( 5.1% ),814913600,99478,36
2018-03-18,18,0.3%,20,0.1%,2415,0.1%,10.5%,1438000,446000 ( 45.0% ),253,46 ( 22.2% ),816351600,99731,35
2018-03-19,19,0.4%,22,0.1%,3243,0.1%,5.9%,703000,-735000 ( -51.1% ),191,-62 ( -24.5% ),817054600,99922,27
2018-03-20,20,0.4%,22,0.1%,2827,0.1%,11.1%,1455500,752500 ( 107.0% ),313,122 ( 63.9% ),818510100,100235,26
2018-03-21,9,0.2%,11,0.1%,1312,0.1%,9.3%,390000,-1065500 ( -73.2% ),122,-191 ( -61.0% ),818900100,100357,36
2018-03-22,7,0.1%,8,0%,1036,0.0%,19.8%,670000,280000 ( 71.8% ),205,83 ( 68.0% ),819570100,100562,32
2018-03-23,7,0.1%,7,0%,924,0.0%,14.8%,396000,-274000 ( -40.9% ),137,-68 ( -33.2% ),819966100,100699,40
2018-03-24,6,0.1%,7,0%,923,0.0%,6.1%,61000,-335000 ( -84.6% ),56,-81 ( -59.1% ),820027100,100755,64
2018-03-25,6,0.1%,8,0%,1029,0.0%,5.8%,81000,20000 ( 32.8% ),60,4 ( 7.1% ),820108100,100815,60
2018-03-26,7,0.1%,9,0.1%,1347,0.1%,5.9%,130000,49000 ( 60.5% ),79,19 ( 31.7% ),820238100,100894,40
2018-03-27,6,0.1%,6,0%,676,0.0%,11.1%,160000,30000 ( 23.1% ),75,-4 ( -5.1% ),820398100,100969,49
2018-03-28,5,0.1%,5,0%,619,0.0%,0.8%,7000,-153000 ( -95.6% ),5,-70 ( -93.3% ),820405100,100974,81
2018-03-29,6,0.1%,6,0%,812,0.0%,11.2%,207000,200000 ( 2857.1% ),91,86 ( 1720.0% ),820612100,101065,43
2018-03-30,5,0.1%,6,0%,772,0.0%,7.1%,57000,-150000 ( -72.5% ),55,-36 ( -39.6% ),820669100,101120,50
2018-03-31,5,0.1%,6,0%,772,0.0%,1.2%,27000,-30000 ( -52.6% ),9,-46 ( -83.6% ),820696100,101129,78
2018-04-01,5,0.1%,5,0%,619,0.0%,0.8%,7000,-20000 ( -74.1% ),5,-4 ( -44.4% ),820703100,101134,78
2018-04-02,3,0.1%,3,0%,360,0.0%,0.8%,4000,-3000 ( -42.9% ),3,-2 ( -40.0% ),820707100,101137,69
2018-04-03,3,0.1%,3,0%,360,0.0%,0.8%,4000,0 ( 0.0% ),3,0 ( 0.0% ),820711100,101140,74
