날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2017-05-11,1,0.0%,1,0%,274,0.0%,100.0%,2192000,2192000 ( 100.0% ),274,274 ( 100.0% ),2192000,274,32
2017-05-17,531,10.6%,2641,15.9%,449896,16.4%,20.5%,703529100,703529100 ( 100.0% ),92124,92124 ( 100.0% ),705721100,92398,2
2017-05-18,622,11.4%,2767,16.7%,464844,17.0%,23.4%,831984300,128455200 ( 18.3% ),108629,16505 ( 17.9% ),1537705400,201027,1
2017-05-19,740,13.1%,3240,18.9%,555684,19.7%,30.6%,1426284828,594300528 ( 71.4% ),170206,61577 ( 56.7% ),2963990228,371233,1
2017-05-20,923,15.0%,4253,23.2%,769493,25.6%,43.4%,2834691927,1408407099 ( 98.7% ),333900,163694 ( 96.2% ),5798682155,705133,1
2017-05-21,945,15.5%,4318,24.1%,792698,27.0%,37.7%,2551822000,-282869927 ( -10.0% ),298866,-35034 ( -10.5% ),8350504155,1003999,1
2017-05-22,782,15.0%,4012,24.5%,773886,28.5%,12.9%,769926900,-1781895100 ( -69.8% ),99654,-199212 ( -66.7% ),9120431055,1103653,1
2017-05-23,796,15.0%,4003,24.6%,772207,28.7%,11.1%,660741200,-109185700 ( -14.2% ),85896,-13758 ( -13.8% ),9781172255,1189549,1
2017-05-24,636,13.0%,2985,18.4%,478088,18.0%,15.0%,548389600,-112351600 ( -17.0% ),71894,-14002 ( -16.3% ),10329561855,1261443,2
2017-05-25,567,11.2%,2595,15.5%,415391,15.2%,14.1%,450006400,-98383200 ( -17.9% ),58759,-13135 ( -18.3% ),10779568255,1320202,3
2017-05-26,596,11.6%,2631,15.4%,416716,15.0%,20.3%,711486315,261479915 ( 58.1% ),84409,25650 ( 43.7% ),11491054570,1404611,3
2017-05-27,602,11.0%,2724,15.1%,416142,14.2%,40.9%,1433857305,722370990 ( 101.5% ),170299,85890 ( 101.8% ),12924911875,1574910,3
2017-05-28,616,11.3%,2696,15.2%,409791,14.3%,36.1%,1251707800,-182149505 ( -12.7% ),147898,-22401 ( -13.2% ),14176619675,1722808,3
2017-05-29,563,11.6%,2565,15.6%,406322,15.1%,10.1%,314880700,-936827100 ( -74.8% ),41046,-106852 ( -72.2% ),14491500375,1763854,3
2017-05-30,580,11.7%,2581,15.7%,406819,15.2%,8.8%,270834500,-44046200 ( -14.0% ),35637,-5409 ( -13.2% ),14762334875,1799491,3
2017-05-31,466,9.8%,1381,8.5%,185916,7.0%,21.0%,231906300,-38928200 ( -14.4% ),39102,3465 ( 9.7% ),14994241175,1838593,5
2017-06-01,434,8.7%,1290,7.9%,171237,6.5%,15.4%,201343500,-30562800 ( -13.2% ),26331,-12771 ( -32.7% ),15195584675,1864924,5
2017-06-02,457,9.1%,1291,7.8%,170465,6.4%,18.7%,269545800,68202300 ( 33.9% ),31940,5609 ( 21.3% ),15465130475,1896864,5
2017-06-03,475,8.7%,1273,7.2%,166400,5.9%,36.8%,513223500,243677700 ( 90.4% ),61165,29225 ( 91.5% ),15978353975,1958029,5
2017-06-04,474,8.7%,1260,7.3%,164788,5.9%,30.8%,429273100,-83950400 ( -16.4% ),50722,-10443 ( -17.1% ),16407627075,2008751,5
2017-06-05,469,9.3%,1332,7.9%,179654,6.6%,18.7%,253153000,-176120100 ( -41.0% ),33622,-17100 ( -33.7% ),16660780075,2042373,5
2017-06-06,290,5.5%,650,3.6%,82301,2.8%,37.1%,252628500,-524500 ( -0.2% ),30499,-3123 ( -9.3% ),16913408575,2072872,6
2017-06-07,280,6.1%,642,3.8%,82117,3.0%,8.6%,54123400,-198505100 ( -78.6% ),7052,-23447 ( -76.9% ),16967531975,2079924,6
2017-06-08,180,3.7%,326,1.9%,42143,1.5%,8.8%,28446400,-25677000 ( -47.4% ),3700,-3352 ( -47.5% ),16995978375,2083624,7
2017-06-09,180,3.6%,316,1.8%,41206,1.4%,11.6%,39739700,11293300 ( 39.7% ),4780,1080 ( 29.2% ),17035718075,2088404,7
2017-06-10,180,3.2%,314,1.7%,39513,1.3%,25.0%,84076400,44336700 ( 111.6% ),9887,5107 ( 106.8% ),17119794475,2098291,7
2017-06-11,174,3.1%,306,1.7%,38153,1.3%,19.9%,64500600,-19575800 ( -23.3% ),7578,-2309 ( -23.4% ),17184295075,2105869,10
2017-06-12,164,3.4%,298,1.8%,39044,1.4%,6.8%,20142900,-44357700 ( -68.8% ),2649,-4929 ( -65.0% ),17204437975,2108518,8
2017-06-13,167,3.4%,293,1.8%,38492,1.4%,6.1%,17815500,-2327400 ( -11.6% ),2334,-315 ( -11.9% ),17222253475,2110852,9
2017-06-14,166,3.4%,293,1.8%,38102,1.4%,7.2%,21001800,3186300 ( 17.9% ),2735,401 ( 17.2% ),17243255275,2113587,8
2017-06-15,54,1.0%,94,0.5%,12702,0.4%,8.6%,8446000,-12555800 ( -59.8% ),1090,-1645 ( -60.1% ),17251701275,2114677,15
2017-06-16,62,1.1%,104,0.6%,14700,0.5%,10.7%,13489900,5043900 ( 59.7% ),1568,478 ( 43.9% ),17265191175,2116245,10
2017-06-17,61,1.0%,102,0.5%,13472,0.4%,24.2%,28478300,14988400 ( 111.1% ),3266,1698 ( 108.3% ),17293669475,2119511,12
2017-06-18,58,1.0%,102,0.5%,13752,0.4%,18.9%,22596600,-5881700 ( -20.7% ),2596,-670 ( -20.5% ),17316266075,2122107,15
2017-06-19,60,1.2%,103,0.6%,14460,0.5%,7.6%,8373500,-14223100 ( -62.9% ),1104,-1492 ( -57.5% ),17324639575,2123211,11
2017-06-20,63,1.2%,103,0.6%,14621,0.5%,8.6%,9584000,1210500 ( 14.5% ),1264,160 ( 14.5% ),17334223575,2124475,12
2017-06-21,18,0.4%,29,0.2%,4101,0.2%,9.1%,2790500,-6793500 ( -70.9% ),372,-892 ( -70.6% ),17337014075,2124847,25
2017-06-22,6,0.1%,8,0%,874,0.0%,34.2%,2348500,-442000 ( -15.8% ),299,-73 ( -19.6% ),17339362575,2125146,28
2017-06-23,7,0.1%,10,0.1%,1115,0.0%,26.9%,2628500,280000 ( 11.9% ),300,1 ( 0.3% ),17341991075,2125446,28
2017-06-24,11,0.2%,19,0.1%,2056,0.1%,46.8%,8534600,5906100 ( 224.7% ),962,662 ( 220.7% ),17350525675,2126408,21
2017-06-25,9,0.2%,18,0.1%,1955,0.1%,43.5%,7616500,-918100 ( -10.8% ),851,-111 ( -11.5% ),17358142175,2127259,22
2017-06-26,9,0.2%,14,0.1%,1822,0.1%,19.6%,2796000,-4820500 ( -63.3% ),358,-493 ( -57.9% ),17360938175,2127617,20
2017-06-27,10,0.2%,15,0.1%,1982,0.1%,20.0%,3153500,357500 ( 12.8% ),397,39 ( 10.9% ),17364091675,2128014,22
2017-06-28,4,0.1%,7,0%,843,0.0%,28.1%,1443500,-1710000 ( -54.2% ),237,-160 ( -40.3% ),17365535175,2128251,31
2017-06-29,5,0.1%,7,0%,933,0.0%,11.4%,844000,-599500 ( -41.5% ),106,-131 ( -55.3% ),17366379175,2128357,44
2017-06-30,5,0.1%,10,0.1%,1707,0.1%,12.6%,1822000,978000 ( 115.9% ),215,109 ( 102.8% ),17368201175,2128572,35
2017-07-01,8,0.1%,15,0.1%,2206,0.1%,27.3%,5374500,3552500 ( 195.0% ),603,388 ( 180.5% ),17373575675,2129175,22
2017-07-02,6,0.1%,13,0.1%,1678,0.1%,30.5%,4561000,-813500 ( -15.1% ),511,-92 ( -15.3% ),17378136675,2129686,27
2017-07-03,6,0.1%,13,0.1%,1893,0.1%,10.6%,1589000,-2972000 ( -65.2% ),201,-310 ( -60.7% ),17379725675,2129887,26
2017-07-04,6,0.1%,12,0.1%,1746,0.1%,14.1%,1973500,384500 ( 24.2% ),247,46 ( 22.9% ),17381699175,2130134,32
2017-07-05,4,0.1%,7,0%,811,0.0%,8.3%,527000,-1446500 ( -73.3% ),67,-180 ( -72.9% ),17382226175,2130201,50
2017-07-06,5,0.1%,10,0.1%,1132,0.0%,8.1%,673000,146000 ( 27.7% ),92,25 ( 37.3% ),17382899175,2130293,40
2017-07-07,4,0.1%,8,0%,882,0.0%,10.9%,872500,199500 ( 29.6% ),96,4 ( 4.3% ),17383771675,2130389,47
2017-07-08,2,0.0%,3,0%,362,0.0%,26.5%,838000,-34500 ( -4.0% ),96,0 ( 0.0% ),17384609675,2130485,49
2017-07-09,2,0.0%,2,0%,270,0.0%,21.9%,552000,-286000 ( -34.1% ),59,-37 ( -38.5% ),17385161675,2130544,57
2017-07-10,2,0.0%,3,0%,318,0.0%,6.6%,154000,-398000 ( -72.1% ),21,-38 ( -64.4% ),17385315675,2130565,60
2017-07-11,4,0.1%,5,0%,586,0.0%,10.4%,455000,301000 ( 195.5% ),61,40 ( 190.5% ),17385770675,2130626,58
2017-07-12,24,0.5%,37,0.2%,4786,0.2%,11.3%,3268500,2813500 ( 618.4% ),542,481 ( 788.5% ),17389039175,2131168,19
2017-07-13,21,0.4%,32,0.2%,4062,0.2%,15.9%,3878200,609700 ( 18.7% ),644,102 ( 18.8% ),17392917375,2131812,18
2017-07-14,38,0.7%,56,0.3%,7530,0.3%,14.9%,6771700,2893500 ( 74.6% ),1121,477 ( 74.1% ),17399689075,2132933,15
2017-07-15,39,0.7%,47,0.3%,6383,0.2%,26.7%,10378300,3606600 ( 53.3% ),1703,582 ( 51.9% ),17410067375,2134636,15
2017-07-16,36,0.7%,45,0.3%,6200,0.2%,18.8%,7260800,-3117500 ( -30.0% ),1168,-535 ( -31.4% ),17417328175,2135804,14
2017-07-17,45,1.0%,64,0.4%,8928,0.4%,9.4%,5018600,-2242200 ( -30.9% ),839,-329 ( -28.2% ),17422346775,2136643,15
2017-07-18,45,0.9%,63,0.4%,8869,0.4%,9.0%,4794300,-224300 ( -4.5% ),801,-38 ( -4.5% ),17427141075,2137444,17
2017-07-19,33,0.7%,49,0.3%,6471,0.2%,9.2%,3589000,-1205300 ( -25.1% ),595,-206 ( -25.7% ),17430730075,2138039,19
2017-07-20,1,0.0%,2,0%,184,0.0%,8.2%,119000,-3470000 ( -96.7% ),15,-580 ( -97.5% ),17430849075,2138054,74
2017-07-21,1,0.0%,2,0%,184,0.0%,16.8%,275000,156000 ( 131.1% ),31,16 ( 106.7% ),17431124075,2138085,67
2017-07-23,1,0.0%,2,0%,184,0.0%,10.3%,155000,155000 ( 100.0% ),19,19 ( 100.0% ),17431279075,2138104,70
2017-07-24,1,0.0%,2,0%,184,0.0%,2.2%,30000,-125000 ( -80.6% ),4,-15 ( -78.9% ),17431309075,2138108,80
2017-07-25,1,0.0%,1,0%,92,0.0%,13.0%,96000,66000 ( 220.0% ),12,8 ( 200.0% ),17431405075,2138120,78
2017-07-26,1,0.0%,1,0%,224,0.0%,0.9%,12000,-84000 ( -87.5% ),2,-10 ( -83.3% ),17431417075,2138122,98
2017-07-27,1,0.0%,1,0%,224,0.0%,0.4%,6000,-6000 ( -50.0% ),1,-1 ( -50.0% ),17431423075,2138123,107
2017-07-29,1,0.0%,1,0%,224,0.0%,4.0%,62000,62000 ( 100.0% ),9,9 ( 100.0% ),17431485075,2138132,102
2017-07-30,1,0.0%,1,0%,224,0.0%,3.6%,50000,-12000 ( -19.4% ),8,-1 ( -11.1% ),17431535075,2138140,82
2017-07-31,1,0.0%,1,0%,224,0.0%,1.8%,23000,-27000 ( -54.0% ),4,-4 ( -50.0% ),17431558075,2138144,64
2017-08-01,1,0.0%,1,0%,224,0.0%,0.9%,12000,-11000 ( -47.8% ),2,-2 ( -50.0% ),17431570075,2138146,88
2017-10-26,1,0.0%,1,0%,206,0.0%,0.5%,9000,9000 ( 100.0% ),1,1 ( 100.0% ),17431579075,2138147,145
2017-10-27,1,0.0%,2,0%,412,0.0%,0.7%,33000,24000 ( 266.7% ),3,2 ( 200.0% ),17431612075,2138150,131
2017-10-28,1,0.0%,1,0%,206,0.0%,1.9%,44000,11000 ( 33.3% ),4,1 ( 33.3% ),17431656075,2138154,123
2017-10-29,1,0.0%,2,0%,412,0.0%,2.2%,84000,40000 ( 90.9% ),9,5 ( 125.0% ),17431740075,2138163,86
2017-10-30,1,0.0%,1,0%,206,0.0%,1.9%,34000,-50000 ( -59.5% ),4,-5 ( -55.6% ),17431774075,2138167,85
2017-11-01,1,0.0%,2,0%,412,0.0%,1.7%,56000,56000 ( 100.0% ),7,7 ( 100.0% ),17431830075,2138174,96
2018-02-08,1,0.0%,1,0%,160,0.0%,23.1%,338000,338000 ( 100.0% ),37,37 ( 100.0% ),17432168075,2138211,65
2018-02-09,3,0.0%,3,0%,368,0.0%,9.2%,311500,-26500 ( -7.8% ),34,-3 ( -8.1% ),17432479575,2138245,69
2018-02-13,3,0.0%,3,0%,405,0.0%,5.4%,165000,165000 ( 100.0% ),22,22 ( 100.0% ),17432644575,2138267,75
2018-02-14,1,0.0%,1,0%,160,0.0%,13.8%,158500,-6500 ( -3.9% ),22,0 ( 0.0% ),17432803075,2138289,64
2018-02-15,3,0.1%,3,0%,405,0.0%,7.9%,292000,133500 ( 84.2% ),32,10 ( 45.5% ),17433095075,2138321,57
2018-02-17,1,0.0%,1,0%,160,0.0%,8.8%,140000,140000 ( 100.0% ),14,14 ( 100.0% ),17433235075,2138335,79
2018-02-19,3,0.1%,3,0%,368,0.0%,10.9%,282200,282200 ( 100.0% ),40,40 ( 100.0% ),17433517275,2138375,58
2018-02-20,1,0.0%,1,0%,160,0.0%,6.9%,83500,-198700 ( -70.4% ),11,-29 ( -72.5% ),17433600775,2138386,92
2018-02-27,1,0.0%,1,0%,112,0.0%,12.5%,99000,99000 ( 100.0% ),14,14 ( 100.0% ),17433699775,2138400,87
2018-03-02,3,0.1%,3,0%,300,0.0%,8.3%,225500,225500 ( 100.0% ),25,25 ( 100.0% ),17433925275,2138425,70
2019-07-27,1,0.0%,1,0%,174,0.0%,56.9%,988000,988000 ( 100.0% ),99,99 ( 100.0% ),17434913275,2138524,48
2020-03-09,2,0.0%,3,0%,374,0.0%,2.1%,40000,40000 ( 100.0% ),8,8 ( 100.0% ),17434953275,2138532,59
2020-03-10,2,0.0%,2,0%,285,0.0%,1.1%,13000,-27000 ( -67.5% ),3,-5 ( -62.5% ),17434966275,2138535,73
2020-03-11,30,0.6%,33,0.4%,4346,0.3%,2.0%,421220,408220 ( 3140.2% ),85,82 ( 2733.3% ),17435387495,2138620,34
2020-03-12,40,0.8%,43,0.5%,6013,0.4%,1.7%,504500,83280 ( 19.8% ),101,16 ( 18.8% ),17435891995,2138721,40
2020-03-13,36,0.7%,37,0.4%,4773,0.3%,2.0%,509480,4980 ( 1.0% ),96,-5 ( -5.0% ),17436401475,2138817,37
2020-03-14,36,0.7%,38,0.4%,5491,0.3%,2.1%,580980,71500 ( 14.0% ),117,21 ( 21.9% ),17436982455,2138934,39
2020-03-15,32,0.6%,33,0.3%,4369,0.3%,2.7%,590360,9380 ( 1.6% ),116,-1 ( -0.9% ),17437572815,2139050,37
2020-03-16,28,0.6%,29,0.4%,3669,0.3%,1.4%,245500,-344860 ( -58.4% ),50,-66 ( -56.9% ),17437818315,2139100,44
2020-03-17,27,0.6%,27,0.3%,3554,0.3%,1.3%,233960,-11540 ( -4.7% ),46,-4 ( -8.0% ),17438052275,2139146,45
2020-03-18,21,0.5%,22,0.3%,2969,0.2%,2.0%,281700,47740 ( 20.4% ),58,12 ( 26.1% ),17438333975,2139204,43
2020-03-19,10,0.2%,10,0.1%,1537,0.1%,1.0%,73000,-208700 ( -74.1% ),15,-43 ( -74.1% ),17438406975,2139219,67
2020-03-20,17,0.4%,17,0.2%,2620,0.2%,2.1%,266080,193080 ( 264.5% ),55,40 ( 266.7% ),17438673055,2139274,52
2020-03-21,18,0.3%,19,0.2%,3012,0.2%,2.2%,324500,58420 ( 22.0% ),66,11 ( 20.0% ),17438997555,2139340,58
2020-03-22,14,0.3%,15,0.2%,2609,0.2%,2.0%,276000,-48500 ( -14.9% ),53,-13 ( -19.7% ),17439273555,2139393,55
2020-03-23,13,0.3%,14,0.2%,2220,0.2%,1.7%,186980,-89020 ( -32.3% ),38,-15 ( -28.3% ),17439460535,2139431,49
2020-03-24,10,0.2%,11,0.2%,1867,0.2%,1.0%,94500,-92480 ( -49.5% ),19,-19 ( -50.0% ),17439555035,2139450,65
2020-03-25,1,0.0%,1,0%,94,0.0%,2.1%,14000,-80500 ( -85.2% ),2,-17 ( -89.5% ),17439569035,2139452,99
