날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2016-08-18,1,0.0%,4,0%,1548,0.1%,96.9%,10990000,10990000 ( 100.0% ),1500,1500 ( 100.0% ),10990000,1500,19
2016-08-25,1,0.0%,1,0%,238,0.0%,100.0%,1904000,1904000 ( 100.0% ),238,238 ( 100.0% ),12894000,1738,38
2016-08-30,5,0.1%,6,0%,1493,0.1%,89.1%,10640000,10640000 ( 100.0% ),1330,1330 ( 100.0% ),23534000,3068,15
2016-09-01,2,0.0%,2,0%,346,0.0%,97.7%,3042000,3042000 ( 100.0% ),338,338 ( 100.0% ),26576000,3406,37
2016-09-02,11,0.2%,11,0.1%,3465,0.1%,74.9%,22744000,19702000 ( 647.7% ),2597,2259 ( 668.3% ),49320000,6003,16
2016-09-03,6,0.1%,6,0%,989,0.0%,96.4%,7665000,-15079000 ( -66.3% ),953,-1644 ( -63.3% ),56985000,6956,27
2016-09-04,7,0.1%,7,0%,1703,0.1%,99.8%,13600000,5935000 ( 77.4% ),1700,747 ( 78.4% ),70585000,8656,20
2016-09-05,39,0.7%,40,0.3%,8616,0.3%,99.4%,64760000,51160000 ( 376.2% ),8568,6868 ( 404.0% ),135345000,17224,6
2016-09-06,15,0.3%,15,0.1%,3401,0.1%,99.9%,26453000,-38307000 ( -59.2% ),3399,-5169 ( -60.3% ),161798000,20623,11
2016-09-07,764,15.3%,3137,21.5%,520033,21.6%,5.7%,216150500,189697500 ( 717.1% ),29603,26204 ( 770.9% ),377948500,50226,2
2016-09-08,765,15.2%,3137,21.2%,521808,21.3%,5.9%,221174000,5023500 ( 2.3% ),31027,1424 ( 4.8% ),599122500,81253,2
2016-09-09,756,14.4%,3142,20.3%,515891,20.3%,7.9%,321037338,99863338 ( 45.2% ),40824,9797 ( 31.6% ),920159838,122077,2
2016-09-10,679,11.8%,2875,17.2%,464975,17.1%,19.0%,726595139,405557801 ( 126.3% ),88353,47529 ( 116.4% ),1646754977,210430,2
2016-09-11,653,11.4%,2733,16.8%,442207,16.7%,20.4%,739392520,12797381 ( 1.8% ),90110,1757 ( 2.0% ),2386147497,300540,2
2016-09-12,633,12.3%,2582,17.8%,403105,16.9%,7.7%,227022800,-512369720 ( -69.3% ),31231,-58879 ( -65.3% ),2613170297,331771,2
2016-09-13,642,11.0%,2259,14.4%,345063,13.4%,12.2%,313230700,86207900 ( 38.0% ),42212,10981 ( 35.2% ),2926400997,373983,2
2016-09-14,508,8.6%,1650,9.6%,234937,8.4%,30.5%,603121300,289890600 ( 92.5% ),71682,29470 ( 69.8% ),3529522297,445665,4
2016-09-15,526,8.9%,1662,9.8%,237927,8.6%,45.8%,928987900,325866600 ( 54.0% ),108964,37282 ( 52.0% ),4458510197,554629,4
2016-09-16,536,8.7%,1654,9.5%,234041,8.3%,53.2%,1023816917,94829017 ( 10.2% ),124482,15518 ( 14.2% ),5482327114,679111,4
2016-09-17,536,8.7%,1622,9.3%,230188,8.2%,45.6%,858574144,-165242773 ( -16.1% ),104990,-19492 ( -15.7% ),6340901258,784101,4
2016-09-18,513,8.6%,1535,9.3%,216336,8.1%,31.6%,556621200,-301952944 ( -35.2% ),68399,-36591 ( -34.9% ),6897522458,852500,4
2016-09-19,466,10.1%,1478,10.4%,202506,8.6%,6.6%,95714700,-460906500 ( -82.8% ),13367,-55032 ( -80.5% ),6993237158,865867,4
