날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2017-03-27,1,0.0%,1,0%,401,0.0%,100.0%,4010000,4010000 ( 100.0% ),401,401 ( 100.0% ),4010000,401,21
2017-03-28,3,0.1%,3,0%,782,0.0%,100.0%,7932000,3922000 ( 97.8% ),782,381 ( 95.0% ),11942000,1183,17
2017-03-29,763,14.7%,3784,23.3%,712959,26.6%,16.1%,749148100,741216100 ( 9344.6% ),114618,113836 ( 14557.0% ),761090100,115801,3
2017-03-30,752,14.7%,3755,23.2%,712204,26.7%,8.6%,491421600,-257726500 ( -34.4% ),61598,-53020 ( -46.3% ),1252511700,177399,3
2017-03-31,761,14.6%,3841,23%,722237,26.4%,11.8%,746064666,254643066 ( 51.8% ),85348,23750 ( 38.6% ),1998576366,262747,3
2017-04-01,807,14.0%,3742,21.5%,679731,23.9%,26.1%,1568756471,822691805 ( 110.3% ),177091,91743 ( 107.5% ),3567332837,439838,3
2017-04-02,759,13.7%,3589,21.2%,653993,23.6%,19.9%,1141560200,-427196271 ( -27.2% ),129863,-47228 ( -26.7% ),4708893037,569701,3
2017-04-03,736,14.2%,3252,20.8%,606205,23.5%,5.5%,262878300,-878681900 ( -77.0% ),33326,-96537 ( -74.3% ),4971771337,603027,3
2017-04-04,732,13.7%,3183,20.6%,593284,23.1%,5.0%,233762300,-29116000 ( -11.1% ),29398,-3928 ( -11.8% ),5205533637,632425,3
2017-04-05,482,10.2%,1829,11.1%,298935,11.1%,6.4%,146268600,-87493700 ( -37.4% ),19047,-10351 ( -35.2% ),5351802237,651472,5
2017-04-06,454,8.5%,1462,8.9%,241359,8.9%,6.3%,116611100,-29657500 ( -20.3% ),15135,-3912 ( -20.5% ),5468413337,666607,5
2017-04-07,474,8.7%,1442,8.6%,234805,8.5%,7.2%,144271277,27660177 ( 23.7% ),16857,1722 ( 11.4% ),5612684614,683464,5
2017-04-08,483,7.7%,1305,7.3%,197056,6.8%,14.4%,245795770,101524493 ( 70.4% ),28396,11539 ( 68.5% ),5858480384,711860,5
2017-04-09,482,7.8%,1236,7.1%,187966,6.7%,12.5%,203877800,-41917970 ( -17.1% ),23476,-4920 ( -17.3% ),6062358184,735336,5
2017-04-10,437,8.3%,1205,7.8%,193932,7.6%,3.9%,59374500,-144503300 ( -70.9% ),7628,-15848 ( -67.5% ),6121732684,742964,6
2017-04-11,438,8.1%,1171,7.6%,186398,7.3%,3.8%,54814700,-4559800 ( -7.7% ),7082,-546 ( -7.2% ),6176547384,750046,6
2017-04-12,151,3.0%,242,1.6%,34297,1.4%,4.5%,11088400,-43726300 ( -79.8% ),1533,-5549 ( -78.4% ),6187635784,751579,9
2017-04-13,136,2.6%,183,1.2%,25170,1.0%,3.8%,7181500,-3906900 ( -35.2% ),969,-564 ( -36.8% ),6194817284,752548,16
2017-04-14,135,2.5%,192,1.2%,27103,1.0%,5.2%,11809100,4627600 ( 64.4% ),1405,436 ( 45.0% ),6206626384,753953,12
2017-04-15,119,2.0%,157,0.9%,21467,0.8%,9.1%,16921000,5111900 ( 43.3% ),1952,547 ( 38.9% ),6223547384,755905,14
2017-04-16,114,2.0%,154,0.9%,20528,0.8%,8.2%,14387500,-2533500 ( -15.0% ),1689,-263 ( -13.5% ),6237934884,757594,14
2017-04-17,120,2.4%,162,1.1%,22785,0.9%,4.0%,6343500,-8044000 ( -55.9% ),901,-788 ( -46.7% ),6244278384,758495,15
2017-04-18,109,2.1%,144,1%,20876,0.9%,3.1%,4629000,-1714500 ( -27.0% ),637,-264 ( -29.3% ),6248907384,759132,18
2017-04-19,109,2.1%,140,0.9%,21591,0.9%,3.0%,4731000,102000 ( 2.2% ),650,13 ( 2.0% ),6253638384,759782,20
2017-04-20,4,0.1%,7,0%,855,0.0%,15.8%,822000,-3909000 ( -82.6% ),135,-515 ( -79.2% ),6254460384,759917,42
2017-04-21,4,0.1%,6,0%,905,0.0%,3.5%,257000,-565000 ( -68.7% ),32,-103 ( -76.3% ),6254717384,759949,72
2017-04-22,6,0.1%,10,0.1%,1560,0.1%,9.6%,1316000,1059000 ( 412.1% ),150,118 ( 368.8% ),6256033384,760099,46
2017-04-23,7,0.1%,10,0.1%,1601,0.1%,5.7%,761000,-555000 ( -42.2% ),91,-59 ( -39.3% ),6256794384,760190,54
2017-04-24,6,0.1%,8,0.1%,1298,0.1%,3.9%,382000,-379000 ( -49.8% ),50,-41 ( -45.1% ),6257176384,760240,57
2017-04-25,5,0.1%,7,0%,1170,0.0%,4.0%,364000,-18000 ( -4.7% ),47,-3 ( -6.0% ),6257540384,760287,70
2017-04-29,2,0.0%,2,0%,356,0.0%,10.7%,333000,333000 ( 100.0% ),38,38 ( 100.0% ),6257873384,760325,73
2017-04-30,1,0.0%,1,0%,178,0.0%,13.5%,201500,-131500 ( -39.5% ),24,-14 ( -36.8% ),6258074884,760349,76
2017-05-01,5,0.1%,5,0%,780,0.0%,69.2%,4041500,3840000 ( 1905.7% ),540,516 ( 2150.0% ),6262116384,760889,25
2017-05-02,5,0.1%,5,0%,816,0.0%,63.2%,3846000,-195500 ( -4.8% ),516,-24 ( -4.4% ),6265962384,761405,26
2017-05-03,2,0.0%,2,0%,336,0.0%,63.4%,1618000,-2228000 ( -57.9% ),213,-303 ( -58.7% ),6267580384,761618,36
2017-05-04,2,0.0%,2,0%,327,0.0%,63.6%,1549000,-69000 ( -4.3% ),208,-5 ( -2.3% ),6269129384,761826,38
2017-05-05,2,0.0%,2,0%,363,0.0%,57.9%,1578000,29000 ( 1.9% ),210,2 ( 1.0% ),6270707384,762036,34
2017-05-06,2,0.0%,2,0%,327,0.0%,63.3%,1553000,-25000 ( -1.6% ),207,-3 ( -1.4% ),6272260384,762243,31
2017-05-07,2,0.0%,2,0%,336,0.0%,61.0%,1535000,-18000 ( -1.2% ),205,-2 ( -1.0% ),6273795384,762448,34
2017-05-08,2,0.0%,2,0%,372,0.0%,55.1%,1529000,-6000 ( -0.4% ),205,0 ( 0.0% ),6275324384,762653,35
2017-05-09,2,0.0%,2,0%,327,0.0%,62.1%,1523000,-6000 ( -0.4% ),203,-2 ( -1.0% ),6276847384,762856,36
2017-05-10,2,0.0%,2,0%,340,0.0%,58.8%,1500000,-23000 ( -1.5% ),200,-3 ( -1.5% ),6278347384,763056,27
2017-05-11,2,0.0%,2,0%,327,0.0%,61.2%,1500000,0 ( 0.0% ),200,0 ( 0.0% ),6279847384,763256,37
2017-05-12,2,0.0%,2,0%,327,0.0%,61.5%,1505500,5500 ( 0.4% ),201,1 ( 0.5% ),6281352884,763457,32
2017-05-13,2,0.0%,2,0%,336,0.0%,61.6%,1568000,62500 ( 4.2% ),207,6 ( 3.0% ),6282920884,763664,38
2017-05-14,2,0.0%,2,0%,327,0.0%,61.8%,1512000,-56000 ( -3.6% ),202,-5 ( -2.4% ),6284432884,763866,35
