날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2017-01-05,2,0.0%,2,0%,564,0.0%,100.0%,4750000,4750000 ( 100.0% ),564,564 ( 100.0% ),4750000,564,21
2017-01-10,23,0.4%,29,0.2%,6235,0.2%,65.8%,36166300,36166300 ( 100.0% ),4101,4101 ( 100.0% ),40916300,4665,12
2017-01-11,9,0.2%,9,0.1%,1816,0.1%,100.0%,14528000,-21638300 ( -59.8% ),1816,-2285 ( -55.7% ),55444300,6481,17
2017-01-12,12,0.2%,14,0.1%,3203,0.1%,100.0%,26748000,12220000 ( 84.1% ),3203,1387 ( 76.4% ),82192300,9684,13
2017-01-14,8,0.1%,8,0%,1772,0.1%,100.0%,15918000,15918000 ( 100.0% ),1772,1772 ( 100.0% ),98110300,11456,18
2017-01-15,6,0.1%,6,0%,2036,0.1%,100.0%,19690000,3772000 ( 23.7% ),2036,264 ( 14.9% ),117800300,13492,16
2017-01-17,24,0.4%,24,0.1%,3540,0.1%,31.5%,8701000,8701000 ( 100.0% ),1114,1114 ( 100.0% ),126501300,14606,21
2017-01-18,900,16.4%,4126,24.2%,704909,25.3%,21.5%,1145130100,1136429100 ( 13060.9% ),151845,150731 ( 13530.6% ),1271631400,166451,2
2017-01-19,918,16.2%,4157,24.3%,704107,25.2%,20.1%,1063411600,-81718500 ( -7.1% ),141569,-10276 ( -6.8% ),2335043000,308020,2
2017-01-20,938,16.7%,4217,24.3%,708332,25.1%,22.6%,1350950693,287539093 ( 27.0% ),160116,18547 ( 13.1% ),3685993693,468136,2
2017-01-21,976,16.5%,4221,23.5%,691500,23.6%,48.2%,2810573092,1459622399 ( 108.0% ),333625,173509 ( 108.4% ),6496566785,801761,2
2017-01-22,972,16.7%,4120,23.5%,673909,23.6%,52.3%,2967913800,157340708 ( 5.6% ),352228,18603 ( 5.6% ),9464480585,1153989,2
2017-01-23,928,17.3%,4117,24.7%,682245,25.1%,20.3%,1051594800,-1916319000 ( -64.6% ),138338,-213890 ( -60.7% ),10516075385,1292327,2
2017-01-24,955,17.4%,4177,24.8%,693835,25.3%,19.6%,1022534750,-29060050 ( -2.8% ),135694,-2644 ( -1.9% ),11538610135,1428021,2
2017-01-25,987,16.4%,4227,24.5%,758179,27.0%,25.5%,1172426200,149891450 ( 14.7% ),193551,57857 ( 42.6% ),12711036335,1621572,2
2017-01-26,991,16.4%,4491,25.1%,814192,28.1%,29.3%,1830307900,657881700 ( 56.1% ),238425,44874 ( 23.2% ),14541344235,1859997,1
2017-01-27,1177,18.2%,5360,29%,985813,32.9%,47.9%,4057287634,2226979734 ( 121.7% ),472221,233796 ( 98.1% ),18598631869,2332218,1
2017-01-28,1279,20.2%,5806,31.8%,1062909,35.8%,62.5%,5774705700,1717418066 ( 42.3% ),664830,192609 ( 40.8% ),24373337569,2997048,1
2017-01-29,1383,21.0%,6249,33.4%,1143640,37.7%,69.8%,6821569400,1046863700 ( 18.1% ),797994,133164 ( 20.0% ),31194906969,3795042,1
2017-01-30,1392,21.5%,6123,33.8%,1130619,38.4%,67.3%,6399470500,-422098900 ( -6.2% ),761071,-36923 ( -4.6% ),37594377469,4556113,1
2017-01-31,1094,18.6%,5160,29.8%,993625,35.4%,30.6%,2269168100,-4130302400 ( -64.5% ),304003,-457068 ( -60.1% ),39863545569,4860116,1
2017-02-01,1075,20.0%,5290,31.6%,1047557,38.3%,18.1%,1416506700,-852661400 ( -37.6% ),189579,-114424 ( -37.6% ),41280052269,5049695,1
2017-02-02,998,18.5%,5011,29.9%,1005587,36.6%,17.3%,1306151800,-110354900 ( -7.8% ),174342,-15237 ( -8.0% ),42586204069,5224037,1
2017-02-03,1022,18.7%,5198,30.4%,1043279,37.3%,19.4%,1698784568,392632768 ( 30.1% ),202908,28566 ( 16.4% ),44284988637,5426945,1
2017-02-04,1099,18.4%,5616,31.4%,1129676,38.8%,39.2%,3758373250,2059588682 ( 121.2% ),442556,239648 ( 118.1% ),48043361887,5869501,1
2017-02-05,1094,18.4%,5456,31.3%,1098515,38.6%,36.7%,3407131600,-351241650 ( -9.3% ),402889,-39667 ( -9.0% ),51450493487,6272390,1
2017-02-06,1018,19.8%,5048,31.5%,1012293,38.4%,12.3%,934708000,-2472423600 ( -72.6% ),124410,-278479 ( -69.1% ),52385201487,6396800,1
2017-02-07,1022,19.2%,5007,31%,1002384,37.8%,11.8%,878530200,-56177800 ( -6.0% ),118066,-6344 ( -5.1% ),53263731687,6514866,1
2017-02-08,942,18.6%,4564,27.4%,899247,32.9%,12.6%,847015900,-31514300 ( -3.6% ),113012,-5054 ( -4.3% ),54110747587,6627878,1
2017-02-09,742,12.4%,3271,19.3%,628040,22.6%,14.4%,681229400,-165786500 ( -19.6% ),90606,-22406 ( -19.8% ),54791976987,6718484,2
