날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2015-12-21,1,0.0%,1,0%,326,0.0%,100.0%,2608000,2608000 ( 100.0% ),326,326 ( 100.0% ),2608000,326,21
2015-12-29,3,0.1%,3,0%,962,0.0%,98.1%,7854000,7854000 ( 100.0% ),944,944 ( 100.0% ),10462000,1270,14
2016-01-04,1,0.0%,1,0%,450,0.0%,0.0%,0,0 ( 0.0% ),0,0 ( 0.0% ),10462000,1270,71
2016-01-07,585,10.7%,1668,10.5%,267718,10.3%,27.8%,523650100,523650100 ( 100.0% ),74492,74492 ( 100.0% ),534112100,75762,1
2016-01-08,630,11.2%,1753,10.9%,284837,10.8%,26.1%,543830700,20180600 ( 3.9% ),74320,-172 ( -0.2% ),1077942800,150082,2
2016-01-09,803,13.2%,2392,14.2%,412672,15.0%,47.9%,1511039900,967209200 ( 177.9% ),197495,123175 ( 165.7% ),2588982700,347577,1
2016-01-10,814,13.6%,2424,14.9%,416708,15.6%,48.6%,1558207700,47167800 ( 3.1% ),202619,5124 ( 2.6% ),4147190400,550196,1
2016-01-11,638,11.5%,1882,12.4%,318992,12.8%,14.8%,336968600,-1221239100 ( -78.4% ),47179,-155440 ( -76.7% ),4484159000,597375,3
2016-01-12,652,11.6%,1899,12.6%,323022,13.0%,16.4%,369091800,32123200 ( 9.5% ),52850,5671 ( 12.0% ),4853250800,650225,2
2016-01-13,643,11.5%,1880,12.6%,320929,13.0%,14.3%,318104200,-50987600 ( -13.8% ),45896,-6954 ( -13.2% ),5171355000,696121,2
2016-01-14,546,9.5%,1464,9.5%,242667,9.5%,16.6%,274139300,-43964900 ( -13.8% ),40356,-5540 ( -12.1% ),5445494300,736477,3
2016-01-15,563,9.6%,1488,9.4%,244318,9.3%,17.4%,298117700,23978400 ( 8.7% ),42425,2069 ( 5.1% ),5743612000,778902,3
2016-01-16,612,9.9%,1714,10.5%,291453,10.8%,41.7%,910545100,612427400 ( 205.4% ),121503,79078 ( 186.4% ),6654157100,900405,2
2016-01-17,612,10.0%,1704,10.7%,288496,11.0%,39.0%,852775200,-57769900 ( -6.3% ),112549,-8954 ( -7.4% ),7506932300,1012954,2
2016-01-18,509,9.2%,1380,9.4%,224022,9.2%,9.7%,152446400,-700328800 ( -82.1% ),21813,-90736 ( -80.6% ),7659378700,1034767,4
2016-01-19,515,9.2%,1347,9.3%,219790,9.1%,10.7%,159606400,7160000 ( 4.7% ),23490,1677 ( 7.7% ),7818985100,1058257,4
2016-01-20,530,9.4%,1357,9.2%,219345,9.1%,10.6%,156147000,-3459400 ( -2.2% ),23191,-299 ( -1.3% ),7975132100,1081448,4
2016-01-21,411,7.9%,903,6%,124931,5.0%,17.4%,144211300,-11935700 ( -7.6% ),21715,-1476 ( -6.4% ),8119343400,1103163,4
2016-01-22,435,8.2%,931,6%,130285,5.1%,18.4%,165766368,21555068 ( 14.9% ),23941,2226 ( 10.3% ),8285109768,1127104,4
2016-01-23,505,8.7%,1209,7.4%,171039,6.4%,40.0%,507794170,342027802 ( 206.3% ),68362,44421 ( 185.5% ),8792903938,1195466,3
2016-01-24,504,8.8%,1191,7.6%,168806,6.6%,32.9%,422508100,-85286070 ( -16.8% ),55458,-12904 ( -18.9% ),9215412038,1250924,3
2016-01-25,422,8.3%,947,6.6%,133049,5.6%,9.3%,85498900,-337009200 ( -79.8% ),12315,-43143 ( -77.8% ),9300910938,1263239,6
2016-01-26,435,8.4%,975,6.8%,136497,5.7%,10.2%,93915300,8416400 ( 9.8% ),13983,1668 ( 13.5% ),9394826238,1277222,5
2016-01-27,406,7.9%,881,6%,124691,5.1%,11.3%,87586100,-6329200 ( -6.7% ),14056,73 ( 0.5% ),9482412338,1291278,7
2016-01-28,184,3.9%,273,1.7%,33411,1.2%,10.7%,24433400,-63152700 ( -72.1% ),3590,-10466 ( -74.5% ),9506845738,1294868,9
2016-01-29,186,3.9%,268,1.6%,32850,1.2%,10.9%,25179200,745800 ( 3.1% ),3573,-17 ( -0.5% ),9532024938,1298441,9
2016-01-30,199,4.0%,288,1.6%,35148,1.2%,33.1%,88165400,62986200 ( 250.2% ),11649,8076 ( 226.0% ),9620190338,1310090,8
2016-01-31,208,4.2%,300,1.8%,36773,1.3%,32.0%,89490400,1325000 ( 1.5% ),11776,127 ( 1.1% ),9709680738,1321866,7
2016-02-01,146,3.3%,183,1.2%,22714,0.9%,5.2%,8308200,-81182200 ( -90.7% ),1184,-10592 ( -89.9% ),9717988938,1323050,12
2016-02-02,152,3.3%,191,1.3%,23827,0.9%,7.3%,11695400,3387200 ( 40.8% ),1742,558 ( 47.1% ),9729684338,1324792,11
2016-02-03,53,1.2%,62,0.4%,7541,0.3%,10.9%,5570800,-6124600 ( -52.4% ),820,-922 ( -52.9% ),9735255138,1325612,12
2016-02-04,12,0.3%,15,0.1%,1250,0.0%,29.7%,1923000,-3647800 ( -65.5% ),371,-449 ( -54.8% ),9737178138,1325983,21
2016-02-05,10,0.2%,11,0.1%,1173,0.0%,12.6%,1019000,-904000 ( -47.0% ),148,-223 ( -60.1% ),9738197138,1326131,25
2016-02-06,15,0.3%,18,0.1%,2329,0.1%,28.0%,5158900,4139900 ( 406.3% ),651,503 ( 339.9% ),9743356038,1326782,17
2016-02-07,15,0.3%,18,0.1%,2422,0.1%,22.4%,4320200,-838700 ( -16.3% ),543,-108 ( -16.6% ),9747676238,1327325,18
2016-02-08,11,0.2%,14,0.1%,1554,0.1%,14.3%,1716500,-2603700 ( -60.3% ),222,-321 ( -59.1% ),9749392738,1327547,23
2016-02-09,13,0.2%,16,0.1%,1970,0.1%,33.0%,4800000,3083500 ( 179.6% ),651,429 ( 193.2% ),9754192738,1328198,19
2016-02-10,11,0.2%,13,0.1%,1643,0.1%,34.5%,4037500,-762500 ( -15.9% ),567,-84 ( -12.9% ),9758230238,1328765,19
