날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-02-14,1,0.0%,1,0%,414,0.0%,98.1%,2436000,2436000 ( 100.0% ),406,406 ( 100.0% ),2436000,406,20
2018-02-21,4,0.1%,5,0%,1405,0.1%,84.4%,10648000,10648000 ( 100.0% ),1186,1186 ( 100.0% ),13084000,1592,13
2018-02-23,4,0.1%,4,0%,1087,0.0%,100.0%,10870000,10870000 ( 100.0% ),1087,1087 ( 100.0% ),23954000,2679,15
2018-02-26,3,0.1%,3,0%,710,0.0%,100.0%,6390000,6390000 ( 100.0% ),710,710 ( 100.0% ),30344000,3389,16
2018-02-27,7,0.1%,7,0%,1213,0.0%,100.0%,8393000,2003000 ( 31.3% ),1213,503 ( 70.8% ),38737000,4602,18
2018-02-28,855,14.0%,4103,21.9%,745129,24.8%,23.5%,1060297900,1051904900 ( 12533.1% ),175057,173844 ( 14331.7% ),1099034900,179659,1
2018-03-01,876,13.9%,4228,22.1%,754162,24.6%,33.8%,2095006200,1034708300 ( 97.6% ),254670,79613 ( 45.5% ),3194041100,434329,1
2018-03-02,884,14.9%,4283,23.1%,761122,25.4%,13.5%,848457053,-1246549147 ( -59.5% ),103101,-151569 ( -59.5% ),4042498153,537430,1
2018-03-03,966,15.5%,4736,24.7%,862468,28.1%,24.0%,1726715862,878258809 ( 103.5% ),207151,104050 ( 100.9% ),5769214015,744581,1
2018-03-04,965,15.7%,4576,24.7%,842287,28.3%,21.3%,1504691700,-222024162 ( -12.9% ),179647,-27504 ( -13.3% ),7273905715,924228,1
2018-03-05,855,16.6%,4170,24.9%,763663,28.0%,7.8%,443388300,-1061303400 ( -70.5% ),59586,-120061 ( -66.8% ),7717294015,983814,1
2018-03-06,856,16.1%,4101,24.7%,750811,27.8%,7.1%,393224900,-50163400 ( -11.3% ),53369,-6217 ( -10.4% ),8110518915,1037183,1
2018-03-07,747,15.0%,3422,20%,627617,22.5%,6.5%,299106100,-94118800 ( -23.9% ),40867,-12502 ( -23.4% ),8409625015,1078050,2
2018-03-08,618,11.8%,2596,15%,436434,15.6%,7.8%,247526700,-51579400 ( -17.2% ),33911,-6956 ( -17.0% ),8657151715,1111961,4
2018-03-09,630,11.7%,2624,14.8%,440675,15.3%,7.7%,277932011,30405311 ( 12.3% ),33716,-195 ( -0.6% ),8935083726,1145677,4
2018-03-10,647,10.7%,2681,14%,440519,14.3%,15.4%,564940812,287008801 ( 103.3% ),67922,34206 ( 101.5% ),9500024538,1213599,4
2018-03-11,618,10.3%,2469,13.3%,403248,13.5%,13.7%,461548800,-103392012 ( -18.3% ),55441,-12481 ( -18.4% ),9961573338,1269040,4
2018-03-12,573,11.1%,2129,12.8%,327238,12.0%,4.6%,109934700,-351614100 ( -76.2% ),15151,-40290 ( -72.7% ),10071508038,1284191,4
2018-03-13,565,10.5%,2087,12.6%,323531,12.0%,4.6%,106295300,-3639400 ( -3.3% ),14852,-299 ( -2.0% ),10177803338,1299043,4
2018-03-14,360,6.9%,702,4.1%,87843,3.2%,6.5%,39700200,-66595100 ( -62.7% ),5674,-9178 ( -61.8% ),10217503538,1304717,7
2018-03-15,337,6.1%,598,3.5%,74330,2.7%,7.0%,36566600,-3133600 ( -7.9% ),5203,-471 ( -8.3% ),10254070138,1309920,8
2018-03-16,321,5.8%,565,3.2%,70160,2.5%,6.3%,34241000,-2325600 ( -6.4% ),4401,-802 ( -15.4% ),10288311138,1314321,9
2018-03-17,311,5.0%,508,2.7%,60857,2.0%,11.7%,56814800,22573800 ( 65.9% ),7121,2720 ( 61.8% ),10345125938,1321442,10
2018-03-18,296,4.8%,463,2.5%,55926,1.9%,10.7%,48176200,-8638600 ( -15.2% ),5999,-1122 ( -15.8% ),10393302138,1327441,10
2018-03-19,279,5.2%,453,2.8%,56723,2.2%,5.8%,22548200,-25628000 ( -53.2% ),3291,-2708 ( -45.1% ),10415850338,1330732,9
2018-03-20,272,5.0%,418,2.6%,53196,2.0%,4.8%,17647800,-4900400 ( -21.7% ),2561,-730 ( -22.2% ),10433498138,1333293,10
2018-03-21,85,1.7%,117,0.7%,14350,0.6%,12.0%,11034300,-6613500 ( -37.5% ),1724,-837 ( -32.7% ),10444532438,1335017,13
2018-03-22,42,0.8%,65,0.4%,6947,0.3%,15.6%,6364000,-4670300 ( -42.3% ),1082,-642 ( -37.2% ),10450896438,1336099,15
2018-03-23,36,0.7%,52,0.3%,6201,0.2%,7.2%,3153600,-3210400 ( -50.4% ),444,-638 ( -59.0% ),10454050038,1336543,22
2018-03-24,41,0.7%,56,0.3%,6489,0.2%,19.5%,10283900,7130300 ( 226.1% ),1268,824 ( 185.6% ),10464333938,1337811,19
2018-03-25,34,0.6%,49,0.3%,5535,0.2%,9.3%,3724500,-6559400 ( -63.8% ),513,-755 ( -59.5% ),10468058438,1338324,24
2018-03-26,50,1.0%,62,0.4%,7439,0.3%,3.2%,1399000,-2325500 ( -62.4% ),235,-278 ( -54.2% ),10469457438,1338559,23
2018-03-27,48,0.9%,62,0.4%,7151,0.3%,3.8%,1757000,358000 ( 25.6% ),275,40 ( 17.0% ),10471214438,1338834,28
2018-03-28,10,0.2%,10,0.1%,1267,0.0%,10.3%,670000,-1087000 ( -61.9% ),130,-145 ( -52.7% ),10471884438,1338964,36
2018-03-29,6,0.1%,6,0%,742,0.0%,3.0%,110000,-560000 ( -83.6% ),22,-108 ( -83.1% ),10471994438,1338986,65
2018-03-30,5,0.1%,5,0%,625,0.0%,15.5%,485000,375000 ( 340.9% ),97,75 ( 340.9% ),10472479438,1339083,38
2018-03-31,1,0.0%,1,0%,144,0.0%,100.0%,864000,379000 ( 78.1% ),144,47 ( 48.5% ),10473343438,1339227,40
2018-04-03,1,0.0%,1,0%,104,0.0%,2.9%,18000,18000 ( 100.0% ),3,3 ( 100.0% ),10473361438,1339230,74
2018-04-05,1,0.0%,1,0%,162,0.0%,100.0%,1134000,1134000 ( 100.0% ),162,162 ( 100.0% ),10474495438,1339392,33
2018-04-07,1,0.0%,1,0%,144,0.0%,100.0%,864000,864000 ( 100.0% ),144,144 ( 100.0% ),10475359438,1339536,39
2018-04-08,1,0.0%,1,0%,144,0.0%,100.0%,864000,0 ( 0.0% ),144,0 ( 0.0% ),10476223438,1339680,39
2018-04-10,1,0.0%,1,0%,117,0.0%,11.1%,73000,73000 ( 100.0% ),13,13 ( 100.0% ),10476296438,1339693,83
2018-04-11,1,0.0%,1,0%,117,0.0%,0.9%,5000,-68000 ( -93.2% ),1,-12 ( -92.3% ),10476301438,1339694,95
