날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2017-06-22,1,0.0%,1,0%,208,0.0%,100.0%,1664000,1664000 ( 100.0% ),208,208 ( 100.0% ),1664000,208,36
2017-07-05,5,0.1%,9,0.1%,1374,0.1%,3.4%,315000,315000 ( 100.0% ),47,47 ( 100.0% ),1979000,255,57
2017-07-06,156,3.5%,279,1.8%,32446,1.2%,6.7%,15539300,15224300 ( 4833.1% ),2170,2123 ( 4517.0% ),17518300,2425,7
2017-07-07,168,3.7%,291,1.8%,34710,1.3%,6.2%,17509202,1969902 ( 12.7% ),2154,-16 ( -0.7% ),35027502,4579,8
2017-07-08,151,3.2%,236,1.4%,28285,1.0%,8.8%,20101606,2592404 ( 14.8% ),2496,342 ( 15.9% ),55129108,7075,12
2017-07-09,145,3.1%,217,1.3%,25882,1.0%,8.1%,16838400,-3263206 ( -16.2% ),2103,-393 ( -15.7% ),71967508,9178,11
2017-07-10,147,3.5%,243,1.6%,29226,1.2%,4.3%,8781000,-8057400 ( -47.9% ),1246,-857 ( -40.8% ),80748508,10424,8
2017-07-11,138,3.1%,229,1.5%,26964,1.1%,5.3%,9949400,1168400 ( 13.3% ),1431,185 ( 14.8% ),90697908,11855,10
2017-07-12,113,2.6%,185,1.2%,21676,0.8%,4.3%,6609600,-3339800 ( -33.6% ),937,-494 ( -34.5% ),97307508,12792,15
2017-07-13,48,1.0%,69,0.4%,7710,0.3%,7.0%,3941500,-2668100 ( -40.4% ),539,-398 ( -42.5% ),101249008,13331,20
2017-07-14,45,0.9%,63,0.4%,6997,0.3%,7.0%,3862500,-79000 ( -2.0% ),492,-47 ( -8.7% ),105111508,13823,26
2017-07-15,47,0.9%,57,0.3%,6384,0.2%,12.0%,6484900,2622400 ( 67.9% ),767,275 ( 55.9% ),111596408,14590,22
2017-07-16,41,0.8%,53,0.3%,5587,0.2%,11.8%,5260000,-1224900 ( -18.9% ),659,-108 ( -14.1% ),116856408,15249,22
2017-07-17,46,1.0%,64,0.4%,7637,0.3%,5.1%,2900000,-2360000 ( -44.9% ),393,-266 ( -40.4% ),119756408,15642,22
2017-07-18,45,0.9%,62,0.4%,6996,0.3%,5.4%,2615500,-284500 ( -9.8% ),379,-14 ( -3.6% ),122371908,16021,26
2017-07-19,43,0.9%,56,0.3%,6341,0.2%,4.1%,1829000,-786500 ( -30.1% ),262,-117 ( -30.9% ),124200908,16283,31
2017-07-20,30,0.5%,34,0.2%,3909,0.1%,7.2%,2045400,216400 ( 11.8% ),281,19 ( 7.3% ),126246308,16564,25
2017-07-21,22,0.4%,27,0.1%,2384,0.1%,7.0%,1298500,-746900 ( -36.5% ),167,-114 ( -40.6% ),127544808,16731,33
2017-07-22,22,0.4%,23,0.1%,2100,0.1%,10.8%,1902000,603500 ( 46.5% ),227,60 ( 35.9% ),129446808,16958,29
2017-07-23,25,0.4%,28,0.1%,3340,0.1%,6.2%,1662000,-240000 ( -12.6% ),208,-19 ( -8.4% ),131108808,17166,29
2017-07-24,24,0.4%,29,0.2%,3597,0.1%,4.1%,1062000,-600000 ( -36.1% ),149,-59 ( -28.4% ),132170808,17315,35
2017-07-25,24,0.4%,31,0.2%,3376,0.1%,5.2%,1311700,249700 ( 23.5% ),176,27 ( 18.1% ),133482508,17491,35
2017-07-26,14,0.3%,17,0.1%,1750,0.1%,6.3%,786500,-525200 ( -40.0% ),111,-65 ( -36.9% ),134269008,17602,48
2017-07-27,14,0.3%,15,0.1%,1497,0.0%,3.9%,419500,-367000 ( -46.7% ),58,-53 ( -47.7% ),134688508,17660,61
2017-07-28,9,0.2%,10,0.1%,986,0.0%,6.3%,496000,76500 ( 18.2% ),62,4 ( 6.9% ),135184508,17722,55
2017-07-29,6,0.1%,7,0%,514,0.0%,16.7%,647500,151500 ( 30.5% ),86,24 ( 38.7% ),135832008,17808,56
2017-07-30,6,0.1%,7,0%,503,0.0%,15.7%,581000,-66500 ( -10.3% ),79,-7 ( -8.1% ),136413008,17887,38
2017-07-31,9,0.2%,12,0.1%,1286,0.0%,3.9%,379500,-201500 ( -34.7% ),50,-29 ( -36.7% ),136792508,17937,48
2017-08-01,11,0.2%,16,0.1%,1702,0.1%,4.9%,592000,212500 ( 56.0% ),83,33 ( 66.0% ),137384508,18020,45
2017-08-02,6,0.1%,7,0%,494,0.0%,11.9%,460000,-132000 ( -22.3% ),59,-24 ( -28.9% ),137844508,18079,47
2017-08-03,4,0.1%,5,0%,472,0.0%,16.5%,687000,227000 ( 49.3% ),78,19 ( 32.2% ),138531508,18157,43
2017-08-04,4,0.1%,4,0%,171,0.0%,20.5%,263000,-424000 ( -61.7% ),35,-43 ( -55.1% ),138794508,18192,60
2017-08-05,3,0.1%,3,0%,216,0.0%,9.3%,134000,-129000 ( -49.0% ),20,-15 ( -42.9% ),138928508,18212,75
2017-08-06,3,0.1%,3,0%,230,0.0%,14.8%,265000,131000 ( 97.8% ),34,14 ( 70.0% ),139193508,18246,52
2017-08-07,4,0.1%,4,0%,377,0.0%,9.3%,265000,0 ( 0.0% ),35,1 ( 2.9% ),139458508,18281,47
2017-08-08,5,0.1%,6,0%,522,0.0%,2.9%,105000,-160000 ( -60.4% ),15,-20 ( -57.1% ),139563508,18296,67
2017-08-09,4,0.1%,4,0%,360,0.0%,3.1%,75000,-30000 ( -28.6% ),11,-4 ( -26.7% ),139638508,18307,65
2017-08-10,3,0.1%,4,0%,302,0.0%,6.6%,174000,99000 ( 132.0% ),20,9 ( 81.8% ),139812508,18327,64
2017-08-11,2,0.0%,2,0%,175,0.0%,11.4%,170000,-4000 ( -2.3% ),20,0 ( 0.0% ),139982508,18347,64
2017-08-12,2,0.0%,2,0%,175,0.0%,10.9%,162000,-8000 ( -4.7% ),19,-1 ( -5.0% ),140144508,18366,77
2017-08-13,1,0.0%,1,0%,125,0.0%,0.8%,7000,-155000 ( -95.7% ),1,-18 ( -94.7% ),140151508,18367,90
2017-08-14,4,0.1%,4,0%,466,0.0%,6.7%,239000,232000 ( 3314.3% ),31,30 ( 3000.0% ),140390508,18398,55
2017-08-15,1,0.0%,1,0%,77,0.0%,11.7%,63000,-176000 ( -73.6% ),9,-22 ( -71.0% ),140453508,18407,73
2017-08-16,2,0.0%,2,0%,180,0.0%,2.8%,35000,-28000 ( -44.4% ),5,-4 ( -44.4% ),140488508,18412,82
2017-08-17,3,0.1%,5,0%,365,0.0%,7.4%,231000,196000 ( 560.0% ),27,22 ( 440.0% ),140719508,18439,69
2017-08-19,1,0.0%,1,0%,50,0.0%,22.0%,92000,92000 ( 100.0% ),11,11 ( 100.0% ),140811508,18450,78
2017-08-20,2,0.0%,2,0%,175,0.0%,5.1%,71000,-21000 ( -22.8% ),9,-2 ( -18.2% ),140882508,18459,69
2017-08-21,5,0.1%,5,0%,516,0.0%,4.8%,202000,131000 ( 184.5% ),25,16 ( 177.8% ),141084508,18484,58
2017-08-24,1,0.0%,2,0%,100,0.0%,3.0%,25000,25000 ( 100.0% ),3,3 ( 100.0% ),141109508,18487,116
2017-08-27,1,0.0%,1,0%,50,0.0%,14.0%,63000,63000 ( 100.0% ),7,7 ( 100.0% ),141172508,18494,86
2017-08-28,1,0.0%,1,0%,152,0.0%,1.3%,14000,-49000 ( -77.8% ),2,-5 ( -71.4% ),141186508,18496,77
2017-08-29,1,0.0%,1,0%,50,0.0%,2.0%,9000,-5000 ( -35.7% ),1,-1 ( -50.0% ),141195508,18497,93
2017-08-30,1,0.0%,1,0%,50,0.0%,2.0%,6000,-3000 ( -33.3% ),1,0 ( 0.0% ),141201508,18498,98
2017-08-31,1,0.0%,1,0%,50,0.0%,10.0%,45000,39000 ( 650.0% ),5,4 ( 400.0% ),141246508,18503,92
2017-09-01,1,0.0%,1,0%,202,0.0%,8.9%,131000,86000 ( 191.1% ),18,13 ( 260.0% ),141377508,18521,78
