날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2017-08-31,1,0.0%,1,0%,450,0.0%,100.0%,3600000,3600000 ( 100.0% ),450,450 ( 100.0% ),3600000,450,29
2017-09-04,1,0.0%,1,0%,208,0.0%,100.0%,1456000,1456000 ( 100.0% ),208,208 ( 100.0% ),5056000,658,31
2017-09-05,4,0.1%,7,0%,1048,0.0%,58.2%,5276000,3820000 ( 262.4% ),610,402 ( 193.3% ),10332000,1268,20
2017-09-06,752,14.0%,3191,19.2%,596155,21.9%,12.9%,607948000,602672000 ( 11422.9% ),76925,76315 ( 12510.7% ),618280000,78193,2
2017-09-07,785,13.3%,3174,18.9%,589431,21.5%,12.9%,600238800,-7709200 ( -1.3% ),75819,-1106 ( -1.4% ),1218518800,154012,2
2017-09-08,804,13.3%,3279,19%,599538,21.3%,16.7%,859264819,259026019 ( 43.2% ),100066,24247 ( 32.0% ),2077783619,254078,2
2017-09-09,837,13.1%,3447,18.6%,612239,20.4%,29.6%,1537084807,677819988 ( 78.9% ),181519,81453 ( 81.4% ),3614868426,435597,2
2017-09-10,805,12.8%,3291,18.2%,581744,19.8%,23.5%,1167078500,-370006307 ( -24.1% ),136830,-44689 ( -24.6% ),4781946926,572427,2
2017-09-11,731,13.0%,2905,17.7%,525108,19.6%,7.7%,318951900,-848126600 ( -72.7% ),40529,-96301 ( -70.4% ),5100898826,612956,2
2017-09-12,739,13.0%,2803,17.3%,509905,19.2%,6.5%,259506600,-59445300 ( -18.6% ),33140,-7389 ( -18.2% ),5360405426,646096,2
2017-09-13,690,11.3%,2287,14%,401203,15.0%,6.9%,215931600,-43575000 ( -16.8% ),27646,-5494 ( -16.6% ),5576337026,673742,3
2017-09-14,456,8.0%,1193,7%,172940,6.1%,9.7%,129363100,-86568500 ( -40.1% ),16765,-10881 ( -39.4% ),5705700126,690507,5
2017-09-15,462,7.9%,1268,7.2%,182711,6.3%,14.8%,226663048,97299948 ( 75.2% ),27068,10303 ( 61.5% ),5932363174,717575,4
2017-09-16,481,7.5%,1265,6.7%,174918,5.7%,29.6%,430638733,203975685 ( 90.0% ),51798,24730 ( 91.4% ),6363001907,769373,4
2017-09-17,481,7.6%,1259,6.8%,174490,5.8%,23.2%,337884200,-92754533 ( -21.5% ),40416,-11382 ( -22.0% ),6700886107,809789,5
2017-09-18,430,7.7%,1085,6.6%,155571,5.7%,6.7%,79931200,-257953000 ( -76.3% ),10386,-30030 ( -74.3% ),6780817307,820175,5
2017-09-19,417,7.3%,1050,6.4%,152508,5.7%,5.9%,69877400,-10053800 ( -12.6% ),9039,-1347 ( -13.0% ),6850694707,829214,5
2017-09-20,418,7.3%,1046,6.4%,151923,5.6%,6.0%,69980800,103400 ( 0.1% ),9148,109 ( 1.2% ),6920675507,838362,5
2017-09-21,220,4.1%,381,2.3%,57220,2.1%,7.0%,31291300,-38689500 ( -55.3% ),3979,-5169 ( -56.5% ),6951966807,842341,9
2017-09-22,238,4.3%,434,2.6%,63232,2.3%,11.2%,60879600,29588300 ( 94.6% ),7073,3094 ( 77.8% ),7012846407,849414,7
2017-09-23,237,3.9%,461,2.5%,61342,2.1%,21.4%,110429500,49549900 ( 81.4% ),13134,6061 ( 85.7% ),7123275907,862548,7
2017-09-24,240,4.0%,453,2.5%,60787,2.1%,17.0%,88240200,-22189300 ( -20.1% ),10361,-2773 ( -21.1% ),7211516107,872909,7
2017-09-25,219,4.2%,381,2.4%,55694,2.1%,5.4%,23195000,-65045200 ( -73.7% ),2992,-7369 ( -71.1% ),7234711107,875901,9
2017-09-26,215,4.0%,372,2.3%,54485,2.1%,5.1%,21208800,-1986200 ( -8.6% ),2772,-220 ( -7.4% ),7255919907,878673,11
2017-09-27,35,0.7%,51,0.3%,6716,0.3%,11.9%,4843100,-16365700 ( -77.2% ),801,-1971 ( -71.1% ),7260763007,879474,16
2017-09-28,29,0.6%,46,0.3%,5896,0.2%,10.3%,4609500,-233600 ( -4.8% ),608,-193 ( -24.1% ),7265372507,880082,19
2017-09-29,34,0.6%,53,0.3%,6639,0.2%,23.0%,12101800,7492300 ( 162.5% ),1527,919 ( 151.2% ),7277474307,881609,12
