날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2017-12-28,1,0.0%,1,0%,414,0.0%,100.0%,3312000,3312000 ( 100.0% ),414,414 ( 100.0% ),3312000,414,25
2018-01-03,6,0.1%,7,0%,1803,0.1%,87.9%,14246000,14246000 ( 100.0% ),1584,1584 ( 100.0% ),17558000,1998,12
2018-01-07,1,0.0%,1,0%,375,0.0%,69.6%,2610000,2610000 ( 100.0% ),261,261 ( 100.0% ),20168000,2259,27
2018-01-10,34,0.6%,35,0.2%,6479,0.2%,97.3%,51407000,51407000 ( 100.0% ),6307,6307 ( 100.0% ),71575000,8566,7
2018-01-11,9,0.2%,9,0.1%,1685,0.1%,98.0%,13311000,-38096000 ( -74.1% ),1652,-4655 ( -73.8% ),84886000,10218,13
2018-01-12,8,0.1%,8,0%,1789,0.1%,100.0%,16315000,3004000 ( 22.6% ),1789,137 ( 8.3% ),101201000,12007,12
2018-01-15,12,0.2%,12,0.1%,2373,0.1%,99.3%,21013000,21013000 ( 100.0% ),2357,2357 ( 100.0% ),122214000,14364,10
2018-01-16,55,0.9%,55,0.3%,10442,0.4%,79.9%,78678700,57665700 ( 274.4% ),8343,5986 ( 254.0% ),200892700,22707,7
2018-01-17,825,14.8%,3491,20.5%,602104,22.0%,21.1%,964523300,885844600 ( 1125.9% ),126797,118454 ( 1419.8% ),1165416000,149504,2
2018-01-18,833,14.4%,3455,20.1%,591116,21.5%,19.1%,856045100,-108478200 ( -11.2% ),112992,-13805 ( -10.9% ),2021461100,262496,2
2018-01-19,825,14.3%,3471,19.8%,585535,20.9%,22.1%,1089467942,233422842 ( 27.3% ),129275,16283 ( 14.4% ),3110929042,391771,2
2018-01-20,856,14.3%,3490,19.3%,579399,20.0%,44.8%,2185637448,1096169506 ( 100.6% ),259762,130487 ( 100.9% ),5296566490,651533,2
2018-01-21,861,14.5%,3423,19.4%,565678,20.1%,45.8%,2183094200,-2543248 ( -0.1% ),258836,-926 ( -0.4% ),7479660690,910369,2
2018-01-22,843,15.3%,3455,20.5%,571833,21.2%,17.6%,770551400,-1412542800 ( -64.7% ),100645,-158191 ( -61.1% ),8250212090,1011014,2
2018-01-23,862,15.1%,3485,20.8%,577563,21.4%,17.9%,787874300,17322900 ( 2.2% ),103234,2589 ( 2.6% ),9038086390,1114248,1
2018-01-24,754,13.2%,3020,17.2%,544818,19.3%,17.0%,711562900,-76311400 ( -9.7% ),92672,-10562 ( -10.2% ),9749649290,1206920,1
2018-01-25,791,12.5%,3115,17.5%,571106,20.0%,17.2%,756427000,44864100 ( 6.3% ),98162,5490 ( 5.9% ),10506076290,1305082,1
2018-01-26,839,13.0%,3349,18.6%,620154,21.6%,18.9%,992149124,235722124 ( 31.2% ),117046,18884 ( 19.2% ),11498225414,1422128,1
2018-01-27,951,13.6%,3844,20.4%,732748,24.4%,38.2%,2368280238,1376131114 ( 138.7% ),279702,162656 ( 139.0% ),13866505652,1701830,1
2018-01-28,956,13.7%,3803,20.7%,723176,24.7%,38.2%,2334250100,-34030138 ( -1.4% ),275942,-3760 ( -1.3% ),16200755752,1977772,1
2018-01-29,866,13.9%,3574,20.8%,685691,24.8%,13.7%,718201600,-1616048500 ( -69.2% ),94151,-181791 ( -65.9% ),16918957352,2071923,1
2018-01-30,884,13.7%,3574,20.7%,689641,24.9%,13.3%,688320800,-29880800 ( -4.2% ),91515,-2636 ( -2.8% ),17607278152,2163438,1
2018-01-31,706,11.7%,2774,14.8%,459342,15.2%,26.8%,721935500,33614700 ( 4.9% ),123036,31521 ( 34.4% ),18329213652,2286474,2
2018-02-01,668,10.6%,2666,14.4%,441933,14.8%,14.6%,486682800,-235252700 ( -32.6% ),64564,-58472 ( -47.5% ),18815896452,2351038,2
2018-02-02,746,11.5%,2872,15.4%,475413,15.7%,16.5%,653956837,167274037 ( 34.4% ),78474,13910 ( 21.5% ),19469853289,2429512,2
2018-02-03,855,12.3%,3358,17.2%,561746,17.8%,33.2%,1565442648,911485811 ( 139.4% ),186723,108249 ( 137.9% ),21035295937,2616235,2
2018-02-04,863,12.5%,3371,17.8%,569737,18.6%,30.9%,1477505600,-87937048 ( -5.6% ),175811,-10912 ( -5.8% ),22512801537,2792046,1
2018-02-05,793,13.2%,3161,18.6%,552622,19.9%,9.7%,407485000,-1070020600 ( -72.4% ),53836,-121975 ( -69.4% ),22920286537,2845882,1
2018-02-06,840,13.4%,3264,19.4%,576644,21.0%,9.7%,414881500,7396500 ( 1.8% ),55685,1849 ( 3.4% ),23335168037,2901567,1
2018-02-07,860,13.9%,3383,20.2%,615622,22.7%,9.0%,411245100,-3636400 ( -0.9% ),55124,-561 ( -1.0% ),23746413137,2956691,1
2018-02-08,703,11.3%,2555,14.7%,413133,14.7%,10.0%,308552700,-102692400 ( -25.0% ),41431,-13693 ( -24.8% ),24054965837,2998122,2
2018-02-09,689,10.9%,2602,14.6%,421371,14.7%,10.7%,377659976,69107276 ( 22.4% ),45104,3673 ( 8.9% ),24432625813,3043226,2
2018-02-10,724,10.7%,2767,14.6%,444500,14.6%,20.9%,780789669,403129693 ( 106.7% ),92722,47618 ( 105.6% ),25213415482,3135948,2
2018-02-11,705,10.6%,2670,14.5%,431352,14.6%,19.6%,717972900,-62816769 ( -8.0% ),84720,-8002 ( -8.6% ),25931388382,3220668,2
2018-02-12,674,11.2%,2510,15%,400441,14.8%,7.1%,214763400,-503209500 ( -70.1% ),28443,-56277 ( -66.4% ),26146151782,3249111,2
2018-02-13,692,11.2%,2544,15%,403871,14.7%,7.1%,215642600,879200 ( 0.4% ),28725,282 ( 1.0% ),26361794382,3277836,2
2018-02-14,318,5.7%,531,2.8%,61437,2.1%,15.3%,70674000,-144968600 ( -67.2% ),9428,-19297 ( -67.2% ),26432468382,3287264,7
2018-02-15,312,5.3%,485,2.5%,55294,1.8%,31.5%,145924800,75250800 ( 106.5% ),17402,7974 ( 84.6% ),26578393182,3304666,7
2018-02-16,288,4.9%,429,2.2%,50461,1.7%,43.2%,183524400,37599600 ( 25.8% ),21790,4388 ( 25.2% ),26761917582,3326456,5
2018-02-17,305,4.9%,469,2.4%,53428,1.7%,46.6%,204150500,20626100 ( 11.2% ),24904,3114 ( 14.3% ),26966068082,3351360,7
2018-02-18,315,5.1%,513,2.7%,59609,2.0%,28.4%,138608700,-65541800 ( -32.1% ),16902,-8002 ( -32.1% ),27104676782,3368262,8
2018-02-19,345,6.2%,591,3.4%,71652,2.6%,10.8%,54190600,-84418100 ( -60.9% ),7771,-9131 ( -54.0% ),27158867382,3376033,7
2018-02-20,340,5.9%,565,3.3%,68327,2.5%,9.7%,45505700,-8684900 ( -16.0% ),6623,-1148 ( -14.8% ),27204373082,3382656,9
2018-02-21,321,5.7%,521,3%,63427,2.3%,8.8%,37822800,-7682900 ( -16.9% ),5558,-1065 ( -16.1% ),27242195882,3388214,9
2018-02-22,236,4.1%,366,2.1%,42404,1.5%,8.3%,22978200,-14844600 ( -39.2% ),3508,-2050 ( -36.9% ),27265174082,3391722,11
2018-02-23,232,3.9%,366,2.1%,43081,1.5%,8.5%,25966700,2988500 ( 13.0% ),3652,144 ( 4.1% ),27291140782,3395374,12
2018-02-24,211,3.3%,339,1.8%,38863,1.3%,17.8%,48629400,22662700 ( 87.3% ),6930,3278 ( 89.8% ),27339770182,3402304,11
2018-02-25,199,3.2%,317,1.8%,36929,1.3%,15.8%,41876100,-6753300 ( -13.9% ),5821,-1109 ( -16.0% ),27381646282,3408125,11
2018-02-26,211,3.7%,339,2%,40282,1.5%,7.7%,20583700,-21292400 ( -50.8% ),3098,-2723 ( -46.8% ),27402229982,3411223,12
2018-02-27,206,3.5%,326,1.9%,39058,1.4%,9.0%,23125900,2542200 ( 12.4% ),3527,429 ( 13.8% ),27425355882,3414750,12
2018-02-28,26,0.4%,28,0.1%,3744,0.1%,10.3%,2048300,-21077600 ( -91.1% ),385,-3142 ( -89.1% ),27427404182,3415135,27
2018-03-01,6,0.1%,6,0%,950,0.0%,49.2%,3373600,1325300 ( 64.7% ),467,82 ( 21.3% ),27430777782,3415602,26
2018-03-02,4,0.1%,4,0%,855,0.0%,4.0%,267800,-3105800 ( -92.1% ),34,-433 ( -92.7% ),27431045582,3415636,60
2018-03-03,2,0.0%,2,0%,350,0.0%,16.3%,455800,188000 ( 70.2% ),57,23 ( 67.6% ),27431501382,3415693,58
2018-03-04,3,0.0%,3,0%,611,0.0%,42.6%,1663000,1207200 ( 264.9% ),260,203 ( 356.1% ),27433164382,3415953,28
2018-03-05,4,0.1%,4,0%,505,0.0%,18.2%,497000,-1166000 ( -70.1% ),92,-168 ( -64.6% ),27433661382,3416045,45
2018-03-06,3,0.1%,3,0%,354,0.0%,4.0%,104000,-393000 ( -79.1% ),14,-78 ( -84.8% ),27433765382,3416059,80
2018-03-07,3,0.1%,3,0%,500,0.0%,50.6%,1773000,1669000 ( 1604.8% ),253,239 ( 1707.1% ),27435538382,3416312,22
2018-03-08,2,0.0%,2,0%,176,0.0%,2.3%,24000,-1749000 ( -98.6% ),4,-249 ( -98.4% ),27435562382,3416316,90
2018-03-09,3,0.1%,3,0%,380,0.0%,9.2%,217500,193500 ( 806.3% ),35,31 ( 775.0% ),27435779882,3416351,50
2018-03-12,2,0.0%,2,0%,301,0.0%,7.0%,108000,108000 ( 100.0% ),21,21 ( 100.0% ),27435887882,3416372,57
2018-03-13,2,0.0%,2,0%,301,0.0%,10.3%,158000,50000 ( 46.3% ),31,10 ( 47.6% ),27436045882,3416403,63
2018-03-14,3,0.1%,3,0%,397,0.0%,64.0%,1020000,862000 ( 545.6% ),254,223 ( 719.4% ),27437065882,3416657,26
2018-03-15,4,0.1%,4,0%,316,0.0%,25.9%,470500,-549500 ( -53.9% ),82,-172 ( -67.7% ),27437536382,3416739,46
2018-03-19,1,0.0%,1,0%,72,0.0%,1.4%,6000,6000 ( 100.0% ),1,1 ( 100.0% ),27437542382,3416740,99
2018-03-20,3,0.1%,3,0%,475,0.0%,53.9%,1497000,1491000 ( 24850.0% ),256,255 ( 25500.0% ),27439039382,3416996,29
2018-03-21,1,0.0%,1,0%,138,0.0%,100.0%,966000,-531000 ( -35.5% ),138,-118 ( -46.1% ),27440005382,3417134,32
2018-03-22,3,0.1%,3,0%,262,0.0%,30.2%,330000,-636000 ( -65.8% ),79,-59 ( -42.8% ),27440335382,3417213,48
2018-03-27,1,0.0%,1,0%,72,0.0%,1.4%,5000,5000 ( 100.0% ),1,1 ( 100.0% ),27440340382,3417214,106
2018-04-08,1,0.0%,1,0%,110,0.0%,100.0%,590000,590000 ( 100.0% ),110,110 ( 100.0% ),27440930382,3417324,40
2018-04-12,2,0.0%,2,0%,460,0.0%,80.2%,1845000,1845000 ( 100.0% ),369,369 ( 100.0% ),27442775382,3417693,22
2018-04-20,1,0.0%,1,0%,120,0.0%,100.0%,600000,600000 ( 100.0% ),120,120 ( 100.0% ),27443375382,3417813,49
2018-04-26,1,0.0%,1,0%,168,0.0%,100.0%,840000,840000 ( 100.0% ),168,168 ( 100.0% ),27444215382,3417981,36
2018-05-10,1,0.0%,1,0%,89,0.0%,69.7%,310000,310000 ( 100.0% ),62,62 ( 100.0% ),27444525382,3418043,41
2018-06-14,1,0.0%,1,0%,55,0.0%,78.2%,215000,215000 ( 100.0% ),43,43 ( 100.0% ),27444740382,3418086,55
2018-06-21,1,0.0%,1,0%,221,0.0%,57.9%,640000,640000 ( 100.0% ),128,128 ( 100.0% ),27445380382,3418214,35
2018-06-26,1,0.0%,1,0%,141,0.0%,100.0%,705000,705000 ( 100.0% ),141,141 ( 100.0% ),27446085382,3418355,39
2018-07-23,1,0.0%,1,0%,164,0.0%,0.0%,0,0 ( 0.0% ),0,0 ( 0.0% ),27446085382,3418355,97
2018-09-04,1,0.0%,1,0%,278,0.0%,0.4%,5000,5000 ( 100.0% ),1,1 ( 100.0% ),27446090382,3418356,98
2018-09-10,1,0.0%,1,0%,123,0.0%,100.0%,615000,615000 ( 100.0% ),123,123 ( 100.0% ),27446705382,3418479,36
2018-09-18,1,0.0%,1,0%,183,0.0%,100.0%,1464000,1464000 ( 100.0% ),183,183 ( 100.0% ),27448169382,3418662,34
2018-09-27,1,0.0%,1,0%,114,0.0%,100.0%,570000,570000 ( 100.0% ),114,114 ( 100.0% ),27448739382,3418776,43
2018-10-30,1,0.0%,1,0%,223,0.0%,65.9%,735000,735000 ( 100.0% ),147,147 ( 100.0% ),27449474382,3418923,43
2018-10-31,1,0.0%,1,0%,223,0.0%,38.1%,425000,-310000 ( -42.2% ),85,-62 ( -42.2% ),27449899382,3419008,57
2018-11-16,1,0.0%,1,0%,193,0.0%,53.4%,515000,515000 ( 100.0% ),103,103 ( 100.0% ),27450414382,3419111,34
2018-11-21,1,0.0%,1,0%,193,0.0%,65.8%,635000,635000 ( 100.0% ),127,127 ( 100.0% ),27451049382,3419238,43
2018-12-04,1,0.0%,1,0%,160,0.0%,100.0%,1016000,1016000 ( 100.0% ),160,160 ( 100.0% ),27452065382,3419398,40
2018-12-06,1,0.0%,2,0%,242,0.0%,57.0%,830000,830000 ( 100.0% ),138,138 ( 100.0% ),27452895382,3419536,52
2018-12-12,1,0.0%,1,0%,137,0.0%,100.0%,822000,822000 ( 100.0% ),137,137 ( 100.0% ),27453717382,3419673,40
2018-12-28,1,0.0%,1,0%,87,0.0%,92.0%,400000,400000 ( 100.0% ),80,80 ( 100.0% ),27454117382,3419753,52
2019-10-10,1,0.0%,1,0%,195,0.0%,100.0%,1560000,1560000 ( 100.0% ),195,195 ( 100.0% ),27455677382,3419948,39
2019-11-15,1,0.0%,1,0%,55,0.0%,101.8%,280000,280000 ( 100.0% ),56,56 ( 100.0% ),27455957382,3420004,78
2019-12-11,1,0.0%,1,0%,55,0.0%,101.8%,280000,280000 ( 100.0% ),56,56 ( 100.0% ),27456237382,3420060,65
2019-12-12,1,0.0%,1,0%,55,0.0%,101.8%,280000,0 ( 0.0% ),56,0 ( 0.0% ),27456517382,3420116,76
2019-12-18,1,0.0%,1,0%,55,0.0%,101.8%,280000,280000 ( 100.0% ),56,56 ( 100.0% ),27456797382,3420172,68
2020-01-29,1,0.0%,1,0%,98,0.0%,27.6%,163000,163000 ( 100.0% ),27,27 ( 100.0% ),27456960382,3420199,71
