날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2016-01-04,1,0.0%,1,0%,203,0.0%,100.0%,1421000,1421000 ( 100.0% ),203,203 ( 100.0% ),1421000,203,29
2016-01-05,9,0.2%,9,0.1%,2700,0.1%,100.0%,20297000,18876000 ( 1328.4% ),2700,2497 ( 1230.0% ),21718000,2903,13
2016-01-07,4,0.1%,4,0%,865,0.0%,100.0%,7785000,7785000 ( 100.0% ),865,865 ( 100.0% ),29503000,3768,20
2016-01-11,9,0.2%,9,0.1%,1713,0.1%,100.3%,15462000,15462000 ( 100.0% ),1718,1718 ( 100.0% ),44965000,5486,14
2016-01-13,10,0.2%,10,0.1%,2037,0.1%,99.8%,16264000,16264000 ( 100.0% ),2033,2033 ( 100.0% ),61229000,7519,16
2016-01-14,592,10.3%,2854,18.4%,548462,21.4%,12.3%,511107000,494843000 ( 3042.6% ),67607,65574 ( 3225.5% ),572336000,75126,2
2016-01-15,575,9.8%,2799,17.6%,532943,20.3%,12.8%,549634307,38527307 ( 7.5% ),68328,721 ( 1.1% ),1121970307,143454,2
2016-01-16,586,9.5%,2645,16.1%,470634,17.5%,23.6%,913962805,364328498 ( 66.3% ),111188,42860 ( 62.7% ),2035933112,254642,3
2016-01-17,563,9.2%,2526,15.8%,445849,17.0%,22.6%,826423900,-87538905 ( -9.6% ),100689,-10499 ( -9.4% ),2862357012,355331,3
2016-01-18,535,9.6%,2415,16.5%,427464,17.6%,10.1%,327205400,-499218500 ( -60.4% ),43069,-57620 ( -57.2% ),3189562412,398400,2
2016-01-19,532,9.5%,2362,16.3%,416862,17.3%,9.0%,283460400,-43745000 ( -13.4% ),37505,-5564 ( -12.9% ),3473022812,435905,2
2016-01-20,528,9.4%,2361,16.1%,410656,17.0%,9.6%,298717300,15256900 ( 5.4% ),39483,1978 ( 5.3% ),3771740112,475388,2
2016-01-21,355,6.8%,1092,7.2%,150819,6.1%,13.2%,152013800,-146703500 ( -49.1% ),19951,-19532 ( -49.5% ),3923753912,495339,5
2016-01-22,376,7.1%,1121,7.3%,157496,6.2%,13.7%,173997500,21983700 ( 14.5% ),21592,1641 ( 8.2% ),4097751412,516931,5
2016-01-23,394,6.8%,1106,6.8%,153685,5.8%,22.6%,283700700,109703200 ( 63.0% ),34686,13094 ( 60.6% ),4381452112,551617,6
2016-01-24,389,6.8%,1046,6.7%,145707,5.7%,18.5%,222073100,-61627600 ( -21.7% ),26903,-7783 ( -22.4% ),4603525212,578520,6
