날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2017-01-17,1,0.0%,1,0%,303,0.0%,66.0%,2600000,2600000 ( 100.0% ),200,200 ( 100.0% ),2600000,200,39
2017-02-14,8,0.1%,8,0%,2039,0.1%,93.1%,24990000,24990000 ( 100.0% ),1898,1898 ( 100.0% ),27590000,2098,18
2017-02-15,593,10.6%,3088,18.4%,585951,21.1%,7.9%,377515500,352525500 ( 1410.7% ),46451,44553 ( 2347.4% ),405105500,48549,3
2017-02-16,598,9.9%,2860,16.7%,535021,19.0%,9.3%,407649200,30133700 ( 8.0% ),49801,3350 ( 7.2% ),812754700,98350,3
2017-02-17,569,9.3%,2666,15.2%,492178,17.0%,11.9%,531290259,123641059 ( 30.3% ),58707,8906 ( 17.9% ),1344044959,157057,3
2017-02-18,583,9.1%,2420,13.3%,426460,14.2%,26.4%,1035449099,504158840 ( 94.9% ),112413,53706 ( 91.5% ),2379494058,269470,3
2017-02-19,585,9.2%,2364,13.3%,414018,14.2%,24.6%,925858300,-109590799 ( -10.6% ),101656,-10757 ( -9.6% ),3305352358,371126,3
2017-02-20,547,9.4%,2351,14.1%,424624,15.4%,7.5%,258180100,-667678200 ( -72.1% ),31741,-69915 ( -68.8% ),3563532458,402867,3
2017-02-21,545,9.1%,2298,13.7%,413334,15.0%,6.3%,210389600,-47790500 ( -18.5% ),26100,-5641 ( -17.8% ),3773922058,428967,4
2017-02-22,367,6.0%,1006,5.7%,165530,5.7%,9.6%,109081300,-101308300 ( -48.2% ),15833,-10267 ( -39.3% ),3883003358,444800,9
2017-02-23,345,5.6%,924,5.3%,150715,5.2%,6.1%,71990300,-37091000 ( -34.0% ),9197,-6636 ( -41.9% ),3954993658,453997,11
2017-02-24,334,5.2%,753,4.2%,120245,4.1%,6.6%,70464500,-1525800 ( -2.1% ),7972,-1225 ( -13.3% ),4025458158,461969,11
2017-02-25,312,4.5%,636,3.4%,104039,3.4%,13.4%,125758900,55294400 ( 78.5% ),13905,5933 ( 74.4% ),4151217058,475874,11
2017-02-26,311,4.6%,601,3.3%,97296,3.3%,13.2%,113944800,-11814100 ( -9.4% ),12809,-1096 ( -7.9% ),4265161858,488683,10
2017-02-27,296,4.8%,573,3.3%,92100,3.2%,5.0%,35836900,-78107900 ( -68.5% ),4618,-8191 ( -63.9% ),4300998758,493301,13
2017-02-28,217,3.0%,367,2.1%,62645,2.2%,5.2%,24708400,-11128500 ( -31.1% ),3249,-1369 ( -29.6% ),4325707158,496550,18
2017-03-01,10,0.2%,14,0.1%,1683,0.1%,24.2%,3112800,-21595600 ( -87.4% ),407,-2842 ( -87.5% ),4328819958,496957,30
2017-03-02,6,0.1%,12,0.1%,1636,0.1%,4.6%,538500,-2574300 ( -82.7% ),76,-331 ( -81.3% ),4329358458,497033,49
2017-03-03,9,0.2%,13,0.1%,1558,0.1%,10.6%,1170000,631500 ( 117.3% ),165,89 ( 117.1% ),4330528458,497198,37
2017-03-04,10,0.2%,14,0.1%,1649,0.1%,14.7%,2000900,830900 ( 71.0% ),243,78 ( 47.3% ),4332529358,497441,34
2017-03-05,12,0.2%,13,0.1%,1710,0.1%,10.1%,1282500,-718400 ( -35.9% ),172,-71 ( -29.2% ),4333811858,497613,37
2017-03-06,6,0.1%,7,0%,700,0.0%,4.4%,210000,-1072500 ( -83.6% ),31,-141 ( -82.0% ),4334021858,497644,53
2017-03-07,6,0.1%,7,0%,949,0.0%,4.0%,292500,82500 ( 39.3% ),38,7 ( 22.6% ),4334314358,497682,60
2017-03-08,6,0.1%,7,0%,755,0.0%,35.2%,1471000,1178500 ( 402.9% ),266,228 ( 600.0% ),4335785358,497948,29
2017-03-09,6,0.1%,7,0%,829,0.0%,32.3%,1473000,2000 ( 0.1% ),268,2 ( 0.8% ),4337258358,498216,29
2017-03-10,6,0.1%,7,0%,829,0.0%,32.3%,1492000,19000 ( 1.3% ),268,0 ( 0.0% ),4338750358,498484,30
2017-03-11,6,0.1%,7,0%,829,0.0%,33.5%,1530000,38000 ( 2.5% ),278,10 ( 3.7% ),4340280358,498762,36
2017-03-12,6,0.1%,6,0%,733,0.0%,37.4%,1541000,11000 ( 0.7% ),274,-4 ( -1.4% ),4341821358,499036,34
2017-03-13,5,0.1%,5,0%,637,0.0%,41.3%,1441000,-100000 ( -6.5% ),263,-11 ( -4.0% ),4343262358,499299,31
2017-03-14,7,0.1%,8,0.1%,869,0.0%,35.1%,1847000,406000 ( 28.2% ),305,42 ( 16.0% ),4345109358,499604,34
2017-03-15,6,0.1%,6,0%,736,0.0%,34.5%,1378000,-469000 ( -25.4% ),254,-51 ( -16.7% ),4346487358,499858,38
