날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2016-01-15,4,0.1%,4,0%,798,0.0%,100.0%,5586000,5586000 ( 100.0% ),798,798 ( 100.0% ),5586000,798,25
2016-01-19,5,0.1%,5,0%,1027,0.0%,100.0%,7189000,7189000 ( 100.0% ),1027,1027 ( 100.0% ),12775000,1825,21
2016-01-20,1,0.0%,1,0%,214,0.0%,100.0%,1498000,-5691000 ( -79.2% ),214,-813 ( -79.2% ),14273000,2039,39
2016-01-21,176,3.4%,545,3.6%,84625,3.4%,8.0%,43983200,42485200 ( 2836.1% ),6768,6554 ( 3062.6% ),58256200,8807,10
2016-01-22,171,3.2%,537,3.5%,82481,3.2%,7.8%,42693700,-1289500 ( -2.9% ),6418,-350 ( -5.2% ),100949900,15225,10
2016-01-23,200,3.4%,644,4%,101066,3.8%,29.4%,200365200,157671500 ( 369.3% ),29735,23317 ( 363.3% ),301315100,44960,7
2016-01-24,193,3.4%,625,4%,98778,3.9%,23.9%,159166600,-41198600 ( -20.6% ),23593,-6142 ( -20.7% ),460481700,68553,8
2016-01-25,146,2.9%,371,2.6%,55089,2.3%,5.8%,21734300,-137432300 ( -86.3% ),3220,-20373 ( -86.4% ),482216000,71773,10
2016-01-26,156,3.0%,399,2.8%,58315,2.4%,7.4%,27925300,6191000 ( 28.5% ),4307,1087 ( 33.8% ),510141300,76080,10
2016-01-27,139,2.7%,321,2.2%,46694,1.9%,9.0%,26948800,-976500 ( -3.5% ),4186,-121 ( -2.8% ),537090100,80266,11
2016-01-28,107,2.3%,173,1.1%,22477,0.8%,11.7%,17430200,-9518600 ( -35.3% ),2627,-1559 ( -37.2% ),554520300,82893,11
2016-01-29,104,2.2%,160,1%,21138,0.8%,13.6%,18920500,1490300 ( 8.6% ),2875,248 ( 9.4% ),573440800,85768,13
2016-01-30,116,2.3%,188,1.1%,25232,0.9%,46.9%,80903900,61983400 ( 327.6% ),11830,8955 ( 311.5% ),654344700,97598,6
2016-01-31,132,2.6%,216,1.3%,28582,1.0%,42.7%,83408200,2504300 ( 3.1% ),12217,387 ( 3.3% ),737752900,109815,6
2016-02-01,106,2.4%,141,0.9%,18818,0.7%,6.9%,8844200,-74564000 ( -89.4% ),1304,-10913 ( -89.3% ),746597100,111119,11
2016-02-02,106,2.3%,156,1%,20798,0.8%,9.6%,13162900,4318700 ( 48.8% ),1990,686 ( 52.6% ),759760000,113109,10
2016-02-03,80,1.9%,100,0.7%,13041,0.5%,10.7%,8957700,-4205200 ( -31.9% ),1398,-592 ( -29.7% ),768717700,114507,8
2016-02-04,55,1.2%,72,0.5%,8817,0.3%,9.9%,5266400,-3691300 ( -41.2% ),871,-527 ( -37.7% ),773984100,115378,12
2016-02-05,44,0.9%,58,0.4%,6913,0.3%,10.4%,4735400,-531000 ( -10.1% ),721,-150 ( -17.2% ),778719500,116099,13
2016-02-06,54,1.0%,83,0.5%,10315,0.4%,29.2%,20423400,15688000 ( 331.3% ),3009,2288 ( 317.3% ),799142900,119108,10
2016-02-07,53,1.0%,75,0.4%,8996,0.3%,16.1%,9905400,-10518000 ( -51.5% ),1448,-1561 ( -51.9% ),809048300,120556,13
2016-02-08,41,0.8%,56,0.3%,6517,0.2%,12.4%,5572400,-4333000 ( -43.7% ),807,-641 ( -44.3% ),814620700,121363,14
2016-02-09,53,1.0%,67,0.4%,8368,0.3%,29.1%,16594700,11022300 ( 197.8% ),2431,1624 ( 201.2% ),831215400,123794,13
2016-02-10,53,1.0%,70,0.4%,8922,0.3%,36.2%,22024100,5429400 ( 32.7% ),3232,801 ( 32.9% ),853239500,127026,11
2016-02-11,14,0.3%,20,0.1%,2908,0.1%,7.8%,1413200,-20610900 ( -93.6% ),227,-3005 ( -93.0% ),854652700,127253,26
2016-02-12,15,0.3%,20,0.1%,2866,0.1%,10.9%,1991000,577800 ( 40.9% ),312,85 ( 37.4% ),856643700,127565,23
2016-02-13,25,0.5%,33,0.2%,4462,0.2%,18.7%,5539500,3548500 ( 178.2% ),833,521 ( 167.0% ),862183200,128398,19
2016-02-14,21,0.4%,30,0.2%,4115,0.1%,23.2%,6357700,818200 ( 14.8% ),956,123 ( 14.8% ),868540900,129354,16
2016-02-15,10,0.2%,10,0.1%,1209,0.0%,12.0%,943000,-5414700 ( -85.2% ),145,-811 ( -84.8% ),869483900,129499,37
2016-02-16,13,0.2%,19,0.1%,2451,0.1%,10.4%,1444500,501500 ( 53.2% ),254,109 ( 75.2% ),870928400,129753,29
2016-02-17,6,0.1%,6,0%,671,0.0%,41.7%,1608000,163500 ( 11.3% ),280,26 ( 10.2% ),872536400,130033,25
2016-02-18,5,0.1%,5,0%,478,0.0%,39.5%,971000,-637000 ( -39.6% ),189,-91 ( -32.5% ),873507400,130222,29
2016-02-19,4,0.1%,5,0%,462,0.0%,35.3%,927000,-44000 ( -4.5% ),163,-26 ( -13.8% ),874434400,130385,30
2016-02-20,1,0.0%,1,0%,128,0.0%,30.5%,273000,-654000 ( -70.6% ),39,-124 ( -76.1% ),874707400,130424,55
2016-02-21,1,0.0%,1,0%,128,0.0%,36.7%,330600,57600 ( 21.1% ),47,8 ( 20.5% ),875038000,130471,47
2016-02-22,1,0.0%,1,0%,63,0.0%,27.0%,91000,-239600 ( -72.5% ),17,-30 ( -63.8% ),875129000,130488,51
2016-02-23,2,0.0%,2,0%,149,0.0%,65.1%,555000,464000 ( 509.9% ),97,80 ( 470.6% ),875684000,130585,41
2016-02-24,1,0.0%,1,0%,86,0.0%,36.0%,186000,-369000 ( -66.5% ),31,-66 ( -68.0% ),875870000,130616,54
2016-02-27,1,0.0%,1,0%,128,0.0%,28.9%,259000,259000 ( 100.0% ),37,37 ( 100.0% ),876129000,130653,58
2016-02-28,1,0.0%,1,0%,128,0.0%,10.2%,89000,-170000 ( -65.6% ),13,-24 ( -64.9% ),876218000,130666,66
2016-02-29,1,0.0%,1,0%,86,0.0%,22.1%,112000,23000 ( 25.8% ),19,6 ( 46.2% ),876330000,130685,61
2016-03-01,2,0.0%,2,0%,223,0.0%,42.6%,633600,521600 ( 465.7% ),95,76 ( 400.0% ),876963600,130780,40
2016-03-02,1,0.0%,1,0%,86,0.0%,3.5%,20000,-613600 ( -96.8% ),3,-92 ( -96.8% ),876983600,130783,66
2016-03-03,1,0.0%,1,0%,86,0.0%,5.8%,30000,10000 ( 50.0% ),5,2 ( 66.7% ),877013600,130788,73
2016-03-04,1,0.0%,1,0%,86,0.0%,5.8%,32200,2200 ( 7.3% ),5,0 ( 0.0% ),877045800,130793,75
2016-03-05,2,0.0%,2,0%,190,0.0%,19.5%,256200,224000 ( 695.7% ),37,32 ( 640.0% ),877302000,130830,61
2016-03-06,2,0.0%,2,0%,190,0.0%,15.8%,210000,-46200 ( -18.0% ),30,-7 ( -18.9% ),877512000,130860,61
2016-03-11,1,0.0%,1,0%,86,0.0%,7.0%,42000,42000 ( 100.0% ),6,6 ( 100.0% ),877554000,130866,91
2016-03-12,1,0.0%,1,0%,86,0.0%,19.8%,119000,77000 ( 183.3% ),17,11 ( 183.3% ),877673000,130883,83
2016-03-13,1,0.0%,1,0%,86,0.0%,5.8%,35000,-84000 ( -70.6% ),5,-12 ( -70.6% ),877708000,130888,92
2016-03-14,1,0.0%,2,0%,172,0.0%,2.3%,26000,-9000 ( -25.7% ),4,-1 ( -20.0% ),877734000,130892,79
2016-03-19,2,0.0%,3,0%,230,0.0%,5.7%,91000,91000 ( 100.0% ),13,13 ( 100.0% ),877825000,130905,78
2016-03-20,2,0.0%,3,0%,230,0.0%,9.6%,142000,51000 ( 56.0% ),22,9 ( 69.2% ),877967000,130927,68
2016-03-21,1,0.0%,1,0%,86,0.0%,1.2%,5000,-137000 ( -96.5% ),1,-21 ( -95.5% ),877972000,130928,78
2016-03-23,1,0.0%,1,0%,86,0.0%,2.3%,12000,12000 ( 100.0% ),2,2 ( 100.0% ),877984000,130930,99
2016-03-25,1,0.0%,1,0%,137,0.0%,27.0%,188000,188000 ( 100.0% ),37,37 ( 100.0% ),878172000,130967,61
2016-03-29,1,0.0%,1,0%,86,0.0%,2.3%,14000,14000 ( 100.0% ),2,2 ( 100.0% ),878186000,130969,105
2016-03-30,7,0.1%,7,0%,933,0.0%,81.9%,5308000,5294000 ( 37814.3% ),764,762 ( 38100.0% ),883494000,131733,20
2016-03-31,5,0.1%,5,0%,882,0.0%,84.1%,5194000,-114000 ( -2.1% ),742,-22 ( -2.9% ),888688000,132475,21
2016-04-01,2,0.0%,2,0%,376,0.0%,98.7%,2597000,-2597000 ( -50.0% ),371,-371 ( -50.0% ),891285000,132846,29
2016-04-02,3,0.1%,3,0%,542,0.0%,68.5%,2597000,0 ( 0.0% ),371,0 ( 0.0% ),893882000,133217,25
2016-04-06,1,0.0%,1,0%,86,0.0%,2.3%,12000,12000 ( 100.0% ),2,2 ( 100.0% ),893894000,133219,97
2016-04-07,1,0.0%,2,0%,188,0.0%,1.1%,12000,0 ( 0.0% ),2,0 ( 0.0% ),893906000,133221,96
2016-04-08,1,0.0%,2,0%,188,0.0%,2.7%,33000,21000 ( 175.0% ),5,3 ( 150.0% ),893939000,133226,93
