날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-01-16,3,0.1%,3,0%,690,0.0%,100.0%,6210000,6210000 ( 100.0% ),690,690 ( 100.0% ),6210000,690,16
2018-01-22,2,0.0%,2,0%,603,0.0%,100.0%,4824000,4824000 ( 100.0% ),603,603 ( 100.0% ),11034000,1293,13
2018-01-24,3,0.1%,3,0%,383,0.0%,54.0%,1853000,1853000 ( 100.0% ),207,207 ( 100.0% ),12887000,1500,27
2018-01-25,273,4.3%,319,1.8%,40688,1.4%,9.3%,25749500,23896500 ( 1289.6% ),3801,3594 ( 1736.2% ),38636500,5301,9
2018-01-26,270,4.2%,307,1.7%,38835,1.3%,6.6%,19419200,-6330300 ( -24.6% ),2578,-1223 ( -32.2% ),58055700,7879,10
2018-01-27,296,4.2%,383,2%,45500,1.5%,19.2%,66615400,47196200 ( 243.0% ),8720,6142 ( 238.2% ),124671100,16599,8
2018-01-28,305,4.4%,392,2.1%,46944,1.6%,20.3%,73010100,6394700 ( 9.6% ),9534,814 ( 9.3% ),197681200,26133,8
2018-01-29,235,3.8%,263,1.5%,32189,1.2%,6.1%,12712000,-60298100 ( -82.6% ),1954,-7580 ( -79.5% ),210393200,28087,12
2018-01-30,236,3.7%,265,1.5%,31820,1.2%,6.6%,14171500,1459500 ( 11.5% ),2099,145 ( 7.4% ),224564700,30186,13
2018-01-31,115,1.9%,124,0.7%,15138,0.5%,6.5%,6260500,-7911000 ( -55.8% ),985,-1114 ( -53.1% ),230825200,31171,15
2018-02-01,30,0.5%,32,0.2%,3731,0.1%,8.8%,2008000,-4252500 ( -67.9% ),328,-657 ( -66.7% ),232833200,31499,29
2018-02-02,33,0.5%,34,0.2%,3745,0.1%,10.3%,2634500,626500 ( 31.2% ),385,57 ( 17.4% ),235467700,31884,25
2018-02-03,44,0.6%,45,0.2%,4985,0.2%,18.6%,7131200,4496700 ( 170.7% ),926,541 ( 140.5% ),242598900,32810,21
2018-02-04,45,0.7%,46,0.2%,5207,0.2%,19.1%,7614000,482800 ( 6.8% ),994,68 ( 7.3% ),250212900,33804,19
2018-02-05,17,0.3%,19,0.1%,2062,0.1%,4.5%,643000,-6971000 ( -91.6% ),93,-901 ( -90.6% ),250855900,33897,43
2018-02-06,21,0.3%,22,0.1%,2655,0.1%,4.6%,807000,164000 ( 25.5% ),123,30 ( 32.3% ),251662900,34020,46
2018-02-07,25,0.4%,25,0.1%,2841,0.1%,5.0%,948500,141500 ( 17.5% ),141,18 ( 14.6% ),252611400,34161,41
2018-02-08,4,0.1%,4,0%,255,0.0%,41.2%,564000,-384500 ( -40.5% ),105,-36 ( -25.5% ),253175400,34266,53
2018-02-09,3,0.0%,3,0%,417,0.0%,1.2%,34000,-530000 ( -94.0% ),5,-100 ( -95.2% ),253209400,34271,98
2018-02-10,3,0.0%,3,0%,559,0.0%,9.1%,410000,376000 ( 1105.9% ),51,46 ( 920.0% ),253619400,34322,68
2018-02-11,3,0.0%,3,0%,429,0.0%,6.8%,228200,-181800 ( -44.3% ),29,-22 ( -43.1% ),253847600,34351,78
2018-02-12,2,0.0%,2,0%,76,0.0%,3.9%,19000,-209200 ( -91.7% ),3,-26 ( -89.7% ),253866600,34354,82
2018-02-13,1,0.0%,1,0%,35,0.0%,11.4%,24000,5000 ( 26.3% ),4,1 ( 33.3% ),253890600,34358,96
2018-02-15,1,0.0%,1,0%,254,0.0%,0.8%,14000,14000 ( 100.0% ),2,2 ( 100.0% ),253904600,34360,87
2018-02-16,2,0.0%,2,0%,388,0.0%,4.6%,131800,117800 ( 841.4% ),18,16 ( 800.0% ),254036400,34378,62
2018-02-17,3,0.0%,3,0%,424,0.0%,8.3%,277800,146000 ( 110.8% ),35,17 ( 94.4% ),254314200,34413,69
2018-02-18,2,0.0%,2,0%,286,0.0%,9.8%,225300,-52500 ( -18.9% ),28,-7 ( -20.0% ),254539500,34441,64
2018-02-20,1,0.0%,1,0%,239,0.0%,0.8%,12000,12000 ( 100.0% ),2,2 ( 100.0% ),254551500,34443,102
2018-02-23,1,0.0%,1,0%,157,0.0%,14.6%,141000,141000 ( 100.0% ),23,23 ( 100.0% ),254692500,34466,94
2018-08-26,1,0.0%,1,0%,203,0.0%,0.0%,0,0 ( 0.0% ),0,0 ( 0.0% ),254692500,34466,110
