날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-09-15,2,0.0%,2,0%,461,0.0%,100.0%,4610000,4610000 ( 100.0% ),461,461 ( 100.0% ),4610000,461,20
2018-09-17,1,0.0%,1,0%,269,0.0%,37.2%,900000,900000 ( 100.0% ),100,100 ( 100.0% ),5510000,561,45
2018-09-19,5,0.1%,5,0%,769,0.0%,71.5%,4734000,4734000 ( 100.0% ),550,550 ( 100.0% ),10244000,1111,11
2018-09-20,152,2.7%,158,0.9%,19555,0.7%,21.3%,28945600,24211600 ( 511.4% ),4161,3611 ( 656.5% ),39189600,5272,6
2018-09-21,143,2.6%,154,0.8%,18366,0.6%,3.9%,5638200,-23307400 ( -80.5% ),718,-3443 ( -82.7% ),44827800,5990,13
2018-09-22,294,4.6%,351,1.7%,41524,1.3%,14.1%,46574200,40936000 ( 726.0% ),5848,5130 ( 714.5% ),91402000,11838,9
2018-09-23,273,4.3%,312,1.5%,36698,1.2%,10.2%,30036000,-16538200 ( -35.5% ),3754,-2094 ( -35.8% ),121438000,15592,10
2018-09-24,236,3.8%,261,1.3%,30836,1.0%,9.5%,24082100,-5953900 ( -19.8% ),2928,-826 ( -22.0% ),145520100,18520,10
2018-09-25,273,4.2%,308,1.5%,36861,1.2%,14.5%,42691500,18609400 ( 77.3% ),5355,2427 ( 82.9% ),188211600,23875,9
2018-09-26,219,3.6%,251,1.3%,30147,1.0%,19.6%,45467000,2775500 ( 6.5% ),5920,565 ( 10.6% ),233678600,29795,10
2018-09-27,80,1.5%,85,0.5%,9265,0.3%,4.7%,2897900,-42569100 ( -93.6% ),437,-5483 ( -92.6% ),236576500,30232,18
2018-09-28,77,1.4%,79,0.4%,9038,0.3%,7.0%,4266500,1368600 ( 47.2% ),634,197 ( 45.1% ),240843000,30866,13
2018-09-29,145,2.5%,165,0.8%,17544,0.6%,13.5%,17852300,13585800 ( 318.4% ),2363,1729 ( 272.7% ),258695300,33229,10
2018-09-30,144,2.5%,161,0.8%,17934,0.6%,13.7%,18459800,607500 ( 3.4% ),2459,96 ( 4.1% ),277155100,35688,10
2018-10-01,46,1.0%,52,0.3%,5503,0.2%,3.1%,1140400,-17319400 ( -93.8% ),171,-2288 ( -93.0% ),278295500,35859,24
2018-10-02,44,0.9%,50,0.3%,5304,0.2%,8.9%,2479200,1338800 ( 117.4% ),471,300 ( 175.4% ),280774700,36330,20
2018-10-03,6,0.1%,7,0%,406,0.0%,28.8%,871500,-1607700 ( -64.8% ),117,-354 ( -75.2% ),281646200,36447,36
2018-10-04,4,0.1%,6,0%,312,0.0%,14.1%,291000,-580500 ( -66.6% ),44,-73 ( -62.4% ),281937200,36491,39
2018-10-05,5,0.1%,7,0%,391,0.0%,21.0%,603000,312000 ( 107.2% ),82,38 ( 86.4% ),282540200,36573,35
2018-10-06,5,0.1%,7,0%,576,0.0%,45.3%,2139000,1536000 ( 254.7% ),261,179 ( 218.3% ),284679200,36834,24
2018-10-07,9,0.2%,11,0.1%,886,0.0%,53.2%,4042500,1903500 ( 89.0% ),471,210 ( 80.5% ),288721700,37305,21
2018-10-08,3,0.1%,6,0%,230,0.0%,26.1%,401000,-3641500 ( -90.1% ),60,-411 ( -87.3% ),289122700,37365,44
2018-10-09,5,0.1%,5,0%,197,0.0%,56.3%,798000,397000 ( 99.0% ),111,51 ( 85.0% ),289920700,37476,34
2018-10-10,5,0.1%,6,0%,295,0.0%,28.8%,445000,-353000 ( -44.2% ),85,-26 ( -23.4% ),290365700,37561,37
2018-10-11,4,0.1%,7,0%,389,0.0%,20.8%,539000,94000 ( 21.1% ),81,-4 ( -4.7% ),290904700,37642,49
2018-10-12,4,0.1%,7,0%,502,0.0%,41.0%,1104500,565500 ( 104.9% ),206,125 ( 154.3% ),292009200,37848,27
2018-10-13,3,0.0%,9,0%,463,0.0%,41.7%,1293500,189000 ( 17.1% ),193,-13 ( -6.3% ),293302700,38041,29
2018-10-14,2,0.0%,8,0%,285,0.0%,21.8%,502000,-791500 ( -61.2% ),62,-131 ( -67.9% ),293804700,38103,43
2018-10-15,3,0.1%,8,0%,357,0.0%,13.7%,318000,-184000 ( -36.7% ),49,-13 ( -21.0% ),294122700,38152,51
2018-10-16,5,0.1%,11,0.1%,611,0.0%,11.6%,395000,77000 ( 24.2% ),71,22 ( 44.9% ),294517700,38223,48
2018-10-17,5,0.1%,12,0.1%,563,0.0%,20.8%,656000,261000 ( 66.1% ),117,46 ( 64.8% ),295173700,38340,40
2018-10-18,3,0.1%,7,0%,353,0.0%,36.0%,669000,13000 ( 2.0% ),127,10 ( 8.5% ),295842700,38467,40
2018-10-19,4,0.1%,6,0%,366,0.0%,16.7%,357000,-312000 ( -46.6% ),61,-66 ( -52.0% ),296199700,38528,49
2018-10-20,2,0.0%,10,0.1%,380,0.0%,23.2%,662000,305000 ( 85.4% ),88,27 ( 44.3% ),296861700,38616,42
2018-10-21,2,0.0%,10,0.1%,380,0.0%,28.7%,737000,75000 ( 11.3% ),109,21 ( 23.9% ),297598700,38725,38
2018-10-22,3,0.1%,10,0.1%,404,0.0%,7.7%,214500,-522500 ( -70.9% ),31,-78 ( -71.6% ),297813200,38756,58
