날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2017-02-23,98,1.6%,187,1.1%,24164,0.8%,63.6%,112968000,112968000 ( 100.0% ),15368,15368 ( 100.0% ),112968000,15368,8
2017-02-24,111,1.7%,218,1.2%,28175,1.0%,37.1%,82417500,-30550500 ( -27.0% ),10440,-4928 ( -32.1% ),195385500,25808,10
2017-02-25,119,1.7%,245,1.3%,33715,1.1%,42.0%,111018500,28601000 ( 34.7% ),14177,3737 ( 35.8% ),306404000,39985,9
2017-02-26,124,1.8%,258,1.4%,35064,1.2%,35.3%,98087000,-12931500 ( -11.6% ),12390,-1787 ( -12.6% ),404491000,52375,11
2017-02-27,104,1.7%,237,1.4%,32772,1.2%,18.8%,44286000,-53801000 ( -54.9% ),6151,-6239 ( -50.4% ),448777000,58526,11
2017-02-28,104,1.5%,211,1.2%,29557,1.0%,17.6%,37393000,-6893000 ( -15.6% ),5216,-935 ( -15.2% ),486170000,63742,14
2017-03-01,90,1.5%,150,0.9%,19623,0.7%,39.0%,59322000,21929000 ( 58.6% ),7648,2432 ( 46.6% ),545492000,71390,13
2017-03-02,81,1.4%,154,1%,21037,0.8%,17.6%,26965000,-32357000 ( -54.5% ),3707,-3941 ( -51.5% ),572457000,75097,11
2017-03-03,84,1.5%,152,0.9%,20107,0.7%,8.7%,14714500,-12250500 ( -45.4% ),1749,-1958 ( -52.8% ),587171500,76846,14
2017-03-04,89,1.4%,155,0.9%,19778,0.7%,35.7%,54417500,39703000 ( 269.8% ),7056,5307 ( 303.4% ),641589000,83902,12
2017-03-05,91,1.5%,152,0.9%,19463,0.7%,29.2%,43751000,-10666500 ( -19.6% ),5679,-1377 ( -19.5% ),685340000,89581,12
2017-03-06,83,1.5%,133,0.9%,17583,0.7%,4.6%,6224500,-37526500 ( -85.8% ),812,-4867 ( -85.7% ),691564500,90393,16
2017-03-07,79,1.4%,126,0.8%,17058,0.7%,4.1%,5152000,-1072500 ( -17.2% ),692,-120 ( -14.8% ),696716500,91085,22
2017-03-08,55,1.0%,90,0.6%,11205,0.4%,5.2%,4448000,-704000 ( -13.7% ),581,-111 ( -16.0% ),701164500,91666,23
2017-03-09,54,1.0%,84,0.5%,11170,0.4%,22.4%,18175500,13727500 ( 308.6% ),2507,1926 ( 331.5% ),719340000,94173,10
2017-03-10,53,1.0%,87,0.6%,11685,0.4%,11.0%,10613000,-7562500 ( -41.6% ),1282,-1225 ( -48.9% ),729953000,95455,14
2017-03-11,63,1.0%,100,0.6%,12775,0.5%,31.4%,31462000,20849000 ( 196.4% ),4009,2727 ( 212.7% ),761415000,99464,14
2017-03-12,61,1.0%,96,0.6%,12184,0.4%,27.9%,26430500,-5031500 ( -16.0% ),3395,-614 ( -15.3% ),787845500,102859,14
2017-03-13,54,1.0%,80,0.5%,10148,0.4%,4.1%,3178500,-23252000 ( -88.0% ),416,-2979 ( -87.7% ),791024000,103275,23
2017-03-14,50,0.9%,76,0.5%,9636,0.4%,4.3%,3138500,-40000 ( -1.3% ),410,-6 ( -1.4% ),794162500,103685,27
2017-03-15,53,1.0%,79,0.5%,10094,0.4%,4.2%,3147000,8500 ( 0.3% ),419,9 ( 2.2% ),797309500,104104,28
2017-03-16,46,0.9%,60,0.4%,8161,0.3%,17.2%,9995000,6848000 ( 217.6% ),1405,986 ( 235.3% ),807304500,105509,11
2017-03-17,46,0.9%,58,0.4%,7574,0.3%,9.7%,6047500,-3947500 ( -39.5% ),738,-667 ( -47.5% ),813352000,106247,17
2017-03-18,47,0.9%,65,0.4%,7512,0.3%,25.3%,15273500,9226000 ( 152.6% ),1904,1166 ( 158.0% ),828625500,108151,13
2017-03-19,49,0.9%,65,0.4%,7507,0.3%,23.7%,14046000,-1227500 ( -8.0% ),1776,-128 ( -6.7% ),842671500,109927,13
2017-03-20,42,0.9%,51,0.3%,6651,0.3%,3.8%,1986500,-12059500 ( -85.9% ),251,-1525 ( -85.9% ),844658000,110178,28
2017-03-21,43,0.9%,53,0.4%,6765,0.3%,3.5%,1772500,-214000 ( -10.8% ),236,-15 ( -6.0% ),846430500,110414,32
2017-03-22,37,0.7%,47,0.3%,6247,0.3%,4.2%,1978500,206000 ( 11.6% ),265,29 ( 12.3% ),848409000,110679,28
2017-03-23,21,0.4%,25,0.2%,3005,0.1%,17.3%,3713500,1735000 ( 87.7% ),519,254 ( 95.8% ),852122500,111198,20
2017-03-24,22,0.4%,24,0.1%,2895,0.1%,9.6%,2232500,-1481000 ( -39.9% ),278,-241 ( -46.4% ),854355000,111476,24
2017-03-25,27,0.5%,33,0.2%,3789,0.1%,23.4%,6759000,4526500 ( 202.8% ),887,609 ( 219.1% ),861114000,112363,18
2017-03-26,27,0.5%,32,0.2%,3720,0.1%,25.5%,7056500,297500 ( 4.4% ),950,63 ( 7.1% ),868170500,113313,17
2017-03-27,19,0.4%,22,0.1%,2893,0.1%,4.2%,909000,-6147500 ( -87.1% ),122,-828 ( -87.2% ),869079500,113435,41
2017-03-28,21,0.4%,23,0.1%,2763,0.1%,4.6%,918000,9000 ( 1.0% ),127,5 ( 4.1% ),869997500,113562,43
2017-03-29,16,0.3%,18,0.1%,2243,0.1%,5.4%,811500,-106500 ( -11.6% ),122,-5 ( -3.9% ),870809000,113684,50
2017-03-30,21,0.4%,22,0.1%,2869,0.1%,47.1%,9007500,8196000 ( 1010.0% ),1351,1229 ( 1007.4% ),879816500,115035,13
2017-03-31,20,0.4%,22,0.1%,2622,0.1%,15.6%,3039500,-5968000 ( -66.3% ),409,-942 ( -69.7% ),882856000,115444,22
2017-04-01,21,0.4%,24,0.1%,2998,0.1%,28.6%,6386500,3347000 ( 110.1% ),856,447 ( 109.3% ),889242500,116300,23
2017-04-02,20,0.4%,22,0.1%,2627,0.1%,25.3%,5124000,-1262500 ( -19.8% ),665,-191 ( -22.3% ),894366500,116965,24
2017-04-03,17,0.3%,18,0.1%,2332,0.1%,4.5%,801000,-4323000 ( -84.4% ),106,-559 ( -84.1% ),895167500,117071,42
2017-04-04,18,0.3%,19,0.1%,2476,0.1%,5.7%,1008500,207500 ( 25.9% ),140,34 ( 32.1% ),896176000,117211,42
2017-04-05,4,0.1%,4,0%,462,0.0%,16.5%,509000,-499500 ( -49.5% ),76,-64 ( -45.7% ),896685000,117287,44
2017-04-08,1,0.0%,1,0%,84,0.0%,27.4%,190500,190500 ( 100.0% ),23,23 ( 100.0% ),896875500,117310,78
2017-04-09,1,0.0%,1,0%,84,0.0%,45.2%,320000,129500 ( 68.0% ),38,15 ( 65.2% ),897195500,117348,57
2017-04-10,1,0.0%,1,0%,84,0.0%,7.1%,47000,-273000 ( -85.3% ),6,-32 ( -84.2% ),897242500,117354,75
2017-04-11,1,0.0%,1,0%,84,0.0%,11.9%,69000,22000 ( 46.8% ),10,4 ( 66.7% ),897311500,117364,77
2017-04-15,1,0.0%,1,0%,113,0.0%,12.4%,112500,112500 ( 100.0% ),14,14 ( 100.0% ),897424000,117378,80
2017-04-16,1,0.0%,1,0%,113,0.0%,6.2%,48000,-64500 ( -57.3% ),7,-7 ( -50.0% ),897472000,117385,84
