날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2016-04-23,1,0.0%,1,0%,224,0.0%,100.0%,2016000,2016000 ( 100.0% ),224,224 ( 100.0% ),2016000,224,30
2016-04-27,1,0.0%,1,0%,77,0.0%,100.0%,527000,527000 ( 100.0% ),77,77 ( 100.0% ),2543000,301,44
2016-04-30,4,0.1%,4,0%,789,0.0%,98.6%,7780000,7780000 ( 100.0% ),778,778 ( 100.0% ),10323000,1079,18
2016-05-04,341,7.1%,544,3.6%,71859,2.9%,12.7%,63550000,63550000 ( 100.0% ),9112,9112 ( 100.0% ),73873000,10191,4
2016-05-05,523,9.8%,1080,6.6%,156135,5.8%,55.3%,669422800,605872800 ( 953.4% ),86334,77222 ( 847.5% ),743295800,96525,3
2016-05-06,491,9.4%,974,6%,135645,5.2%,42.2%,437056700,-232366100 ( -34.7% ),57278,-29056 ( -33.7% ),1180352500,153803,3
2016-05-07,477,9.2%,986,6.1%,136672,5.2%,25.4%,266794500,-170262200 ( -39.0% ),34744,-22534 ( -39.3% ),1447147000,188547,3
2016-05-08,463,9.1%,950,6.1%,131907,5.2%,19.1%,194716500,-72078000 ( -27.0% ),25196,-9548 ( -27.5% ),1641863500,213743,3
2016-05-09,292,6.8%,413,3.1%,54576,2.4%,5.8%,22421200,-172295300 ( -88.5% ),3179,-22017 ( -87.4% ),1664284700,216922,6
2016-05-10,231,5.4%,304,2.3%,40482,1.8%,4.2%,11743000,-10678200 ( -47.6% ),1701,-1478 ( -46.5% ),1676027700,218623,7
2016-05-11,217,4.2%,270,2%,36700,1.7%,3.7%,9538500,-2204500 ( -18.8% ),1352,-349 ( -20.5% ),1685566200,219975,9
2016-05-12,115,2.7%,123,0.9%,15646,0.7%,4.4%,4520200,-5018300 ( -52.6% ),694,-658 ( -48.7% ),1690086400,220669,12
2016-05-13,148,3.2%,163,1.1%,20231,0.9%,10.1%,14681600,10161400 ( 224.8% ),2042,1348 ( 194.2% ),1704768000,222711,7
2016-05-14,318,6.2%,457,3%,59743,2.4%,34.2%,154042000,139360400 ( 949.2% ),20429,18387 ( 900.4% ),1858810000,243140,5
2016-05-15,320,6.3%,462,3.2%,60088,2.5%,34.5%,156886000,2844000 ( 1.8% ),20729,300 ( 1.5% ),2015696000,263869,4
