날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2017-09-02,1,0.0%,1,0%,545,0.0%,100.0%,4905000,4905000 ( 100.0% ),545,545 ( 100.0% ),4905000,545,28
2017-09-04,1,0.0%,1,0%,120,0.0%,100.0%,960000,960000 ( 100.0% ),120,120 ( 100.0% ),5865000,665,43
2017-09-07,169,2.9%,266,1.6%,35573,1.3%,26.6%,65878600,65878600 ( 100.0% ),9446,9446 ( 100.0% ),71743600,10111,6
2017-09-08,175,2.9%,284,1.6%,39037,1.4%,14.4%,44592500,-21286100 ( -32.3% ),5620,-3826 ( -40.5% ),116336100,15731,9
2017-09-09,219,3.4%,569,3.1%,80931,2.7%,47.2%,293529400,248936900 ( 558.2% ),38207,32587 ( 579.8% ),409865500,53938,6
2017-09-10,232,3.7%,598,3.3%,85817,2.9%,39.6%,265256400,-28273000 ( -9.6% ),33952,-4255 ( -11.1% ),675121900,87890,6
2017-09-11,144,2.6%,256,1.6%,36059,1.3%,6.5%,17134500,-248121900 ( -93.5% ),2352,-31600 ( -93.1% ),692256400,90242,10
2017-09-12,145,2.5%,242,1.5%,34002,1.3%,5.8%,14385500,-2749000 ( -16.0% ),1960,-392 ( -16.7% ),706641900,92202,11
2017-09-13,138,2.3%,211,1.3%,29864,1.1%,5.7%,12195700,-2189800 ( -15.2% ),1700,-260 ( -13.3% ),718837600,93902,12
2017-09-14,77,1.3%,93,0.5%,11871,0.4%,9.6%,7829600,-4366100 ( -35.8% ),1142,-558 ( -32.8% ),726667200,95044,17
2017-09-15,81,1.4%,97,0.6%,12545,0.4%,8.5%,8546000,716400 ( 9.1% ),1064,-78 ( -6.8% ),735213200,96108,16
2017-09-16,161,2.5%,294,1.6%,39916,1.3%,30.3%,95192700,86646700 ( 1013.9% ),12091,11027 ( 1036.4% ),830405900,108199,8
2017-09-17,164,2.6%,305,1.7%,41969,1.4%,30.2%,100259700,5067000 ( 5.3% ),12679,588 ( 4.9% ),930665600,120878,8
2017-09-18,89,1.6%,109,0.7%,14324,0.5%,7.5%,7728000,-92531700 ( -92.3% ),1072,-11607 ( -91.5% ),938393600,121950,16
2017-09-19,80,1.4%,94,0.6%,12050,0.4%,4.3%,3788000,-3940000 ( -51.0% ),524,-548 ( -51.1% ),942181600,122474,24
2017-09-20,74,1.3%,83,0.5%,11024,0.4%,4.8%,3787000,-1000 ( 0.0% ),534,10 ( 1.9% ),945968600,123008,26
2017-09-21,25,0.5%,26,0.2%,3601,0.1%,5.4%,1414000,-2373000 ( -62.7% ),193,-341 ( -63.9% ),947382600,123201,44
2017-09-22,30,0.5%,33,0.2%,4543,0.2%,8.3%,2629500,1215500 ( 86.0% ),375,182 ( 94.3% ),950012100,123576,28
2017-09-23,113,1.8%,191,1.1%,24755,0.8%,21.4%,41811600,39182100 ( 1490.1% ),5286,4911 ( 1309.6% ),991823700,128862,9
2017-09-24,122,2.0%,206,1.2%,26658,0.9%,24.1%,51610000,9798400 ( 23.4% ),6425,1139 ( 21.5% ),1043433700,135287,9
2017-09-25,23,0.4%,25,0.2%,3388,0.1%,4.3%,1089000,-50521000 ( -97.9% ),146,-6279 ( -97.7% ),1044522700,135433,47
2017-09-26,28,0.5%,29,0.2%,3820,0.1%,5.6%,1589500,500500 ( 46.0% ),214,68 ( 46.6% ),1046112200,135647,41
2017-09-27,5,0.1%,5,0%,515,0.0%,10.5%,290000,-1299500 ( -81.8% ),54,-160 ( -74.8% ),1046402200,135701,64
2017-09-28,2,0.0%,2,0%,319,0.0%,0.9%,18000,-272000 ( -93.8% ),3,-51 ( -94.4% ),1046420200,135704,131
2017-09-29,2,0.0%,2,0%,310,0.0%,1.3%,28000,10000 ( 55.6% ),4,1 ( 33.3% ),1046448200,135708,101
2017-09-30,12,0.2%,13,0.1%,1556,0.1%,23.3%,2769000,2741000 ( 9789.3% ),363,359 ( 8975.0% ),1049217200,136071,28
2017-10-01,15,0.3%,16,0.1%,2082,0.1%,19.7%,3084000,315000 ( 11.4% ),411,48 ( 13.2% ),1052301200,136482,26
2017-10-02,12,0.2%,13,0.1%,1618,0.1%,25.9%,2839000,-245000 ( -7.9% ),419,8 ( 1.9% ),1055140200,136901,26
2017-10-13,1,0.0%,1,0%,63,0.0%,44.4%,140000,140000 ( 100.0% ),28,28 ( 100.0% ),1055280200,136929,61
2017-11-10,1,0.0%,1,0%,177,0.0%,69.5%,615000,615000 ( 100.0% ),123,123 ( 100.0% ),1055895200,137052,48
