날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-09-11,4,0.1%,4,0%,825,0.0%,100.0%,7425000,7425000 ( 100.0% ),825,825 ( 100.0% ),7425000,825,16
2018-09-18,6,0.1%,6,0%,1171,0.0%,91.6%,10446000,10446000 ( 100.0% ),1073,1073 ( 100.0% ),17871000,1898,14
2018-09-19,3,0.1%,3,0%,461,0.0%,9.8%,241000,-10205000 ( -97.7% ),45,-1028 ( -95.8% ),18112000,1943,49
2018-09-20,252,4.5%,281,1.5%,32786,1.1%,6.5%,14967150,14726150 ( 6110.4% ),2136,2091 ( 4646.7% ),33079150,4079,9
2018-09-21,236,4.2%,264,1.4%,30521,1.0%,6.2%,14674400,-292750 ( -2.0% ),1891,-245 ( -11.5% ),47753550,5970,7
2018-09-22,442,6.9%,610,3%,69858,2.2%,33.5%,176094750,161420350 ( 1100.0% ),23404,21513 ( 1137.7% ),223848300,29374,6
2018-09-23,454,7.2%,623,3.1%,71686,2.3%,24.1%,132633300,-43461450 ( -24.7% ),17242,-6162 ( -26.3% ),356481600,46616,6
2018-09-24,417,6.8%,583,2.9%,67599,2.2%,20.1%,108447450,-24185850 ( -18.2% ),13558,-3684 ( -21.4% ),464929050,60174,6
2018-09-25,444,6.9%,619,3%,72844,2.3%,38.1%,215114900,106667450 ( 98.4% ),27775,14217 ( 104.9% ),680043950,87949,6
2018-09-26,372,6.1%,528,2.6%,59187,1.9%,51.2%,228096450,12981550 ( 6.0% ),30321,2546 ( 9.2% ),908140400,118270,7
2018-09-27,196,3.7%,216,1.2%,25250,0.9%,8.6%,14896250,-213200200 ( -93.5% ),2175,-28146 ( -92.8% ),923036650,120445,8
2018-09-28,188,3.5%,215,1.2%,25117,0.9%,6.7%,12947700,-1948550 ( -13.1% ),1682,-493 ( -22.7% ),935984350,122127,9
2018-09-29,342,5.9%,472,2.4%,52187,1.7%,26.0%,102081100,89133400 ( 688.4% ),13567,11885 ( 706.6% ),1038065450,135694,7
2018-09-30,350,6.1%,479,2.5%,53302,1.8%,28.8%,117991550,15910450 ( 15.6% ),15360,1793 ( 13.2% ),1156057000,151054,7
2018-10-01,127,2.7%,147,0.9%,17463,0.6%,4.0%,4679500,-113312050 ( -96.0% ),696,-14664 ( -95.5% ),1160736500,151750,11
2018-10-02,142,2.8%,157,0.9%,18736,0.7%,4.4%,5509600,830100 ( 17.7% ),822,126 ( 18.1% ),1166246100,152572,18
2018-10-03,39,0.7%,43,0.2%,3854,0.1%,59.6%,17792100,12282500 ( 222.9% ),2296,1474 ( 179.3% ),1184038200,154868,12
2018-10-04,8,0.2%,11,0.1%,669,0.0%,12.3%,544000,-17248100 ( -96.9% ),82,-2214 ( -96.4% ),1184582200,154950,29
2018-10-05,8,0.2%,10,0.1%,795,0.0%,4.0%,276500,-267500 ( -49.2% ),32,-50 ( -61.0% ),1184858700,154982,53
2018-10-06,35,0.6%,39,0.2%,3943,0.1%,22.5%,6961700,6685200 ( 2417.8% ),889,857 ( 2678.1% ),1191820400,155871,15
2018-10-07,33,0.6%,38,0.2%,3879,0.1%,24.2%,7702000,740300 ( 10.6% ),940,51 ( 5.7% ),1199522400,156811,16
2018-10-08,18,0.3%,21,0.1%,1876,0.1%,17.6%,2198000,-5504000 ( -71.5% ),330,-610 ( -64.9% ),1201720400,157141,22
2018-10-09,11,0.2%,11,0.1%,1044,0.0%,26.3%,2311300,113300 ( 5.2% ),275,-55 ( -16.7% ),1204031700,157416,26
2018-10-10,3,0.1%,3,0%,190,0.0%,40.0%,388000,-1923300 ( -83.2% ),76,-199 ( -72.4% ),1204419700,157492,40
2018-10-11,1,0.0%,1,0%,40,0.0%,5.0%,10000,-378000 ( -97.4% ),2,-74 ( -97.4% ),1204429700,157494,80
2018-10-12,4,0.1%,4,0%,300,0.0%,16.3%,305000,295000 ( 2950.0% ),49,47 ( 2350.0% ),1204734700,157543,52
2018-10-13,5,0.1%,5,0%,615,0.0%,12.0%,542000,237000 ( 77.7% ),74,25 ( 51.0% ),1205276700,157617,45
2018-10-14,5,0.1%,5,0%,615,0.0%,11.7%,596500,54500 ( 10.1% ),72,-2 ( -2.7% ),1205873200,157689,39
