날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2017-09-19,5,0.1%,5,0%,1019,0.0%,100.0%,8152000,8152000 ( 100.0% ),1019,1019 ( 100.0% ),8152000,1019,16
2017-09-23,4,0.1%,4,0%,649,0.0%,50.5%,2166500,2166500 ( 100.0% ),328,328 ( 100.0% ),10318500,1347,45
2017-09-24,2,0.0%,2,0%,211,0.0%,59.7%,771000,-1395500 ( -64.4% ),126,-202 ( -61.6% ),11089500,1473,53
2017-09-27,324,6.1%,416,2.6%,52364,2.0%,11.4%,36674500,36674500 ( 100.0% ),5975,5975 ( 100.0% ),47764000,7448,5
2017-09-28,276,5.3%,332,2.1%,43297,1.7%,8.6%,27716400,-8958100 ( -24.4% ),3712,-2263 ( -37.9% ),75480400,11160,5
2017-09-29,256,4.8%,309,1.9%,38556,1.4%,6.5%,19198400,-8518000 ( -30.7% ),2524,-1188 ( -32.0% ),94678800,13684,10
2017-09-30,478,8.3%,920,5.1%,119337,4.1%,33.4%,295411400,276213000 ( 1438.7% ),39827,37303 ( 1477.9% ),390090200,53511,3
2017-10-01,485,8.5%,963,5.3%,124971,4.3%,31.7%,298315100,2903700 ( 1.0% ),39598,-229 ( -0.6% ),688405300,93109,3
2017-10-02,486,8.4%,953,5.2%,122719,4.2%,27.3%,226843300,-71471800 ( -24.0% ),33487,-6111 ( -15.4% ),915248600,126596,3
2017-10-03,212,3.6%,262,1.4%,32295,1.1%,28.6%,69926200,-156917100 ( -69.2% ),9233,-24254 ( -72.4% ),985174800,135829,7
2017-10-04,183,3.1%,230,1.3%,28032,1.0%,22.2%,49208000,-20718200 ( -29.6% ),6237,-2996 ( -32.4% ),1034382800,142066,8
2017-10-05,198,3.3%,254,1.4%,31428,1.1%,37.4%,89322400,40114400 ( 81.5% ),11767,5530 ( 88.7% ),1123705200,153833,7
2017-10-06,196,3.1%,241,1.3%,28205,0.9%,50.6%,106842700,17520300 ( 19.6% ),14269,2502 ( 21.3% ),1230547900,168102,7
2017-10-07,195,3.0%,250,1.3%,30126,1.0%,42.2%,94389400,-12453300 ( -11.7% ),12699,-1570 ( -11.0% ),1324937300,180801,7
2017-10-08,211,3.2%,258,1.4%,32110,1.1%,35.5%,86139700,-8249700 ( -8.7% ),11413,-1286 ( -10.1% ),1411077000,192214,7
2017-10-09,198,3.3%,258,1.4%,30281,1.0%,42.3%,94481100,8341400 ( 9.7% ),12816,1403 ( 12.3% ),1505558100,205030,7
2017-10-10,50,1.1%,56,0.4%,6983,0.3%,3.2%,1518500,-92962600 ( -98.4% ),222,-12594 ( -98.3% ),1507076600,205252,21
2017-10-11,50,1.1%,53,0.3%,7010,0.3%,3.2%,1571500,53000 ( 3.5% ),221,-1 ( -0.5% ),1508648100,205473,23
2017-10-12,12,0.2%,12,0.1%,1262,0.0%,3.1%,288000,-1283500 ( -81.7% ),39,-182 ( -82.4% ),1508936100,205512,49
2017-10-13,19,0.4%,19,0.1%,2454,0.1%,3.5%,629500,341500 ( 118.6% ),86,47 ( 120.5% ),1509565600,205598,40
2017-10-14,76,1.3%,93,0.5%,11659,0.4%,20.1%,17945200,17315700 ( 2750.7% ),2338,2252 ( 2618.6% ),1527510800,207936,10
2017-10-15,78,1.4%,92,0.5%,11939,0.4%,28.8%,26690000,8744800 ( 48.7% ),3438,1100 ( 47.0% ),1554200800,211374,10
2017-10-16,14,0.3%,16,0.1%,2107,0.1%,2.6%,392500,-26297500 ( -98.5% ),54,-3384 ( -98.4% ),1554593300,211428,38
2017-10-17,18,0.4%,18,0.1%,2396,0.1%,3.0%,499000,106500 ( 27.1% ),71,17 ( 31.5% ),1555092300,211499,39
2017-10-18,25,0.5%,25,0.2%,3894,0.2%,7.0%,1503000,1004000 ( 201.2% ),272,201 ( 283.1% ),1556595300,211771,28
2017-10-19,8,0.1%,8,0%,1361,0.0%,5.4%,398000,-1105000 ( -73.5% ),73,-199 ( -73.2% ),1556993300,211844,47
2017-10-20,7,0.1%,7,0%,1200,0.0%,6.1%,406000,8000 ( 2.0% ),73,0 ( 0.0% ),1557399300,211917,49
2017-10-21,42,0.6%,51,0.3%,6316,0.2%,14.8%,7172800,6766800 ( 1666.7% ),935,862 ( 1180.8% ),1564572100,212852,19
2017-10-22,44,0.7%,51,0.3%,6666,0.2%,17.4%,8974700,1801900 ( 25.1% ),1163,228 ( 24.4% ),1573546800,214015,18
2017-10-23,12,0.2%,12,0.1%,1965,0.1%,3.9%,413500,-8561200 ( -95.4% ),76,-1087 ( -93.5% ),1573960300,214091,50
2017-10-24,13,0.2%,13,0.1%,2142,0.1%,4.1%,488500,75000 ( 18.1% ),88,12 ( 15.8% ),1574448800,214179,48
2017-10-25,5,0.1%,5,0%,929,0.0%,6.7%,314000,-174500 ( -35.7% ),62,-26 ( -29.5% ),1574762800,214241,55
2017-10-26,4,0.1%,4,0%,831,0.0%,7.2%,300000,-14000 ( -4.5% ),60,-2 ( -3.2% ),1575062800,214301,81
2017-10-27,5,0.1%,5,0%,1107,0.0%,5.8%,321000,21000 ( 7.0% ),64,4 ( 6.7% ),1575383800,214365,75
2017-10-28,15,0.3%,15,0.1%,2682,0.1%,10.9%,2002500,1681500 ( 523.8% ),292,228 ( 356.3% ),1577386300,214657,36
2017-10-29,13,0.2%,13,0.1%,2088,0.1%,15.4%,2505500,503000 ( 25.1% ),322,30 ( 10.3% ),1579891800,214979,33
2017-10-30,5,0.1%,5,0%,977,0.0%,6.2%,305000,-2200500 ( -87.8% ),61,-261 ( -81.1% ),1580196800,215040,54
2017-10-31,5,0.1%,5,0%,973,0.0%,6.3%,307000,2000 ( 0.7% ),61,0 ( 0.0% ),1580503800,215101,64
2017-11-01,1,0.0%,1,0%,130,0.0%,1.5%,14000,-293000 ( -95.4% ),2,-59 ( -96.7% ),1580517800,215103,110
2017-11-04,2,0.0%,2,0%,478,0.0%,6.9%,298500,298500 ( 100.0% ),33,33 ( 100.0% ),1580816300,215136,102
2017-11-05,1,0.0%,1,0%,232,0.0%,19.8%,388500,90000 ( 30.2% ),46,13 ( 39.4% ),1581204800,215182,93
2017-11-11,1,0.0%,1,0%,94,0.0%,22.3%,170500,170500 ( 100.0% ),21,21 ( 100.0% ),1581375300,215203,94
