날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2017-08-15,1,0.0%,1,0%,200,0.0%,100.0%,1800000,1800000 ( 100.0% ),200,200 ( 100.0% ),1800000,200,32
2017-08-20,2,0.0%,2,0%,418,0.0%,100.0%,4198000,4198000 ( 100.0% ),418,418 ( 100.0% ),5998000,618,23
2017-08-24,242,3.9%,297,1.6%,39932,1.4%,7.6%,19750300,19750300 ( 100.0% ),3021,3021 ( 100.0% ),25748300,3639,13
2017-08-25,237,3.8%,289,1.6%,37891,1.3%,7.9%,20829500,1079200 ( 5.5% ),2981,-40 ( -1.3% ),46577800,6620,10
2017-08-26,305,4.5%,444,2.3%,55979,1.8%,17.0%,70783100,49953600 ( 239.8% ),9495,6514 ( 218.5% ),117360900,16115,11
2017-08-27,307,4.6%,438,2.3%,55469,1.8%,15.8%,66142400,-4640700 ( -6.6% ),8783,-712 ( -7.5% ),183503300,24898,11
2017-08-28,192,3.3%,219,1.3%,30409,1.1%,4.2%,8427500,-57714900 ( -87.3% ),1267,-7516 ( -85.6% ),191930800,26165,16
2017-08-29,188,3.1%,219,1.3%,29729,1.1%,4.5%,8588500,161000 ( 1.9% ),1331,64 ( 5.1% ),200519300,27496,16
2017-08-30,85,1.5%,91,0.5%,11773,0.4%,10.2%,6601500,-1987000 ( -23.1% ),1197,-134 ( -10.1% ),207120800,28693,16
2017-08-31,21,0.4%,21,0.1%,3067,0.1%,12.0%,2086500,-4515000 ( -68.4% ),369,-828 ( -69.2% ),209207300,29062,30
2017-09-01,15,0.3%,16,0.1%,1855,0.1%,5.3%,803000,-1283500 ( -61.5% ),99,-270 ( -73.2% ),210010300,29161,44
2017-09-02,51,0.8%,56,0.3%,7374,0.2%,13.5%,7418000,6615000 ( 823.8% ),992,893 ( 902.0% ),217428300,30153,25
2017-09-03,50,0.8%,57,0.3%,7587,0.3%,13.5%,7765800,347800 ( 4.7% ),1023,31 ( 3.1% ),225194100,31176,21
2017-09-04,8,0.1%,8,0%,1098,0.0%,2.4%,179500,-7586300 ( -97.7% ),26,-997 ( -97.5% ),225373600,31202,66
2017-09-05,16,0.3%,16,0.1%,2337,0.1%,3.9%,592000,412500 ( 229.8% ),90,64 ( 246.2% ),225965600,31292,52
2017-09-06,5,0.1%,6,0%,856,0.0%,1.5%,102000,-490000 ( -82.8% ),13,-77 ( -85.6% ),226067600,31305,76
2017-09-07,3,0.1%,3,0%,443,0.0%,0.7%,19000,-83000 ( -81.4% ),3,-10 ( -76.9% ),226086600,31308,97
2017-09-08,3,0.0%,3,0%,316,0.0%,27.5%,441000,422000 ( 2221.1% ),87,84 ( 2800.0% ),226527600,31395,51
2017-09-09,8,0.1%,11,0.1%,1500,0.0%,11.2%,1071500,630500 ( 143.0% ),168,81 ( 93.1% ),227599100,31563,43
2017-09-10,9,0.1%,10,0.1%,1252,0.0%,14.3%,1394500,323000 ( 30.1% ),179,11 ( 6.5% ),228993600,31742,39
2017-09-11,1,0.0%,1,0%,268,0.0%,0.7%,16000,-1378500 ( -98.9% ),2,-177 ( -98.9% ),229009600,31744,100
2017-09-12,1,0.0%,1,0%,157,0.0%,1.9%,18000,2000 ( 12.5% ),3,1 ( 50.0% ),229027600,31747,105
2017-09-13,2,0.0%,2,0%,193,0.0%,3.6%,56000,38000 ( 211.1% ),7,4 ( 133.3% ),229083600,31754,109
2017-09-14,3,0.1%,3,0%,612,0.0%,17.6%,538000,482000 ( 860.7% ),108,101 ( 1442.9% ),229621600,31862,54
2017-09-15,3,0.1%,3,0%,520,0.0%,13.5%,350000,-188000 ( -34.9% ),70,-38 ( -35.2% ),229971600,31932,63
2017-09-17,1,0.0%,1,0%,386,0.0%,1.3%,22000,22000 ( 100.0% ),5,5 ( 100.0% ),229993600,31937,107
2017-09-19,1,0.0%,1,0%,72,0.0%,36.1%,130000,130000 ( 100.0% ),26,26 ( 100.0% ),230123600,31963,80
2017-09-21,1,0.0%,1,0%,72,0.0%,76.4%,275000,275000 ( 100.0% ),55,55 ( 100.0% ),230398600,32018,75
2017-09-24,1,0.0%,1,0%,386,0.0%,0.8%,12000,12000 ( 100.0% ),3,3 ( 100.0% ),230410600,32021,160
