날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2016-06-02,2,0.0%,2,0%,608,0.0%,100.0%,5472000,5472000 ( 100.0% ),608,608 ( 100.0% ),5472000,608,20
2016-06-04,1,0.0%,1,0%,230,0.0%,100.0%,2300000,2300000 ( 100.0% ),230,230 ( 100.0% ),7772000,838,27
2016-06-07,1,0.0%,1,0%,102,0.0%,70.6%,360000,360000 ( 100.0% ),72,72 ( 100.0% ),8132000,910,38
2016-06-09,158,3.2%,165,1.1%,20833,0.8%,10.7%,16980600,16980600 ( 100.0% ),2232,2232 ( 100.0% ),25112600,3142,10
2016-06-10,160,3.2%,171,1.1%,21755,0.8%,8.4%,16036100,-944500 ( -5.6% ),1825,-407 ( -18.2% ),41148700,4967,11
2016-06-11,208,3.8%,280,1.7%,35756,1.3%,24.5%,69762500,53726400 ( 335.0% ),8772,6947 ( 380.7% ),110911200,13739,9
2016-06-12,210,3.9%,272,1.7%,35373,1.3%,26.2%,72675400,2912900 ( 4.2% ),9267,495 ( 5.6% ),183586600,23006,9
2016-06-13,137,2.9%,148,1%,19005,0.8%,4.2%,6061600,-66613800 ( -91.7% ),803,-8464 ( -91.3% ),189648200,23809,13
2016-06-14,137,2.8%,148,1%,18526,0.7%,4.2%,5949500,-112100 ( -1.8% ),778,-25 ( -3.1% ),195597700,24587,13
2016-06-15,128,2.6%,138,0.9%,17025,0.7%,6.2%,8045700,2096200 ( 35.2% ),1054,276 ( 35.5% ),203643400,25641,12
2016-06-16,8,0.2%,9,0.1%,1003,0.0%,9.9%,746800,-7298900 ( -90.7% ),99,-955 ( -90.6% ),204390200,25740,42
2016-06-17,7,0.1%,8,0.1%,778,0.0%,15.9%,1085000,338200 ( 45.3% ),124,25 ( 25.3% ),205475200,25864,34
2016-06-18,47,0.9%,51,0.3%,5678,0.2%,34.4%,15407700,14322700 ( 1320.1% ),1953,1829 ( 1475.0% ),220882900,27817,17
2016-06-19,47,0.9%,50,0.3%,5592,0.2%,39.9%,17379900,1972200 ( 12.8% ),2233,280 ( 14.3% ),238262800,30050,15
2016-06-20,10,0.2%,12,0.1%,1240,0.0%,13.0%,1242400,-16137500 ( -92.9% ),161,-2072 ( -92.8% ),239505200,30211,31
2016-06-21,9,0.2%,11,0.1%,1015,0.0%,22.8%,1793500,551100 ( 44.4% ),231,70 ( 43.5% ),241298700,30442,26
2016-06-22,7,0.2%,8,0.1%,781,0.0%,20.4%,1271000,-522500 ( -29.1% ),159,-72 ( -31.2% ),242569700,30601,28
2016-06-23,2,0.0%,2,0%,240,0.0%,36.3%,756000,-515000 ( -40.5% ),87,-72 ( -45.3% ),243325700,30688,48
2016-06-24,1,0.0%,1,0%,84,0.0%,52.4%,264000,-492000 ( -65.1% ),44,-43 ( -49.4% ),243589700,30732,57
2016-06-25,7,0.1%,7,0%,947,0.0%,38.6%,3344500,3080500 ( 1166.9% ),366,322 ( 731.8% ),246934200,31098,26
2016-06-26,7,0.1%,8,0%,1136,0.0%,42.8%,4358000,1013500 ( 30.3% ),486,120 ( 32.8% ),251292200,31584,23
2016-06-27,2,0.0%,2,0%,240,0.0%,37.1%,778500,-3579500 ( -82.1% ),89,-397 ( -81.7% ),252070700,31673,47
2016-06-28,2,0.0%,2,0%,240,0.0%,32.1%,659500,-119000 ( -15.3% ),77,-12 ( -13.5% ),252730200,31750,55
2016-06-29,1,0.0%,1,0%,170,0.0%,32.4%,484000,-175500 ( -26.6% ),55,-22 ( -28.6% ),253214200,31805,59
2016-08-06,1,0.0%,1,0%,190,0.0%,100.0%,1710000,1710000 ( 100.0% ),190,190 ( 100.0% ),254924200,31995,33
2016-08-28,1,0.0%,1,0%,122,0.0%,100.0%,1342000,1342000 ( 100.0% ),122,122 ( 100.0% ),256266200,32117,45
2018-11-17,1,0.0%,2,0%,174,0.0%,74.7%,783000,783000 ( 100.0% ),130,130 ( 100.0% ),257049200,32247,37
2019-01-19,1,0.0%,1,0%,127,0.0%,100.0%,1270000,1270000 ( 100.0% ),127,127 ( 100.0% ),258319200,32374,43
2020-02-01,1,0.0%,1,0%,75,0.0%,100.0%,825000,825000 ( 100.0% ),75,75 ( 100.0% ),259144200,32449,51
