날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2017-07-16,3,0.1%,3,0%,1058,0.0%,100.0%,10357000,10357000 ( 100.0% ),1058,1058 ( 100.0% ),10357000,1058,15
2017-07-20,304,5.4%,376,2%,45199,1.5%,18.6%,59775600,59775600 ( 100.0% ),8423,8423 ( 100.0% ),70132600,9481,8
2017-07-21,325,5.7%,414,2.2%,49858,1.6%,20.2%,78042800,18267200 ( 30.6% ),10089,1666 ( 19.8% ),148175400,19570,7
2017-07-22,430,7.0%,737,3.7%,95464,2.9%,57.1%,406629400,328586600 ( 421.0% ),54480,44391 ( 440.0% ),554804800,74050,4
2017-07-23,547,8.9%,943,4.9%,126450,4.0%,50.5%,486617500,79988100 ( 19.7% ),63909,9429 ( 17.3% ),1041422300,137959,4
2017-07-24,403,7.3%,709,3.8%,92801,3.1%,15.5%,100340900,-386276600 ( -79.4% ),14407,-49502 ( -77.5% ),1141763200,152366,4
2017-07-25,414,7.3%,710,3.8%,93709,3.1%,17.5%,112622300,12281400 ( 12.2% ),16356,1949 ( 13.5% ),1254385500,168722,4
2017-07-26,227,4.1%,308,1.7%,36443,1.2%,24.1%,58899300,-53723000 ( -47.7% ),8784,-7572 ( -46.3% ),1313284800,177506,6
2017-07-27,215,4.0%,294,1.6%,34364,1.1%,32.6%,75690900,16791600 ( 28.5% ),11208,2424 ( 27.6% ),1388975700,188714,5
2017-07-28,226,4.3%,308,1.6%,37317,1.2%,31.5%,86684300,10993400 ( 14.5% ),11744,536 ( 4.8% ),1475660000,200458,5
2017-07-29,235,4.3%,333,1.7%,40166,1.3%,46.3%,135634100,48949800 ( 56.5% ),18582,6838 ( 58.2% ),1611294100,219040,5
2017-07-30,237,4.3%,330,1.7%,40058,1.3%,45.1%,134426500,-1207600 ( -0.9% ),18076,-506 ( -2.7% ),1745720600,237116,5
2017-07-31,241,4.5%,345,1.8%,40328,1.3%,44.1%,119845700,-14580800 ( -10.8% ),17774,-302 ( -1.7% ),1865566300,254890,5
2017-08-01,263,4.8%,375,2%,45943,1.5%,42.4%,130169300,10323600 ( 8.6% ),19491,1717 ( 9.7% ),1995735600,274381,5
2017-08-02,123,2.3%,145,0.8%,17007,0.6%,48.9%,55231300,-74938000 ( -57.6% ),8308,-11183 ( -57.4% ),2050966900,282689,6
2017-08-03,120,2.2%,141,0.8%,16792,0.6%,42.9%,48053000,-7178300 ( -13.0% ),7209,-1099 ( -13.2% ),2099019900,289898,6
2017-08-04,132,2.4%,158,0.8%,18653,0.6%,38.5%,54087300,6034300 ( 12.6% ),7177,-32 ( -0.4% ),2153107200,297075,6
2017-08-05,142,2.5%,186,1%,22285,0.7%,44.5%,74059100,19971800 ( 36.9% ),9920,2743 ( 38.2% ),2227166300,306995,6
2017-08-06,139,2.5%,184,1%,21402,0.7%,45.1%,73380400,-678700 ( -0.9% ),9659,-261 ( -2.6% ),2300546700,316654,6
2017-08-07,133,2.6%,181,1%,21336,0.7%,20.4%,29757500,-43622900 ( -59.4% ),4361,-5298 ( -54.9% ),2330304200,321015,8
2017-08-08,132,2.5%,170,0.9%,19929,0.7%,22.7%,30909800,1152300 ( 3.9% ),4528,167 ( 3.8% ),2361214000,325543,8
2017-08-09,47,0.8%,53,0.3%,6108,0.2%,20.0%,8223000,-22686800 ( -73.4% ),1222,-3306 ( -73.0% ),2369437000,326765,15
2017-08-10,23,0.4%,25,0.1%,2808,0.1%,23.0%,4438700,-3784300 ( -46.0% ),645,-577 ( -47.2% ),2373875700,327410,19
2017-08-11,21,0.4%,22,0.1%,2548,0.1%,18.4%,3737500,-701200 ( -15.8% ),469,-176 ( -27.3% ),2377613200,327879,22
2017-08-12,24,0.4%,28,0.1%,2875,0.1%,40.7%,9588500,5851000 ( 156.5% ),1169,700 ( 149.3% ),2387201700,329048,14
2017-08-13,23,0.4%,26,0.1%,2670,0.1%,34.2%,7069600,-2518900 ( -26.3% ),914,-255 ( -21.8% ),2394271300,329962,15
2017-08-14,22,0.4%,26,0.1%,2646,0.1%,21.2%,3873000,-3196600 ( -45.2% ),562,-352 ( -38.5% ),2398144300,330524,17
2017-08-15,12,0.2%,13,0.1%,1336,0.0%,63.9%,6558900,2685900 ( 69.3% ),854,292 ( 52.0% ),2404703200,331378,17
