날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2016-10-27,4,0.1%,4,0%,829,0.0%,99.2%,6576000,6576000 ( 100.0% ),822,822 ( 100.0% ),6576000,822,17
2016-11-03,219,4.7%,245,1.5%,33803,1.3%,6.5%,16321200,16321200 ( 100.0% ),2196,2196 ( 100.0% ),22897200,3018,11
2016-11-04,236,4.9%,263,1.6%,36416,1.3%,4.3%,12437500,-3883700 ( -23.8% ),1582,-614 ( -28.0% ),35334700,4600,14
2016-11-05,406,7.7%,693,3.9%,92769,3.2%,18.6%,134923800,122486300 ( 984.8% ),17222,15640 ( 988.6% ),170258500,21822,4
2016-11-06,404,7.8%,713,4.1%,94214,3.3%,20.5%,152166300,17242500 ( 12.8% ),19294,2072 ( 12.0% ),322424800,41116,3
2016-11-07,202,4.5%,235,1.5%,32931,1.3%,3.6%,8439000,-143727300 ( -94.5% ),1174,-18120 ( -93.9% ),330863800,42290,12
2016-11-08,207,4.4%,241,1.6%,34181,1.3%,3.2%,7847200,-591800 ( -7.0% ),1100,-74 ( -6.3% ),338711000,43390,14
2016-11-09,148,3.2%,162,1%,21889,0.8%,3.6%,5673000,-2174200 ( -27.7% ),796,-304 ( -27.6% ),344384000,44186,17
2016-11-10,89,1.9%,94,0.6%,12857,0.5%,4.3%,3680500,-1992500 ( -35.1% ),552,-244 ( -30.7% ),348064500,44738,21
2016-11-11,93,1.9%,96,0.6%,14448,0.5%,3.8%,4472500,792000 ( 21.5% ),555,3 ( 0.5% ),352537000,45293,24
2016-11-12,241,4.5%,332,1.9%,42039,1.5%,16.9%,56482000,52009500 ( 1162.9% ),7109,6554 ( 1180.9% ),409019000,52402,8
2016-11-13,254,4.8%,350,2.1%,44392,1.6%,18.9%,67369700,10887700 ( 19.3% ),8384,1275 ( 17.9% ),476388700,60786,8
2016-11-14,76,1.7%,83,0.5%,12311,0.5%,2.9%,2669800,-64699900 ( -96.0% ),359,-8025 ( -95.7% ),479058500,61145,22
2016-11-15,74,1.5%,77,0.5%,11101,0.4%,2.9%,2260600,-409200 ( -15.3% ),325,-34 ( -9.5% ),481319100,61470,31
2016-11-16,17,0.4%,18,0.1%,2105,0.1%,2.9%,436000,-1824600 ( -80.7% ),62,-263 ( -80.9% ),481755100,61532,60
2016-11-17,8,0.2%,8,0.1%,1077,0.0%,1.8%,118000,-318000 ( -72.9% ),19,-43 ( -69.4% ),481873100,61551,85
2016-11-18,12,0.2%,12,0.1%,1414,0.1%,5.2%,489000,371000 ( 314.4% ),74,55 ( 289.5% ),482362100,61625,55
2016-11-19,43,0.8%,48,0.3%,6494,0.2%,13.2%,6481700,5992700 ( 1225.5% ),858,784 ( 1059.5% ),488843800,62483,18
2016-11-20,44,0.8%,49,0.3%,6565,0.2%,15.3%,7737600,1255900 ( 19.4% ),1005,147 ( 17.1% ),496581400,63488,18
2016-11-21,3,0.1%,3,0%,226,0.0%,6.2%,82000,-7655600 ( -98.9% ),14,-991 ( -98.6% ),496663400,63502,86
2016-11-22,7,0.1%,7,0%,1138,0.0%,27.1%,1276000,1194000 ( 1456.1% ),308,294 ( 2100.0% ),497939400,63810,27
2016-11-23,3,0.1%,3,0%,640,0.0%,0.8%,34000,-1242000 ( -97.3% ),5,-303 ( -98.4% ),497973400,63815,97
2016-11-24,3,0.1%,4,0%,438,0.0%,1.8%,58000,24000 ( 70.6% ),8,3 ( 60.0% ),498031400,63823,100
2016-11-25,3,0.1%,4,0%,582,0.0%,1.4%,61000,3000 ( 5.2% ),8,0 ( 0.0% ),498092400,63831,96
2016-11-26,14,0.3%,14,0.1%,1736,0.1%,8.6%,1144000,1083000 ( 1775.4% ),149,141 ( 1762.5% ),499236400,63980,49
2016-11-27,15,0.3%,15,0.1%,2002,0.1%,16.1%,2550600,1406600 ( 123.0% ),322,173 ( 116.1% ),501787000,64302,33
2016-11-28,4,0.1%,4,0%,574,0.0%,6.6%,237000,-2313600 ( -90.7% ),38,-284 ( -88.2% ),502024000,64340,56
2016-11-29,2,0.0%,2,0%,276,0.0%,2.5%,43000,-194000 ( -81.9% ),7,-31 ( -81.6% ),502067000,64347,103
2016-11-30,2,0.0%,2,0%,508,0.0%,0.4%,11500,-31500 ( -73.3% ),2,-5 ( -71.4% ),502078500,64349,123
2016-12-01,1,0.0%,1,0%,168,0.0%,1.2%,15000,3500 ( 30.4% ),2,0 ( 0.0% ),502093500,64351,126
2016-12-02,1,0.0%,1,0%,119,0.0%,1.7%,20000,5000 ( 33.3% ),2,0 ( 0.0% ),502113500,64353,145
2016-12-03,6,0.1%,6,0%,681,0.0%,11.5%,566000,546000 ( 2730.0% ),78,76 ( 3800.0% ),502679500,64431,65
2016-12-04,6,0.1%,6,0%,723,0.0%,10.7%,579300,13300 ( 2.3% ),77,-1 ( -1.3% ),503258800,64508,66
2016-12-06,3,0.1%,3,0%,318,0.0%,3.5%,74000,74000 ( 100.0% ),11,11 ( 100.0% ),503332800,64519,103
2016-12-07,1,0.0%,1,0%,94,0.0%,2.1%,17000,-57000 ( -77.0% ),2,-9 ( -81.8% ),503349800,64521,128
2016-12-08,1,0.0%,1,0%,94,0.0%,2.1%,12000,-5000 ( -29.4% ),2,0 ( 0.0% ),503361800,64523,104
2016-12-09,1,0.0%,1,0%,129,0.0%,62.0%,400000,388000 ( 3233.3% ),80,78 ( 3900.0% ),503761800,64603,48
2016-12-10,1,0.0%,1,0%,128,0.0%,6.3%,64000,-336000 ( -84.0% ),8,-72 ( -90.0% ),503825800,64611,72
2016-12-11,1,0.0%,1,0%,128,0.0%,3.1%,30000,-34000 ( -53.1% ),4,-4 ( -50.0% ),503855800,64615,83
2016-12-17,1,0.0%,1,0%,260,0.0%,0.8%,12000,12000 ( 100.0% ),2,2 ( 100.0% ),503867800,64617,92
2016-12-31,1,0.0%,1,0%,308,0.0%,1.6%,33000,33000 ( 100.0% ),5,5 ( 100.0% ),503900800,64622,79
2017-01-01,1,0.0%,1,0%,308,0.0%,1.6%,32000,-1000 ( -3.0% ),5,0 ( 0.0% ),503932800,64627,66
2017-01-04,1,0.0%,1,0%,308,0.0%,1.0%,17000,17000 ( 100.0% ),3,3 ( 100.0% ),503949800,64630,80
2017-01-05,1,0.0%,1,0%,128,0.0%,2.3%,18000,1000 ( 5.9% ),3,0 ( 0.0% ),503967800,64633,79
2017-01-06,1,0.0%,1,0%,128,0.0%,1.6%,13000,-5000 ( -27.8% ),2,-1 ( -33.3% ),503980800,64635,79
2017-01-10,1,0.0%,1,0%,128,0.0%,1.6%,12000,12000 ( 100.0% ),2,2 ( 100.0% ),503992800,64637,84
2017-01-15,1,0.0%,1,0%,128,0.0%,1.6%,13000,13000 ( 100.0% ),2,2 ( 100.0% ),504005800,64639,69
2017-01-20,1,0.0%,1,0%,260,0.0%,0.4%,6000,6000 ( 100.0% ),1,1 ( 100.0% ),504011800,64640,86
2017-01-21,1,0.0%,1,0%,112,0.0%,1.8%,12000,6000 ( 100.0% ),2,1 ( 100.0% ),504023800,64642,81
2018-11-24,1,0.0%,3,0%,249,0.0%,34.9%,312000,312000 ( 100.0% ),87,87 ( 100.0% ),504335800,64729,52
