날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2017-12-13,4,0.1%,4,0%,865,0.0%,100.0%,6920000,6920000 ( 100.0% ),865,865 ( 100.0% ),6920000,865,21
2017-12-15,1,0.0%,1,0%,306,0.0%,100.0%,3060000,3060000 ( 100.0% ),306,306 ( 100.0% ),9980000,1171,33
2017-12-20,4,0.1%,4,0%,396,0.0%,5.8%,141000,141000 ( 100.0% ),23,23 ( 100.0% ),10121000,1194,69
2017-12-21,424,7.5%,561,3.4%,70844,2.6%,20.6%,101868900,101727900 ( 72147.4% ),14583,14560 ( 63304.3% ),111989900,15777,5
2017-12-22,407,7.1%,545,3.2%,68095,2.5%,13.2%,69883800,-31985100 ( -31.4% ),9022,-5561 ( -38.1% ),181873700,24799,6
2017-12-23,610,9.7%,1104,5.9%,146514,4.9%,51.9%,569684600,499800800 ( 715.2% ),76102,67080 ( 743.5% ),751558300,100901,4
2017-12-24,626,10.0%,1165,6.2%,154743,5.2%,57.4%,679069000,109384400 ( 19.2% ),88873,12771 ( 16.8% ),1430627300,189774,4
2017-12-25,614,9.8%,1153,6.3%,153335,5.2%,65.8%,766630200,87561200 ( 12.9% ),100877,12004 ( 13.5% ),2197257500,290651,4
2017-12-26,464,8.3%,749,4.4%,92200,3.4%,14.1%,90279100,-676351100 ( -88.2% ),13017,-87860 ( -87.1% ),2287536600,303668,5
2017-12-27,347,6.4%,433,2.5%,52068,1.9%,21.9%,75487000,-14792100 ( -16.4% ),11385,-1632 ( -12.5% ),2363023600,315053,6
2017-12-28,320,5.8%,394,2.3%,46557,1.7%,27.4%,87471200,11984200 ( 15.9% ),12749,1364 ( 12.0% ),2450494800,327802,5
2017-12-29,334,6.0%,415,2.3%,49357,1.7%,34.2%,129194400,41723200 ( 47.7% ),16870,4121 ( 32.3% ),2579689200,344672,5
2017-12-30,434,7.5%,633,3.4%,75768,2.6%,46.8%,267578600,138384200 ( 107.1% ),35443,18573 ( 110.1% ),2847267800,380115,5
2017-12-31,443,7.7%,635,3.4%,76341,2.6%,46.0%,270261900,2683300 ( 1.0% ),35140,-303 ( -0.9% ),3117529700,415255,5
2018-01-01,417,7.4%,605,3.4%,72267,2.5%,47.2%,262886500,-7375400 ( -2.7% ),34103,-1037 ( -3.0% ),3380416200,449358,5
2018-01-02,371,7.0%,510,3%,59493,2.2%,30.1%,123797500,-139089000 ( -52.9% ),17929,-16174 ( -47.4% ),3504213700,467287,5
2018-01-03,153,2.9%,178,1%,19424,0.7%,36.3%,48771800,-75025700 ( -60.6% ),7052,-10877 ( -60.7% ),3552985500,474339,7
2018-01-04,137,2.4%,154,0.9%,16327,0.6%,34.1%,38617200,-10154600 ( -20.8% ),5566,-1486 ( -21.1% ),3591602700,479905,8
2018-01-05,140,2.5%,156,0.9%,17346,0.6%,24.4%,33076900,-5540300 ( -14.3% ),4230,-1336 ( -24.0% ),3624679600,484135,9
2018-01-06,159,2.7%,198,1.1%,20524,0.7%,34.8%,54769000,21692100 ( 65.6% ),7139,2909 ( 68.8% ),3679448600,491274,8
2018-01-07,151,2.6%,190,1.1%,20119,0.7%,36.1%,56346900,1577900 ( 2.9% ),7256,117 ( 1.6% ),3735795500,498530,8
2018-01-08,129,2.5%,154,0.9%,16851,0.6%,12.9%,15242500,-41104400 ( -72.9% ),2176,-5080 ( -70.0% ),3751038000,500706,8
2018-01-09,132,2.5%,157,0.9%,17266,0.6%,12.7%,15103500,-139000 ( -0.9% ),2191,15 ( 0.7% ),3766141500,502897,9
2018-01-10,125,2.3%,145,0.9%,16071,0.6%,12.4%,13746200,-1357300 ( -9.0% ),1986,-205 ( -9.4% ),3779887700,504883,9
2018-01-11,13,0.2%,14,0.1%,1226,0.0%,20.1%,1735000,-12011200 ( -87.4% ),247,-1739 ( -87.6% ),3781622700,505130,24
2018-01-12,19,0.3%,22,0.1%,1976,0.1%,37.9%,5352000,3617000 ( 208.5% ),749,502 ( 203.2% ),3786974700,505879,17
2018-01-13,22,0.4%,25,0.1%,2499,0.1%,38.9%,7841700,2489700 ( 46.5% ),971,222 ( 29.6% ),3794816400,506850,15
2018-01-14,23,0.4%,27,0.2%,2874,0.1%,37.1%,8949500,1107800 ( 14.1% ),1066,95 ( 9.8% ),3803765900,507916,14
2018-01-15,16,0.3%,19,0.1%,1397,0.1%,15.5%,1411600,-7537900 ( -84.2% ),216,-850 ( -79.7% ),3805177500,508132,20
2018-01-16,13,0.2%,16,0.1%,1291,0.0%,14.5%,1268500,-143100 ( -10.1% ),187,-29 ( -13.4% ),3806446000,508319,30
2018-01-17,5,0.1%,7,0%,436,0.0%,12.2%,328500,-940000 ( -74.1% ),53,-134 ( -71.7% ),3806774500,508372,50
2018-01-18,4,0.1%,4,0%,273,0.0%,43.2%,650000,321500 ( 97.9% ),118,65 ( 122.6% ),3807424500,508490,48
2018-01-19,8,0.1%,9,0.1%,600,0.0%,32.3%,1234000,584000 ( 89.8% ),194,76 ( 64.4% ),3808658500,508684,31
2018-01-20,2,0.0%,2,0%,225,0.0%,12.0%,201000,-1033000 ( -83.7% ),27,-167 ( -86.1% ),3808859500,508711,67
2018-01-21,3,0.1%,3,0%,267,0.0%,19.9%,368500,167500 ( 83.3% ),53,26 ( 96.3% ),3809228000,508764,51
