날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2016-04-05,13,0.3%,13,0.1%,2743,0.1%,100.4%,22505000,22505000 ( 100.0% ),2754,2754 ( 100.0% ),22505000,2754,6
2016-04-12,2,0.0%,2,0%,424,0.0%,94.1%,3591000,3591000 ( 100.0% ),399,399 ( 100.0% ),26096000,3153,24
2016-04-13,248,4.6%,329,2%,42280,1.5%,25.7%,85149100,81558100 ( 2271.2% ),10849,10450 ( 2619.0% ),111245100,14002,9
2016-04-14,111,2.5%,115,0.8%,15055,0.6%,2.8%,2903000,-82246100 ( -96.6% ),417,-10432 ( -96.2% ),114148100,14419,19
2016-04-15,122,2.6%,132,0.8%,16937,0.6%,3.2%,4147400,1244400 ( 42.9% ),536,119 ( 28.5% ),118295500,14955,17
2016-04-16,245,4.7%,344,2%,44250,1.6%,13.8%,47933000,43785600 ( 1055.7% ),6116,5580 ( 1041.0% ),166228500,21071,10
2016-04-17,258,5.1%,356,2.1%,45599,1.6%,16.6%,59730200,11797200 ( 24.6% ),7583,1467 ( 24.0% ),225958700,28654,8
2016-04-18,131,3.0%,139,1%,18400,0.7%,3.5%,4149100,-55581100 ( -93.1% ),642,-6941 ( -91.5% ),230107800,29296,15
2016-04-19,125,2.8%,137,0.9%,17510,0.7%,3.3%,3890600,-258500 ( -6.2% ),581,-61 ( -9.5% ),233998400,29877,20
2016-04-20,106,2.1%,117,0.8%,15656,0.6%,6.6%,5951500,2060900 ( 53.0% ),1030,449 ( 77.3% ),239949900,30907,14
2016-04-21,53,1.1%,57,0.4%,7420,0.3%,6.3%,2845500,-3106000 ( -52.2% ),466,-564 ( -54.8% ),242795400,31373,23
2016-04-22,54,1.1%,59,0.4%,7770,0.3%,4.5%,2427400,-418100 ( -14.7% ),349,-117 ( -25.1% ),245222800,31722,24
2016-04-23,146,2.8%,195,1.1%,23678,0.8%,17.5%,32099500,29672100 ( 1222.4% ),4150,3801 ( 1089.1% ),277322300,35872,11
2016-04-24,151,2.9%,205,1.2%,25538,0.9%,20.4%,41019000,8919500 ( 27.8% ),5222,1072 ( 25.8% ),318341300,41094,11
2016-04-25,45,1.0%,48,0.3%,6100,0.2%,3.1%,1362600,-39656400 ( -96.7% ),189,-5033 ( -96.4% ),319703900,41283,30
2016-04-26,63,1.4%,67,0.5%,8788,0.4%,10.2%,5111800,3749200 ( 275.2% ),897,708 ( 374.6% ),324815700,42180,15
2016-04-27,25,0.5%,29,0.2%,3441,0.1%,10.8%,1953500,-3158300 ( -61.8% ),370,-527 ( -58.8% ),326769200,42550,19
2016-04-28,23,0.5%,26,0.2%,2811,0.1%,8.8%,1415000,-538500 ( -27.6% ),248,-122 ( -33.0% ),328184200,42798,28
2016-04-29,34,0.7%,37,0.3%,4261,0.2%,18.0%,4651000,3236000 ( 228.7% ),768,520 ( 209.7% ),332835200,43566,16
2016-04-30,54,1.2%,71,0.5%,7668,0.3%,16.3%,9377900,4726900 ( 101.6% ),1248,480 ( 62.5% ),342213100,44814,15
2016-05-01,51,1.1%,69,0.5%,7480,0.3%,14.0%,7973000,-1404900 ( -15.0% ),1050,-198 ( -15.9% ),350186100,45864,14
