날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2016-10-03,1,0.0%,1,0%,224,0.0%,100.0%,2240000,2240000 ( 100.0% ),224,224 ( 100.0% ),2240000,224,36
2016-10-08,105,1.7%,150,0.9%,20326,0.7%,12.9%,22153600,22153600 ( 100.0% ),2625,2625 ( 100.0% ),24393600,2849,14
2016-10-09,106,1.8%,147,0.9%,19857,0.7%,14.0%,23706800,1553200 ( 7.0% ),2778,153 ( 5.8% ),48100400,5627,14
2016-10-11,1,0.0%,1,0%,136,0.0%,0.0%,0,0 ( 0.0% ),0,0 ( 0.0% ),48100400,5627,103
2016-10-13,73,1.5%,82,0.5%,11562,0.4%,12.0%,10182500,10182500 ( 100.0% ),1390,1390 ( 100.0% ),58282900,7017,14
2016-10-14,71,1.4%,77,0.5%,10585,0.4%,8.4%,7401900,-2780600 ( -27.3% ),892,-498 ( -35.8% ),65684800,7909,15
2016-10-15,155,2.7%,231,1.3%,31744,1.1%,19.0%,50719300,43317400 ( 585.2% ),6041,5149 ( 577.2% ),116404100,13950,10
2016-10-16,157,2.8%,240,1.4%,33097,1.2%,21.1%,59647600,8928300 ( 17.6% ),6984,943 ( 15.6% ),176051700,20934,11
2016-10-17,66,1.4%,73,0.5%,10600,0.4%,3.7%,2852200,-56795400 ( -95.2% ),388,-6596 ( -94.4% ),178903900,21322,19
2016-10-18,62,1.2%,64,0.4%,9473,0.4%,4.8%,3566400,714200 ( 25.0% ),457,69 ( 17.8% ),182470300,21779,17
2016-10-19,33,0.6%,35,0.2%,4707,0.2%,2.9%,1051000,-2515400 ( -70.5% ),138,-319 ( -69.8% ),183521300,21917,44
2016-10-20,33,0.7%,34,0.2%,4364,0.2%,3.6%,1084000,33000 ( 3.1% ),157,19 ( 13.8% ),184605300,22074,37
2016-10-21,36,0.7%,40,0.2%,4716,0.2%,6.5%,2686900,1602900 ( 147.9% ),306,149 ( 94.9% ),187292200,22380,31
2016-10-22,116,2.1%,172,1%,22116,0.8%,13.2%,23553300,20866400 ( 776.6% ),2916,2610 ( 852.9% ),210845500,25296,12
2016-10-23,114,2.1%,167,1%,21422,0.8%,15.2%,27277900,3724600 ( 15.8% ),3246,330 ( 11.3% ),238123400,28542,12
2016-10-24,30,0.6%,31,0.2%,4062,0.2%,2.6%,783500,-26494400 ( -97.1% ),107,-3139 ( -96.7% ),238906900,28649,49
