날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2017-12-21,1,0.0%,1,0%,306,0.0%,100.0%,2448000,2448000 ( 100.0% ),306,306 ( 100.0% ),2448000,306,28
2017-12-23,28,0.4%,47,0.3%,5333,0.2%,53.1%,21694800,21694800 ( 100.0% ),2834,2834 ( 100.0% ),24142800,3140,11
2017-12-24,28,0.4%,45,0.2%,5141,0.2%,34.0%,13395000,-8299800 ( -38.3% ),1748,-1086 ( -38.3% ),37537800,4888,15
2017-12-25,29,0.5%,45,0.2%,5133,0.2%,40.6%,16171000,2776000 ( 20.7% ),2086,338 ( 19.3% ),53708800,6974,14
2017-12-26,3,0.1%,3,0%,279,0.0%,9.7%,166500,-16004500 ( -99.0% ),27,-2059 ( -98.7% ),53875300,7001,60
2017-12-27,3,0.1%,4,0%,479,0.0%,8.1%,279000,112500 ( 67.6% ),39,12 ( 44.4% ),54154300,7040,53
2017-12-28,150,2.7%,234,1.4%,29134,1.1%,27.9%,57539500,57260500 ( 20523.5% ),8122,8083 ( 20725.6% ),111693800,15162,9
2017-12-29,155,2.8%,233,1.3%,28872,1.0%,21.8%,50065500,-7474000 ( -13.0% ),6296,-1826 ( -22.5% ),161759300,21458,10
2017-12-30,191,3.3%,308,1.7%,38111,1.3%,21.9%,65238500,15173000 ( 30.3% ),8359,2063 ( 32.8% ),226997800,29817,9
2017-12-31,183,3.2%,291,1.6%,36345,1.2%,18.3%,52851100,-12387400 ( -19.0% ),6633,-1726 ( -20.6% ),279848900,36450,9
2018-01-01,166,2.9%,246,1.4%,30078,1.1%,19.7%,47882900,-4968200 ( -9.4% ),5940,-693 ( -10.4% ),327731800,42390,9
2018-01-02,148,2.8%,225,1.3%,27940,1.0%,11.8%,23536500,-24346400 ( -50.8% ),3305,-2635 ( -44.4% ),351268300,45695,9
2018-01-03,106,2.0%,113,0.6%,15294,0.5%,13.2%,14341500,-9195000 ( -39.1% ),2015,-1290 ( -39.0% ),365609800,47710,11
2018-01-04,103,1.8%,108,0.6%,14583,0.5%,11.2%,11614500,-2727000 ( -19.0% ),1640,-375 ( -18.6% ),377224300,49350,12
2018-01-05,100,1.8%,105,0.6%,13560,0.5%,9.8%,10395800,-1218700 ( -10.5% ),1323,-317 ( -19.3% ),387620100,50673,12
2018-01-06,94,1.6%,98,0.5%,12406,0.4%,11.7%,11260300,864500 ( 8.3% ),1454,131 ( 9.9% ),398880400,52127,14
2018-01-07,100,1.7%,104,0.6%,13610,0.5%,10.9%,11501900,241600 ( 2.1% ),1489,35 ( 2.4% ),410382300,53616,14
2018-01-08,85,1.6%,89,0.5%,12498,0.5%,4.9%,4312500,-7189400 ( -62.5% ),616,-873 ( -58.6% ),414694800,54232,15
2018-01-09,78,1.5%,79,0.5%,10284,0.4%,5.6%,4015500,-297000 ( -6.9% ),576,-40 ( -6.5% ),418710300,54808,14
2018-01-10,67,1.2%,68,0.4%,8939,0.3%,4.6%,2875000,-1140500 ( -28.4% ),409,-167 ( -29.0% ),421585300,55217,21
2018-01-11,33,0.6%,33,0.2%,4390,0.2%,4.4%,1349500,-1525500 ( -53.1% ),191,-218 ( -53.3% ),422934800,55408,28
2018-01-12,28,0.5%,28,0.2%,3513,0.1%,5.0%,1383000,33500 ( 2.5% ),175,-16 ( -8.4% ),424317800,55583,25
2018-01-13,27,0.4%,28,0.2%,3382,0.1%,7.9%,2129500,746500 ( 54.0% ),267,92 ( 52.6% ),426447300,55850,22
2018-01-14,29,0.5%,30,0.2%,4032,0.1%,7.7%,2544000,414500 ( 19.5% ),312,45 ( 16.9% ),428991300,56162,21
2018-01-15,25,0.4%,25,0.1%,3097,0.1%,3.6%,775500,-1768500 ( -69.5% ),110,-202 ( -64.7% ),429766800,56272,31
2018-01-16,27,0.5%,28,0.2%,3899,0.1%,3.2%,870500,95000 ( 12.3% ),123,13 ( 11.8% ),430637300,56395,39
2018-01-17,3,0.1%,3,0%,388,0.0%,3.4%,80000,-790500 ( -90.8% ),13,-110 ( -89.4% ),430717300,56408,73
2018-01-18,1,0.0%,1,0%,95,0.0%,1.1%,5000,-75000 ( -93.8% ),1,-12 ( -92.3% ),430722300,56409,89
2018-01-19,3,0.1%,3,0%,262,0.0%,32.1%,662000,657000 ( 13140.0% ),84,83 ( 8300.0% ),431384300,56493,47
2018-01-22,2,0.0%,2,0%,182,0.0%,1.6%,17000,17000 ( 100.0% ),3,3 ( 100.0% ),431401300,56496,70
2018-01-23,3,0.1%,3,0%,275,0.0%,12.4%,293000,276000 ( 1623.5% ),34,31 ( 1033.3% ),431694300,56530,54
2018-01-24,2,0.0%,2,0%,273,0.0%,3.3%,77000,-216000 ( -73.7% ),9,-25 ( -73.5% ),431771300,56539,79
