날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-07-25,1,0.0%,1,0%,218,0.0%,100.0%,1962000,1962000 ( 100.0% ),218,218 ( 100.0% ),1962000,218,32
2018-07-28,11,0.2%,11,0.1%,2786,0.1%,98.3%,29726000,29726000 ( 100.0% ),2740,2740 ( 100.0% ),31688000,2958,8
2018-07-29,2,0.0%,2,0%,416,0.0%,96.6%,4824000,-24902000 ( -83.8% ),402,-2338 ( -85.3% ),36512000,3360,17
2018-07-30,5,0.1%,5,0%,930,0.0%,97.0%,8201000,3377000 ( 70.0% ),902,500 ( 124.4% ),44713000,4262,10
2018-07-31,1,0.0%,1,0%,249,0.0%,88.4%,2200000,-6001000 ( -73.2% ),220,-682 ( -75.6% ),46913000,4482,30
2018-08-01,721,13.1%,1740,9.4%,230249,8.0%,70.5%,1145177500,1142977500 ( 51953.5% ),162242,162022 ( 73646.4% ),1192090500,166724,3
2018-08-02,758,13.6%,1825,9.9%,240844,8.3%,52.8%,900793500,-244384000 ( -21.3% ),127108,-35134 ( -21.7% ),2092884000,293832,3
2018-08-03,745,13.5%,1837,9.9%,240036,8.2%,43.0%,809960600,-90832900 ( -10.1% ),103199,-23909 ( -18.8% ),2902844600,397031,3
2018-08-04,725,12.8%,1771,9.4%,236008,8.0%,49.7%,926253700,116293100 ( 14.4% ),117326,14127 ( 13.7% ),3829098300,514357,3
2018-08-05,690,12.2%,1681,9%,220823,7.6%,48.7%,856082300,-70171400 ( -7.6% ),107431,-9895 ( -8.4% ),4685180600,621788,3
2018-08-06,597,11.7%,1387,7.8%,173348,6.2%,23.0%,284186900,-571895400 ( -66.8% ),39842,-67589 ( -62.9% ),4969367500,661630,3
2018-08-07,601,11.4%,1354,7.6%,170286,6.1%,21.7%,260044100,-24142800 ( -8.5% ),36921,-2921 ( -7.3% ),5229411600,698551,4
2018-08-08,228,4.1%,288,1.6%,33806,1.2%,38.1%,88918600,-171125500 ( -65.8% ),12872,-24049 ( -65.1% ),5318330200,711423,7
2018-08-09,238,4.1%,298,1.6%,35413,1.2%,33.2%,80778000,-8140600 ( -9.2% ),11744,-1128 ( -8.8% ),5399108200,723167,7
2018-08-10,264,4.5%,315,1.7%,37672,1.3%,30.8%,87879300,7101300 ( 8.8% ),11620,-124 ( -1.1% ),5486987500,734787,7
2018-08-11,254,4.3%,318,1.6%,38714,1.3%,62.2%,186673000,98793700 ( 112.4% ),24070,12450 ( 107.1% ),5673660500,758857,7
2018-08-12,277,4.7%,355,1.9%,43364,1.5%,61.1%,208611400,21938400 ( 11.8% ),26484,2414 ( 10.0% ),5882271900,785341,7
2018-08-13,250,4.5%,310,1.7%,37438,1.3%,19.1%,48781100,-159830300 ( -76.6% ),7167,-19317 ( -72.9% ),5931053000,792508,7
2018-08-14,257,4.4%,319,1.7%,39458,1.4%,20.0%,52807000,4025900 ( 8.3% ),7900,733 ( 10.2% ),5983860000,800408,7
2018-08-15,182,2.7%,240,1.2%,32198,1.0%,73.8%,189385300,136578300 ( 258.6% ),23767,15867 ( 200.8% ),6173245300,824175,9
2018-08-16,122,1.9%,147,0.8%,18098,0.6%,18.6%,22024600,-167360700 ( -88.4% ),3362,-20405 ( -85.9% ),6195269900,827537,12
2018-08-17,133,2.1%,158,0.8%,20057,0.7%,14.8%,21441900,-582700 ( -2.6% ),2971,-391 ( -11.6% ),6216711800,830508,11
2018-08-18,187,2.8%,253,1.3%,33133,1.1%,36.1%,94318000,72876100 ( 339.9% ),11967,8996 ( 302.8% ),6311029800,842475,9
2018-08-19,189,2.8%,256,1.3%,33902,1.1%,34.7%,95122200,804200 ( 0.9% ),11755,-212 ( -1.8% ),6406152000,854230,9
2018-08-20,100,1.6%,127,0.7%,15685,0.5%,9.0%,9769300,-85352900 ( -89.7% ),1416,-10339 ( -88.0% ),6415921300,855646,13
2018-08-21,117,1.9%,138,0.8%,16685,0.6%,10.1%,11393900,1624600 ( 16.6% ),1678,262 ( 18.5% ),6427315200,857324,13
2018-08-22,59,1.0%,71,0.4%,7856,0.3%,14.0%,7304900,-4089000 ( -35.9% ),1099,-579 ( -34.5% ),6434620100,858423,17
2018-08-23,34,0.6%,41,0.2%,4074,0.1%,16.4%,4136400,-3168500 ( -43.4% ),667,-432 ( -39.3% ),6438756500,859090,18
2018-08-24,38,0.6%,44,0.2%,5270,0.2%,23.6%,9817700,5681300 ( 137.3% ),1246,579 ( 86.8% ),6448574200,860336,16
2018-08-25,84,1.3%,99,0.5%,12138,0.4%,26.9%,26012800,16195100 ( 165.0% ),3261,2015 ( 161.7% ),6474587000,863597,13
2018-08-26,82,1.3%,102,0.5%,12067,0.4%,27.0%,26453300,440500 ( 1.7% ),3263,2 ( 0.1% ),6501040300,866860,13
2018-08-27,33,0.6%,43,0.2%,4140,0.1%,11.4%,2946800,-23506500 ( -88.9% ),472,-2791 ( -85.5% ),6503987100,867332,17
2018-08-28,41,0.7%,53,0.3%,5416,0.2%,8.2%,2887000,-59800 ( -2.0% ),445,-27 ( -5.7% ),6506874100,867777,21
2018-08-29,23,0.4%,35,0.2%,2982,0.1%,22.7%,3835000,948000 ( 32.8% ),676,231 ( 51.9% ),6510709100,868453,20
2018-08-30,15,0.3%,27,0.1%,2187,0.1%,26.5%,3245000,-590000 ( -15.4% ),580,-96 ( -14.2% ),6513954100,869033,19
2018-08-31,23,0.4%,30,0.2%,3001,0.1%,35.6%,7750300,4505300 ( 138.8% ),1068,488 ( 84.1% ),6521704400,870101,15
2018-09-01,32,0.5%,48,0.2%,5323,0.2%,18.1%,7624500,-125800 ( -1.6% ),964,-104 ( -9.7% ),6529328900,871065,18
2018-09-02,32,0.5%,50,0.3%,5599,0.2%,17.8%,7695700,71200 ( 0.9% ),995,31 ( 3.2% ),6537024600,872060,17
2018-09-03,12,0.2%,19,0.1%,1682,0.1%,5.1%,597500,-7098200 ( -92.2% ),85,-910 ( -91.5% ),6537622100,872145,35
2018-09-04,10,0.2%,21,0.1%,1587,0.1%,7.1%,728000,130500 ( 21.8% ),112,27 ( 31.8% ),6538350100,872257,38
2018-09-05,11,0.2%,20,0.1%,1445,0.1%,5.6%,540000,-188000 ( -25.8% ),81,-31 ( -27.7% ),6538890100,872338,41
2018-09-06,9,0.2%,17,0.1%,1046,0.0%,6.6%,411000,-129000 ( -23.9% ),69,-12 ( -14.8% ),6539301100,872407,43
2018-09-07,14,0.2%,23,0.1%,2219,0.1%,12.5%,1524000,1113000 ( 270.8% ),278,209 ( 302.9% ),6540825100,872685,25
2018-09-08,21,0.3%,35,0.2%,3739,0.1%,13.5%,3742100,2218100 ( 145.5% ),505,227 ( 81.7% ),6544567200,873190,22
2018-09-09,19,0.3%,32,0.2%,3282,0.1%,12.4%,3000800,-741300 ( -19.8% ),407,-98 ( -19.4% ),6547568000,873597,24
2018-09-10,21,0.4%,31,0.2%,3866,0.1%,65.2%,22385150,19384350 ( 646.0% ),2521,2114 ( 519.4% ),6569953150,876118,12
2018-09-11,7,0.1%,11,0.1%,1028,0.0%,11.1%,621000,-21764150 ( -97.2% ),114,-2407 ( -95.5% ),6570574150,876232,42
2018-09-12,6,0.1%,11,0.1%,1024,0.0%,3.6%,256000,-365000 ( -58.8% ),37,-77 ( -67.5% ),6570830150,876269,60
2018-09-13,6,0.1%,10,0.1%,672,0.0%,17.4%,628000,372000 ( 145.3% ),117,80 ( 216.2% ),6571458150,876386,47
2018-09-14,7,0.1%,14,0.1%,980,0.0%,11.2%,693500,65500 ( 10.4% ),110,-7 ( -6.0% ),6572151650,876496,52
2018-09-15,9,0.2%,19,0.1%,1721,0.1%,14.5%,1896600,1203100 ( 173.5% ),250,140 ( 127.3% ),6574048250,876746,30
2018-09-16,9,0.2%,18,0.1%,1627,0.1%,13.2%,1649000,-247600 ( -13.1% ),214,-36 ( -14.4% ),6575697250,876960,34
2018-09-17,3,0.1%,5,0%,185,0.0%,8.1%,103000,-1546000 ( -93.8% ),15,-199 ( -93.0% ),6575800250,876975,80
2018-09-18,4,0.1%,7,0%,327,0.0%,3.7%,71000,-32000 ( -31.1% ),12,-3 ( -20.0% ),6575871250,876987,86
2018-09-19,5,0.1%,10,0.1%,517,0.0%,5.4%,198000,127000 ( 178.9% ),28,16 ( 133.3% ),6576069250,877015,54
2018-09-25,1,0.0%,3,0%,1158,0.0%,1.0%,76000,76000 ( 100.0% ),12,12 ( 100.0% ),6576145250,877027,80
2018-09-26,1,0.0%,1,0%,386,0.0%,2.1%,52000,-24000 ( -31.6% ),8,-4 ( -33.3% ),6576197250,877035,90
2018-09-27,1,0.0%,1,0%,386,0.0%,0.5%,13000,-39000 ( -75.0% ),2,-6 ( -75.0% ),6576210250,877037,94
2018-09-28,2,0.0%,2,0%,189,0.0%,17.5%,171000,158000 ( 1215.4% ),33,31 ( 1550.0% ),6576381250,877070,62
2018-09-29,1,0.0%,1,0%,386,0.0%,1.3%,32000,-139000 ( -81.3% ),5,-28 ( -84.8% ),6576413250,877075,94
2018-09-30,2,0.0%,2,0%,512,0.0%,2.0%,70000,38000 ( 118.8% ),10,5 ( 100.0% ),6576483250,877085,82
2018-10-01,1,0.0%,1,0%,126,0.0%,1.6%,10000,-60000 ( -85.7% ),2,-8 ( -80.0% ),6576493250,877087,82
2018-10-02,1,0.0%,1,0%,386,0.0%,0.5%,13000,3000 ( 30.0% ),2,0 ( 0.0% ),6576506250,877089,98
2018-10-03,1,0.0%,1,0%,386,0.0%,6.5%,159000,146000 ( 1123.1% ),25,23 ( 1150.0% ),6576665250,877114,58
2018-10-04,1,0.0%,1,0%,386,0.0%,0.5%,14000,-145000 ( -91.2% ),2,-23 ( -92.0% ),6576679250,877116,77
2018-10-06,1,0.0%,3,0%,1158,0.0%,0.7%,51000,51000 ( 100.0% ),8,8 ( 100.0% ),6576730250,877124,66
2018-10-07,1,0.0%,3,0%,1158,0.0%,0.6%,44000,-7000 ( -13.7% ),7,-1 ( -12.5% ),6576774250,877131,62
2018-10-09,1,0.0%,3,0%,1158,0.0%,1.6%,120000,120000 ( 100.0% ),19,19 ( 100.0% ),6576894250,877150,56
