날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2015-12-26,1,0.0%,1,0%,160,0.0%,96.3%,1672800,1672800 ( 100.0% ),154,154 ( 100.0% ),1672800,154,28
2016-01-01,1,0.0%,1,0%,77,0.0%,94.8%,584000,584000 ( 100.0% ),73,73 ( 100.0% ),2256800,227,39
2016-01-03,1,0.0%,1,0%,77,0.0%,92.2%,568000,568000 ( 100.0% ),71,71 ( 100.0% ),2824800,298,40
2016-03-11,1,0.0%,1,0%,188,0.0%,100.0%,1316000,1316000 ( 100.0% ),188,188 ( 100.0% ),4140800,486,31
2016-03-14,3,0.1%,4,0%,776,0.0%,96.8%,5021000,5021000 ( 100.0% ),751,751 ( 100.0% ),9161800,1237,16
2016-03-15,2,0.0%,4,0%,1596,0.1%,90.5%,11481000,6460000 ( 128.7% ),1444,693 ( 92.3% ),20642800,2681,11
2016-03-16,1,0.0%,1,0%,108,0.0%,75.9%,817000,-10664000 ( -92.9% ),82,-1362 ( -94.3% ),21459800,2763,45
2016-03-20,2,0.0%,2,0%,443,0.0%,52.6%,2184500,2184500 ( 100.0% ),233,233 ( 100.0% ),23644300,2996,34
2016-03-21,28,0.6%,28,0.2%,5978,0.2%,56.2%,32974000,30789500 ( 1409.5% ),3359,3126 ( 1341.6% ),56618300,6355,10
2016-03-23,6,0.1%,6,0%,2074,0.1%,88.3%,16299500,16299500 ( 100.0% ),1831,1831 ( 100.0% ),72917800,8186,15
2016-03-24,425,9.2%,1325,9.5%,180182,7.9%,9.1%,123332700,107033200 ( 656.7% ),16442,14611 ( 798.0% ),196250500,24628,3
2016-03-25,437,9.2%,1368,9.5%,186997,7.9%,9.8%,148781636,25448936 ( 20.6% ),18390,1948 ( 11.8% ),345032136,43018,3
2016-03-26,494,9.7%,1372,8.9%,184599,7.4%,19.7%,289855332,141073696 ( 94.8% ),36448,18058 ( 98.2% ),634887468,79466,3
2016-03-27,479,9.4%,1278,8.6%,173881,7.2%,18.8%,263386600,-26468732 ( -9.1% ),32776,-3672 ( -10.1% ),898274068,112242,3
2016-03-28,416,9.1%,1188,8.9%,161697,7.3%,5.6%,66805300,-196581300 ( -74.6% ),9092,-23684 ( -72.3% ),965079368,121334,3
2016-03-29,438,9.2%,1203,9%,164756,7.5%,5.5%,67158600,353300 ( 0.5% ),9064,-28 ( -0.3% ),1032237968,130398,3
2016-03-30,318,6.3%,587,4.1%,79649,3.4%,9.7%,45159500,-21999100 ( -32.8% ),7728,-1336 ( -14.7% ),1077397468,138126,5
2016-03-31,251,5.1%,501,3.5%,66176,2.8%,5.3%,26186100,-18973400 ( -42.0% ),3534,-4194 ( -54.3% ),1103583568,141660,10
2016-04-01,258,5.1%,517,3.6%,67521,2.8%,7.8%,40251100,14065000 ( 53.7% ),5271,1737 ( 49.2% ),1143834668,146931,6
2016-04-02,292,5.6%,551,3.5%,75881,2.9%,17.4%,110322800,70071700 ( 174.1% ),13206,7935 ( 150.5% ),1254157468,160137,5
2016-04-03,287,5.6%,533,3.5%,72740,2.9%,17.4%,106211900,-4110900 ( -3.7% ),12668,-538 ( -4.1% ),1360369368,172805,5
2016-04-04,251,5.6%,469,3.6%,63627,2.9%,3.8%,18240100,-87971800 ( -82.8% ),2431,-10237 ( -80.8% ),1378609468,175236,8
