날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2017-11-10,1,0.0%,2,0%,900,0.0%,100.0%,4500000,4500000 ( 100.0% ),900,900 ( 100.0% ),4500000,900,15
2017-11-16,1,0.0%,1,0%,214,0.0%,100.0%,1284000,1284000 ( 100.0% ),214,214 ( 100.0% ),5784000,1114,38
2017-11-22,4,0.1%,6,0%,1401,0.1%,100.0%,8850000,8850000 ( 100.0% ),1401,1401 ( 100.0% ),14634000,2515,12
2017-11-23,2,0.0%,2,0%,470,0.0%,100.0%,2536000,-6314000 ( -71.3% ),470,-931 ( -66.5% ),17170000,2985,23
2017-11-24,1,0.0%,1,0%,166,0.0%,100.0%,1494000,-1042000 ( -41.1% ),166,-304 ( -64.7% ),18664000,3151,38
2017-11-27,6,0.1%,7,0%,1981,0.1%,88.4%,8760000,8760000 ( 100.0% ),1752,1752 ( 100.0% ),27424000,4903,10
2017-11-28,23,0.4%,23,0.1%,3617,0.1%,61.7%,15529300,6769300 ( 77.3% ),2233,481 ( 27.5% ),42953300,7136,9
2017-11-29,704,13.0%,3266,18.5%,572230,19.9%,17.0%,561258200,545728900 ( 3514.2% ),97245,95012 ( 4254.9% ),604211500,104381,2
2017-11-30,714,13.0%,3291,18.9%,567046,20.0%,12.2%,502241400,-59016800 ( -10.5% ),69328,-27917 ( -28.7% ),1106452900,173709,2
2017-12-01,728,13.3%,3369,18.8%,577031,19.8%,15.5%,719096972,216855572 ( 43.2% ),89649,20321 ( 29.3% ),1825549872,263358,2
2017-12-02,747,12.8%,3505,18.3%,581526,18.8%,27.1%,1301664153,582567181 ( 81.0% ),157883,68234 ( 76.1% ),3127214025,421241,2
2017-12-03,751,12.9%,3452,18.5%,574006,19.0%,25.9%,1231048800,-70615353 ( -5.4% ),148507,-9376 ( -5.9% ),4358262825,569748,2
2017-12-04,720,14.0%,3351,19.8%,550220,19.8%,10.5%,425316800,-805732000 ( -65.5% ),57770,-90737 ( -61.1% ),4783579625,627518,2
2017-12-05,749,14.1%,3315,19.7%,545535,19.7%,10.5%,416432800,-8884000 ( -2.1% ),57348,-422 ( -0.7% ),5200012425,684866,2
2017-12-06,759,14.4%,3442,20.5%,564011,20.5%,10.3%,422807300,6374500 ( 1.5% ),58373,1025 ( 1.8% ),5622819725,743239,2
2017-12-07,648,10.5%,2607,15%,425646,15.0%,12.1%,371615500,-51191800 ( -12.1% ),51614,-6759 ( -11.6% ),5994435225,794853,2
2017-12-08,653,10.1%,2700,15.1%,445700,15.3%,15.8%,550422465,178806965 ( 48.1% ),70332,18718 ( 36.3% ),6544857690,865185,2
2017-12-09,740,10.6%,2934,15.2%,492586,15.8%,25.0%,1019596570,469174105 ( 85.2% ),123009,52677 ( 74.9% ),7564454260,988194,3
2017-12-10,739,10.8%,2855,15.3%,480540,15.8%,24.4%,981702700,-37893870 ( -3.7% ),117407,-5602 ( -4.6% ),8546156960,1105601,3
2017-12-11,707,11.7%,2810,16.8%,466587,17.0%,10.3%,342252200,-639450500 ( -65.1% ),47965,-69442 ( -59.1% ),8888409160,1153566,2
2017-12-12,691,11.2%,2785,16.9%,457366,16.9%,10.0%,331559000,-10693200 ( -3.1% ),45538,-2427 ( -5.1% ),9219968160,1199104,2
2017-12-13,718,11.5%,2852,17.2%,476294,17.6%,10.6%,362509500,30950500 ( 9.3% ),50388,4850 ( 10.7% ),9582477660,1249492,2
2017-12-14,469,7.7%,961,6%,128442,5.0%,15.0%,137022700,-225486800 ( -62.2% ),19228,-31160 ( -61.8% ),9719500360,1268720,4
2017-12-15,478,7.8%,1015,6.2%,135114,5.2%,19.4%,198293900,61271200 ( 44.7% ),26185,6957 ( 36.2% ),9917794260,1294905,3
2017-12-16,465,7.3%,946,5.4%,121963,4.4%,26.6%,270361200,72067300 ( 36.3% ),32385,6200 ( 23.7% ),10188155460,1327290,5
2017-12-17,454,7.3%,880,5.2%,114261,4.2%,23.0%,218349800,-52011400 ( -19.2% ),26269,-6116 ( -18.9% ),10406505260,1353559,5
2017-12-18,463,8.1%,1024,6.6%,133301,5.3%,9.4%,91731600,-126618200 ( -58.0% ),12469,-13800 ( -52.5% ),10498236860,1366028,3
2017-12-19,474,8.0%,1046,6.7%,136610,5.5%,10.5%,103138900,11407300 ( 12.4% ),14309,1840 ( 14.8% ),10601375760,1380337,3
