날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2017-08-03,1,0.0%,1,0%,214,0.0%,100.0%,1712000,1712000 ( 100.0% ),214,214 ( 100.0% ),1712000,214,30
2017-08-10,4,0.1%,4,0%,931,0.0%,92.7%,7767000,7767000 ( 100.0% ),863,863 ( 100.0% ),9479000,1077,15
2017-08-11,4,0.1%,4,0%,930,0.0%,100.0%,8654000,887000 ( 11.4% ),930,67 ( 7.8% ),18133000,2007,13
2017-08-16,5,0.1%,5,0%,1198,0.0%,100.0%,9584000,9584000 ( 100.0% ),1198,1198 ( 100.0% ),27717000,3205,16
2017-08-17,3,0.1%,3,0%,475,0.0%,100.0%,4275000,-5309000 ( -55.4% ),475,-723 ( -60.4% ),31992000,3680,20
2017-08-18,5,0.1%,5,0%,799,0.0%,97.7%,6248000,1973000 ( 46.2% ),781,306 ( 64.4% ),38240000,4461,18
2017-08-21,4,0.1%,4,0%,769,0.0%,100.0%,6921000,6921000 ( 100.0% ),769,769 ( 100.0% ),45161000,5230,18
2017-08-22,4,0.1%,4,0%,662,0.0%,100.0%,5958000,-963000 ( -13.9% ),662,-107 ( -13.9% ),51119000,5892,21
2017-08-23,3,0.1%,3,0%,1111,0.0%,100.0%,8888000,2930000 ( 49.2% ),1111,449 ( 67.8% ),60007000,7003,19
2017-08-24,3,0.0%,3,0%,972,0.0%,100.0%,7776000,-1112000 ( -12.5% ),972,-139 ( -12.5% ),67783000,7975,22
2017-08-25,4,0.1%,4,0%,1004,0.0%,100.0%,9044000,1268000 ( 16.3% ),1004,32 ( 3.3% ),76827000,8979,21
2017-08-30,210,3.6%,353,2%,42963,1.5%,6.8%,18638400,18638400 ( 100.0% ),2913,2913 ( 100.0% ),95465400,11892,13
2017-08-31,218,3.9%,392,2.3%,47208,1.7%,7.1%,24712400,6074000 ( 32.6% ),3372,459 ( 15.8% ),120177800,15264,11
2017-09-01,211,3.7%,374,2.1%,43720,1.5%,7.7%,28063700,3351300 ( 13.6% ),3378,6 ( 0.2% ),148241500,18642,12
2017-09-02,223,3.5%,342,1.8%,41811,1.4%,13.2%,46745900,18682200 ( 66.6% ),5524,2146 ( 63.5% ),194987400,24166,13
2017-09-03,215,3.4%,317,1.7%,38998,1.3%,13.3%,43562300,-3183600 ( -6.8% ),5188,-336 ( -6.1% ),238549700,29354,12
2017-09-04,216,4.0%,331,2%,39627,1.5%,5.8%,16912100,-26650200 ( -61.2% ),2311,-2877 ( -55.5% ),255461800,31665,13
2017-09-05,214,3.8%,325,2%,39087,1.5%,7.7%,21941000,5028900 ( 29.7% ),2999,688 ( 29.8% ),277402800,34664,10
2017-09-06,84,1.6%,117,0.7%,13771,0.5%,12.3%,12298800,-9642200 ( -43.9% ),1700,-1299 ( -43.3% ),289701600,36364,16
2017-09-07,65,1.1%,82,0.5%,9676,0.4%,12.1%,8229500,-4069300 ( -33.1% ),1166,-534 ( -31.4% ),297931100,37530,16
2017-09-08,62,1.0%,80,0.5%,9871,0.4%,10.6%,8331000,101500 ( 1.2% ),1048,-118 ( -10.1% ),306262100,38578,16
2017-09-09,67,1.0%,81,0.4%,9021,0.3%,17.6%,12126000,3795000 ( 45.6% ),1590,542 ( 51.7% ),318388100,40168,18
2017-09-10,68,1.1%,83,0.5%,9368,0.3%,19.4%,14709900,2583900 ( 21.3% ),1817,227 ( 14.3% ),333098000,41985,16
2017-09-11,70,1.2%,91,0.6%,11280,0.4%,7.5%,6155000,-8554900 ( -58.2% ),843,-974 ( -53.6% ),339253000,42828,15
