날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-07-10,2,0.0%,2,0%,330,0.0%,100.0%,2970000,2970000 ( 100.0% ),330,330 ( 100.0% ),2970000,330,21
2018-07-11,3,0.1%,3,0%,336,0.0%,3.0%,78500,-2891500 ( -97.4% ),10,-320 ( -97.0% ),3048500,340,91
2018-07-12,148,3.0%,160,0.9%,17907,0.6%,6.1%,6775700,6697200 ( 8531.5% ),1085,1075 ( 10750.0% ),9824200,1425,15
2018-07-13,176,3.4%,185,1%,21688,0.7%,7.8%,11009700,4234000 ( 62.5% ),1688,603 ( 55.6% ),20833900,3113,12
2018-07-14,276,5.0%,391,2%,44689,1.4%,9.8%,34031700,23022000 ( 209.1% ),4381,2693 ( 159.5% ),54865600,7494,11
2018-07-15,271,5.0%,371,1.9%,42092,1.4%,11.3%,37646700,3615000 ( 10.6% ),4751,370 ( 8.4% ),92512300,12245,9
2018-07-16,115,2.3%,121,0.7%,14066,0.5%,4.4%,3917900,-33728800 ( -89.6% ),613,-4138 ( -87.1% ),96430200,12858,18
2018-07-17,124,2.5%,130,0.7%,14967,0.5%,5.0%,4878300,960400 ( 24.5% ),749,136 ( 22.2% ),101308500,13607,16
2018-07-18,39,0.7%,41,0.2%,3678,0.1%,22.3%,4567800,-310500 ( -6.4% ),820,71 ( 9.5% ),105876300,14427,19
2018-07-19,18,0.3%,20,0.1%,1731,0.1%,34.7%,3219500,-1348300 ( -29.5% ),600,-220 ( -26.8% ),109095800,15027,21
2018-07-20,14,0.2%,14,0.1%,1097,0.0%,27.8%,1689000,-1530500 ( -47.5% ),305,-295 ( -49.2% ),110784800,15332,28
2018-07-21,25,0.4%,27,0.1%,2427,0.1%,13.0%,2121800,432800 ( 25.6% ),316,11 ( 3.6% ),112906600,15648,33
2018-07-22,24,0.4%,25,0.1%,2165,0.1%,9.3%,1456000,-665800 ( -31.4% ),201,-115 ( -36.4% ),114362600,15849,40
2018-07-23,15,0.3%,16,0.1%,1138,0.0%,30.1%,1888300,432300 ( 29.7% ),342,141 ( 70.1% ),116250900,16191,23
2018-07-24,15,0.3%,17,0.1%,1196,0.0%,24.5%,1608500,-279800 ( -14.8% ),293,-49 ( -14.3% ),117859400,16484,28
2018-07-25,7,0.1%,7,0%,524,0.0%,44.3%,1255500,-353000 ( -21.9% ),232,-61 ( -20.8% ),119114900,16716,30
2018-07-26,4,0.1%,4,0%,419,0.0%,53.2%,1199000,-56500 ( -4.5% ),223,-9 ( -3.9% ),120313900,16939,26
2018-07-27,3,0.1%,3,0%,294,0.0%,69.7%,1036000,-163000 ( -13.6% ),205,-18 ( -8.1% ),121349900,17144,23
2018-07-29,1,0.0%,2,0%,80,0.0%,100.0%,400000,400000 ( 100.0% ),80,80 ( 100.0% ),121749900,17224,39
2018-07-31,1,0.0%,1,0%,55,0.0%,36.4%,105000,105000 ( 100.0% ),20,20 ( 100.0% ),121854900,17244,76
2018-08-07,1,0.0%,1,0%,87,0.0%,31.0%,145000,145000 ( 100.0% ),27,27 ( 100.0% ),121999900,17271,52
2018-08-08,1,0.0%,1,0%,40,0.0%,100.0%,200000,55000 ( 37.9% ),40,13 ( 48.1% ),122199900,17311,51
2018-08-09,1,0.0%,1,0%,40,0.0%,100.0%,200000,0 ( 0.0% ),40,0 ( 0.0% ),122399900,17351,55
2018-08-14,2,0.0%,2,0%,184,0.0%,60.9%,560000,560000 ( 100.0% ),112,112 ( 100.0% ),122959900,17463,40
