날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-11-20,2,0.0%,2,0%,313,0.0%,96.2%,2259000,2259000 ( 100.0% ),301,301 ( 100.0% ),2259000,301,21
2018-11-22,89,1.6%,92,0.5%,11767,0.4%,8.9%,6335000,6335000 ( 100.0% ),1049,1049 ( 100.0% ),8594000,1350,13
2018-11-23,96,1.7%,102,0.6%,12087,0.4%,7.0%,5614950,-720050 ( -11.4% ),847,-202 ( -19.3% ),14208950,2197,17
2018-11-24,204,3.5%,235,1.3%,27742,1.0%,11.8%,25550000,19935050 ( 355.0% ),3268,2421 ( 285.8% ),39758950,5465,9
2018-11-25,212,3.7%,248,1.4%,29853,1.0%,13.2%,30969800,5419800 ( 21.2% ),3948,680 ( 20.8% ),70728750,9413,9
2018-11-26,77,1.5%,82,0.5%,10360,0.4%,4.6%,2869500,-28100300 ( -90.7% ),473,-3475 ( -88.0% ),73598250,9886,17
2018-11-27,94,1.7%,97,0.6%,13786,0.5%,4.2%,3573700,704200 ( 24.5% ),585,112 ( 23.7% ),77171950,10471,21
2018-11-28,33,0.6%,35,0.2%,4082,0.1%,8.9%,2059400,-1514300 ( -42.4% ),362,-223 ( -38.1% ),79231350,10833,25
2018-11-29,11,0.2%,12,0.1%,1234,0.0%,31.0%,2078000,18600 ( 0.9% ),383,21 ( 5.8% ),81309350,11216,31
2018-11-30,10,0.2%,11,0.1%,592,0.0%,21.5%,711000,-1367000 ( -65.8% ),127,-256 ( -66.8% ),82020350,11343,47
2018-12-01,12,0.2%,15,0.1%,748,0.0%,25.4%,1271650,560650 ( 78.9% ),190,63 ( 49.6% ),83292000,11533,34
2018-12-02,14,0.2%,18,0.1%,953,0.0%,17.1%,1084000,-187650 ( -14.8% ),163,-27 ( -14.2% ),84376000,11696,32
2018-12-03,11,0.2%,15,0.1%,897,0.0%,18.4%,938000,-146000 ( -13.5% ),165,2 ( 1.2% ),85314000,11861,36
2018-12-04,7,0.1%,7,0%,529,0.0%,55.4%,1478000,540000 ( 57.6% ),293,128 ( 77.6% ),86792000,12154,31
2018-12-05,8,0.1%,8,0%,763,0.0%,48.6%,1876000,398000 ( 26.9% ),371,78 ( 26.6% ),88668000,12525,22
2018-12-06,5,0.1%,5,0%,576,0.0%,25.5%,851000,-1025000 ( -54.6% ),147,-224 ( -60.4% ),89519000,12672,49
2018-12-07,5,0.1%,5,0%,569,0.0%,49.4%,1452000,601000 ( 70.6% ),281,134 ( 91.2% ),90971000,12953,32
2018-12-08,1,0.0%,1,0%,39,0.0%,25.6%,53000,-1399000 ( -96.3% ),10,-271 ( -96.4% ),91024000,12963,90
2018-12-09,1,0.0%,1,0%,39,0.0%,12.8%,27000,-26000 ( -49.1% ),5,-5 ( -50.0% ),91051000,12968,104
2018-12-10,2,0.0%,2,0%,143,0.0%,23.8%,195000,168000 ( 622.2% ),34,29 ( 580.0% ),91246000,13002,70
2018-12-11,4,0.1%,4,0%,474,0.0%,53.2%,1359000,1164000 ( 596.9% ),252,218 ( 641.2% ),92605000,13254,32
2018-12-12,2,0.0%,2,0%,445,0.0%,22.5%,602000,-757000 ( -55.7% ),100,-152 ( -60.3% ),93207000,13354,47
2018-12-13,3,0.0%,3,0%,438,0.0%,41.1%,982000,380000 ( 63.1% ),180,80 ( 80.0% ),94189000,13534,47
2018-12-14,1,0.0%,1,0%,104,0.0%,33.7%,210000,-772000 ( -78.6% ),35,-145 ( -80.6% ),94399000,13569,76
2018-12-18,1,0.0%,1,0%,104,0.0%,25.0%,156000,156000 ( 100.0% ),26,26 ( 100.0% ),94555000,13595,79
2018-12-19,1,0.0%,1,0%,135,0.0%,15.6%,126000,-30000 ( -19.2% ),21,-5 ( -19.2% ),94681000,13616,70
2018-12-20,1,0.0%,1,0%,138,0.0%,68.1%,470000,344000 ( 273.0% ),94,73 ( 347.6% ),95151000,13710,51
