날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2017-06-02,3,0.1%,3,0%,559,0.0%,100.0%,4472000,4472000 ( 100.0% ),559,559 ( 100.0% ),4472000,559,16
2017-06-08,3,0.1%,3,0%,963,0.0%,100.0%,7704000,7704000 ( 100.0% ),963,963 ( 100.0% ),12176000,1522,12
2017-06-09,1,0.0%,1,0%,67,0.0%,100.0%,603000,-7101000 ( -92.2% ),67,-896 ( -93.0% ),12779000,1589,50
2017-06-10,7,0.1%,7,0%,1125,0.0%,101.2%,9112000,8509000 ( 1411.1% ),1139,1072 ( 1600.0% ),21891000,2728,17
2017-06-11,1,0.0%,1,0%,109,0.0%,100.0%,930000,-8182000 ( -89.8% ),109,-1030 ( -90.4% ),22821000,2837,41
2017-06-12,1,0.0%,1,0%,110,0.0%,100.0%,990000,60000 ( 6.5% ),110,1 ( 0.9% ),23811000,2947,33
2017-06-13,1,0.0%,1,0%,90,0.0%,100.0%,540000,-450000 ( -45.5% ),90,-20 ( -18.2% ),24351000,3037,49
2017-06-14,1,0.0%,1,0%,102,0.0%,100.0%,714000,174000 ( 32.2% ),102,12 ( 13.3% ),25065000,3139,43
2017-06-15,156,3.0%,165,1%,20455,0.7%,6.1%,8219500,7505500 ( 1051.2% ),1251,1149 ( 1126.5% ),33284500,4390,14
2017-06-16,179,3.3%,188,1.1%,23935,0.8%,5.2%,8825400,605900 ( 7.4% ),1248,-3 ( -0.2% ),42109900,5638,14
2017-06-17,319,5.2%,454,2.4%,58108,1.9%,21.7%,95189900,86364500 ( 978.6% ),12638,11390 ( 912.7% ),137299800,18276,8
2017-06-18,313,5.2%,448,2.4%,57754,1.9%,26.3%,117045800,21855900 ( 23.0% ),15201,2563 ( 20.3% ),254345600,33477,7
2017-06-19,156,3.1%,159,0.9%,20656,0.7%,3.5%,5207500,-111838300 ( -95.6% ),731,-14470 ( -95.2% ),259553100,34208,15
2017-06-20,164,3.1%,171,1%,22970,0.8%,5.1%,7487000,2279500 ( 43.8% ),1164,433 ( 59.2% ),267040100,35372,15
2017-06-21,93,1.9%,96,0.6%,12232,0.5%,5.5%,4331000,-3156000 ( -42.2% ),672,-492 ( -42.3% ),271371100,36044,15
2017-06-22,46,0.9%,51,0.3%,5811,0.2%,8.6%,3030900,-1300100 ( -30.0% ),502,-170 ( -25.3% ),274402000,36546,24
2017-06-23,52,1.0%,56,0.3%,6467,0.2%,9.5%,4295500,1264600 ( 41.7% ),617,115 ( 22.9% ),278697500,37163,17
2017-06-24,155,2.8%,213,1.2%,26813,1.0%,29.4%,58882400,54586900 ( 1270.8% ),7872,7255 ( 1175.9% ),337579900,45035,10
2017-06-25,158,2.8%,223,1.3%,27937,1.0%,37.5%,79447500,20565100 ( 34.9% ),10490,2618 ( 33.3% ),417027400,55525,7
2017-06-26,55,1.1%,62,0.4%,7729,0.3%,7.3%,3719000,-75728500 ( -95.3% ),562,-9928 ( -94.6% ),420746400,56087,15
2017-06-27,59,1.2%,67,0.4%,8335,0.3%,6.7%,3549500,-169500 ( -4.6% ),559,-3 ( -0.5% ),424295900,56646,17
2017-06-28,36,0.7%,39,0.2%,4672,0.2%,14.6%,3659500,110000 ( 3.1% ),681,122 ( 21.8% ),427955400,57327,16
2017-06-29,23,0.5%,25,0.2%,2992,0.1%,14.9%,2573000,-1086500 ( -29.7% ),446,-235 ( -34.5% ),430528400,57773,22
2017-06-30,32,0.6%,36,0.2%,3660,0.1%,16.7%,3723000,1150000 ( 44.7% ),611,165 ( 37.0% ),434251400,58384,21
2017-07-01,83,1.5%,122,0.7%,14231,0.5%,28.9%,30202000,26479000 ( 711.2% ),4110,3499 ( 572.7% ),464453400,62494,13
2017-07-02,86,1.6%,129,0.8%,14963,0.6%,34.7%,38971200,8769200 ( 29.0% ),5186,1076 ( 26.2% ),503424600,67680,13
2017-07-03,18,0.4%,19,0.1%,2234,0.1%,7.7%,1135000,-37836200 ( -97.1% ),173,-5013 ( -96.7% ),504559600,67853,28
2017-07-04,21,0.4%,23,0.2%,2522,0.1%,7.4%,1143500,8500 ( 0.7% ),186,13 ( 7.5% ),505703100,68039,38
2017-07-05,10,0.2%,13,0.1%,1066,0.0%,12.1%,830500,-313000 ( -27.4% ),129,-57 ( -30.6% ),506533600,68168,34
2017-07-06,11,0.2%,14,0.1%,1066,0.0%,8.1%,550500,-280000 ( -33.7% ),86,-43 ( -33.3% ),507084100,68254,41
2017-07-07,15,0.3%,20,0.1%,1767,0.1%,24.3%,2683400,2132900 ( 387.4% ),429,343 ( 398.8% ),509767500,68683,22
2017-07-08,59,1.2%,99,0.6%,10442,0.4%,42.3%,33211500,30528100 ( 1137.7% ),4413,3984 ( 928.7% ),542979000,73096,8
2017-07-09,63,1.3%,108,0.6%,11390,0.4%,40.7%,35373600,2162100 ( 6.5% ),4641,228 ( 5.2% ),578352600,77737,6
2017-07-10,16,0.4%,22,0.1%,2025,0.1%,6.6%,878500,-34495100 ( -97.5% ),133,-4508 ( -97.1% ),579231100,77870,32
2017-07-11,17,0.4%,21,0.1%,2024,0.1%,12.0%,1648500,770000 ( 87.6% ),243,110 ( 82.7% ),580879600,78113,30
2017-07-12,16,0.4%,19,0.1%,1872,0.1%,21.6%,2148000,499500 ( 30.3% ),404,161 ( 66.3% ),583027600,78517,23
2017-07-13,7,0.1%,7,0%,657,0.0%,25.1%,1014000,-1134000 ( -52.8% ),165,-239 ( -59.2% ),584041600,78682,37
2017-07-14,8,0.2%,8,0%,883,0.0%,25.8%,1165000,151000 ( 14.9% ),228,63 ( 38.2% ),585206600,78910,32
2017-07-15,18,0.3%,22,0.1%,2457,0.1%,19.9%,3705000,2540000 ( 218.0% ),488,260 ( 114.0% ),588911600,79398,27
2017-07-16,19,0.4%,22,0.1%,2447,0.1%,19.0%,3467500,-237500 ( -6.4% ),464,-24 ( -4.9% ),592379100,79862,26
2017-07-17,1,0.0%,1,0%,133,0.0%,2.3%,19500,-3448000 ( -99.4% ),3,-461 ( -99.4% ),592398600,79865,82
2017-07-18,4,0.1%,4,0%,444,0.0%,26.8%,644000,624500 ( 3202.6% ),119,116 ( 3866.7% ),593042600,79984,43
2017-07-19,6,0.1%,7,0%,915,0.0%,47.0%,2222500,1578500 ( 245.1% ),430,311 ( 261.3% ),595265100,80414,23
2017-07-20,2,0.0%,2,0%,410,0.0%,68.0%,1395000,-827500 ( -37.2% ),279,-151 ( -35.1% ),596660100,80693,26
2017-07-21,2,0.0%,2,0%,160,0.0%,33.8%,340000,-1055000 ( -75.6% ),54,-225 ( -80.6% ),597000100,80747,53
2017-07-24,3,0.1%,3,0%,140,0.0%,46.4%,340000,340000 ( 100.0% ),65,65 ( 100.0% ),597340100,80812,48
2017-08-10,1,0.0%,1,0%,96,0.0%,2.1%,8000,8000 ( 100.0% ),2,2 ( 100.0% ),597348100,80814,90
2017-08-11,1,0.0%,1,0%,96,0.0%,6.3%,26000,18000 ( 225.0% ),6,4 ( 200.0% ),597374100,80820,74
2017-08-12,1,0.0%,1,0%,96,0.0%,3.1%,13000,-13000 ( -50.0% ),3,-3 ( -50.0% ),597387100,80823,98
2017-08-18,1,0.0%,1,0%,96,0.0%,56.3%,216000,216000 ( 100.0% ),54,54 ( 100.0% ),597603100,80877,50
2017-08-19,1,0.0%,1,0%,96,0.0%,17.7%,72000,-144000 ( -66.7% ),17,-37 ( -68.5% ),597675100,80894,74
2017-08-24,1,0.0%,1,0%,96,0.0%,18.8%,78000,78000 ( 100.0% ),18,18 ( 100.0% ),597753100,80912,88
2017-08-25,1,0.0%,1,0%,96,0.0%,2.1%,9000,-69000 ( -88.5% ),2,-16 ( -88.9% ),597762100,80914,114
2017-08-26,1,0.0%,1,0%,96,0.0%,5.2%,22000,13000 ( 144.4% ),5,3 ( 150.0% ),597784100,80919,107
2017-09-09,2,0.0%,2,0%,211,0.0%,46.9%,600000,600000 ( 100.0% ),99,99 ( 100.0% ),598384100,81018,56
2017-09-10,2,0.0%,2,0%,272,0.0%,30.5%,462000,-138000 ( -23.0% ),83,-16 ( -16.2% ),598846100,81101,56
2017-09-16,2,0.0%,2,0%,272,0.0%,7.4%,131500,131500 ( 100.0% ),20,20 ( 100.0% ),598977600,81121,102
2017-09-17,2,0.0%,2,0%,211,0.0%,7.1%,99000,-32500 ( -24.7% ),15,-5 ( -25.0% ),599076600,81136,95
