날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2017-11-03,1,0.0%,1,0%,326,0.0%,100.0%,2282000,2282000 ( 100.0% ),326,326 ( 100.0% ),2282000,326,25
2017-11-08,3,0.1%,3,0%,572,0.0%,100.0%,4846000,4846000 ( 100.0% ),572,572 ( 100.0% ),7128000,898,16
2017-11-09,2,0.0%,2,0%,489,0.0%,100.0%,3968000,-878000 ( -18.1% ),489,-83 ( -14.5% ),11096000,1387,24
2017-11-10,8,0.1%,8,0%,1640,0.1%,95.4%,12512000,8544000 ( 215.3% ),1564,1075 ( 219.8% ),23608000,2951,13
2017-11-13,13,0.2%,17,0.1%,5735,0.2%,95.3%,46535500,46535500 ( 100.0% ),5463,5463 ( 100.0% ),70143500,8414,9
2017-11-14,49,0.8%,49,0.3%,9521,0.3%,99.6%,82651000,36115500 ( 77.6% ),9486,4023 ( 73.6% ),152794500,17900,7
2017-11-15,29,0.4%,29,0.2%,6701,0.2%,98.8%,53641000,-29010000 ( -35.1% ),6619,-2867 ( -30.2% ),206435500,24519,9
2017-11-16,6,0.1%,6,0%,976,0.0%,116.2%,8894000,-44747000 ( -83.4% ),1134,-5485 ( -82.9% ),215329500,25653,17
2017-11-17,40,0.7%,40,0.2%,7609,0.3%,99.9%,68382000,59488000 ( 668.9% ),7598,6464 ( 570.0% ),283711500,33251,8
2017-11-20,11,0.2%,11,0.1%,3154,0.1%,100.0%,25232000,25232000 ( 100.0% ),3154,3154 ( 100.0% ),308943500,36405,9
2017-11-21,23,0.4%,23,0.1%,4795,0.2%,48.7%,24678800,-553200 ( -2.2% ),2334,-820 ( -26.0% ),333622300,38739,9
2017-11-22,1195,23.0%,6295,37.2%,1196205,43.2%,17.8%,1564888600,1540209800 ( 6241.0% ),213172,210838 ( 9033.3% ),1898510900,251911,1
2017-11-23,1210,21.2%,6393,37.1%,1220363,43.5%,18.4%,1641943500,77054900 ( 4.9% ),224945,11773 ( 5.5% ),3540454400,476856,1
2017-11-24,1253,21.9%,6666,38.2%,1268485,44.7%,20.8%,2115161898,473218398 ( 28.8% ),263452,38507 ( 17.1% ),5655616298,740308,1
2017-11-25,1314,21.3%,7329,39.1%,1399789,46.2%,33.9%,3913018050,1797856152 ( 85.0% ),474990,211538 ( 80.3% ),9568634348,1215298,1
2017-11-26,1294,21.3%,7208,39.4%,1380068,46.7%,34.3%,3916372500,3354450 ( 0.1% ),473846,-1144 ( -0.2% ),13485006848,1689144,1
2017-11-27,1249,23.1%,6743,40.8%,1288423,47.5%,12.4%,1174266500,-2742106000 ( -70.0% ),159897,-313949 ( -66.3% ),14659273348,1849041,1
