날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2016-10-20,2,0.0%,2,0%,276,0.0%,0.0%,0,0 ( 0.0% ),0,0 ( 0.0% ),0,0,115
2016-10-23,1,0.0%,1,0%,138,0.0%,44.9%,62000,62000 ( 100.0% ),62,62 ( 100.0% ),62000,62,57
2016-11-23,1,0.0%,1,0%,153,0.0%,100.0%,1071000,1071000 ( 100.0% ),153,153 ( 100.0% ),1133000,215,37
2016-11-25,1,0.0%,1,0%,202,0.0%,48.0%,686000,686000 ( 100.0% ),97,97 ( 100.0% ),1819000,312,49
2016-11-26,1,0.0%,1,0%,136,0.0%,19.9%,205200,-480800 ( -70.1% ),27,-70 ( -72.2% ),2024200,339,91
2016-11-28,1,0.0%,1,0%,126,0.0%,100.0%,1008000,1008000 ( 100.0% ),126,126 ( 100.0% ),3032200,465,37
2016-11-29,2,0.0%,2,0%,401,0.0%,92.0%,3106000,2098000 ( 208.1% ),369,243 ( 192.9% ),6138200,834,29
2016-12-02,3,0.1%,3,0%,484,0.0%,73.6%,2907000,2907000 ( 100.0% ),356,356 ( 100.0% ),9045200,1190,28
2016-12-04,1,0.0%,1,0%,293,0.0%,91.1%,2563000,2563000 ( 100.0% ),267,267 ( 100.0% ),11608200,1457,36
2016-12-07,2,0.0%,3,0%,345,0.0%,92.8%,2525000,2525000 ( 100.0% ),320,320 ( 100.0% ),14133200,1777,19
2016-12-08,63,1.2%,138,0.9%,15341,0.6%,12.2%,13668200,11143200 ( 441.3% ),1876,1556 ( 486.3% ),27801400,3653,10
2016-12-09,60,1.1%,139,0.9%,15538,0.6%,12.7%,15844200,2176000 ( 15.9% ),1981,105 ( 5.6% ),43645600,5634,9
2016-12-10,62,1.1%,131,0.8%,14616,0.5%,22.1%,27406300,11562100 ( 73.0% ),3236,1255 ( 63.4% ),71051900,8870,10
2016-12-11,61,1.1%,133,0.8%,14775,0.5%,24.7%,30780500,3374200 ( 12.3% ),3655,419 ( 12.9% ),101832400,12525,9
2016-12-12,59,1.2%,139,0.9%,15836,0.6%,13.7%,15987900,-14792600 ( -48.1% ),2169,-1486 ( -40.7% ),117820300,14694,11
2016-12-13,63,1.2%,143,0.9%,16176,0.6%,14.6%,17392600,1404700 ( 8.8% ),2368,199 ( 9.2% ),135212900,17062,10
2016-12-14,53,1.0%,136,0.9%,14462,0.6%,14.8%,15833300,-1559300 ( -9.0% ),2140,-228 ( -9.6% ),151046200,19202,10
2016-12-15,50,0.9%,101,0.6%,10882,0.4%,17.1%,13640700,-2192600 ( -13.8% ),1859,-281 ( -13.1% ),164686900,21061,14
2016-12-16,47,0.9%,99,0.6%,10248,0.4%,19.4%,17104700,3464000 ( 25.4% ),1991,132 ( 7.1% ),181791600,23052,13
2016-12-17,52,0.9%,100,0.6%,10614,0.4%,24.7%,22068200,4963500 ( 29.0% ),2621,630 ( 31.6% ),203859800,25673,15
2016-12-18,50,0.9%,105,0.6%,11123,0.4%,29.3%,27222000,5153800 ( 23.4% ),3263,642 ( 24.5% ),231081800,28936,13
2016-12-19,50,1.0%,115,0.7%,12752,0.5%,14.1%,13429000,-13793000 ( -50.7% ),1803,-1460 ( -44.7% ),244510800,30739,14
2016-12-20,51,1.0%,115,0.7%,12092,0.5%,16.3%,14625700,1196700 ( 8.9% ),1965,162 ( 9.0% ),259136500,32704,14
2016-12-21,43,0.9%,94,0.6%,10883,0.4%,17.2%,13740000,-885700 ( -6.1% ),1875,-90 ( -4.6% ),272876500,34579,11
2016-12-22,43,0.8%,74,0.5%,8168,0.3%,17.3%,10457100,-3282900 ( -23.9% ),1417,-458 ( -24.4% ),283333600,35996,13
2016-12-23,40,0.8%,75,0.5%,8720,0.3%,20.1%,13961400,3504300 ( 33.5% ),1751,334 ( 23.6% ),297295000,37747,12
2016-12-24,41,0.7%,77,0.4%,8627,0.3%,33.8%,25041800,11080400 ( 79.4% ),2916,1165 ( 66.5% ),322336800,40663,10
2016-12-25,40,0.7%,78,0.4%,8827,0.3%,32.6%,24673000,-368800 ( -1.5% ),2875,-41 ( -1.4% ),347009800,43538,10
2016-12-26,38,0.7%,67,0.4%,7382,0.3%,18.1%,10199700,-14473300 ( -58.7% ),1333,-1542 ( -53.6% ),357209500,44871,12
2016-12-27,39,0.7%,64,0.4%,7302,0.3%,18.9%,10256600,56900 ( 0.6% ),1380,47 ( 3.5% ),367466100,46251,13
2016-12-28,39,0.7%,61,0.4%,6958,0.3%,26.0%,11853000,1596400 ( 15.6% ),1812,432 ( 31.3% ),379319100,48063,12
2016-12-29,40,0.8%,62,0.4%,6964,0.3%,20.6%,10837400,-1015600 ( -8.6% ),1435,-377 ( -20.8% ),390156500,49498,14
2016-12-30,38,0.7%,58,0.3%,6129,0.2%,31.3%,16154600,5317200 ( 49.1% ),1917,482 ( 33.6% ),406311100,51415,13
2016-12-31,42,0.7%,64,0.4%,7333,0.3%,33.2%,20535200,4380600 ( 27.1% ),2437,520 ( 27.1% ),426846300,53852,14
2017-01-01,39,0.7%,65,0.4%,7500,0.3%,27.8%,18037800,-2497400 ( -12.2% ),2085,-352 ( -14.4% ),444884100,55937,11
2017-01-02,39,0.7%,60,0.4%,6944,0.3%,19.6%,10015000,-8022800 ( -44.5% ),1362,-723 ( -34.7% ),454899100,57299,10
2017-01-03,65,1.2%,91,0.6%,10699,0.4%,28.9%,21098300,11083300 ( 110.7% ),3091,1729 ( 126.9% ),475997400,60390,9
2017-01-04,36,0.6%,57,0.3%,6521,0.2%,15.1%,7137400,-13960900 ( -66.2% ),985,-2106 ( -68.1% ),483134800,61375,18
2017-01-05,42,0.7%,63,0.4%,6707,0.2%,16.1%,7522600,385200 ( 5.4% ),1078,93 ( 9.4% ),490657400,62453,17
2017-01-06,42,0.7%,59,0.3%,6647,0.2%,19.7%,9518200,1995600 ( 26.5% ),1310,232 ( 21.5% ),500175600,63763,16
2017-01-07,36,0.6%,53,0.3%,5855,0.2%,33.6%,14473100,4954900 ( 52.1% ),1969,659 ( 50.3% ),514648700,65732,15
2017-01-08,37,0.6%,56,0.3%,6345,0.2%,31.5%,14241300,-231800 ( -1.6% ),2000,31 ( 1.6% ),528890000,67732,15
2017-01-09,37,0.6%,57,0.3%,6298,0.2%,14.7%,6427500,-7813800 ( -54.9% ),925,-1075 ( -53.8% ),535317500,68657,16
2017-01-10,41,0.7%,60,0.4%,6610,0.2%,18.4%,8116000,1688500 ( 26.3% ),1216,291 ( 31.5% ),543433500,69873,17
2017-01-11,38,0.7%,57,0.3%,6304,0.2%,18.8%,7494200,-621800 ( -7.7% ),1186,-30 ( -2.5% ),550927700,71059,19
2017-01-12,29,0.5%,41,0.2%,4886,0.2%,12.6%,4243200,-3251000 ( -43.4% ),618,-568 ( -47.9% ),555170900,71677,24
2017-01-13,26,0.4%,37,0.2%,4398,0.2%,14.3%,4756700,513500 ( 12.1% ),631,13 ( 2.1% ),559927600,72308,21
2017-01-14,29,0.5%,45,0.2%,4222,0.1%,27.7%,8803700,4047000 ( 85.1% ),1170,539 ( 85.4% ),568731300,73478,19
2017-01-15,30,0.5%,42,0.2%,4191,0.1%,24.4%,7663700,-1140000 ( -12.9% ),1023,-147 ( -12.6% ),576395000,74501,19
2017-01-16,23,0.4%,36,0.2%,3629,0.1%,14.8%,3810000,-3853700 ( -50.3% ),536,-487 ( -47.6% ),580205000,75037,23
2017-01-17,28,0.5%,39,0.2%,3884,0.1%,14.0%,3820200,10200 ( 0.3% ),544,8 ( 1.5% ),584025200,75581,25
2017-01-18,21,0.4%,29,0.2%,3714,0.1%,13.2%,3404700,-415500 ( -10.9% ),491,-53 ( -9.7% ),587429900,76072,20
2017-01-19,22,0.4%,25,0.1%,3214,0.1%,11.3%,2492500,-912200 ( -26.8% ),362,-129 ( -26.3% ),589922400,76434,24
2017-01-20,20,0.4%,25,0.1%,2303,0.1%,14.2%,2544200,51700 ( 2.1% ),326,-36 ( -9.9% ),592466600,76760,24
2017-01-21,21,0.4%,26,0.1%,2536,0.1%,24.9%,4711100,2166900 ( 85.2% ),632,306 ( 93.9% ),597177700,77392,17
2017-01-22,22,0.4%,26,0.1%,2375,0.1%,24.8%,4335700,-375400 ( -8.0% ),589,-43 ( -6.8% ),601513400,77981,16
2017-01-23,18,0.3%,21,0.1%,2290,0.1%,13.3%,2163000,-2172700 ( -50.1% ),305,-284 ( -48.2% ),603676400,78286,23
2017-01-24,21,0.4%,24,0.1%,2414,0.1%,20.0%,2918200,755200 ( 34.9% ),483,178 ( 58.4% ),606594600,78769,19
2017-01-25,20,0.3%,24,0.1%,2177,0.1%,23.9%,3281700,363500 ( 12.5% ),521,38 ( 7.9% ),609876300,79290,19
2017-01-26,12,0.2%,16,0.1%,1511,0.1%,21.6%,2420200,-861500 ( -26.3% ),327,-194 ( -37.2% ),612296500,79617,20
2017-01-27,13,0.2%,18,0.1%,1535,0.1%,29.8%,3535500,1115300 ( 46.1% ),458,131 ( 40.1% ),615832000,80075,21
2017-01-28,10,0.2%,16,0.1%,1638,0.1%,21.9%,2648200,-887300 ( -25.1% ),359,-99 ( -21.6% ),618480200,80434,20
2017-01-29,17,0.3%,22,0.1%,2035,0.1%,31.8%,5084900,2436700 ( 92.0% ),647,288 ( 80.2% ),623565100,81081,20
2017-01-30,12,0.2%,17,0.1%,1589,0.1%,37.8%,4357500,-727400 ( -14.3% ),601,-46 ( -7.1% ),627922600,81682,21
2017-01-31,10,0.2%,15,0.1%,1558,0.1%,14.8%,1603500,-2754000 ( -63.2% ),231,-370 ( -61.6% ),629526100,81913,32
2017-02-01,13,0.2%,18,0.1%,1255,0.0%,21.8%,2002700,399200 ( 24.9% ),274,43 ( 18.6% ),631528800,82187,25
2017-02-02,10,0.2%,13,0.1%,998,0.0%,16.6%,1192000,-810700 ( -40.5% ),166,-108 ( -39.4% ),632720800,82353,37
2017-02-03,15,0.3%,19,0.1%,1579,0.1%,19.4%,2170500,978500 ( 82.1% ),306,140 ( 84.3% ),634891300,82659,28
2017-02-04,12,0.2%,16,0.1%,1312,0.0%,28.9%,3069000,898500 ( 41.4% ),379,73 ( 23.9% ),637960300,83038,27
2017-02-05,15,0.3%,19,0.1%,1568,0.1%,30.3%,3549600,480600 ( 15.7% ),475,96 ( 25.3% ),641509900,83513,22
2017-02-06,12,0.2%,14,0.1%,906,0.0%,17.7%,1191000,-2358600 ( -66.4% ),160,-315 ( -66.3% ),642700900,83673,37
2017-02-07,13,0.2%,16,0.1%,1106,0.0%,15.2%,1253900,62900 ( 5.3% ),168,8 ( 5.0% ),643954800,83841,38
2017-02-08,12,0.2%,13,0.1%,1299,0.0%,36.3%,2360500,1106600 ( 88.3% ),471,303 ( 180.4% ),646315300,84312,23
2017-02-09,12,0.2%,14,0.1%,1164,0.0%,31.4%,1910500,-450000 ( -19.1% ),365,-106 ( -22.5% ),648225800,84677,29
2017-02-10,13,0.2%,16,0.1%,1202,0.0%,29.5%,1919000,8500 ( 0.4% ),355,-10 ( -2.7% ),650144800,85032,25
2017-02-11,11,0.2%,13,0.1%,986,0.0%,25.7%,2117000,198000 ( 10.3% ),253,-102 ( -28.7% ),652261800,85285,32
2017-02-12,13,0.2%,16,0.1%,1320,0.0%,24.7%,2665500,548500 ( 25.9% ),326,73 ( 28.9% ),654927300,85611,28
2017-02-13,9,0.2%,11,0.1%,903,0.0%,24.1%,1558000,-1107500 ( -41.5% ),218,-108 ( -33.1% ),656485300,85829,29
