날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2016-12-02,1,0.0%,1,0%,293,0.0%,15.7%,367000,367000 ( 100.0% ),46,46 ( 100.0% ),367000,46,77
2016-12-03,1,0.0%,1,0%,293,0.0%,21.5%,558000,191000 ( 52.0% ),63,17 ( 37.0% ),925000,109,72
2016-12-05,1,0.0%,1,0%,293,0.0%,11.9%,293000,293000 ( 100.0% ),35,35 ( 100.0% ),1218000,144,67
2017-04-12,1,0.0%,1,0%,126,0.0%,100.0%,1008000,1008000 ( 100.0% ),126,126 ( 100.0% ),2226000,270,38
2017-04-13,1,0.0%,1,0%,274,0.0%,100.0%,2192000,1184000 ( 117.5% ),274,148 ( 117.5% ),4418000,544,30
2017-04-19,1,0.0%,1,0%,40,0.0%,100.0%,280000,280000 ( 100.0% ),40,40 ( 100.0% ),4698000,584,66
2017-04-21,1,0.0%,1,0%,160,0.0%,57.5%,979200,979200 ( 100.0% ),92,92 ( 100.0% ),5677200,676,54
2017-04-25,1,0.0%,1,0%,293,0.0%,12.3%,320000,320000 ( 100.0% ),36,36 ( 100.0% ),5997200,712,75
2017-04-26,89,1.8%,160,1%,20739,0.8%,6.4%,8670000,8350000 ( 2609.4% ),1321,1285 ( 3569.4% ),14667200,2033,12
2017-04-27,102,2.2%,181,1.1%,23853,0.9%,6.7%,11507800,2837800 ( 32.7% ),1588,267 ( 20.2% ),26175000,3621,10
2017-04-28,104,2.1%,177,1.1%,22798,0.8%,8.5%,15937925,4430125 ( 38.5% ),1942,354 ( 22.3% ),42112925,5563,12
2017-04-29,94,1.7%,157,0.9%,19906,0.7%,14.8%,24493500,8555575 ( 53.7% ),2955,1013 ( 52.2% ),66606425,8518,10
2017-04-30,96,1.8%,155,0.9%,20038,0.7%,14.3%,23818100,-675400 ( -2.8% ),2865,-90 ( -3.0% ),90424525,11383,9
2017-05-01,92,1.8%,150,0.9%,19759,0.7%,13.1%,18950500,-4867600 ( -20.4% ),2583,-282 ( -9.8% ),109375025,13966,9
2017-05-02,93,1.5%,144,0.8%,19497,0.7%,7.9%,11182000,-7768500 ( -41.0% ),1542,-1041 ( -40.3% ),120557025,15508,12
2017-05-03,43,0.7%,62,0.3%,8747,0.3%,19.0%,14609800,3427800 ( 30.7% ),1658,116 ( 7.5% ),135166825,17166,18
2017-05-04,44,0.7%,65,0.4%,8612,0.3%,13.6%,9006300,-5603500 ( -38.4% ),1175,-483 ( -29.1% ),144173125,18341,21
2017-05-05,41,0.6%,63,0.3%,8627,0.3%,17.0%,12785100,3778800 ( 42.0% ),1464,289 ( 24.6% ),156958225,19805,17
2017-05-06,44,0.7%,61,0.3%,8746,0.3%,14.6%,11006400,-1778700 ( -13.9% ),1273,-191 ( -13.0% ),167964625,21078,17
2017-05-07,40,0.6%,60,0.3%,8575,0.3%,12.7%,9318300,-1688100 ( -15.3% ),1090,-183 ( -14.4% ),177282925,22168,17
2017-05-08,35,0.6%,49,0.3%,6117,0.2%,8.5%,3832100,-5486200 ( -58.9% ),519,-571 ( -52.4% ),181115025,22687,20
2017-05-09,39,0.6%,50,0.3%,7009,0.2%,15.7%,9393000,5560900 ( 145.1% ),1100,581 ( 111.9% ),190508025,23787,19
2017-05-10,35,0.7%,46,0.3%,6309,0.2%,4.8%,2154500,-7238500 ( -77.1% ),302,-798 ( -72.5% ),192662525,24089,21
2017-05-11,23,0.4%,31,0.2%,4165,0.2%,10.6%,2643200,488700 ( 22.7% ),440,138 ( 45.7% ),195305725,24529,22
2017-05-12,28,0.5%,36,0.2%,5717,0.2%,6.1%,2973000,329800 ( 12.5% ),346,-94 ( -21.4% ),198278725,24875,24
2017-05-13,27,0.4%,34,0.2%,5040,0.2%,12.9%,5825500,2852500 ( 95.9% ),648,302 ( 87.3% ),204104225,25523,24
2017-05-14,22,0.4%,29,0.2%,3642,0.1%,12.3%,3980600,-1844900 ( -31.7% ),449,-199 ( -30.7% ),208084825,25972,26
2017-05-15,21,0.4%,26,0.2%,4050,0.2%,6.4%,1975000,-2005600 ( -50.4% ),258,-191 ( -42.5% ),210059825,26230,27
2017-05-16,23,0.4%,29,0.2%,4472,0.2%,5.3%,1834500,-140500 ( -7.1% ),236,-22 ( -8.5% ),211894325,26466,26
2017-05-17,17,0.3%,21,0.1%,2843,0.1%,8.2%,1774500,-60000 ( -3.3% ),233,-3 ( -1.3% ),213668825,26699,27
2017-05-18,11,0.2%,16,0.1%,1980,0.1%,6.7%,1024200,-750300 ( -42.3% ),132,-101 ( -43.3% ),214693025,26831,45
2017-05-19,13,0.2%,18,0.1%,2769,0.1%,12.0%,2795000,1770800 ( 172.9% ),331,199 ( 150.8% ),217488025,27162,27
2017-05-20,15,0.2%,20,0.1%,3397,0.1%,20.8%,6090600,3295600 ( 117.9% ),708,377 ( 113.9% ),223578625,27870,19
2017-05-21,10,0.2%,14,0.1%,2028,0.1%,17.9%,3109000,-2981600 ( -49.0% ),362,-346 ( -48.9% ),226687625,28232,26
2017-05-22,11,0.2%,15,0.1%,1898,0.1%,12.5%,1949000,-1160000 ( -37.3% ),238,-124 ( -34.3% ),228636625,28470,21
2017-05-23,16,0.3%,20,0.1%,3277,0.1%,6.3%,1575500,-373500 ( -19.2% ),206,-32 ( -13.4% ),230212125,28676,30
2017-05-24,12,0.2%,16,0.1%,2044,0.1%,8.9%,1424500,-151000 ( -9.6% ),182,-24 ( -11.7% ),231636625,28858,31
