날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-03-30,1,0.0%,1,0%,126,0.0%,100.0%,1260000,1260000 ( 100.0% ),126,126 ( 100.0% ),1260000,126,32
2018-04-13,2,0.0%,3,0%,564,0.0%,83.5%,4710000,4710000 ( 100.0% ),471,471 ( 100.0% ),5970000,597,21
2018-04-14,1,0.0%,1,0%,268,0.0%,88.1%,2176800,-2533200 ( -53.8% ),236,-235 ( -49.9% ),8146800,833,29
2018-04-19,484,7.8%,2267,13.2%,378939,13.6%,5.0%,153116700,153116700 ( 100.0% ),18797,18797 ( 100.0% ),161263500,19630,2
2018-04-20,514,8.1%,2374,13.4%,396095,13.8%,5.7%,203622310,50505610 ( 33.0% ),22593,3796 ( 20.2% ),364885810,42223,4
2018-04-21,545,7.7%,2370,12.3%,387608,12.5%,8.6%,304255235,100632925 ( 49.4% ),33511,10918 ( 48.3% ),669141045,75734,5
2018-04-22,522,7.5%,2197,11.7%,360581,12.0%,8.7%,291744700,-12510535 ( -4.1% ),31541,-1970 ( -5.9% ),960885745,107275,5
2018-04-23,499,8.3%,2086,12.4%,339028,12.4%,4.1%,111802000,-179942700 ( -61.7% ),13880,-17661 ( -56.0% ),1072687745,121155,3
2018-04-24,497,8.1%,2008,12.2%,325952,12.2%,3.8%,98538500,-13263500 ( -11.9% ),12225,-1655 ( -11.9% ),1171226245,133380,3
2018-04-25,217,4.1%,251,1.6%,31748,1.3%,4.9%,10881500,-87657000 ( -89.0% ),1544,-10681 ( -87.4% ),1182107745,134924,8
2018-04-26,95,1.9%,127,0.8%,14906,0.6%,4.8%,5617600,-5263900 ( -48.4% ),720,-824 ( -53.4% ),1187725345,135644,14
2018-04-27,88,1.8%,114,0.7%,12993,0.5%,5.0%,5543776,-73824 ( -1.3% ),645,-75 ( -10.4% ),1193269121,136289,12
2018-04-28,81,1.6%,101,0.6%,11810,0.4%,8.0%,7867771,2323995 ( 41.9% ),945,300 ( 46.5% ),1201136892,137234,13
2018-04-29,74,1.4%,96,0.6%,10828,0.4%,8.9%,8262800,395029 ( 5.0% ),964,19 ( 2.0% ),1209399692,138198,13
2018-04-30,93,1.9%,118,0.7%,13561,0.5%,5.7%,6009800,-2253000 ( -27.3% ),778,-186 ( -19.3% ),1215409492,138976,13
2018-05-01,28,0.6%,33,0.2%,2968,0.1%,6.7%,1436400,-4573400 ( -76.1% ),199,-579 ( -74.4% ),1216845892,139175,34
2018-05-02,21,0.5%,23,0.1%,2304,0.1%,3.9%,611500,-824900 ( -57.4% ),90,-109 ( -54.8% ),1217457392,139265,48
2018-05-03,8,0.2%,8,0%,916,0.0%,1.0%,30000,-581500 ( -95.1% ),9,-81 ( -90.0% ),1217487392,139274,87
2018-05-04,6,0.1%,6,0%,839,0.0%,2.6%,190500,160500 ( 535.0% ),22,13 ( 144.4% ),1217677892,139296,67
2018-05-05,6,0.1%,6,0%,830,0.0%,1.2%,35000,-155500 ( -81.6% ),10,-12 ( -54.5% ),1217712892,139306,76
2018-05-06,6,0.1%,6,0%,830,0.0%,1.4%,47000,12000 ( 34.3% ),12,2 ( 20.0% ),1217759892,139318,70
2018-05-07,6,0.1%,6,0%,792,0.0%,1.4%,43000,-4000 ( -8.5% ),11,-1 ( -8.3% ),1217802892,139329,74
2018-05-08,25,0.5%,25,0.2%,3366,0.1%,21.4%,6281000,6238000 ( 14507.0% ),721,710 ( 6454.5% ),1224083892,140050,15
2018-05-09,8,0.2%,8,0.1%,1127,0.0%,18.9%,2087000,-4194000 ( -66.8% ),213,-508 ( -70.5% ),1226170892,140263,19
2018-05-10,5,0.1%,5,0%,743,0.0%,0.7%,7000,-2080000 ( -99.7% ),5,-208 ( -97.7% ),1226177892,140268,79
2018-05-11,5,0.1%,5,0%,743,0.0%,0.7%,7000,0 ( 0.0% ),5,0 ( 0.0% ),1226184892,140273,87
2018-05-12,5,0.1%,5,0%,743,0.0%,0.7%,7000,0 ( 0.0% ),5,0 ( 0.0% ),1226191892,140278,90
2018-05-13,5,0.1%,5,0%,743,0.0%,0.7%,7000,0 ( 0.0% ),5,0 ( 0.0% ),1226198892,140283,86
2018-05-14,5,0.1%,5,0%,743,0.0%,0.7%,7000,0 ( 0.0% ),5,0 ( 0.0% ),1226205892,140288,75
2018-05-15,5,0.1%,5,0%,743,0.0%,0.7%,7000,0 ( 0.0% ),5,0 ( 0.0% ),1226212892,140293,93
2018-05-16,5,0.1%,5,0%,743,0.0%,0.7%,7000,0 ( 0.0% ),5,0 ( 0.0% ),1226219892,140298,83
2018-05-17,5,0.1%,5,0%,743,0.0%,0.7%,7000,0 ( 0.0% ),5,0 ( 0.0% ),1226226892,140303,85
2018-05-18,5,0.1%,5,0%,743,0.0%,0.7%,7000,0 ( 0.0% ),5,0 ( 0.0% ),1226233892,140308,95
2018-05-19,5,0.1%,5,0%,743,0.0%,0.7%,7000,0 ( 0.0% ),5,0 ( 0.0% ),1226240892,140313,92
2018-05-20,5,0.1%,5,0%,743,0.0%,0.7%,7000,0 ( 0.0% ),5,0 ( 0.0% ),1226247892,140318,92
2018-05-21,5,0.1%,6,0%,1014,0.0%,2.4%,65000,58000 ( 828.6% ),24,19 ( 380.0% ),1226312892,140342,64
2018-05-23,6,0.1%,6,0%,757,0.0%,18.8%,652000,652000 ( 100.0% ),142,142 ( 100.0% ),1226964892,140484,35
2018-05-24,7,0.1%,7,0%,860,0.0%,19.0%,740000,88000 ( 13.5% ),163,21 ( 14.8% ),1227704892,140647,36
2018-05-25,2,0.0%,2,0%,258,0.0%,20.5%,240000,-500000 ( -67.6% ),53,-110 ( -67.5% ),1227944892,140700,56
2018-05-28,1,0.0%,1,0%,212,0.0%,3.8%,24000,24000 ( 100.0% ),8,8 ( 100.0% ),1227968892,140708,64
2018-05-29,8,0.2%,8,0%,1041,0.0%,25.6%,1245000,1221000 ( 5087.5% ),267,259 ( 3237.5% ),1229213892,140975,22
2018-07-02,1,0.0%,1,0%,121,0.0%,80.2%,485000,485000 ( 100.0% ),97,97 ( 100.0% ),1229698892,141072,47
2018-11-29,1,0.0%,1,0%,226,0.0%,66.4%,1200000,1200000 ( 100.0% ),150,150 ( 100.0% ),1230898892,141222,52
