날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-08-09,1,0.0%,1,0%,170,0.0%,100.0%,1360000,1360000 ( 100.0% ),170,170 ( 100.0% ),1360000,170,25
2018-08-10,2,0.0%,2,0%,618,0.0%,100.0%,4968000,3608000 ( 265.3% ),618,448 ( 263.5% ),6328000,788,12
2018-08-14,20,0.3%,20,0.1%,3897,0.1%,100.0%,31176000,31176000 ( 100.0% ),3897,3897 ( 100.0% ),37504000,4685,9
2018-08-16,14,0.2%,14,0.1%,2635,0.1%,97.1%,20472000,20472000 ( 100.0% ),2559,2559 ( 100.0% ),57976000,7244,13
2018-08-17,9,0.1%,9,0%,1720,0.1%,99.8%,13728000,-6744000 ( -32.9% ),1716,-843 ( -32.9% ),71704000,8960,13
2018-08-21,15,0.2%,15,0.1%,2242,0.1%,60.5%,10216000,10216000 ( 100.0% ),1357,1357 ( 100.0% ),81920000,10317,14
2018-08-22,278,4.9%,1464,8%,249231,8.6%,11.8%,244827300,234611300 ( 2296.5% ),29368,28011 ( 2064.2% ),326747300,39685,6
2018-08-23,268,4.6%,1348,7.6%,234084,8.3%,8.2%,163121200,-81706100 ( -33.4% ),19282,-10086 ( -34.3% ),489868500,58967,6
2018-08-24,262,4.3%,1295,6.9%,219411,7.4%,12.2%,250949500,87828300 ( 53.8% ),26836,7554 ( 39.2% ),740818000,85803,6
2018-08-25,250,3.9%,1061,5.4%,165175,5.3%,25.4%,391770200,140820700 ( 56.1% ),41990,15154 ( 56.5% ),1132588200,127793,6
2018-08-26,236,3.7%,983,5.1%,150383,4.9%,24.1%,338770700,-52999500 ( -13.5% ),36199,-5791 ( -13.8% ),1471358900,163992,6
2018-08-27,223,4.1%,927,5.2%,142581,5.0%,9.5%,116095800,-222674900 ( -65.7% ),13534,-22665 ( -62.6% ),1587454700,177526,6
2018-08-28,228,4.1%,893,5.1%,135339,4.8%,9.3%,106815300,-9280500 ( -8.0% ),12553,-981 ( -7.2% ),1694270000,190079,6
2018-08-29,163,2.7%,373,2%,48924,1.7%,19.1%,58681400,-48133900 ( -45.1% ),9368,-3185 ( -25.4% ),1752951400,199447,8
2018-08-30,184,3.1%,409,2.2%,56052,1.9%,10.8%,52003700,-6677700 ( -11.4% ),6074,-3294 ( -35.2% ),1804955100,205521,8
2018-08-31,174,2.9%,432,2.3%,58489,1.9%,13.1%,70265100,18261400 ( 35.1% ),7641,1567 ( 25.8% ),1875220200,213162,8
2018-09-01,186,2.9%,463,2.3%,63256,2.0%,16.5%,98081500,27816400 ( 39.6% ),10455,2814 ( 36.8% ),1973301700,223617,9
2018-09-02,193,3.0%,465,2.4%,63975,2.1%,17.9%,108266800,10185300 ( 10.4% ),11436,981 ( 9.4% ),2081568500,235053,8
