날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2017-11-29,1,0.0%,1,0%,338,0.0%,77.2%,2088000,2088000 ( 100.0% ),261,261 ( 100.0% ),2088000,261,32
2017-12-01,1,0.0%,1,0%,293,0.0%,67.9%,1969000,1969000 ( 100.0% ),199,199 ( 100.0% ),4057000,460,38
2017-12-05,1,0.0%,1,0%,293,0.0%,52.9%,1380000,1380000 ( 100.0% ),155,155 ( 100.0% ),5437000,615,42
2018-02-21,2,0.0%,2,0%,520,0.0%,100.0%,4680000,4680000 ( 100.0% ),520,520 ( 100.0% ),10117000,1135,22
2018-02-22,4,0.1%,4,0%,887,0.0%,69.6%,5313000,633000 ( 13.5% ),617,97 ( 18.7% ),15430000,1752,21
2018-02-23,1,0.0%,1,0%,107,0.0%,100.0%,963000,-4350000 ( -81.9% ),107,-510 ( -82.7% ),16393000,1859,49
2018-02-24,3,0.0%,3,0%,678,0.0%,34.1%,1617000,654000 ( 67.9% ),231,124 ( 115.9% ),18010000,2090,36
2018-02-26,5,0.1%,5,0%,834,0.0%,84.7%,6048000,6048000 ( 100.0% ),706,706 ( 100.0% ),24058000,2796,17
2018-02-27,19,0.3%,19,0.1%,2991,0.1%,80.6%,25194500,19146500 ( 316.6% ),2410,1704 ( 241.4% ),49252500,5206,15
2018-02-28,478,7.8%,1212,6.5%,155432,5.2%,31.8%,299807100,274612600 ( 1090.0% ),49465,47055 ( 1952.5% ),349059600,54671,5
2018-03-01,532,8.5%,1306,6.8%,169284,5.5%,25.2%,347332500,47525400 ( 15.9% ),42663,-6802 ( -13.8% ),696392100,97334,5
2018-03-02,501,8.4%,1249,6.7%,162427,5.4%,9.0%,121412547,-225919953 ( -65.0% ),14587,-28076 ( -65.8% ),817804647,111921,6
2018-03-03,495,7.9%,1164,6.1%,148553,4.8%,16.8%,206244038,84831491 ( 69.9% ),25015,10428 ( 71.5% ),1024048685,136936,6
2018-03-04,483,7.9%,1088,5.9%,137769,4.6%,14.8%,168103500,-38140538 ( -18.5% ),20395,-4620 ( -18.5% ),1192152185,157331,6
2018-03-05,442,8.6%,1003,6%,133069,4.9%,4.8%,48039400,-120064100 ( -71.4% ),6403,-13992 ( -68.6% ),1240191585,163734,7
2018-03-06,454,8.5%,1003,6%,131735,4.9%,4.6%,45186100,-2853300 ( -5.9% ),6095,-308 ( -4.8% ),1285377685,169829,7
2018-03-07,312,6.3%,571,3.3%,73887,2.6%,5.0%,27417500,-17768600 ( -39.3% ),3684,-2411 ( -39.6% ),1312795185,173513,10
2018-03-08,168,3.2%,229,1.3%,28436,1.0%,7.2%,14830400,-12587100 ( -45.9% ),2038,-1646 ( -44.7% ),1327625585,175551,13
2018-03-09,166,3.1%,229,1.3%,28679,1.0%,7.1%,16718800,1888400 ( 12.7% ),2039,1 ( 0.0% ),1344344385,177590,14
2018-03-10,160,2.7%,208,1.1%,24427,0.8%,17.6%,35461200,18742400 ( 112.1% ),4294,2255 ( 110.6% ),1379805585,181884,11
2018-03-11,153,2.6%,202,1.1%,24046,0.8%,16.9%,32927900,-2533300 ( -7.1% ),4075,-219 ( -5.1% ),1412733485,185959,11
2018-03-12,148,2.9%,195,1.2%,24556,0.9%,5.2%,9250900,-23677000 ( -71.9% ),1281,-2794 ( -68.6% ),1421984385,187240,12
2018-03-13,153,2.8%,200,1.2%,25312,0.9%,5.2%,9350100,99200 ( 1.1% ),1318,37 ( 2.9% ),1431334485,188558,14
2018-03-14,28,0.5%,35,0.2%,4882,0.2%,5.9%,1986800,-7363300 ( -78.8% ),288,-1030 ( -78.1% ),1433321285,188846,24
2018-03-15,25,0.5%,30,0.2%,3424,0.1%,8.4%,1955800,-31000 ( -1.6% ),289,1 ( 0.3% ),1435277085,189135,28
2018-03-16,25,0.5%,29,0.2%,3220,0.1%,10.8%,2569500,613700 ( 31.4% ),349,60 ( 20.8% ),1437846585,189484,23
2018-03-17,27,0.4%,31,0.2%,3887,0.1%,17.9%,5518000,2948500 ( 114.7% ),695,346 ( 99.1% ),1443364585,190179,23
2018-03-18,26,0.4%,31,0.2%,3375,0.1%,18.2%,4892000,-626000 ( -11.3% ),614,-81 ( -11.7% ),1448256585,190793,22
2018-03-19,15,0.3%,17,0.1%,1815,0.1%,6.0%,783000,-4109000 ( -84.0% ),108,-506 ( -82.4% ),1449039585,190901,36
2018-03-20,19,0.4%,22,0.1%,2512,0.1%,8.4%,1448100,665100 ( 84.9% ),211,103 ( 95.4% ),1450487685,191112,31
2018-03-21,17,0.3%,19,0.1%,2591,0.1%,6.7%,1230000,-218100 ( -15.1% ),173,-38 ( -18.0% ),1451717685,191285,30
2018-03-22,7,0.1%,9,0.1%,1210,0.0%,6.4%,515100,-714900 ( -58.1% ),77,-96 ( -55.5% ),1452232785,191362,49
2018-03-23,11,0.2%,13,0.1%,1878,0.1%,6.5%,1035800,520700 ( 101.1% ),123,46 ( 59.7% ),1453268585,191485,43
2018-03-24,9,0.1%,10,0.1%,1099,0.0%,18.6%,1556600,520800 ( 50.3% ),204,81 ( 65.9% ),1454825185,191689,35
2018-03-25,8,0.1%,8,0%,737,0.0%,17.9%,1145000,-411600 ( -26.4% ),132,-72 ( -35.3% ),1455970185,191821,44
2018-03-26,8,0.2%,9,0.1%,1184,0.0%,4.1%,340000,-805000 ( -70.3% ),48,-84 ( -63.6% ),1456310185,191869,50
2018-03-27,9,0.2%,11,0.1%,1674,0.1%,3.3%,388500,48500 ( 14.3% ),56,8 ( 16.7% ),1456698685,191925,56
2018-03-28,6,0.1%,7,0%,829,0.0%,3.0%,145000,-243500 ( -62.7% ),25,-31 ( -55.4% ),1456843685,191950,66
2018-03-29,6,0.1%,7,0%,625,0.0%,10.7%,485000,340000 ( 234.5% ),67,42 ( 168.0% ),1457328685,192017,47
2018-03-30,3,0.1%,4,0%,376,0.0%,9.6%,284000,-201000 ( -41.4% ),36,-31 ( -46.3% ),1457612685,192053,58
2018-03-31,5,0.1%,6,0%,550,0.0%,11.3%,492600,208600 ( 73.5% ),62,26 ( 72.2% ),1458105285,192115,50
2018-04-01,5,0.1%,6,0%,814,0.0%,8.8%,563600,71000 ( 14.4% ),72,10 ( 16.1% ),1458668885,192187,43
2018-04-02,3,0.1%,4,0%,163,0.0%,21.5%,247000,-316600 ( -56.2% ),35,-37 ( -51.4% ),1458915885,192222,44
2018-04-03,4,0.1%,5,0%,354,0.0%,7.1%,184000,-63000 ( -25.5% ),25,-10 ( -28.6% ),1459099885,192247,54
2018-04-04,3,0.1%,5,0%,406,0.0%,9.9%,243000,59000 ( 32.1% ),40,15 ( 60.0% ),1459342885,192287,46
2018-04-05,1,0.0%,1,0%,36,0.0%,16.7%,42000,-201000 ( -82.7% ),6,-34 ( -85.0% ),1459384885,192293,73
2018-04-06,2,0.0%,2,0%,188,0.0%,9.0%,126000,84000 ( 200.0% ),17,11 ( 183.3% ),1459510885,192310,77
2018-04-07,2,0.0%,2,0%,195,0.0%,5.1%,79000,-47000 ( -37.3% ),10,-7 ( -41.2% ),1459589885,192320,92
2018-04-08,1,0.0%,1,0%,386,0.0%,0.8%,20000,-59000 ( -74.7% ),3,-7 ( -70.0% ),1459609885,192323,100
2018-04-09,2,0.0%,2,0%,88,0.0%,11.4%,73000,53000 ( 265.0% ),10,7 ( 233.3% ),1459682885,192333,81
2018-04-10,2,0.0%,2,0%,88,0.0%,18.2%,116000,43000 ( 58.9% ),16,6 ( 60.0% ),1459798885,192349,78
2018-04-11,4,0.1%,4,0%,626,0.0%,2.9%,146000,30000 ( 25.9% ),18,2 ( 12.5% ),1459944885,192367,67
2018-04-12,1,0.0%,1,0%,30,0.0%,73.3%,149000,3000 ( 2.1% ),22,4 ( 22.2% ),1460093885,192389,65
2018-04-13,1,0.0%,1,0%,30,0.0%,50.0%,125000,-24000 ( -16.1% ),15,-7 ( -31.8% ),1460218885,192404,77
2018-04-14,2,0.0%,2,0%,174,0.0%,9.8%,151000,26000 ( 20.8% ),17,2 ( 13.3% ),1460369885,192421,74
2018-04-15,1,0.0%,1,0%,30,0.0%,83.3%,182000,31000 ( 20.5% ),25,8 ( 47.1% ),1460551885,192446,65
2018-04-16,1,0.0%,1,0%,30,0.0%,66.7%,147000,-35000 ( -19.2% ),20,-5 ( -20.0% ),1460698885,192466,54
2018-04-17,1,0.0%,1,0%,30,0.0%,30.0%,64000,-83000 ( -56.5% ),9,-11 ( -55.0% ),1460762885,192475,81
2018-04-18,2,0.0%,2,0%,416,0.0%,2.6%,77000,13000 ( 20.3% ),11,2 ( 22.2% ),1460839885,192486,77
2018-04-21,1,0.0%,1,0%,386,0.0%,0.5%,14000,14000 ( 100.0% ),2,2 ( 100.0% ),1460853885,192488,116
2018-04-22,1,0.0%,1,0%,386,0.0%,1.3%,32000,18000 ( 128.6% ),5,3 ( 150.0% ),1460885885,192493,101
2018-04-24,1,0.0%,1,0%,179,0.0%,0.0%,0,0 ( 0.0% ),0,0 ( 0.0% ),1460885885,192493,124
2018-04-29,1,0.0%,1,0%,386,0.0%,0.5%,13000,13000 ( 100.0% ),2,2 ( 100.0% ),1460898885,192495,87
2018-06-12,1,0.0%,1,0%,276,0.0%,36.2%,600000,600000 ( 100.0% ),100,100 ( 100.0% ),1461498885,192595,41
2018-08-26,1,0.0%,1,0%,203,0.0%,3.9%,75000,75000 ( 100.0% ),8,8 ( 100.0% ),1461573885,192603,89
2019-06-14,1,0.0%,1,0%,275,0.0%,100.0%,2475000,2475000 ( 100.0% ),275,275 ( 100.0% ),1464048885,192878,29
