날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2016-07-05,1,0.0%,1,0%,189,0.0%,100.0%,1323000,1323000 ( 100.0% ),189,189 ( 100.0% ),1323000,189,33
2016-07-06,1,0.0%,1,0%,107,0.0%,100.0%,749000,-574000 ( -43.4% ),107,-82 ( -43.4% ),2072000,296,46
2016-07-12,1,0.0%,1,0%,189,0.0%,100.0%,1323000,1323000 ( 100.0% ),189,189 ( 100.0% ),3395000,485,35
2016-07-13,3,0.1%,5,0%,469,0.0%,32.2%,1062000,-261000 ( -19.7% ),151,-38 ( -20.1% ),4457000,636,42
2016-07-14,81,1.6%,144,0.9%,16954,0.6%,16.9%,20748300,19686300 ( 1853.7% ),2859,2708 ( 1793.4% ),25205300,3495,8
2016-07-15,83,1.4%,147,0.9%,18108,0.7%,15.8%,22930900,2182600 ( 10.5% ),2862,3 ( 0.1% ),48136200,6357,9
2016-07-16,69,1.1%,125,0.7%,14072,0.5%,32.1%,36718900,13788000 ( 60.1% ),4515,1653 ( 57.8% ),84855100,10872,9
2016-07-17,64,1.0%,119,0.7%,13924,0.5%,27.8%,32227900,-4491000 ( -12.2% ),3868,-647 ( -14.3% ),117083000,14740,9
2016-07-18,85,1.7%,179,1.1%,21151,0.8%,14.5%,22343900,-9884000 ( -30.7% ),3070,-798 ( -20.6% ),139426900,17810,8
2016-07-19,88,1.7%,179,1.1%,20379,0.8%,15.2%,22733900,390000 ( 1.7% ),3099,29 ( 0.9% ),162160800,20909,8
2016-07-20,57,1.2%,96,0.6%,11157,0.4%,19.5%,15865800,-6868100 ( -30.2% ),2171,-928 ( -29.9% ),178026600,23080,9
2016-07-21,54,1.1%,96,0.6%,12479,0.5%,23.2%,21217100,5351300 ( 33.7% ),2890,719 ( 33.1% ),199243700,25970,10
2016-07-22,52,1.1%,96,0.6%,12070,0.4%,20.4%,20636700,-580400 ( -2.7% ),2461,-429 ( -14.8% ),219880400,28431,10
2016-07-23,52,1.0%,91,0.5%,10912,0.4%,38.7%,34147500,13510800 ( 65.5% ),4221,1760 ( 71.5% ),254027900,32652,9
2016-07-24,48,1.0%,86,0.5%,10629,0.4%,38.9%,34189800,42300 ( 0.1% ),4134,-87 ( -2.1% ),288217700,36786,9
2016-07-25,51,1.1%,103,0.6%,12620,0.5%,20.0%,17863100,-16326700 ( -47.8% ),2522,-1612 ( -39.0% ),306080800,39308,10
2016-07-26,57,1.2%,116,0.7%,14422,0.5%,19.8%,20164500,2301400 ( 12.9% ),2857,335 ( 13.3% ),326245300,42165,10
2016-07-27,43,0.9%,77,0.4%,8578,0.3%,27.4%,14715900,-5448600 ( -27.0% ),2353,-504 ( -17.6% ),340961200,44518,10
2016-07-28,46,1.0%,68,0.4%,8459,0.3%,24.7%,14389000,-326900 ( -2.2% ),2089,-264 ( -11.2% ),355350200,46607,11
2016-07-29,41,0.9%,75,0.4%,9207,0.3%,23.6%,17153600,2764600 ( 19.2% ),2169,80 ( 3.8% ),372503800,48776,11
2016-07-30,42,0.8%,76,0.4%,9430,0.3%,37.2%,29334500,12180900 ( 71.0% ),3508,1339 ( 61.7% ),401838300,52284,11
2016-07-31,42,0.9%,77,0.4%,9855,0.3%,36.5%,29684000,349500 ( 1.2% ),3595,87 ( 2.5% ),431522300,55879,10
2016-08-01,40,0.9%,71,0.4%,8384,0.3%,26.4%,16782500,-12901500 ( -43.5% ),2213,-1382 ( -38.4% ),448304800,58092,11
2016-08-02,43,0.9%,71,0.4%,8399,0.3%,28.1%,16642500,-140000 ( -0.8% ),2357,144 ( 6.5% ),464947300,60449,12
2016-08-03,36,0.7%,67,0.4%,7830,0.3%,22.8%,13101500,-3541000 ( -21.3% ),1786,-571 ( -24.2% ),478048800,62235,13
2016-08-04,37,0.7%,61,0.3%,7241,0.2%,21.7%,11042900,-2058600 ( -15.7% ),1570,-216 ( -12.1% ),489091700,63805,15
2016-08-05,39,0.7%,71,0.4%,8574,0.3%,20.4%,14243700,3200800 ( 29.0% ),1749,179 ( 11.4% ),503335400,65554,12
2016-08-06,37,0.7%,69,0.4%,8539,0.3%,31.3%,22206800,7963100 ( 55.9% ),2673,924 ( 52.8% ),525542200,68227,13
2016-08-07,39,0.7%,67,0.4%,8129,0.3%,31.8%,21395800,-811000 ( -3.7% ),2589,-84 ( -3.1% ),546938000,70816,13
2016-08-08,34,0.7%,60,0.3%,7185,0.2%,20.7%,10667000,-10728800 ( -50.1% ),1484,-1105 ( -42.7% ),557605000,72300,12
