날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2017-09-18,1,0.0%,1,0%,247,0.0%,100.0%,1482000,1482000 ( 100.0% ),247,247 ( 100.0% ),1482000,247,35
2017-09-25,12,0.2%,19,0.1%,4004,0.2%,91.9%,30010000,30010000 ( 100.0% ),3680,3680 ( 100.0% ),31492000,3927,7
2017-09-26,23,0.4%,23,0.1%,5443,0.2%,53.1%,28977800,-1032200 ( -3.4% ),2888,-792 ( -21.5% ),60469800,6815,10
2017-09-27,15,0.3%,15,0.1%,2954,0.1%,97.8%,21644000,-7333800 ( -25.3% ),2889,1 ( 0.0% ),82113800,9704,8
2017-09-28,12,0.2%,13,0.1%,2821,0.1%,94.2%,21272000,-372000 ( -1.7% ),2658,-231 ( -8.0% ),103385800,12362,8
2017-09-29,23,0.4%,23,0.1%,4323,0.2%,99.7%,36902000,15630000 ( 73.5% ),4310,1652 ( 62.2% ),140287800,16672,7
2017-09-30,20,0.3%,20,0.1%,2599,0.1%,97.1%,17474000,-19428000 ( -52.6% ),2524,-1786 ( -41.4% ),157761800,19196,11
2017-10-02,40,0.7%,41,0.2%,9764,0.3%,99.6%,77640000,77640000 ( 100.0% ),9722,9722 ( 100.0% ),235401800,28918,8
2017-10-03,1125,19.1%,5284,28.7%,1006315,34.1%,44.2%,3669119900,3591479900 ( 4625.8% ),444585,434863 ( 4473.0% ),3904521700,473503,1
2017-10-04,1165,19.8%,5390,29.5%,1030277,35.2%,53.6%,4655991000,986871100 ( 26.9% ),552722,108137 ( 24.3% ),8560512700,1026225,1
2017-10-05,1205,19.8%,5528,29.6%,1060520,35.6%,56.6%,4940801300,284810300 ( 6.1% ),599797,47075 ( 8.5% ),13501314000,1626022,1
2017-10-06,1221,19.2%,5466,29.2%,1054964,35.3%,55.2%,4731723954,-209077346 ( -4.2% ),582294,-17503 ( -2.9% ),18233037954,2208316,1
2017-10-07,1229,19.1%,5439,29%,1047525,34.9%,40.5%,3471456338,-1260267616 ( -26.6% ),424767,-157527 ( -27.1% ),21704494292,2633083,1
2017-10-08,1203,18.5%,5212,27.9%,1004809,33.5%,36.4%,3004716900,-466739438 ( -13.4% ),365976,-58791 ( -13.8% ),24709211192,2999059,2
2017-10-09,1152,18.9%,4835,26.8%,930666,32.2%,27.6%,2050060400,-954656500 ( -31.8% ),256815,-109161 ( -29.8% ),26759271592,3255874,2
2017-10-10,1011,21.7%,4332,27.4%,786784,30.5%,7.2%,400933000,-1649127400 ( -80.4% ),56673,-200142 ( -77.9% ),27160204592,3312547,2
2017-10-11,1005,21.7%,4235,26.8%,760343,29.5%,7.6%,407708900,6775900 ( 1.7% ),57962,1289 ( 2.3% ),27567913492,3370509,2
2017-10-12,702,13.7%,2370,14.1%,372655,13.6%,11.2%,293178900,-114530000 ( -28.1% ),41895,-16067 ( -27.7% ),27861092392,3412404,3
2017-10-13,692,13.2%,2343,13.8%,364114,13.2%,13.1%,369514200,76335300 ( 26.0% ),47562,5667 ( 13.5% ),28230606592,3459966,3
2017-10-14,668,11.5%,2311,12.8%,360954,12.4%,22.3%,660539400,291025200 ( 78.8% ),80501,32939 ( 69.3% ),28891145992,3540467,2
2017-10-15,646,11.3%,2259,12.8%,353050,12.4%,21.9%,632397900,-28141500 ( -4.3% ),77188,-3313 ( -4.1% ),29523543892,3617655,2
2017-10-16,643,13.1%,2191,13.8%,333231,12.9%,8.0%,189482700,-442915200 ( -70.0% ),26676,-50512 ( -65.4% ),29713026592,3644331,2
2017-10-17,674,13.2%,2180,13.7%,326754,12.6%,8.1%,183531000,-5951700 ( -3.1% ),26446,-230 ( -0.9% ),29896557592,3670777,2
2017-10-18,653,12.8%,2137,13.4%,323232,12.5%,8.1%,185601200,2070200 ( 1.1% ),26315,-131 ( -0.5% ),30082158792,3697092,2
