날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2017-05-20,1,0.0%,1,0%,118,0.0%,70.3%,697000,697000 ( 100.0% ),83,83 ( 100.0% ),697000,83,48
2017-05-23,1,0.0%,1,0%,118,0.0%,55.1%,508500,508500 ( 100.0% ),65,65 ( 100.0% ),1205500,148,54
2017-06-02,1,0.0%,1,0%,130,0.0%,18.5%,180500,180500 ( 100.0% ),24,24 ( 100.0% ),1386000,172,64
2017-06-04,2,0.0%,2,0%,242,0.0%,46.7%,1006500,1006500 ( 100.0% ),113,113 ( 100.0% ),2392500,285,33
2017-06-06,1,0.0%,1,0%,112,0.0%,68.8%,674000,674000 ( 100.0% ),77,77 ( 100.0% ),3066500,362,47
2017-06-07,1,0.0%,1,0%,111,0.0%,52.3%,438000,-236000 ( -35.0% ),58,-19 ( -24.7% ),3504500,420,49
2017-06-09,1,0.0%,1,0%,117,0.0%,16.2%,158000,158000 ( 100.0% ),19,19 ( 100.0% ),3662500,439,71
2017-06-11,1,0.0%,1,0%,117,0.0%,24.8%,250500,250500 ( 100.0% ),29,29 ( 100.0% ),3913000,468,63
2017-06-14,1,0.0%,1,0%,94,0.0%,46.8%,334000,334000 ( 100.0% ),44,44 ( 100.0% ),4247000,512,55
2017-06-21,5,0.1%,5,0%,838,0.0%,99.0%,7633000,7633000 ( 100.0% ),830,830 ( 100.0% ),11880000,1342,12
2017-06-27,4,0.1%,4,0%,1055,0.0%,100.0%,8440000,8440000 ( 100.0% ),1055,1055 ( 100.0% ),20320000,2397,14
2017-06-28,1,0.0%,1,0%,126,0.0%,100.0%,1008000,-7432000 ( -88.1% ),126,-929 ( -88.1% ),21328000,2523,40
2017-06-30,2,0.0%,2,0%,278,0.0%,84.9%,1768000,1768000 ( 100.0% ),236,236 ( 100.0% ),23096000,2759,33
2017-07-01,1,0.0%,1,0%,112,0.0%,66.1%,647000,-1121000 ( -63.4% ),74,-162 ( -68.6% ),23743000,2833,59
2017-07-04,12,0.3%,14,0.1%,1595,0.1%,71.8%,6986000,6986000 ( 100.0% ),1146,1146 ( 100.0% ),30729000,3979,14
2017-07-08,4,0.1%,4,0%,505,0.0%,60.8%,2477500,2477500 ( 100.0% ),307,307 ( 100.0% ),33206500,4286,29
2017-07-09,2,0.0%,2,0%,272,0.0%,69.9%,1570400,-907100 ( -36.6% ),190,-117 ( -38.1% ),34776900,4476,33
2017-07-10,6,0.1%,6,0%,742,0.0%,97.6%,5792000,4221600 ( 268.8% ),724,534 ( 281.1% ),40568900,5200,11
2017-07-11,3,0.1%,5,0%,272,0.0%,38.6%,944000,-4848000 ( -83.7% ),105,-619 ( -85.5% ),41512900,5305,46
2017-07-12,175,4.0%,591,3.8%,78034,3.1%,14.8%,82833300,81889300 ( 8674.7% ),11526,11421 ( 10877.1% ),124346200,16831,4
2017-07-13,191,3.9%,602,3.8%,78954,3.1%,15.3%,87828600,4995300 ( 6.0% ),12104,578 ( 5.0% ),212174800,28935,5
2017-07-14,210,4.1%,625,3.8%,81229,3.0%,17.1%,111573800,23745200 ( 27.0% ),13898,1794 ( 14.8% ),323748600,42833,5
2017-07-15,232,4.3%,562,3.2%,72445,2.5%,30.9%,184449700,72875900 ( 65.3% ),22392,8494 ( 61.1% ),508198300,65225,5
2017-07-16,233,4.4%,552,3.3%,71190,2.6%,29.2%,172569000,-11880700 ( -6.4% ),20771,-1621 ( -7.2% ),680767300,85996,5
2017-07-17,204,4.4%,687,4.5%,92397,3.6%,14.5%,100272500,-72296500 ( -41.9% ),13411,-7360 ( -35.4% ),781039800,99407,4
2017-07-18,210,4.3%,682,4.4%,91846,3.6%,15.1%,103418400,3145900 ( 3.1% ),13867,456 ( 3.4% ),884458200,113274,4
2017-07-19,212,4.2%,652,4%,90188,3.4%,14.1%,93991600,-9426800 ( -9.1% ),12746,-1121 ( -8.1% ),978449800,126020,5
2017-07-20,180,3.2%,422,2.3%,55158,1.8%,15.5%,64140100,-29851500 ( -31.8% ),8560,-4186 ( -32.8% ),1042589900,134580,7
2017-07-21,187,3.3%,426,2.3%,56404,1.8%,17.1%,80664100,16524000 ( 25.8% ),9638,1078 ( 12.6% ),1123254000,144218,8
2017-07-22,173,2.8%,376,1.9%,48416,1.5%,27.6%,113516800,32852700 ( 40.7% ),13353,3715 ( 38.5% ),1236770800,157571,9
2017-07-23,172,2.8%,364,1.9%,46767,1.5%,24.8%,100573500,-12943300 ( -11.4% ),11616,-1737 ( -13.0% ),1337344300,169187,9
2017-07-24,174,3.1%,412,2.2%,54623,1.8%,14.2%,58663800,-41909700 ( -41.7% ),7744,-3872 ( -33.3% ),1396008100,176931,7
2017-07-25,169,3.0%,411,2.2%,54178,1.8%,15.7%,63923100,5259300 ( 9.0% ),8491,747 ( 9.6% ),1459931200,185422,7
2017-07-26,83,1.5%,147,0.8%,17835,0.6%,23.2%,27205200,-36717900 ( -57.4% ),4137,-4354 ( -51.3% ),1487136400,189559,8
2017-07-27,82,1.5%,135,0.7%,16079,0.5%,28.7%,29230100,2024900 ( 7.4% ),4620,483 ( 11.7% ),1516366500,194179,9
2017-07-28,86,1.6%,140,0.7%,16653,0.5%,33.2%,34923425,5693325 ( 19.5% ),5531,911 ( 19.7% ),1551289925,199710,8
2017-07-29,76,1.4%,137,0.7%,17144,0.5%,45.4%,51266500,16343075 ( 46.8% ),7780,2249 ( 40.7% ),1602556425,207490,7
2017-07-30,75,1.4%,130,0.7%,15865,0.5%,42.6%,44307900,-6958600 ( -13.6% ),6753,-1027 ( -13.2% ),1646864325,214243,8
2017-07-31,80,1.5%,163,0.9%,20086,0.7%,31.4%,40170300,-4137600 ( -9.3% ),6312,-441 ( -6.5% ),1687034625,220555,7
2017-08-01,99,1.8%,181,1%,22378,0.7%,34.9%,48192200,8021900 ( 20.0% ),7810,1498 ( 23.7% ),1735226825,228365,6
2017-08-02,59,1.1%,136,0.7%,16681,0.6%,28.4%,30126500,-18065700 ( -37.5% ),4733,-3077 ( -39.4% ),1765353325,233098,9
2017-08-03,62,1.1%,120,0.6%,14581,0.5%,28.6%,26070800,-4055700 ( -13.5% ),4172,-561 ( -11.9% ),1791424125,237270,9
