날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2017-09-28,1,0.0%,1,0%,401,0.0%,68.3%,2466000,2466000 ( 100.0% ),274,274 ( 100.0% ),2466000,274,32
2017-10-11,1,0.0%,1,0%,178,0.0%,100.0%,1582000,1582000 ( 100.0% ),178,178 ( 100.0% ),4048000,452,30
2017-10-23,3,0.1%,3,0%,424,0.0%,86.6%,3038000,3038000 ( 100.0% ),367,367 ( 100.0% ),7086000,819,23
2017-10-24,4,0.1%,4,0%,481,0.0%,86.5%,3204000,166000 ( 5.5% ),416,49 ( 13.4% ),10290000,1235,24
2017-10-25,2,0.0%,2,0%,390,0.0%,92.8%,2998000,-206000 ( -6.4% ),362,-54 ( -13.0% ),13288000,1597,24
2017-10-26,7,0.1%,7,0%,1014,0.0%,93.4%,7238000,4240000 ( 141.4% ),947,585 ( 161.6% ),20526000,2544,14
2017-10-27,3,0.1%,4,0%,731,0.0%,85.4%,5282000,-1956000 ( -27.0% ),624,-323 ( -34.1% ),25808000,3168,23
2017-10-28,1,0.0%,1,0%,55,0.0%,100.0%,275000,-5007000 ( -94.8% ),55,-569 ( -91.2% ),26083000,3223,78
2017-10-29,1,0.0%,1,0%,218,0.0%,91.7%,1600000,1325000 ( 481.8% ),200,145 ( 263.6% ),27683000,3423,38
2017-10-30,3,0.1%,3,0%,415,0.0%,99.3%,2384000,784000 ( 49.0% ),412,212 ( 106.0% ),30067000,3835,25
2017-10-31,9,0.2%,9,0.1%,2320,0.1%,96.2%,17156000,14772000 ( 619.6% ),2232,1820 ( 441.7% ),47223000,6067,10
2017-11-01,1,0.0%,1,0%,147,0.0%,100.0%,882000,-16274000 ( -94.9% ),147,-2085 ( -93.4% ),48105000,6214,39
2017-11-02,143,2.7%,209,1.2%,26465,1.0%,8.2%,14573500,13691500 ( 1552.3% ),2181,2034 ( 1383.7% ),62678500,8395,10
2017-11-03,144,2.7%,206,1.2%,25961,0.9%,4.7%,8641500,-5932000 ( -40.7% ),1209,-972 ( -44.6% ),71320000,9604,14
2017-11-04,156,2.7%,205,1.1%,24486,0.8%,6.1%,11785000,3143500 ( 36.4% ),1484,275 ( 22.7% ),83105000,11088,17
2017-11-05,149,2.6%,198,1.1%,23989,0.8%,10.4%,19291100,7506100 ( 63.7% ),2487,1003 ( 67.6% ),102396100,13575,12
