날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2017-03-23,2,0.0%,2,0%,195,0.0%,43.1%,684000,684000 ( 100.0% ),84,84 ( 100.0% ),684000,84,50
2017-03-24,2,0.0%,2,0%,274,0.0%,74.5%,1763500,1079500 ( 157.8% ),204,120 ( 142.9% ),2447500,288,28
2017-03-25,2,0.0%,2,0%,250,0.0%,93.2%,1994500,231000 ( 13.1% ),233,29 ( 14.2% ),4442000,521,31
2017-03-26,3,0.1%,3,0%,372,0.0%,90.1%,2934000,939500 ( 47.1% ),335,102 ( 43.8% ),7376000,856,26
2017-03-27,2,0.0%,2,0%,251,0.0%,73.3%,1503500,-1430500 ( -48.8% ),184,-151 ( -45.1% ),8879500,1040,30
2017-03-28,3,0.1%,3,0%,417,0.0%,67.4%,2040800,537300 ( 35.7% ),281,97 ( 52.7% ),10920300,1321,28
2017-03-29,2,0.0%,2,0%,209,0.0%,78.5%,891000,-1149800 ( -56.3% ),164,-117 ( -41.6% ),11811300,1485,43
2017-05-18,1,0.0%,1,0%,166,0.0%,100.0%,1328000,1328000 ( 100.0% ),166,166 ( 100.0% ),13139300,1651,41
2017-05-25,114,2.3%,300,1.8%,37179,1.4%,13.0%,36050500,36050500 ( 100.0% ),4851,4851 ( 100.0% ),49189800,6502,6
2017-05-26,119,2.3%,309,1.8%,38803,1.4%,15.7%,50398000,14347500 ( 39.8% ),6105,1254 ( 25.9% ),99587800,12607,5
2017-05-27,135,2.5%,300,1.7%,36797,1.3%,23.9%,73313500,22915500 ( 45.5% ),8805,2700 ( 44.2% ),172901300,21412,6
2017-05-28,140,2.6%,297,1.7%,36804,1.3%,23.7%,71973500,-1340000 ( -1.8% ),8720,-85 ( -1.0% ),244874800,30132,6
2017-05-29,121,2.5%,307,1.9%,39821,1.5%,8.6%,25695500,-46278000 ( -64.3% ),3433,-5287 ( -60.6% ),270570300,33565,6
2017-05-30,122,2.5%,311,1.9%,40451,1.5%,8.5%,25679500,-16000 ( -0.1% ),3457,24 ( 0.7% ),296249800,37022,6
2017-05-31,107,2.2%,174,1.1%,21218,0.8%,15.7%,19350000,-6329500 ( -24.6% ),3338,-119 ( -3.4% ),315599800,40360,8
2017-06-01,108,2.2%,181,1.1%,22170,0.8%,13.0%,21572500,2222500 ( 11.5% ),2879,-459 ( -13.8% ),337172300,43239,9
2017-06-02,114,2.3%,189,1.1%,22915,0.9%,12.9%,24753500,3181000 ( 14.7% ),2957,78 ( 2.7% ),361925800,46196,8
2017-06-03,114,2.1%,199,1.1%,24590,0.9%,25.2%,50424000,25670500 ( 103.7% ),6191,3234 ( 109.4% ),412349800,52387,9
2017-06-04,114,2.1%,199,1.1%,24772,0.9%,27.3%,55404500,4980500 ( 9.9% ),6759,568 ( 9.2% ),467754300,59146,9
2017-06-05,109,2.2%,198,1.2%,25447,0.9%,18.3%,33920500,-21484000 ( -38.8% ),4660,-2099 ( -31.1% ),501674800,63806,8
2017-06-06,73,1.4%,108,0.6%,12587,0.4%,43.9%,43869500,9949000 ( 29.3% ),5520,860 ( 18.5% ),545544300,69326,11
2017-06-07,69,1.5%,108,0.6%,13158,0.5%,9.5%,9217500,-34652000 ( -79.0% ),1248,-4272 ( -77.4% ),554761800,70574,9
2017-06-08,43,0.9%,61,0.4%,7830,0.3%,8.3%,4787500,-4430000 ( -48.1% ),650,-598 ( -47.9% ),559549300,71224,14
2017-06-09,47,0.9%,65,0.4%,7940,0.3%,11.2%,7256000,2468500 ( 51.6% ),890,240 ( 36.9% ),566805300,72114,11
2017-06-10,52,0.9%,69,0.4%,8450,0.3%,23.6%,16145500,8889500 ( 122.5% ),1998,1108 ( 124.5% ),582950800,74112,13
2017-06-11,49,0.9%,67,0.4%,8175,0.3%,22.2%,14808000,-1337500 ( -8.3% ),1815,-183 ( -9.2% ),597758800,75927,13
2017-06-12,48,1.0%,67,0.4%,8779,0.3%,7.2%,4622500,-10185500 ( -68.8% ),631,-1184 ( -65.2% ),602381300,76558,13
2017-06-13,47,0.9%,68,0.4%,9070,0.3%,6.1%,4056500,-566000 ( -12.2% ),553,-78 ( -12.4% ),606437800,77111,18
2017-06-14,48,1.0%,74,0.5%,10170,0.4%,6.2%,4546000,489500 ( 12.1% ),634,81 ( 14.6% ),610983800,77745,15
