날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-07-23,2,0.0%,4,0%,940,0.0%,100.0%,5640000,5640000 ( 100.0% ),940,940 ( 100.0% ),5640000,940,16
2018-08-02,13,0.2%,13,0.1%,2833,0.1%,99.5%,28190000,28190000 ( 100.0% ),2819,2819 ( 100.0% ),33830000,3759,9
2018-08-06,8,0.2%,8,0%,1328,0.0%,100.0%,11949000,11949000 ( 100.0% ),1328,1328 ( 100.0% ),45779000,5087,10
2018-08-07,18,0.3%,19,0.1%,4276,0.2%,98.6%,38664000,26715000 ( 223.6% ),4215,2887 ( 217.4% ),84443000,9302,8
2018-08-08,5,0.1%,5,0%,1750,0.1%,100.0%,15750000,-22914000 ( -59.3% ),1750,-2465 ( -58.5% ),100193000,11052,12
2018-08-09,10,0.2%,11,0.1%,2013,0.1%,99.4%,18000000,2250000 ( 14.3% ),2000,250 ( 14.3% ),118193000,13052,12
2018-08-13,3,0.1%,3,0%,831,0.0%,98.3%,7907000,7907000 ( 100.0% ),817,817 ( 100.0% ),126100000,13869,13
2018-08-14,7,0.1%,7,0%,1762,0.1%,99.0%,14630000,6723000 ( 85.0% ),1744,927 ( 113.5% ),140730000,15613,14
2018-08-16,12,0.2%,15,0.1%,3890,0.1%,97.2%,28809000,28809000 ( 100.0% ),3782,3782 ( 100.0% ),169539000,19395,11
2018-08-17,4,0.1%,4,0%,707,0.0%,75.8%,4288000,-24521000 ( -85.1% ),536,-3246 ( -85.8% ),173827000,19931,18
2018-08-18,8,0.1%,8,0%,2445,0.1%,93.2%,22505300,18217300 ( 424.8% ),2279,1743 ( 325.2% ),196332300,22210,14
2018-08-19,9,0.1%,10,0.1%,2485,0.1%,92.4%,22676900,171600 ( 0.8% ),2296,17 ( 0.7% ),219009200,24506,14
2018-08-20,17,0.3%,17,0.1%,3258,0.1%,99.6%,30074000,7397100 ( 32.6% ),3244,948 ( 41.3% ),249083200,27750,10
2018-08-21,21,0.3%,21,0.1%,4361,0.2%,75.0%,26905000,-3169000 ( -10.5% ),3270,26 ( 0.8% ),275988200,31020,10
2018-08-22,736,12.9%,3456,18.8%,511208,17.6%,19.4%,794659400,767754400 ( 2853.6% ),99411,96141 ( 2940.1% ),1070647600,130431,1
2018-08-23,778,13.4%,3389,19.1%,511884,18.2%,15.0%,625037100,-169622300 ( -21.3% ),76677,-22734 ( -22.9% ),1695684700,207108,1
2018-08-24,849,13.9%,3737,20%,587450,19.9%,24.4%,1276209000,651171900 ( 104.2% ),143132,66455 ( 86.7% ),2971893700,350240,1
2018-08-25,950,14.8%,4344,22%,749942,24.0%,37.4%,2472522300,1196313300 ( 93.7% ),280112,136980 ( 95.7% ),5444416000,630352,1
2018-08-26,962,15.2%,4350,22.6%,754802,24.7%,35.9%,2416255100,-56267200 ( -2.3% ),271250,-8862 ( -3.2% ),7860671100,901602,1
2018-08-27,897,16.3%,4150,23.5%,725839,25.7%,14.4%,857003400,-1559251700 ( -64.5% ),104231,-167019 ( -61.6% ),8717674500,1005833,1
2018-08-28,904,16.2%,4173,23.8%,732972,26.2%,14.6%,873308200,16304800 ( 1.9% ),106742,2511 ( 2.4% ),9590982700,1112575,1
2018-08-29,849,14.3%,3535,19.2%,659285,22.5%,25.7%,1016578100,143269900 ( 16.4% ),169737,62995 ( 59.0% ),10607560800,1282312,1
2018-08-30,854,14.4%,3731,20.2%,688520,23.3%,14.3%,806791800,-209786300 ( -20.6% ),98606,-71131 ( -41.9% ),11414352600,1380918,1
2018-08-31,900,14.9%,4064,21.5%,756696,25.1%,17.3%,1154871700,348079900 ( 43.1% ),130680,32074 ( 32.5% ),12569224300,1511598,1
2018-09-01,970,15.0%,4722,23.9%,909887,29.0%,23.8%,1906701582,751829882 ( 65.1% ),216717,86037 ( 65.8% ),14475925882,1728315,1
2018-09-02,966,15.0%,4603,23.8%,892015,29.0%,24.8%,1958319550,51617968 ( 2.7% ),221049,4332 ( 2.0% ),16434245432,1949364,1
2018-09-03,867,15.4%,4078,23.1%,783018,27.5%,8.9%,568188450,-1390131100 ( -71.0% ),70057,-150992 ( -68.3% ),17002433882,2019421,2
