날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2016-12-20,1,0.0%,1,0%,284,0.0%,100.0%,2272000,2272000 ( 100.0% ),284,284 ( 100.0% ),2272000,284,28
2016-12-21,3,0.1%,3,0%,698,0.0%,100.0%,5584000,3312000 ( 145.8% ),698,414 ( 145.8% ),7856000,982,16
2016-12-28,4,0.1%,4,0%,1353,0.1%,100.0%,10824000,10824000 ( 100.0% ),1353,1353 ( 100.0% ),18680000,2335,14
2016-12-30,1,0.0%,1,0%,255,0.0%,100.0%,2550000,2550000 ( 100.0% ),255,255 ( 100.0% ),21230000,2590,32
2016-12-31,275,4.6%,348,2%,54899,1.9%,62.2%,293957000,291407000 ( 11427.7% ),34173,33918 ( 13301.2% ),315187000,36763,6
2017-01-01,275,4.7%,342,2%,54031,2.0%,69.3%,325811500,31854500 ( 10.8% ),37418,3245 ( 9.5% ),640998500,74181,6
2017-01-02,1,0.0%,1,0%,184,0.0%,31.5%,459000,-325352500 ( -99.9% ),58,-37360 ( -99.8% ),641457500,74239,42
2017-01-04,555,9.3%,2176,12.6%,365202,13.0%,37.8%,1032712400,1032712400 ( 100.0% ),138028,138028 ( 100.0% ),1674169900,212267,1
2017-01-05,780,12.6%,2771,16.1%,467852,16.6%,28.3%,1003477000,-29235400 ( -2.8% ),132463,-5565 ( -4.0% ),2677646900,344730,1
2017-01-06,907,14.3%,3320,18.8%,586910,20.4%,28.9%,1430176183,426699183 ( 42.5% ),169402,36939 ( 27.9% ),4107823083,514132,1
2017-01-07,933,14.4%,4061,22.2%,765972,25.5%,43.8%,2828380459,1398204276 ( 97.8% ),335325,165923 ( 97.9% ),6936203542,849457,1
2017-01-08,947,14.6%,4101,23%,772320,26.4%,43.1%,2809088900,-19291559 ( -0.7% ),333008,-2317 ( -0.7% ),9745292442,1182465,1
2017-01-09,801,13.7%,3882,22.9%,760815,27.2%,20.3%,1178187800,-1630901100 ( -58.1% ),154781,-178227 ( -53.5% ),10923480242,1337246,1
2017-01-10,805,13.3%,3901,22.9%,762439,27.2%,19.8%,1141877500,-36310300 ( -3.1% ),150777,-4004 ( -2.6% ),12065357742,1488023,1
2017-01-11,740,13.3%,3782,22.2%,767725,27.3%,18.3%,1062600700,-79276800 ( -6.9% ),140350,-10427 ( -6.9% ),13127958442,1628373,1
2017-01-12,714,12.5%,3356,19.7%,663242,23.5%,18.3%,921887800,-140712900 ( -13.2% ),121478,-18872 ( -13.4% ),14049846242,1749851,1
2017-01-13,759,12.9%,3585,20.5%,718832,24.9%,20.7%,1246387707,324499907 ( 35.2% ),148996,27518 ( 22.7% ),15296233949,1898847,1
2017-01-14,845,13.7%,4049,22.3%,814852,27.2%,35.9%,2462539601,1216151894 ( 97.6% ),292247,143251 ( 96.1% ),17758773550,2191094,1
2017-01-15,842,13.8%,3983,22.6%,803681,27.5%,37.1%,2472059900,9520299 ( 0.4% ),298280,6033 ( 2.1% ),20230833450,2489374,1
2017-01-16,759,13.4%,3685,22.1%,757398,27.5%,12.9%,740590900,-1731469000 ( -70.0% ),97566,-200714 ( -67.3% ),20971424350,2586940,1
2017-01-17,788,13.5%,3687,22.1%,752917,27.2%,12.4%,700870000,-39720900 ( -5.4% ),93300,-4266 ( -4.4% ),21672294350,2680240,1
2017-01-18,573,10.4%,2060,12.1%,297065,10.7%,19.5%,435316300,-265553700 ( -37.9% ),58068,-35232 ( -37.8% ),22107610650,2738308,3
2017-01-19,601,10.6%,2067,12.1%,291528,10.4%,18.3%,400685000,-34631300 ( -8.0% ),53380,-4688 ( -8.1% ),22508295650,2791688,3
2017-01-20,578,10.3%,2063,11.9%,291259,10.3%,19.2%,467773193,67088193 ( 16.7% ),55958,2578 ( 4.8% ),22976068843,2847646,3
2017-01-21,605,10.2%,1947,10.8%,268599,9.2%,39.9%,888981713,421208520 ( 90.0% ),107103,51145 ( 91.4% ),23865050556,2954749,4
2017-01-22,593,10.2%,1866,10.6%,258179,9.0%,37.8%,810785300,-78196413 ( -8.8% ),97603,-9500 ( -8.9% ),24675835856,3052352,4
2017-01-23,558,10.4%,1906,11.4%,268139,9.9%,15.0%,302182700,-508602600 ( -62.7% ),40227,-57376 ( -58.8% ),24978018556,3092579,4
2017-01-24,553,10.0%,1913,11.4%,268878,9.8%,15.4%,308879700,6697000 ( 2.2% ),41488,1261 ( 3.1% ),25286898256,3134067,4
2017-01-25,478,7.9%,1110,6.4%,149015,5.3%,26.3%,239371500,-69508200 ( -22.5% ),39161,-2327 ( -5.6% ),25526269756,3173228,5
2017-01-26,495,8.2%,1131,6.3%,150349,5.2%,26.2%,299673600,60302100 ( 25.2% ),39450,289 ( 0.7% ),25825943356,3212678,5
2017-01-27,529,8.2%,1094,5.9%,145986,4.9%,36.9%,449140500,149466900 ( 49.9% ),53932,14482 ( 36.7% ),26275083856,3266610,5
2017-01-28,499,7.9%,1032,5.7%,132356,4.5%,34.5%,394476500,-54664000 ( -12.2% ),45660,-8272 ( -15.3% ),26669560356,3312270,5
2017-01-29,492,7.5%,1012,5.4%,130503,4.3%,42.2%,464872400,70395900 ( 17.8% ),55061,9401 ( 20.6% ),27134432756,3367331,5
2017-01-30,470,7.2%,956,5.3%,123568,4.2%,47.4%,479910200,15037800 ( 3.2% ),58556,3495 ( 6.3% ),27614342956,3425887,5
2017-01-31,459,7.8%,1080,6.2%,140480,5.0%,20.4%,212287300,-267622900 ( -55.8% ),28695,-29861 ( -51.0% ),27826630256,3454582,5
2017-02-01,425,7.9%,998,6%,131603,4.8%,13.5%,132712800,-79574500 ( -37.5% ),17774,-10921 ( -38.1% ),27959343056,3472356,5
2017-02-02,363,6.7%,770,4.6%,97411,3.5%,13.6%,99014000,-33698800 ( -25.4% ),13249,-4525 ( -25.5% ),28058357056,3485605,6
2017-02-03,379,6.9%,796,4.7%,99908,3.6%,15.1%,124687400,25673400 ( 25.9% ),15053,1804 ( 13.6% ),28183044456,3500658,6
2017-02-04,383,6.4%,743,4.2%,92392,3.2%,30.8%,234927500,110240100 ( 88.4% ),28466,13413 ( 89.1% ),28417971956,3529124,6
2017-02-05,383,6.5%,737,4.2%,89768,3.2%,28.4%,210425700,-24501800 ( -10.4% ),25533,-2933 ( -10.3% ),28628397656,3554657,6
2017-02-06,378,7.4%,765,4.8%,96466,3.7%,9.2%,67759100,-142666600 ( -67.8% ),8883,-16650 ( -65.2% ),28696156756,3563540,6
2017-02-07,376,7.1%,798,4.9%,101293,3.8%,10.0%,74844800,7085700 ( 10.5% ),10175,1292 ( 14.5% ),28771001556,3573715,6
2017-02-08,327,6.5%,632,3.8%,80583,2.9%,11.3%,68245500,-6599300 ( -8.8% ),9140,-1035 ( -10.2% ),28839247056,3582855,8
2017-02-09,149,2.5%,223,1.3%,29767,1.1%,19.2%,43802400,-24443100 ( -35.8% ),5711,-3429 ( -37.5% ),28883049456,3588566,11
2017-02-10,149,2.4%,226,1.3%,28400,1.0%,16.6%,38998100,-4804300 ( -11.0% ),4704,-1007 ( -17.6% ),28922047556,3593270,12
2017-02-11,161,2.4%,228,1.3%,29000,1.0%,41.7%,98820500,59822400 ( 153.4% ),12081,7377 ( 156.8% ),29020868056,3605351,11
2017-02-12,162,2.4%,235,1.3%,29574,1.0%,32.7%,80978200,-17842300 ( -18.1% ),9670,-2411 ( -20.0% ),29101846256,3615021,11
2017-02-13,154,2.6%,228,1.4%,29300,1.1%,12.4%,27091500,-53886700 ( -66.5% ),3639,-6031 ( -62.4% ),29128937756,3618660,12
2017-02-14,151,2.4%,225,1.3%,29255,1.1%,14.0%,30279000,3187500 ( 11.8% ),4106,467 ( 12.8% ),29159216756,3622766,12
2017-02-15,71,1.3%,111,0.7%,14098,0.5%,14.0%,14438000,-15841000 ( -52.3% ),1967,-2139 ( -52.1% ),29173654756,3624733,17
2017-02-16,58,1.0%,82,0.5%,10244,0.4%,14.8%,11304700,-3133300 ( -21.7% ),1520,-447 ( -22.7% ),29184959456,3626253,19
2017-02-17,66,1.1%,94,0.5%,12274,0.4%,17.5%,17917300,6612600 ( 58.5% ),2144,624 ( 41.1% ),29202876756,3628397,17
2017-02-18,68,1.1%,95,0.5%,11412,0.4%,32.8%,31470800,13553500 ( 75.6% ),3743,1599 ( 74.6% ),29234347556,3632140,18
2017-02-19,71,1.1%,102,0.6%,13066,0.4%,26.8%,29732000,-1738800 ( -5.5% ),3507,-236 ( -6.3% ),29264079556,3635647,18
2017-02-20,53,0.9%,81,0.5%,11362,0.4%,13.6%,11503500,-18228500 ( -61.3% ),1547,-1960 ( -55.9% ),29275583056,3637194,18
2017-02-21,54,0.9%,81,0.5%,11039,0.4%,15.2%,12262100,758600 ( 6.6% ),1674,127 ( 8.2% ),29287845156,3638868,19
2017-02-22,27,0.4%,34,0.2%,5461,0.2%,16.5%,5546000,-6716100 ( -54.8% ),903,-771 ( -46.1% ),29293391156,3639771,21
2017-02-23,25,0.4%,31,0.2%,4156,0.1%,14.7%,4548000,-998000 ( -18.0% ),613,-290 ( -32.1% ),29297939156,3640384,28
2017-02-24,23,0.4%,32,0.2%,4466,0.2%,14.3%,5278000,730000 ( 16.1% ),640,27 ( 4.4% ),29303217156,3641024,27
2017-02-25,23,0.3%,31,0.2%,4416,0.1%,23.8%,8388500,3110500 ( 58.9% ),1051,411 ( 64.2% ),29311605656,3642075,28
2017-02-26,26,0.4%,32,0.2%,4603,0.2%,25.0%,9292000,903500 ( 10.8% ),1149,98 ( 9.3% ),29320897656,3643224,26
2017-02-27,21,0.3%,28,0.2%,3944,0.1%,17.3%,4954500,-4337500 ( -46.7% ),682,-467 ( -40.6% ),29325852156,3643906,28
2017-02-28,22,0.3%,29,0.2%,4843,0.2%,17.4%,5799500,845000 ( 17.1% ),841,159 ( 23.3% ),29331651656,3644747,26
2017-03-01,14,0.2%,17,0.1%,2410,0.1%,34.4%,6743000,943500 ( 16.3% ),830,-11 ( -1.3% ),29338394656,3645577,27
2017-03-02,9,0.2%,11,0.1%,1206,0.0%,15.0%,1375000,-5368000 ( -79.6% ),181,-649 ( -78.2% ),29339769656,3645758,37
2017-03-03,11,0.2%,13,0.1%,1598,0.1%,20.5%,2067000,692000 ( 50.3% ),327,146 ( 80.7% ),29341836656,3646085,27
2017-03-04,15,0.2%,18,0.1%,2518,0.1%,27.1%,5106700,3039700 ( 147.1% ),683,356 ( 108.9% ),29346943356,3646768,26
2017-03-05,14,0.2%,18,0.1%,2500,0.1%,27.1%,5431500,324800 ( 6.4% ),677,-6 ( -0.9% ),29352374856,3647445,26
2017-03-06,11,0.2%,14,0.1%,1677,0.1%,6.6%,832000,-4599500 ( -84.7% ),110,-567 ( -83.8% ),29353206856,3647555,38
2017-03-07,11,0.2%,13,0.1%,1502,0.1%,8.1%,927500,95500 ( 11.5% ),122,12 ( 10.9% ),29354134356,3647677,44
2017-03-08,7,0.1%,10,0.1%,1283,0.0%,8.0%,763000,-164500 ( -17.7% ),102,-20 ( -16.4% ),29354897356,3647779,48
2017-03-09,6,0.1%,7,0%,933,0.0%,8.7%,583000,-180000 ( -23.6% ),81,-21 ( -20.6% ),29355480356,3647860,51
2017-03-10,7,0.1%,8,0.1%,1085,0.0%,11.3%,1019000,436000 ( 74.8% ),123,42 ( 51.9% ),29356499356,3647983,40
2017-03-11,7,0.1%,10,0.1%,1429,0.1%,26.2%,3137000,2118000 ( 207.9% ),375,252 ( 204.9% ),29359636356,3648358,32
2017-03-12,8,0.1%,11,0.1%,1551,0.1%,22.6%,2970000,-167000 ( -5.3% ),351,-24 ( -6.4% ),29362606356,3648709,31
2017-03-13,7,0.1%,7,0%,870,0.0%,10.5%,665000,-2305000 ( -77.6% ),91,-260 ( -74.1% ),29363271356,3648800,39
2017-03-14,7,0.1%,7,0%,924,0.0%,7.9%,525000,-140000 ( -21.1% ),73,-18 ( -19.8% ),29363796356,3648873,55
2017-03-15,7,0.1%,9,0.1%,1243,0.1%,8.4%,794500,269500 ( 51.3% ),105,32 ( 43.8% ),29364590856,3648978,47
2017-03-16,4,0.1%,5,0%,623,0.0%,5.6%,215000,-579500 ( -72.9% ),35,-70 ( -66.7% ),29364805856,3649013,59
2017-03-17,4,0.1%,4,0%,518,0.0%,9.1%,279000,64000 ( 29.8% ),47,12 ( 34.3% ),29365084856,3649060,50
2017-03-18,8,0.1%,9,0.1%,1306,0.0%,21.1%,2076500,1797500 ( 644.3% ),276,229 ( 487.2% ),29367161356,3649336,29
2017-03-19,7,0.1%,9,0.1%,1656,0.1%,14.9%,1764000,-312500 ( -15.0% ),246,-30 ( -10.9% ),29368925356,3649582,30
2017-03-20,4,0.1%,4,0%,538,0.0%,7.1%,244000,-1520000 ( -86.2% ),38,-208 ( -84.6% ),29369169356,3649620,54
2017-03-21,5,0.1%,6,0%,804,0.0%,10.3%,502500,258500 ( 105.9% ),83,45 ( 118.4% ),29369671856,3649703,57
2017-03-22,5,0.1%,5,0%,528,0.0%,7.0%,287000,-215500 ( -42.9% ),37,-46 ( -55.4% ),29369958856,3649740,63
2017-03-23,2,0.0%,2,0%,270,0.0%,11.5%,228500,-58500 ( -20.4% ),31,-6 ( -16.2% ),29370187356,3649771,66
2017-03-24,3,0.1%,3,0%,388,0.0%,38.1%,1226000,997500 ( 436.5% ),148,117 ( 377.4% ),29371413356,3649919,35
2017-03-25,4,0.1%,4,0%,663,0.0%,15.1%,918000,-308000 ( -25.1% ),100,-48 ( -32.4% ),29372331356,3650019,50
2017-03-26,7,0.1%,7,0%,1345,0.0%,22.0%,2010500,1092500 ( 119.0% ),296,196 ( 196.0% ),29374341856,3650315,28
2017-03-27,2,0.0%,2,0%,290,0.0%,7.6%,179000,-1831500 ( -91.1% ),22,-274 ( -92.6% ),29374520856,3650337,73
2017-03-28,3,0.1%,4,0%,498,0.0%,15.3%,574500,395500 ( 220.9% ),76,54 ( 245.5% ),29375095356,3650413,58
2017-03-29,2,0.0%,2,0%,290,0.0%,7.9%,184000,-390500 ( -68.0% ),23,-53 ( -69.7% ),29375279356,3650436,84
2017-03-30,2,0.0%,2,0%,299,0.0%,11.4%,267000,83000 ( 45.1% ),34,11 ( 47.8% ),29375546356,3650470,58
2017-03-31,2,0.0%,2,0%,299,0.0%,20.1%,567000,300000 ( 112.4% ),60,26 ( 76.5% ),29376113356,3650530,54
2017-04-01,2,0.0%,3,0%,412,0.0%,26.5%,916000,349000 ( 61.6% ),109,49 ( 81.7% ),29377029356,3650639,50
2017-04-02,2,0.0%,3,0%,412,0.0%,32.3%,1191500,275500 ( 30.1% ),133,24 ( 22.0% ),29378220856,3650772,37
2017-04-03,2,0.0%,2,0%,299,0.0%,19.7%,473500,-718000 ( -60.3% ),59,-74 ( -55.6% ),29378694356,3650831,47
2017-04-04,2,0.0%,2,0%,299,0.0%,10.7%,199000,-274500 ( -58.0% ),32,-27 ( -45.8% ),29378893356,3650863,58
2017-04-06,1,0.0%,1,0%,186,0.0%,8.1%,111000,111000 ( 100.0% ),15,15 ( 100.0% ),29379004356,3650878,74
2017-04-07,1,0.0%,2,0%,372,0.0%,17.5%,546500,435500 ( 392.3% ),65,50 ( 333.3% ),29379550856,3650943,48
2017-04-08,1,0.0%,1,0%,186,0.0%,27.4%,448000,-98500 ( -18.0% ),51,-14 ( -21.5% ),29379998856,3650994,60
2017-04-09,2,0.0%,2,0%,299,0.0%,31.4%,875000,427000 ( 95.3% ),94,43 ( 84.3% ),29380873856,3651088,46
2017-04-10,2,0.0%,2,0%,299,0.0%,14.7%,314500,-560500 ( -64.1% ),44,-50 ( -53.2% ),29381188356,3651132,55
2017-04-11,1,0.0%,1,0%,113,0.0%,4.4%,39000,-275500 ( -87.6% ),5,-39 ( -88.6% ),29381227356,3651137,90
2017-04-12,1,0.0%,1,0%,113,0.0%,4.4%,38000,-1000 ( -2.6% ),5,0 ( 0.0% ),29381265356,3651142,83
2017-04-13,1,0.0%,1,0%,113,0.0%,2.7%,21000,-17000 ( -44.7% ),3,-2 ( -40.0% ),29381286356,3651145,93
2017-04-14,1,0.0%,1,0%,113,0.0%,6.2%,70000,49000 ( 233.3% ),7,4 ( 133.3% ),29381356356,3651152,85
2017-04-15,2,0.0%,2,0%,299,0.0%,31.4%,860000,790000 ( 1128.6% ),94,87 ( 1242.9% ),29382216356,3651246,49
2017-04-16,2,0.0%,2,0%,299,0.0%,21.1%,580000,-280000 ( -32.6% ),63,-31 ( -33.0% ),29382796356,3651309,48
2017-04-17,1,0.0%,1,0%,113,0.0%,3.5%,27000,-553000 ( -95.3% ),4,-59 ( -93.7% ),29382823356,3651313,81
2017-04-18,1,0.0%,1,0%,113,0.0%,6.2%,57000,30000 ( 111.1% ),7,3 ( 75.0% ),29382880356,3651320,84
2017-04-19,1,0.0%,1,0%,113,0.0%,8.0%,64000,7000 ( 12.3% ),9,2 ( 28.6% ),29382944356,3651329,85
2017-04-21,1,0.0%,1,0%,186,0.0%,10.2%,161000,161000 ( 100.0% ),19,19 ( 100.0% ),29383105356,3651348,84
2017-04-22,1,0.0%,1,0%,190,0.0%,15.3%,186000,25000 ( 15.5% ),29,10 ( 52.6% ),29383291356,3651377,82
2017-04-23,1,0.0%,1,0%,190,0.0%,36.8%,461000,275000 ( 147.8% ),70,41 ( 141.4% ),29383752356,3651447,59
2017-04-25,1,0.0%,1,0%,80,0.0%,0.0%,0,0 ( 0.0% ),0,0 ( 0.0% ),29383752356,3651447,133
2017-04-28,2,0.0%,2,0%,338,0.0%,3.0%,85000,85000 ( 100.0% ),10,10 ( 100.0% ),29383837356,3651457,75
2017-04-29,2,0.0%,2,0%,324,0.0%,53.1%,1192000,1107000 ( 1302.4% ),172,162 ( 1620.0% ),29385029356,3651629,38
2017-04-30,3,0.1%,3,0%,499,0.0%,33.1%,1398500,206500 ( 17.3% ),165,-7 ( -4.1% ),29386427856,3651794,39
2017-05-01,1,0.0%,1,0%,180,0.0%,41.7%,600000,-798500 ( -57.1% ),75,-90 ( -54.5% ),29387027856,3651869,54
2017-05-03,1,0.0%,1,0%,186,0.0%,12.9%,219000,219000 ( 100.0% ),24,24 ( 100.0% ),29387246856,3651893,70
2017-05-05,1,0.0%,1,0%,190,0.0%,44.2%,760000,760000 ( 100.0% ),84,84 ( 100.0% ),29388006856,3651977,49
2017-05-06,1,0.0%,1,0%,190,0.0%,30.5%,511000,-249000 ( -32.8% ),58,-26 ( -31.0% ),29388517856,3652035,51
2017-05-07,1,0.0%,1,0%,186,0.0%,24.7%,435000,-76000 ( -14.9% ),46,-12 ( -20.7% ),29388952856,3652081,52
2017-05-08,1,0.0%,1,0%,186,0.0%,12.4%,187000,-248000 ( -57.0% ),23,-23 ( -50.0% ),29389139856,3652104,58
2017-05-09,1,0.0%,1,0%,186,0.0%,53.8%,928000,741000 ( 396.3% ),100,77 ( 334.8% ),29390067856,3652204,47
2017-05-10,1,0.0%,1,0%,332,0.0%,0.0%,0,-928000 ( -100.0% ),0,-100 ( -100.0% ),29390067856,3652204,101
2017-05-13,1,0.0%,1,0%,190,0.0%,30.5%,394000,394000 ( 100.0% ),58,58 ( 100.0% ),29390461856,3652262,54
2017-05-14,1,0.0%,1,0%,180,0.0%,24.4%,410000,16000 ( 4.1% ),44,-14 ( -24.1% ),29390871856,3652306,60
2017-05-19,1,0.0%,1,0%,85,0.0%,100.0%,847000,847000 ( 100.0% ),85,85 ( 100.0% ),29391718856,3652391,50
2017-05-20,1,0.0%,1,0%,186,0.0%,22.6%,382500,-464500 ( -54.8% ),42,-43 ( -50.6% ),29392101356,3652433,62
2017-05-21,1,0.0%,1,0%,186,0.0%,39.8%,673000,290500 ( 75.9% ),74,32 ( 76.2% ),29392774356,3652507,47
2017-05-25,1,0.0%,1,0%,199,0.0%,0.0%,0,0 ( 0.0% ),0,0 ( 0.0% ),29392774356,3652507,104
2017-05-27,1,0.0%,1,0%,180,0.0%,27.8%,490000,490000 ( 100.0% ),50,50 ( 100.0% ),29393264356,3652557,67
2017-05-28,1,0.0%,1,0%,180,0.0%,34.4%,544500,54500 ( 11.1% ),62,12 ( 24.0% ),29393808856,3652619,62
2017-06-03,1,0.0%,1,0%,180,0.0%,25.0%,427000,427000 ( 100.0% ),45,45 ( 100.0% ),29394235856,3652664,64
2017-06-04,1,0.0%,1,0%,180,0.0%,20.6%,356000,-71000 ( -16.6% ),37,-8 ( -17.8% ),29394591856,3652701,55
2017-06-10,1,0.0%,1,0%,190,0.0%,39.5%,492000,492000 ( 100.0% ),75,75 ( 100.0% ),29395083856,3652776,51
2017-06-11,1,0.0%,1,0%,186,0.0%,75.3%,1247000,755000 ( 153.5% ),140,65 ( 86.7% ),29396330856,3652916,36
2017-06-24,1,0.0%,1,0%,97,0.0%,100.0%,970000,970000 ( 100.0% ),97,97 ( 100.0% ),29397300856,3653013,52
2017-06-29,1,0.0%,1,0%,87,0.0%,0.0%,0,0 ( 0.0% ),0,0 ( 0.0% ),29397300856,3653013,97
