날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2017-10-18,1,0.0%,1,0%,204,0.0%,100.0%,1632000,1632000 ( 100.0% ),204,204 ( 100.0% ),1632000,204,31
2017-10-19,3,0.1%,3,0%,530,0.0%,100.0%,4240000,2608000 ( 159.8% ),530,326 ( 159.8% ),5872000,734,19
2017-10-21,1,0.0%,1,0%,166,0.0%,90.4%,1350000,1350000 ( 100.0% ),150,150 ( 100.0% ),7222000,884,44
2017-10-23,6,0.1%,7,0%,2040,0.1%,83.1%,14638500,14638500 ( 100.0% ),1695,1695 ( 100.0% ),21860500,2579,12
2017-10-24,26,0.5%,26,0.2%,4050,0.1%,65.7%,18215000,3576500 ( 24.4% ),2662,967 ( 57.1% ),40075500,5241,11
2017-10-25,196,3.6%,903,5.4%,128158,4.7%,30.4%,223629700,205414700 ( 1127.7% ),38923,36261 ( 1362.2% ),263705200,44164,3
2017-10-26,201,3.8%,904,5.4%,130412,4.8%,15.0%,152235000,-71394700 ( -31.9% ),19506,-19417 ( -49.9% ),415940200,63670,3
2017-10-27,218,4.0%,940,5.5%,134344,4.8%,22.1%,247873700,95638700 ( 62.8% ),29630,10124 ( 51.9% ),663813900,93300,3
2017-10-28,213,3.8%,975,5.4%,137465,4.7%,38.4%,441380300,193506600 ( 78.1% ),52788,23158 ( 78.2% ),1105194200,146088,3
2017-10-29,218,3.9%,985,5.6%,137523,4.8%,38.4%,442659000,1278700 ( 0.3% ),52875,87 ( 0.2% ),1547853200,198963,3
2017-10-30,196,3.9%,940,5.8%,136434,5.1%,14.2%,151344200,-291314800 ( -65.8% ),19389,-33486 ( -63.3% ),1699197400,218352,3
2017-10-31,200,3.9%,929,5.7%,135245,5.1%,14.9%,155660700,4316500 ( 2.9% ),20128,739 ( 3.8% ),1854858100,238480,3
2017-11-01,189,3.7%,901,5.5%,133354,5.0%,15.8%,163485500,7824800 ( 5.0% ),21004,876 ( 4.4% ),2018343600,259484,3
2017-11-02,182,3.4%,576,3.4%,83581,3.0%,13.6%,89061400,-74424100 ( -45.5% ),11352,-9652 ( -46.0% ),2107405000,270836,6
2017-11-03,187,3.5%,598,3.4%,86051,3.0%,19.2%,142242300,53180900 ( 59.7% ),16539,5187 ( 45.7% ),2249647300,287375,6
2017-11-04,196,3.3%,576,3.1%,79392,2.6%,38.0%,253803000,111560700 ( 78.4% ),30180,13641 ( 82.5% ),2503450300,317555,5
2017-11-05,207,3.6%,583,3.2%,80958,2.8%,34.6%,236049400,-17753600 ( -7.0% ),27992,-2188 ( -7.2% ),2739499700,345547,5
2017-11-06,177,3.5%,582,3.5%,89837,3.3%,10.0%,70666100,-165383300 ( -70.1% ),8995,-18997 ( -67.9% ),2810165800,354542,5
2017-11-07,178,3.5%,592,3.6%,89436,3.3%,9.0%,63539400,-7126700 ( -10.1% ),8058,-937 ( -10.4% ),2873705200,362600,5
2017-11-08,174,3.4%,567,3.4%,85923,3.1%,9.5%,63792400,253000 ( 0.4% ),8197,139 ( 1.7% ),2937497600,370797,6
2017-11-09,147,2.5%,349,2%,55633,1.9%,9.1%,40031700,-23760700 ( -37.2% ),5087,-3110 ( -37.9% ),2977529300,375884,9
2017-11-10,149,2.5%,360,2%,57008,1.9%,12.1%,59316400,19284700 ( 48.2% ),6877,1790 ( 35.2% ),3036845700,382761,9
2017-11-11,157,2.4%,378,1.9%,54332,1.7%,28.7%,133459700,74143300 ( 125.0% ),15570,8693 ( 126.4% ),3170305400,398331,10
2017-11-12,159,2.4%,371,1.9%,53193,1.7%,24.1%,110403900,-23055800 ( -17.3% ),12810,-2760 ( -17.7% ),3280709300,411141,10
2017-11-13,153,2.6%,358,2.1%,56750,2.0%,6.9%,30766700,-79637200 ( -72.1% ),3938,-8872 ( -69.3% ),3311476000,415079,10
2017-11-14,155,2.6%,360,2.1%,56634,2.0%,6.2%,27625600,-3141100 ( -10.2% ),3525,-413 ( -10.5% ),3339101600,418604,10
2017-11-15,163,2.4%,337,2%,48735,1.7%,9.4%,34557700,6932100 ( 25.1% ),4575,1050 ( 29.8% ),3373659300,423179,12
2017-11-16,134,2.3%,289,1.6%,40573,1.4%,15.4%,44965300,10407600 ( 30.1% ),6257,1682 ( 36.8% ),3418624600,429436,9
2017-11-17,133,2.2%,222,1.2%,31818,1.1%,9.3%,24236200,-20729100 ( -46.1% ),2968,-3289 ( -52.6% ),3442860800,432404,11
2017-11-18,129,2.1%,205,1.1%,29295,0.9%,19.5%,47722900,23486700 ( 96.9% ),5718,2750 ( 92.7% ),3490583700,438122,10
2017-11-19,129,2.1%,207,1.1%,29828,1.0%,19.1%,47958300,235400 ( 0.5% ),5712,-6 ( -0.1% ),3538542000,443834,10
2017-11-20,116,2.1%,198,1.2%,29854,1.1%,5.8%,13295200,-34663100 ( -72.3% ),1723,-3989 ( -69.8% ),3551837200,445557,10
2017-11-21,120,2.1%,200,1.2%,29512,1.1%,6.0%,13615600,320400 ( 2.4% ),1780,57 ( 3.3% ),3565452800,447337,10
2017-11-22,96,1.9%,147,0.9%,22124,0.8%,6.3%,10402900,-3212700 ( -23.6% ),1404,-376 ( -21.1% ),3575855700,448741,11
2017-11-23,107,1.9%,136,0.8%,19120,0.7%,8.7%,12053500,1650600 ( 15.9% ),1667,263 ( 18.7% ),3587909200,450408,16
2017-11-24,101,1.8%,131,0.8%,18286,0.6%,8.4%,12128600,75100 ( 0.6% ),1533,-134 ( -8.0% ),3600037800,451941,14
2017-11-25,93,1.5%,126,0.7%,17429,0.6%,14.5%,20432800,8304200 ( 68.5% ),2521,988 ( 64.4% ),3620470600,454462,14
2017-11-26,94,1.5%,126,0.7%,16952,0.6%,15.8%,21913400,1480600 ( 7.2% ),2673,152 ( 6.0% ),3642384000,457135,14
2017-11-27,98,1.8%,142,0.9%,19842,0.7%,6.4%,9251700,-12661700 ( -57.8% ),1264,-1409 ( -52.7% ),3651635700,458399,13
2017-11-28,96,1.7%,140,0.8%,19483,0.7%,6.8%,9703600,451900 ( 4.9% ),1316,52 ( 4.1% ),3661339300,459715,14
2017-11-29,43,0.8%,59,0.3%,7711,0.3%,8.1%,3991000,-5712600 ( -58.9% ),626,-690 ( -52.4% ),3665330300,460341,17
2017-11-30,39,0.7%,49,0.3%,6418,0.2%,8.2%,3838500,-152500 ( -3.8% ),527,-99 ( -15.8% ),3669168800,460868,23
2017-12-01,38,0.7%,43,0.2%,5728,0.2%,7.8%,3470000,-368500 ( -9.6% ),446,-81 ( -15.4% ),3672638800,461314,23
2017-12-02,38,0.7%,43,0.2%,5611,0.2%,11.9%,5519500,2049500 ( 59.1% ),667,221 ( 49.6% ),3678158300,461981,24
2017-12-03,40,0.7%,46,0.2%,5888,0.2%,11.8%,5825000,305500 ( 5.5% ),694,27 ( 4.0% ),3683983300,462675,19
2017-12-04,38,0.7%,47,0.3%,6875,0.2%,8.1%,3917000,-1908000 ( -32.8% ),555,-139 ( -20.0% ),3687900300,463230,14
2017-12-05,35,0.7%,43,0.3%,6251,0.2%,5.7%,2600300,-1316700 ( -33.6% ),359,-196 ( -35.3% ),3690500600,463589,26
2017-12-06,37,0.7%,45,0.3%,6446,0.2%,5.7%,2615000,14700 ( 0.6% ),365,6 ( 1.7% ),3693115600,463954,26
2017-12-07,11,0.2%,15,0.1%,1877,0.1%,5.1%,737200,-1877800 ( -71.8% ),96,-269 ( -73.7% ),3693852800,464050,62
2017-12-08,11,0.2%,12,0.1%,1569,0.1%,5.8%,723500,-13700 ( -1.9% ),91,-5 ( -5.2% ),3694576300,464141,64
2017-12-09,7,0.1%,8,0%,934,0.0%,13.8%,1043500,320000 ( 44.2% ),129,38 ( 41.8% ),3695619800,464270,58
2017-12-10,7,0.1%,9,0%,905,0.0%,13.4%,1036000,-7500 ( -0.7% ),121,-8 ( -6.2% ),3696655800,464391,45
2017-12-11,10,0.2%,13,0.1%,1847,0.1%,6.3%,846500,-189500 ( -18.3% ),116,-5 ( -4.1% ),3697502300,464507,47
2017-12-12,7,0.1%,10,0.1%,1342,0.0%,5.1%,527500,-319000 ( -37.7% ),68,-48 ( -41.4% ),3698029800,464575,72
2017-12-13,10,0.2%,13,0.1%,1847,0.1%,5.5%,775000,247500 ( 46.9% ),102,34 ( 50.0% ),3698804800,464677,61
2017-12-16,1,0.0%,1,0%,51,0.0%,13.7%,55000,55000 ( 100.0% ),7,7 ( 100.0% ),3698859800,464684,93
2017-12-17,1,0.0%,1,0%,59,0.0%,11.9%,70000,15000 ( 27.3% ),7,0 ( 0.0% ),3698929800,464691,93
2017-12-18,1,0.0%,1,0%,59,0.0%,6.8%,40000,-30000 ( -42.9% ),4,-3 ( -42.9% ),3698969800,464695,91
2017-12-19,1,0.0%,1,0%,59,0.0%,20.3%,116000,76000 ( 190.0% ),12,8 ( 200.0% ),3699085800,464707,91
2017-12-21,1,0.0%,1,0%,59,0.0%,1.7%,10000,10000 ( 100.0% ),1,1 ( 100.0% ),3699095800,464708,112
2017-12-22,1,0.0%,1,0%,59,0.0%,5.1%,30000,20000 ( 200.0% ),3,2 ( 200.0% ),3699125800,464711,104
2017-12-23,1,0.0%,1,0%,59,0.0%,13.6%,79000,49000 ( 163.3% ),8,5 ( 166.7% ),3699204800,464719,82
2017-12-24,1,0.0%,1,0%,59,0.0%,32.2%,187000,108000 ( 136.7% ),19,11 ( 137.5% ),3699391800,464738,60
2017-12-25,1,0.0%,1,0%,59,0.0%,6.8%,40000,-147000 ( -78.6% ),4,-15 ( -78.9% ),3699431800,464742,74
2017-12-26,1,0.0%,1,0%,59,0.0%,1.7%,10000,-30000 ( -75.0% ),1,-3 ( -75.0% ),3699441800,464743,97
2017-12-27,1,0.0%,1,0%,59,0.0%,3.4%,19000,9000 ( 90.0% ),2,1 ( 100.0% ),3699460800,464745,93
2017-12-28,6,0.1%,6,0%,889,0.0%,28.2%,2010000,1991000 ( 10478.9% ),251,249 ( 12450.0% ),3701470800,464996,33
2017-12-29,2,0.0%,2,0%,217,0.0%,23.5%,410000,-1600000 ( -79.6% ),51,-200 ( -79.7% ),3701880800,465047,46
2017-12-30,1,0.0%,1,0%,59,0.0%,8.5%,50000,-360000 ( -87.8% ),5,-46 ( -90.2% ),3701930800,465052,80
2017-12-31,3,0.1%,3,0%,396,0.0%,53.8%,1730000,1680000 ( 3360.0% ),213,208 ( 4160.0% ),3703660800,465265,27
2018-01-01,1,0.0%,2,0%,118,0.0%,5.1%,60000,-1670000 ( -96.5% ),6,-207 ( -97.2% ),3703720800,465271,63
2018-01-04,2,0.0%,2,0%,245,0.0%,47.3%,930000,930000 ( 100.0% ),116,116 ( 100.0% ),3704650800,465387,39
2018-01-05,1,0.0%,1,0%,59,0.0%,3.4%,20000,-910000 ( -97.8% ),2,-114 ( -98.3% ),3704670800,465389,69
2018-01-06,1,0.0%,1,0%,59,0.0%,11.9%,70000,50000 ( 250.0% ),7,5 ( 250.0% ),3704740800,465396,64
2018-01-07,1,0.0%,1,0%,59,0.0%,10.2%,60000,-10000 ( -14.3% ),6,-1 ( -14.3% ),3704800800,465402,62
2018-01-08,1,0.0%,1,0%,59,0.0%,3.4%,20000,-40000 ( -66.7% ),2,-4 ( -66.7% ),3704820800,465404,62
2018-01-09,1,0.0%,1,0%,59,0.0%,6.8%,40000,20000 ( 100.0% ),4,2 ( 100.0% ),3704860800,465408,72
2018-01-10,1,0.0%,1,0%,59,0.0%,1.7%,10000,-30000 ( -75.0% ),1,-3 ( -75.0% ),3704870800,465409,86
2018-01-11,1,0.0%,1,0%,59,0.0%,1.7%,10000,0 ( 0.0% ),1,0 ( 0.0% ),3704880800,465410,78
2018-01-12,1,0.0%,1,0%,59,0.0%,8.5%,50000,40000 ( 400.0% ),5,4 ( 400.0% ),3704930800,465415,67
2018-01-13,1,0.0%,1,0%,59,0.0%,11.9%,70000,20000 ( 40.0% ),7,2 ( 40.0% ),3705000800,465422,70
2018-01-14,1,0.0%,1,0%,59,0.0%,15.3%,86000,16000 ( 22.9% ),9,2 ( 28.6% ),3705086800,465431,69
2018-01-15,1,0.0%,1,0%,59,0.0%,5.1%,30000,-56000 ( -65.1% ),3,-6 ( -66.7% ),3705116800,465434,65
2018-01-16,1,0.0%,1,0%,59,0.0%,1.7%,2000,-28000 ( -93.3% ),1,-2 ( -66.7% ),3705118800,465435,88
2018-01-17,3,0.1%,3,0%,352,0.0%,0.9%,10000,8000 ( 400.0% ),3,2 ( 200.0% ),3705128800,465438,82
2018-01-18,1,0.0%,1,0%,95,0.0%,1.1%,5000,-5000 ( -50.0% ),1,-2 ( -66.7% ),3705133800,465439,89
2018-01-19,2,0.0%,2,0%,154,0.0%,1.3%,15000,10000 ( 200.0% ),2,1 ( 100.0% ),3705148800,465441,84
2018-01-20,1,0.0%,1,0%,95,0.0%,1.1%,5000,-10000 ( -66.7% ),1,-1 ( -50.0% ),3705153800,465442,89
2018-01-21,2,0.0%,2,0%,154,0.0%,3.2%,45000,40000 ( 800.0% ),5,4 ( 400.0% ),3705198800,465447,84
2018-01-22,2,0.0%,2,0%,154,0.0%,1.9%,25000,-20000 ( -44.4% ),3,-2 ( -40.0% ),3705223800,465450,70
