날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2017-10-19,69,1.2%,169,1%,27594,1.0%,30.9%,67287000,67287000 ( 100.0% ),8513,8513 ( 100.0% ),67287000,8513,6
2017-10-20,93,1.5%,215,1.2%,34781,1.2%,21.3%,65655700,-1631300 ( -2.4% ),7413,-1100 ( -12.9% ),132942700,15926,8
2017-10-21,118,1.8%,286,1.5%,45736,1.5%,32.7%,124800000,59144300 ( 90.1% ),14949,7536 ( 101.7% ),257742700,30875,7
2017-10-22,121,1.9%,281,1.6%,44262,1.5%,25.3%,93348000,-31452000 ( -25.2% ),11195,-3754 ( -25.1% ),351090700,42070,8
2017-10-23,81,1.5%,217,1.3%,37203,1.4%,4.6%,13890500,-79457500 ( -85.1% ),1723,-9472 ( -84.6% ),364981200,43793,11
2017-10-24,82,1.4%,213,1.3%,36305,1.3%,4.1%,12040300,-1850200 ( -13.3% ),1492,-231 ( -13.4% ),377021500,45285,15
2017-10-25,55,1.0%,88,0.5%,11945,0.4%,7.1%,5412300,-6628000 ( -55.0% ),851,-641 ( -43.0% ),382433800,46136,17
2017-10-26,61,1.1%,101,0.6%,14286,0.5%,28.3%,31317700,25905400 ( 478.6% ),4039,3188 ( 374.6% ),413751500,50175,9
2017-10-27,63,1.2%,94,0.5%,13310,0.5%,16.9%,19609200,-11708500 ( -37.4% ),2249,-1790 ( -44.3% ),433360700,52424,11
2017-10-28,70,1.2%,113,0.6%,15441,0.5%,35.3%,44394400,24785200 ( 126.4% ),5443,3194 ( 142.0% ),477755100,57867,10
2017-10-29,69,1.2%,112,0.6%,15312,0.5%,27.8%,35054900,-9339500 ( -21.0% ),4256,-1187 ( -21.8% ),512810000,62123,11
2017-10-30,63,1.3%,96,0.6%,14097,0.5%,4.1%,4568400,-30486500 ( -87.0% ),571,-3685 ( -86.6% ),517378400,62694,19
2017-10-31,59,1.1%,85,0.5%,12504,0.5%,3.8%,3754200,-814200 ( -17.8% ),470,-101 ( -17.7% ),521132600,63164,23
2017-11-01,52,1.0%,79,0.5%,11685,0.4%,4.0%,3823000,68800 ( 1.8% ),470,0 ( 0.0% ),524955600,63634,26
2017-11-02,46,0.9%,64,0.4%,9143,0.3%,32.6%,22324400,18501400 ( 483.9% ),2985,2515 ( 535.1% ),547280000,66619,8
2017-11-03,44,0.8%,51,0.3%,7508,0.3%,21.4%,14003000,-8321400 ( -37.3% ),1610,-1375 ( -46.1% ),561283000,68229,10
2017-11-04,59,1.0%,79,0.4%,10484,0.3%,32.5%,28897300,14894300 ( 106.4% ),3412,1802 ( 111.9% ),590180300,71641,11
2017-11-05,56,1.0%,78,0.4%,10279,0.4%,22.0%,19160700,-9736600 ( -33.7% ),2259,-1153 ( -33.8% ),609341000,73900,13
2017-11-06,36,0.7%,42,0.3%,6161,0.2%,3.9%,1874500,-17286200 ( -90.2% ),243,-2016 ( -89.2% ),611215500,74143,31
2017-11-07,30,0.6%,36,0.2%,5291,0.2%,4.1%,1738500,-136000 ( -7.3% ),218,-25 ( -10.3% ),612954000,74361,32
2017-11-08,23,0.4%,29,0.2%,4022,0.1%,4.6%,1472000,-266500 ( -15.3% ),186,-32 ( -14.7% ),614426000,74547,39
2017-11-09,57,1.0%,61,0.3%,9767,0.3%,21.7%,15941300,14469300 ( 983.0% ),2123,1937 ( 1041.4% ),630367300,76670,12
2017-11-10,42,0.7%,45,0.2%,6790,0.2%,11.2%,6440200,-9501100 ( -59.6% ),760,-1363 ( -64.2% ),636807500,77430,18
2017-11-11,45,0.7%,58,0.3%,7986,0.3%,22.6%,15399800,8959600 ( 139.1% ),1807,1047 ( 137.8% ),652207300,79237,16
2017-11-12,42,0.6%,53,0.3%,7607,0.2%,17.8%,11668700,-3731100 ( -24.2% ),1356,-451 ( -25.0% ),663876000,80593,16
2017-11-13,30,0.5%,32,0.2%,4914,0.2%,3.3%,1360500,-10308200 ( -88.3% ),164,-1192 ( -87.9% ),665236500,80757,39
2017-11-14,29,0.5%,31,0.2%,4738,0.2%,3.4%,1295500,-65000 ( -4.8% ),163,-1 ( -0.6% ),666532000,80920,43
2017-11-15,23,0.3%,27,0.2%,3962,0.1%,4.1%,1242400,-53100 ( -4.1% ),162,-1 ( -0.6% ),667774400,81082,44
2017-11-16,28,0.5%,35,0.2%,4910,0.2%,39.5%,13049800,11807400 ( 950.4% ),1938,1776 ( 1096.3% ),680824200,83020,12
2017-11-17,27,0.5%,32,0.2%,4525,0.2%,8.2%,2989400,-10060400 ( -77.1% ),373,-1565 ( -80.8% ),683813600,83393,26
2017-11-18,29,0.5%,34,0.2%,4804,0.2%,13.5%,5230500,2241100 ( 75.0% ),650,277 ( 74.3% ),689044100,84043,24
2017-11-19,29,0.5%,32,0.2%,4587,0.2%,11.0%,4020700,-1209800 ( -23.1% ),504,-146 ( -22.5% ),693064800,84547,26
2017-11-20,24,0.4%,26,0.2%,3864,0.1%,2.9%,898000,-3122700 ( -77.7% ),112,-392 ( -77.8% ),693962800,84659,43
2017-11-21,26,0.5%,29,0.2%,4340,0.2%,3.0%,977700,79700 ( 8.9% ),129,17 ( 15.2% ),694940500,84788,52
2017-11-22,19,0.4%,20,0.1%,3085,0.1%,3.5%,779000,-198700 ( -20.3% ),109,-20 ( -15.5% ),695719500,84897,54
2017-11-23,24,0.4%,24,0.1%,3587,0.1%,42.9%,10625200,9846200 ( 1264.0% ),1540,1431 ( 1312.8% ),706344700,86437,17
2017-11-24,21,0.4%,22,0.1%,3316,0.1%,11.0%,2845700,-7779500 ( -73.2% ),364,-1176 ( -76.4% ),709190400,86801,22
2017-11-25,21,0.3%,22,0.1%,3347,0.1%,17.5%,4548500,1702800 ( 59.8% ),586,222 ( 61.0% ),713738900,87387,22
2017-11-26,22,0.4%,23,0.1%,3495,0.1%,10.1%,2912900,-1635600 ( -36.0% ),354,-232 ( -39.6% ),716651800,87741,27
2017-11-27,23,0.4%,26,0.2%,3986,0.1%,3.2%,955000,-1957900 ( -67.2% ),127,-227 ( -64.1% ),717606800,87868,39
2017-11-28,17,0.3%,19,0.1%,2831,0.1%,3.4%,708500,-246500 ( -25.8% ),96,-31 ( -24.4% ),718315300,87964,63
2017-11-29,15,0.3%,16,0.1%,2106,0.1%,3.5%,520500,-188000 ( -26.5% ),73,-23 ( -24.0% ),718835800,88037,71
2017-11-30,18,0.3%,19,0.1%,2992,0.1%,15.1%,3190000,2669500 ( 512.9% ),453,380 ( 520.5% ),722025800,88490,27
2017-12-01,17,0.3%,18,0.1%,2819,0.1%,6.5%,1484000,-1706000 ( -53.5% ),183,-270 ( -59.6% ),723509800,88673,41
2017-12-02,18,0.3%,19,0.1%,2917,0.1%,15.1%,3551000,2067000 ( 139.3% ),440,257 ( 140.4% ),727060800,89113,31
2017-12-03,18,0.3%,19,0.1%,2994,0.1%,10.7%,2618000,-933000 ( -26.3% ),320,-120 ( -27.3% ),729678800,89433,29
2017-12-04,18,0.4%,18,0.1%,3259,0.1%,2.8%,659500,-1958500 ( -74.8% ),92,-228 ( -71.3% ),730338300,89525,54
2017-12-05,16,0.3%,16,0.1%,2866,0.1%,3.8%,748400,88900 ( 13.5% ),108,16 ( 17.4% ),731086700,89633,54
2017-12-06,18,0.3%,18,0.1%,3072,0.1%,3.2%,769500,21100 ( 2.8% ),99,-9 ( -8.3% ),731856200,89732,56
2017-12-07,7,0.1%,7,0%,973,0.0%,44.3%,3135500,2366000 ( 307.5% ),431,332 ( 335.4% ),734991700,90163,29
2017-12-08,2,0.0%,2,0%,290,0.0%,15.2%,378500,-2757000 ( -87.9% ),44,-387 ( -89.8% ),735370200,90207,78
2017-12-09,6,0.1%,6,0%,905,0.0%,20.2%,1314100,935600 ( 247.2% ),183,139 ( 315.9% ),736684300,90390,46
2017-12-10,3,0.0%,3,0%,478,0.0%,22.4%,770500,-543600 ( -41.4% ),107,-76 ( -41.5% ),737454800,90497,48
