날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2017-05-16,4,0.1%,4,0%,838,0.0%,90.8%,5146000,5146000 ( 100.0% ),761,761 ( 100.0% ),5146000,761,14
2017-05-17,2,0.0%,2,0%,295,0.0%,86.1%,1530000,-3616000 ( -70.3% ),254,-507 ( -66.6% ),6676000,1015,26
2017-05-18,1,0.0%,1,0%,150,0.0%,90.7%,816000,-714000 ( -46.7% ),136,-118 ( -46.5% ),7492000,1151,44
2017-05-19,2,0.0%,2,0%,314,0.0%,88.2%,1662000,846000 ( 103.7% ),277,141 ( 103.7% ),9154000,1428,30
2017-05-20,3,0.0%,3,0%,572,0.0%,82.9%,2854000,1192000 ( 71.7% ),474,197 ( 71.1% ),12008000,1902,26
2017-05-22,5,0.1%,5,0%,732,0.0%,89.5%,4904000,4904000 ( 100.0% ),655,655 ( 100.0% ),16912000,2557,13
2017-05-23,25,0.5%,25,0.2%,4922,0.2%,83.0%,45161900,40257900 ( 820.9% ),4086,3431 ( 523.8% ),62073900,6643,8
2017-05-24,5,0.1%,8,0%,1256,0.0%,54.5%,5094000,-40067900 ( -88.7% ),685,-3401 ( -83.2% ),67167900,7328,15
2017-05-25,580,11.5%,2743,16.3%,393083,14.4%,20.1%,586213900,581119900 ( 11407.9% ),78816,78131 ( 11406.0% ),653381800,86144,2
2017-05-26,659,12.8%,3017,17.6%,441388,15.8%,21.5%,792506705,206292805 ( 35.2% ),94985,16169 ( 20.5% ),1445888505,181129,2
2017-05-27,775,14.1%,3578,19.8%,560609,19.1%,36.7%,1721566407,929059702 ( 117.2% ),205704,110719 ( 116.6% ),3167454912,386833,2
2017-05-28,763,14.0%,3503,19.8%,551572,19.2%,38.0%,1736580900,15014493 ( 0.9% ),209858,4154 ( 2.0% ),4904035812,596691,2
2017-05-29,685,14.1%,3356,20.4%,512602,19.1%,15.2%,572126700,-1164454200 ( -67.1% ),77835,-132023 ( -62.9% ),5476162512,674526,2
2017-05-30,710,14.4%,3380,20.6%,513230,19.1%,13.8%,511103600,-61023100 ( -10.7% ),70693,-7142 ( -9.2% ),5987266112,745219,2
2017-05-31,578,12.1%,2198,13.5%,301294,11.4%,26.1%,464977600,-46126000 ( -9.0% ),78580,7887 ( 11.2% ),6452243712,823799,4
